id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1203432449-S,fachinformatiker_ae_2026,Steinlemoss GmbH,Ahaus,"Wittenkamp 1b, 48683 Ahaus",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,87,ba_portal,bewerbung@steinlemoss.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203432449-S,email,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203432449-S,Steinlemoss GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Ahaus,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker Anwendungsentwicklung (w/m/d)

Dein Profil
 - Fachhochschulreife oder die allgemeine Hochschulreife
- Interesse an IT-Projekten
- Du hast Spaß an Informationstechnik
- Neugier an innovativen Technologien
- Du arbeitest gerne im Team
- Eigeninitiative
- gute Englischkenntnisse

Wir bieten Dir
- eine fundierte Ausbildung
- vielfältige Weiterbildungsmöglichkeiten
- ein modernes und dynamisches Arbeitsumfeld
- ein freundliches Betriebsklima
- nette Kollegen
- spannende Firmen-Events
- kostenlose Verpflegung
- gute Zukunftsaussichten, wir bilden für den eigenen Bedarf aus

Haben wir Dein Interesse geweckt?
Dann bewirb Dich bei uns. Dich erwartet ein spannendes Themenfeld im Bereich der Digitalisierung und Weiterentwicklung vorhandener Software mit den neusten Technologien. Du erhältst tiefgehende Kenntnisse im Bereich der Informationstechnik und dem Software Engineering. Noten sind nicht alles, überzeuge uns mit Deiner Persönlichkeit.

Gerd Steinle, Geschäftsführer
Tel.: +49 (0) 2561 / 95882 0
E-Mail: bewerbung@steinlemoss.de

STEINLEMOSS GmbH
Wittenkamp 1b-3a
48683 Ahaus

www.steinlemoss.de","Dein Profil
- Fachhochschulreife oder die allgemeine Hochschulreife
- Interesse an IT-Projekten
- Du hast Spaß an Informationstechnik
- Neugier an innovativen Technologien
- Du arbeitest gerne im Team
- Eigeninitiative
- gute Englischkenntnisse",2026-06-11T08:14:44.393190+00:00
10000-1203240673-S,fachinformatiker_ae_2026,Herholz Vertrieb GmbH & Co. KG,Ahaus,"Eichenallee 82-88, 48683 Ahaus",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,8,,80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203240673-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203240673-S,Herholz Vertrieb GmbH & Co. KG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Ahaus,ya,belum,rendah,"Möchtest du Teil einer großen Azubi-Gemeinschaft sein? Bei uns starten jährlich bis zu 15 Auszubildende, denn wir wachsen stetig und planen vorausschauend neue Mitarbeiter ein. Außerdem ist dir eine gute Mischung aus Leistung und Spaß wichtig?
Das geschieht nicht nur im Berufsalltag. Wir bieten dir Azubi-Fahrten und –Feiern, die dir auch in der Freizeit Zusammenhalt mit den anderen Azubis garantieren. Auf der anderen Seite bieten wir Unterstützung bei der Prüfungsvorbereitung.

Haben wir dein Interesse geweckt? Dann werde Teil unseres Teams.

### Wir suchen zum 01.08.2026 Auszubildende zum/zur Fachinformatiker/-in für Anwendungsentwicklung (m/w/d)

**Schulische Voraussetzungen:**
Realschulabschluss (Fachoberschulreife), Fachhochschulreife oder Allgemeine Hochschulreife

**Ausbildungsdauer:**
3 Jahre (duale Ausbildung)

**Notwendige Interessen/Begabungen:**

- Interesse an kaufmännischen und verwaltenden Tätigkeiten
- Organisieren
- Rechnen
- Ausdrucksfähigkeit in Wort und Schrift
- Logisches und analytisches Denken

**Lerninhalte:**

- Entwickeln und Warten von komplexen Anwendungen mit verschiedenen Schwerpunkten
- Betreuen und Leiten von Projekten
- Anwenden von Programmiersprachen
- Beraten und Schulen von Benutzern

Interessiert? Dann schau vorbei auf https://www.tueren-karriere.de/ausbildung und bewirb dich noch heute. Wir freuen uns auf dich!","**Schulische Voraussetzungen:**
Realschulabschluss (Fachoberschulreife), Fachhochschulreife oder Allgemeine Hochschulreife",2026-06-11T08:13:49.077687+00:00
NRW-2672-4949,ausbildung_nrw_ae,amexus Informationstechnik GmbH & Co. KG,Ahaus,Von-Braun-Str. 34 48683 Ahaus,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2027),ae,,,,73,company,personal@amexus.com,https://amexus.softgarden.io/job/52945644/Ausbildung-Fachinformatiker-Anwendungsentwicklung-m-w-d-?jobDbPVId=205167067&l=de,email,"Kontakt
+49 2561/9303-0
personal@amexus.com
https://www.amexus.com
Von-Braun-Str. 34
48683 Ahaus
A
Anne Heeke
HR Managerin
+49 2561/9303-0
personal@amexus.com
Social Media
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,amexus Informationstechnik GmbH & Co. KG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2027) | Ahaus,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung (2027)

Fachinformatiker/in - Anwendungsentwicklung in Ahaus (2027)
Mehr Informationen
Kaufmann/frau - IT-System-Management in Ahaus (2026)
Mehr Informationen
Angebote
Berufsfelderkundungstag
Duale Ausbildung (Vollzeit)
Praktikum

So kannst du dich bewerben
Bewirb dich ganz bequem über unser Online-Bewerbungsformular: Jobs - amexus®",,2026-06-12T09:53:14.950669+00:00
10001-1003194739-S,fachinformatiker_ae,Tobit Laboratories AG,Ahaus,"Parallelstr. 41, 48683 Ahaus",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,67,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003194739-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003194739-S,Tobit Laboratories AG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Ahaus,ya,belum,rendah,"Software frisst die Welt! Nichts ändert unseren Alltag so wie die konsequente Verbindung von allem und allen. Als Anwendungsentwickler bei uns trägst Du maßgeblich dazu bei, den Alltag von tausenden Menschen durch Programme und Apps Stück für Stück besser zu machen. Im Fokus steht dabei die Entwicklung von benutzerfreundlichen Lösungen, die ohne ein Handbuch von jedem verstanden werden können - einfach und intuitiv. 

Du programmierst bereits hobbymäßig zu Hause und hast eine große Leidenschaft für moderne Technologien? HTML, CSS oder JavaScript sind keine idk für Dich und chayns kennst Du natürlich auch? 

Dann bist Du genau richtig bei uns! Als Anwendungsentwickler kümmerst Du Dich mit einem tollen Team darum, die Software zu coden, die bereits in den Hosentaschen von Millionen Menschen läuft!

Bewerbung per Chat!

www.tobit.com/einstieg",Fachhochschulreife,2026-06-11T09:10:12.930686+00:00
AUBI-253389,aubi_plus_fi,Tobit Laboratories AG,Ahaus,48683 Ahaus,Ausbildung | Fachinformatiker/-in Fachrichtung Anwendungsentwicklung 2026 (m/w/d),ae,,,,47,empty,,https://www.aubi-plus.de/bewerbung/,portal,Kontakt,,Tobit Laboratories AG | Ausbildung | Fachinformatiker/-in Fachrichtung Anwendungsentwicklung 2026 (m/w/d) | Ahaus,ya,belum,rendah,Fachinformatiker/-in Fachrichtung Anwendungsentwicklung 2026 (m/w/d),,2026-06-13T14:55:49.822200+00:00
AUBI-454058,aubi_plus_fi,Tobit Laboratories AG,Ahaus,48683 Ahaus,Ausbildung | Fachinformatiker Fachrichtung Anwendungsentwicklung (m/w/d),ae,,,,47,empty,,https://www.aubi-plus.de/bewerbung/,portal,Kontakt,,Tobit Laboratories AG | Ausbildung | Fachinformatiker Fachrichtung Anwendungsentwicklung (m/w/d) | Ahaus,ya,belum,rendah,Fachinformatiker Fachrichtung Anwendungsentwicklung (m/w/d),,2026-06-13T14:55:52.962900+00:00
MAD-2440500732,meine_ausbildung_ae,Tobit Laboratories,Ahaus,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,,40,company,,https://suche.ausbildung.nrw/unternehmen/tobit-laboratories-ag/3088?utm_source=meine-ausbildung-in-deutschland,portal,,,Tobit Laboratories | Fachinformatiker/in - Anwendungsentwicklung | Ahaus,ya,belum,rendah,Fachinformatiker/in - Anwendungsentwicklung,,2026-06-11T11:44:36.906765+00:00
AZDE-11319291,azubi_de_fi,amexus Informationstechnik GmbH & Co. KG,Ahaus,48683 Ahaus DE,Ausbildung | 2026: Fachinformatiker Systemintegration (m/w/d),si,2026,8,,53,empty,,https://www.azubi.de/ausbildungsplatz/11319291-b-ausbildung-2026-fachinformatiker-systemintegration-m-w-d/apply,portal,"- Du besitzt ein freundliches, sicheres und kommunikatives Auftreten und du hast kein Problem mit Kundenkontakt
- Du bist ein Teamplayer
- Du besitzt Deutschkenntnisse auf muttersprachlichem Niveau sowie gute Englischkenntnisse
- Du hast einen Führerschein oder dieser ist bereits in Planung
Aufgaben",,amexus Informationstechnik GmbH & Co. KG | Ausbildung | 2026: Fachinformatiker Systemintegration (m/w/d) | Ahaus,tidak,belum,sedang,"Ausbildung 2026: Fachinformatiker Systemintegration (m/w/d)

Das erwartet dich
Mit Begeisterung tüftelst du so lange an technischen Problemen, bis sie gelöst sind und du wirst immer gefragt, wenn irgendwo ein Gerät streikt?
Deine Freunde und Familie verlassen sich auf dich, wenn es darum geht, das WLAN wieder in Gang zu bringen?
Dann ist die Ausbildung zum **Fachinformatiker für Systemintegration (m/w/d) **bei uns genau das Richtige für dich! Hier kannst du dein technisches Talent ausbauen und zum echten IT-Experten werden.
Bei uns lernst du, Soft- und Hardware professionell zu administrieren: Von der Einrichtung von Arbeitsplätzen bis zur Planung von Netzwerken – schon bald wirst du diese Aufgaben sicher meistern.
Das Besondere bei uns? Im Rahmen deiner Ausbildung bei amexus lernst du sowohl die interne IT als auch die IT-Betreuung bei unseren Kunden kennen. Dabei wirst du an echten Kundenprojekten mitarbeiten und bist von Anfang an ein vollwertiges Teammitglied.
Natürlich garantieren wir dir Unterstützung in deiner Einarbeitungsphase, damit du Schritt für Schritt in die neue Aufgabe hineinwachsen kannst. Dir stehen erfahrene Fachkräfte als Ausbilder und Mentoren zur Seite.
Nach deinem erfolgreichen Abschluss hast du gute Chancen, unser Team weiter zu verstärken und die digitale Zukunft in dem Bereich mitzugestalten, den du während deiner Ausbildung nach deinen Interessen und Stärken bereits ausgewählt und vertieft hast.
Wir suchen dich für die Ausbildung zum Fachinformatiker Systemintegration (m/w/d) am Standort Ahaus zum Ausbildungsstart am 01.08.2026.
Das lernst du bei uns
- Die Administration von informations- und telekommunikationstechnischen Systemen gehört zu deinen zentralen Aufgaben
- Du erfährst, wie Arbeitsplätze mit PC-Systemen fachgerecht eingerichtet, konfiguriert und betreut werden, um einen reibungslosen Betrieb sicherzustellen
- Im Bereich der Netzwerktechnologie eignest du dir alle wichtigen Handgriffe an
- Du wirst in die Planung, Installation, Konfiguration und Betreuung von IT-Systemlösungen, Telefonanlagen und Drucksystemen eingearbeitet
- Die Einrichtung, Verwaltung und Optimierung von Servern und Cloud-Technologien, um eine zuverlässige und effiziente IT-Infrastruktur sicherzustellen, gehört ebenfalls zu deinem Ausbildungsinhalt
- Zudem lernst du, wie man Fehler bei Hard- und Softwareproblemen behebt und Kunden sowie Mitarbeitende in IT-Fragen sowohl telefonisch als auch vor Ort kompetent berät

Einleitung
Das bringst du mit
- Du hast deine Schullaufbahn mit Fachabitur oder Abitur erfolgreich beendet oder bereits eine Ausbildung zum Informationstechnischen Assistenten (m/w/d) oder einer anderen Fachrichtung abgeschlossen
- Du hast ein großes Interesse an technischen Themen
- Du hast dich bereits mit Computern und anderer Hardware auseinandergesetzt und Spaß daran, technische Probleme zu lösen","Einleitung
Das bringst du mit
- Du hast deine Schullaufbahn mit Fachabitur oder Abitur erfolgreich beendet oder bereits eine Ausbildung zum Informationstechnischen Assistenten (m/w/d) oder einer anderen Fachrichtung abgeschlossen
- Du hast ein großes Interesse an technischen Themen
- Du hast dich bereits mit Computern und anderer Hardware auseinandergesetzt und Spaß daran, technische Probleme zu lösen",2026-06-13T10:36:35.267846+00:00
AUBI-275122,aubi_plus_fi,Tobit Laboratories AG,Ahaus,48683 Ahaus,Ausbildung | Fachinformatiker / Fachinformatikerin Fachrichtung Systemintegration 2026 (m/w/d),si,,,,47,empty,,https://www.aubi-plus.de/bewerbung/,portal,Kontakt,,Tobit Laboratories AG | Ausbildung | Fachinformatiker / Fachinformatikerin Fachrichtung Systemintegration 2026 (m/w/d) | Ahaus,ya,belum,rendah,Fachinformatiker / Fachinformatikerin Fachrichtung Systemintegration 2026 (m/w/d),,2026-06-13T14:55:55.985681+00:00
NRW-1676-3274,ausbildung_nrw_ae,Herholz Vertrieb GmbH & Co. KG,Ahaus,Eichenallee 82-88 48683 Ahaus,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,dual,,,,80,company,personal@herholz.de,https://www.tueren-karriere.de/ausbildung/detail/fachinformatiker-in-anwendungsentwicklung-m-w-d-1/,email,"Kontakt
0256168902
personal@herholz.de
https://www.tueren-karriere.de/ausbildung
Eichenallee 82-88
48683 Ahaus
C
Christian Nickenig
Personalreferent
0256168902
personal@herholz.de
D
Daniel Trott
Bereichsleitung Personal
0256168902
personal@herholz.de
Social Media
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,Herholz Vertrieb GmbH & Co. KG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Ahaus,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung

Fachinformatiker/in - Anwendungsentwicklung in Ahaus
Mehr Informationen
Fachinformatiker/in - Systemintegration in Ahaus
Mehr Informationen
Angebote
Duales Studium
Berufsfelderkundungstag
Duale Ausbildung (Vollzeit)
Sonstiges
Praktikum

Schon gewusst?
Die Herholz-Akademie ist eine zentrale Organisation zur Bündelung der Aus- und Weiterbildung von Auszubildenden und bietet eine moderne und inspirierende Lernumgebung. Hier werden langjähriges Wissen und wertvolle Erfahrungen im Ausbildungsbereich gebündelt, um den angehenden Fachkräften die bestmögliche Ausbildung bieten zu können.",,2026-06-12T09:56:09.187663+00:00
