id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
STEP-13673198,stepstone_de_ae,CADENAS GmbH,Augsburg,Schernecker Straße 5 86167 Augsburg,Ausbildung | Business Apps Developer - Microsoft Dynamics Stack (m/w/d),ae,,,,60,empty,,https://twitter.com/stepstone_de,portal,,,CADENAS GmbH | Ausbildung | Business Apps Developer - Microsoft Dynamics Stack (m/w/d) | Augsburg,tidak,belum,sedang,"Business Apps Developer - Microsoft Dynamics Stack (m/w/d)

Ihre Aufgaben
Diese abwechslungsreichen Aufgaben erwarten Dich:
Du analysierst und optimierst unsere internen Geschäftsprozesse
Du entwickelst maßgeschneiderte Lösungen rund um unsere Microsoft Business Applications – besonders Dynamics 365 Business Central, aber auch darüber hinaus im gesamten Microsoft Business Applications Umfeld
Du programmierst mit C, C#, HTML & JavaScript

Du arbeitest eng mit internen Teams zusammen und setzt Anforderungen so um, dass sie echten Mehrwert bringen
Ihr Profil
Mit Deinen Qualifikationen überzeugst Du uns:
Eine Ausbildung als Fachinformatiker:in Anwendungsentwicklung oder einen vergleichbaren Background
Erfahrung in der Softwareentwicklung – vor allem mit C-basierten Programmiersprachen, HTML & JavaScript
Du verstehst Prozesse, kannst komplexe Strukturen analysieren und in saubere, wiederverwendbare technische Konzepte übersetzen
Sehr gute Deutsch- und Englischkenntnisse
Du bist kommunikativ, analytisch und behältst immer das große Ganze im Blick

Wir bieten
Come as you are!
In Deinem top modernen Büro und umgeben von Deinen aufgeschlossenen und hilfsbereiten Teammitgliedern kannst Du Dich wohlfühlen und schnell in die laufenden Projekte integriert werden. Bring Deine Ideen mit ein und werde Teil unseres internationalen & stetig wachsenden Softwareunternehmens. Du bist mit dabei, wenn es um Digitalisierung, Innovation & Nachhaltigkeit geht. Lass Dich von der Welt aus IT und Technik inspirieren und übernimm schnell Verantwortung. Sobald Du bei uns bist, wollen wir Dich stetig weiterentwickeln und Dich bei Deinem Erfolg unterstützen. Bewirb Dich jetzt und werde ab sofort Teil unseres Teams!
30 Tage Urlaub
Aufstiegschancen ausbildungsunabhängig
Corporate Benefits
Einzel- & Doppelbüros für angenehmes Arbeiten
Erfahrene Mitarbeiter als Startbegleiter
Extra Feiertag da Sitz in Augsburg
Firmenlaptop
Flexible Arbeitszeiten
Flexible Urlaubsplanung
Gleitzeitkonto
Höhenverstellbare Tische
Internationales Arbeitsumfeld
Kein Dresscode
Kostenloser Kaffee und Tee
Modernes Bürogebäude mit optimalem Klima
Nahegelegene Einkaufsmöglichkeiten
Parkplatz
Prämien für langjährige Mitarbeiter
Sicherer Arbeitgeber durch konstantes Wachstum
Sommerfest und Weihnachtsfeier
Teamarbeit an vielseitigen Projekten
Top Verkehrsanbindung
Weitere Informationen
CADENAS GmbH
Schernecker Straße 5
86167 Augsburg
https://www.cadenas.de/de
​​​​​​​","Du arbeitest eng mit internen Teams zusammen und setzt Anforderungen so um, dass sie echten Mehrwert bringen
Ihr Profil
Mit Deinen Qualifikationen überzeugst Du uns:
Eine Ausbildung als Fachinformatiker:in Anwendungsentwicklung oder einen vergleichbaren Background
Erfahrung in der Softwareentwicklung – vor allem mit C-basierten Programmiersprachen, HTML & JavaScript
Du verstehst Prozesse, kannst komplexe Strukturen analysieren und in saubere, wiederverwendbare technische Konzepte übersetzen
Sehr gute Deutsch- und Englischkenntnisse
Du bist kommunikativ, analytisch und behältst immer das große Ganze im Blick",2026-06-12T20:43:07.356801+00:00
INDEED-97b30fa07aa5ba87,indeed_de_ae,Dematic GmbH,Augsburg,Augsburg BY,Ausbildung | zum Fachinformatiker/in (m/w/d) Anwendungsentwicklung,ae,,,Vollzeit,47,empty,,https://www.hiringlab.org/de/,portal,,,Dematic GmbH | Ausbildung | zum Fachinformatiker/in (m/w/d) Anwendungsentwicklung | Augsburg,ya,belum,rendah,"Ausbildung zum Fachinformatiker/in (m/w/d) Anwendungsentwicklung

Abteilungsspezifische Lernzielpläne und Aufgaben
Abwechslung zwischen der Praxis im Unternehmen und der Theorie in der Berufsschule
Was Du mitbringen solltest:
Sehr guter mittlerer Bildungsabschluss, Fachhochschulreife, allgemeine Hochschulreife oder eine vergleichbarer Schulabschluss
Interesse an Informatik, Mathematik sowie Industrie 4.0
Analytisches Denken und lösungsorientierte Herangehensweise
Eigeninitiative und sorgfältiges Arbeiten
Team-, Kommunikationsfähigkeit und Offenheit
Fließende Deutschkenntnisse und gute Englischkenntnisse in Wort und Schrift",,2026-06-13T11:32:09.898540+00:00
MAD-2390414716,meine_ausbildung_ae,accompio GmbH,Augsburg,,Netz16 Ausbildung Fachinformatiker für Anwendungsentwicklung (m/w/d) - Augsburg,ae,,,,40,company,,https://karriere.accompio.com/en?id=131eb6&utm_source=meine-ausbildung-in-deutschland,portal,,,accompio GmbH | Netz16 Ausbildung Fachinformatiker für Anwendungsentwicklung (m/w/d) - Augsburg | Augsburg,ya,belum,rendah,Netz16 Ausbildung Fachinformatiker für Anwendungsentwicklung (m/w/d) - Augsburg,,2026-06-11T11:58:12.743238+00:00
MAD-2367658059,meine_ausbildung_ae,BMK professional electronics GmbH,Augsburg,,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) · Beginn Herbst 2026,ae,,,,40,company,,https://www.bmk-group.de/karriere/stellenangebot?tx_dligohrportal_job%5Baction%5D=show&tx_dligohrportal_job%5Bcontroller%5D=Job&tx_dligohrportal_job%5Buid%5D=375&cHash=b4251df28716fc9773843e26e2e6b76b&utm_source=meine-ausbildung-in-deutschland,portal,,,BMK professional electronics GmbH | Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) · Beginn Herbst 2026 | Augsburg,ya,belum,rendah,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) · Beginn Herbst 2026,,2026-06-11T12:03:38.249166+00:00
MAD-2416396746,meine_ausbildung_ae,e.stradis GmbH,Augsburg,,Fachinformatiker/-in Fachrichtung Anwendungsentwicklung,ae,,,,40,company,,https://www.estradis.com/karriere-bei-e-stradis/?utm_source=meine-ausbildung-in-deutschland,portal,,,e.stradis GmbH | Fachinformatiker/-in Fachrichtung Anwendungsentwicklung | Augsburg,ya,belum,rendah,Fachinformatiker/-in Fachrichtung Anwendungsentwicklung,,2026-06-11T11:52:50.753265+00:00
MAD-2438879570,meine_ausbildung_ae,Leib-IT,Augsburg,,Fachinformatiker/-in für Anwendungsentwicklung,ae,,,,40,company,,https://www.leib-it.de/index.php/anwendungsentwicklung.html?utm_source=meine-ausbildung-in-deutschland,portal,,,Leib-IT | Fachinformatiker/-in für Anwendungsentwicklung | Augsburg,ya,belum,rendah,Fachinformatiker/-in für Anwendungsentwicklung,,2026-06-11T11:45:21.075650+00:00
ASD-990570000011905568,ausbildungsstellen_si,Landkreis Augsburg,Augsburg,Prinzregentenplatz 4 86150 Augsburg Bayern,Ausbildung Fachinformatiker/ Fachinformatikerin (m/w/d) für Systemintegration,si,,,"1. Jahr: 1,368 €
2. Jahr: 1,418 €
3. Jahr: 1,464 €",73,company,sarah.wirth@lra-a.bayern.de,https://www.ausbildung.de/ratgeber/bewerbung/,email,,,Landkreis Augsburg | Ausbildung Fachinformatiker/ Fachinformatikerin (m/w/d) für Systemintegration | Augsburg,tidak,belum,tinggi,"Ausbildung Fachinformatiker/ Fachinformatikerin (m/w/d) für Systemintegration

Mittlere Reife",Mittlere Reife,2026-06-13T12:14:14.850603+00:00
STEP-14032397,stepstone_de_ae,Tprime It Gmbh,Augsburg,Augsburg Augsburg,Ausbildung | zum Fachinformatiker für Systemintegration (m/w/d) - Vollzeit,si,,,,60,empty,,https://twitter.com/stepstone_de,portal,"Kontakt
Möchtest Du durchstarten und freust dich auf diese Herausforderung?
Bewirb Dich direkt digital über das untenstehende Bewerbungsformular. Wir freuen uns!",,Tprime It Gmbh | Ausbildung | zum Fachinformatiker für Systemintegration (m/w/d) - Vollzeit | Augsburg,tidak,belum,sedang,"Ausbildung zum Fachinformatiker für Systemintegration (m/w/d) - Vollzeit

Ihre Aufgaben
Aufgaben
Was machst Du bei uns?
Sicherer Umgang mit den neuesten Cloud-Produkten wie z. B. ""Office365, Azure, uvm.""
Digitale Weiterentwicklung von Geschäftsmodellen
Beratung von Kunden bei Digitalisierungsthemen
Projektleitung, Einführung und Schulung
Kunden betreuen und auch die Entwicklung von gesamten Prozessen
Netzwerke zu planen und Instand zu halten
Am Ende der Ausbildung wirst du selbstständig eigene Projekte annehmen, bearbeitet und lösen
Ihr Profil
Qualifikation
ein spannendes Aufgabengebiet
einen modernen Arbeitsplatz
ein kollegiales und motiviertes Team
permanente Weiterbildungen und Schulungen
Unser kleines, dynamisches Team ist darauf spezialisiert, maximal effiziente IT-Strukturen zu aufzubauen und zu betreuen. Wir sind also IT-Berater und Dienstleister und führen somit Unternehmen aktiv in ein neues Zeitalter.
Digitalisierung war gestern. Das muss als Basis vorhanden sein, damit wir anschießend uns immer mehr um Automatisierung kümmern können.
Bei uns findest Du eine entspannte Arbeitsatmosphäre und eine große Bandbreite an Möglichkeiten, wie Du Dich stetig weiterentwickeln kannst.

Das zeichnet Dich aus ?
Du hast Grundkenntnisse in Englisch
Du hast eine positive, optimistische Einstellung, bist teamfähig, übernimmst gern Verantwortung und bringst dich mit eigenen Ideen ein
Du hast ein gutes technisches Verständnis
Du hast Spaß daran dich mit Technik auseinandner zu setzen und viel zu lernen

Wir bieten
Benefits
Was bieten wir Dir?
eine abwechslungsreiche Tätigkeit","Das zeichnet Dich aus ?
Du hast Grundkenntnisse in Englisch
Du hast eine positive, optimistische Einstellung, bist teamfähig, übernimmst gern Verantwortung und bringst dich mit eigenen Ideen ein
Du hast ein gutes technisches Verständnis
Du hast Spaß daran dich mit Technik auseinandner zu setzen und viel zu lernen",2026-06-12T20:26:42.565476+00:00
STEP-12809457,stepstone_de_ae,SEWOBE GmbH,Augsburg,Augsburg Augsburg,Ausbildung | Webentwickler in PHP (m/w/d),non_fi,,,,60,empty,,https://twitter.com/stepstone_de,portal,"Kontakt
Bewirb dich jetzt und werde ein neues Teammitglied bei der SEWOBE!",,SEWOBE GmbH | Ausbildung | Webentwickler in PHP (m/w/d) | Augsburg,tidak,belum,sedang,"Webentwickler in PHP (m/w/d)

Ihre Aufgaben
Du bist verantwortlich für die Weiterentwicklung unserer Cloud-Standardsoftware auf Basis von PHP, MySQL, Javascript, HTML & CSS. Du übernimmst die technische Konzeption und Dokumentation indiv. Lösungen, welche an unser Standardprodukt angedockt werden.

Das bringst du mit
Sehr gute Kenntnisse in objektorientierter Programmierung in PHP
Sehr gute Datenbankkenntnisse in MySQL
Erfahrungen mit JQUERY
Gute Deutschkenntnisse
Selbstständiges und zielorientiertes Arbeiten
Kommunikationsfähigkeit
Teamgeist und Engagement

Wir sind auf der Suche nach motivierten und energiegeladenen Mitarbeiter/innen, die Teamgeist besitzen und neue Herausforderungen annehmen. Wir bieten Dir ein harmonisches Arbeitsklima während Du Verantwortung übernimmst und in Entscheidungsprozesse miteinbezogen wirst. Außerdem wird Deine ständige Fort- und Weiterbildung von uns gefördert und als engagierter Mitarbeiter hast Du erfolgsorientierte Perspektiven.
Wir bieten dir
Interessantes und innovatives Softwareprodukt
Flache Hierarchien
Interne Schulungen
Kostenlose Weiterbildungslektüren
Einbindung in Entscheidungsprozesse
Junges, dynamisches Team
Kaffee und Getränkeflat
Büro in Nähe der Augsburger City Galerie
Begeistert deine Bewerbungsemail, so wird ein Telefontermin mit dem Geschäftsführer vereinbart
Überzeugst du den Geschäftsführer, wird ein Termin in der SEWOBE folgen, bei dem du mit Team-Kollegen über Themen des zukünftigen Verantwortungsbereichs diskutieren und die Chance hast mit einer Kurzpräsentation zu dem gewünschten Arbeitsbereich zu überzeugen.
Verläuft alles gut, wird ein Probearbeitstag bei der SEWOBE vereinbart. Hier siehst du in der Praxis, wie das Team tatsächlich miteinander agiert und interne Prozesse ablaufen. Außerdem lernst du weitere Kollegen kennen und kannst überlegen, ob du dir eine künftige Zusammenarbeit vorstellen kannst.","Das bringst du mit
Sehr gute Kenntnisse in objektorientierter Programmierung in PHP
Sehr gute Datenbankkenntnisse in MySQL
Erfahrungen mit JQUERY
Gute Deutschkenntnisse
Selbstständiges und zielorientiertes Arbeiten
Kommunikationsfähigkeit
Teamgeist und Engagement",2026-06-12T21:08:14.224344+00:00
STEP-14107873,stepstone_de_ae,makandra GmbH,Augsburg,Augsburg Augsburg,Ausbildung | Werk­stu­dent Webentwicklung (m/w/d),non_fi,,,,53,empty,,https://twitter.com/stepstone_de,portal,,,makandra GmbH | Ausbildung | Werk­stu­dent Webentwicklung (m/w/d) | Augsburg,tidak,belum,sedang,"Werk­stu­dent Webentwicklung (m/w/d)

Deine Aufgaben
Erweiterung deiner Kenntnisse in der Full-Stack-Webentwicklung
Unterstützung unserer Entwickler bei der Weiterentwicklung unserer vielfältigen Kundenanwendungen
Umsetzung neuer Features im Frontend und Backend
Schreiben von automatisierten Softwaretests (Unit-Tests, End-to-End-Tests)

Dein Profil
Studium der Informatik, Mathematik, Physik, BWL mit Informatik-Schwerpunkt oder Vergleichbarem
Fundierte Grundlagen in einer beliebigen Programmiersprache (Kontrollfluss, Objektorientierung, einfache Datenstrukturen)
Erste Erfahrungen in der Webentwicklung mit einem beliebigen Technologie-Stack
Grundkenntnisse in Git, Linux und relationalen Datenbanken
Fließende Deutsch- und gute Englischkenntnisse
Unser Angebot
Ein- bis zwei Tage Zeit pro Woche (außerhalb der Klausurenzeit)
Arbeiten bei makandra
Flexible Arbeitszeiten
Wir möchten erfolgreich zusammen im Team arbeiten und dabei die Flexibilität gewährleisten, die jede*r für sich persönlich braucht. Wir leben eine produktive Zusammenarbeit ohne starre Kernarbeitszeiten. Unsere Mitarbeitenden arbeiten in verschiedenen Teilzeitmodellen produktiv zusammen.
Gratis Verpflegung
Unser festangestellter Koch zaubert für alle Mitarbeiterinnen und Mitarbeiter jeden Tag 2 - 3 zur Auswahl stehende Mittagsgerichte. Das Mittagessen ist für alle kostenlos. Dabei werden alle Ernährungsformen und auch Allergien berücksichtigt. Kaffee, Getränke, Obst und Snacks werden zur Verfügung gestellt.
Teamevents
Gemeinsame Erlebnisse sind uns wichtig. Deshalb veranstalten wir regelmäßig kleinere und größere Teamevents.
Nach dem Studium
Wir setzen auf langfristige Zusammenarbeit: Nach deinem Studium hast du die Möglichkeit, mit einem unserer beiden Traineeprogramme zu starten und so deine berufliche Karriere bei makandra zu beginnen.
Deine Bewerbung bei makandra","Dein Profil
Studium der Informatik, Mathematik, Physik, BWL mit Informatik-Schwerpunkt oder Vergleichbarem
Fundierte Grundlagen in einer beliebigen Programmiersprache (Kontrollfluss, Objektorientierung, einfache Datenstrukturen)
Erste Erfahrungen in der Webentwicklung mit einem beliebigen Technologie-Stack
Grundkenntnisse in Git, Linux und relationalen Datenbanken
Fließende Deutsch- und gute Englischkenntnisse
Unser Angebot
Ein- bis zwei Tage Zeit pro Woche (außerhalb der Klausurenzeit)
Arbeiten bei makandra
Flexible Arbeitszeiten
Wir möchten erfolgreich zusammen im Team arbeiten und dabei die Flexibilität gewährleisten, die jede*r für sich persönlich braucht. Wir leben eine produktive Zusammenarbeit ohne starre Kernarbeitszeiten. Unsere Mitarbeitenden arbeiten in verschiedenen Teilzeitmodellen produktiv zusammen.
Gratis Verpflegung
Unser festangestellter Koch zaubert für alle Mitarbeiterinnen und Mitarbeiter jeden Tag 2 - 3 zur Auswahl stehende Mittagsgerichte. Das Mittagessen ist für alle kostenlos. Dabei werden alle Ernährungsformen und auch Allergien berücksichtigt. Kaffee, Getränke, Obst und Snacks werden zur Verfügung gestellt.
Teamevents
Gemeinsame Erlebnisse sind uns wichtig. Deshalb veranstalten wir regelmäßig kleinere und größere Teamevents.
Nach dem Studium
Wir setzen auf langfristige Zusammenarbeit: Nach deinem Studium hast du die Möglichkeit, mit einem unserer beiden Traineeprogramme zu starten und so deine berufliche Karriere bei makandra zu beginnen.
Deine Bewerbung bei makandra",2026-06-12T21:09:14.875457+00:00
