id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1205370093-S,fachinformatiker_ae_2026,CIB Hoffbauer  GmbH & Co. KG,Bamberg,"Schützenstr. 73, 96047 Bamberg",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,93,ba_portal,sekretariat@cibamberg.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205370093-S,email,"**Ansprechpartnerin: Ute Golla**
**www.cibamberg.de**",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205370093-S,CIB Hoffbauer  GmbH & Co. KG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Bamberg,tidak,belum,tinggi,"### **Wir suchen einen Auszubildenden&#160;**(**m/w/d)** **&#160;zum Fachinformatiker -Anwendungsentwicklung an unserem Standort in Bamberg.**

Du liebst Coding und bist fasziniert von der digitalen Welt? Du willst Theorie und Praxis optimal verbinden? Perfekt! Starte Deine Karriere als Fachinformatiker für Anwendungsentwicklung (m/w/d) bei uns und werde Teil unseres Teams! Bei uns warten über 40 Jahre Software-Knowhow für die Branchen Transportbeton sowie Asphalt & Schüttgüter. Mit unserer Software sind wir auch unterwegs in Unternehmen aus dem Recycling-Umfeld oder dem Speditions-/Baugewerbe. 

Starte Deine Ausbildung in einem Umfeld, in dem Teamwork und Innovation zählen. Bei uns bist du vom ersten Tag an vollwertiges Teammitglied, das 

- direkt in die Softwareentwicklung eintaucht – von der Konzeption bis zum Go-Live.
- die Schnittstelle zum Kunden bildet und im 1st-, 2nd- und 3rd-Level-Support Lösungen liefert.
- bei spannenden Inbetriebnahmen dabei ist und die technische Abwicklung von Neuaufträgen
  meistert.
- von erfahrenen Mentoren lernt und schnell Verantwortung übernimmt.

**Dein Skill-Check:&#160;**

**Der Abschluss:** Guter Realschulabschluss oder Abitur.
**Der Team-Player:** Du bist kommunikativ, ein echter Teamgeist und extrem lern- und einsatzbereit.
**Tech-Enthusiast:** Du hast idealerweise schon erste Berührungspunkte mit C# gesammelt.
**Der Analytiker:** Deine Mathematik-Skills sind top.
**Der Kommunikator:** Sicheres Deutsch und gutes Englisch

**Deine Vorteile: Wir investieren in dich**
**Beste Übernahmechancen:** Wir bilden Dich aus, um Dich zu behalten.
**Attraktive Benefits:** Mach Dich mobil mit Deinem JobRad.
**Teamkultur:** Offene Türen, kurze Entscheidungswege und ein motiviertes Team, das Dich fördert.
**Standort-Vorteil**: Arbeite dort, wo andere Urlaub machen – in der Weltkulturerbe-Stadt Bamberg.

Interesse geweckt? Dann starte Deine Karriere als Fachinformatiker für Anwendungsentwicklung (m/w/d) und werde Teil unseres Teams!

Schick uns Deine Bewerbung (bevorzugt per Mail) und lass uns wissen, warum Du die IT-Welt verändern willst.

**CIB Hoffbauer GmbH & Co. KG**

**Frau Ute Golla**
**Schützenstraße 73**

**96047 Bamberg**

**Tel.: 0951/93234-0**
**E-Mail: sekretariat@cibamberg.de&#160;**

**Ansprechpartnerin: Ute Golla**
**www.cibamberg.de**",Mittlere Reife / Realschulabschluss,2026-06-11T08:12:56.827324+00:00
10001-1003153535-S,fachinformatiker_ae_2026,ratiokontakt GmbH,Bamberg,"Starkenfeldstr. 21, 96050 Bamberg",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,87,ba_portal,personal@ratiokontakt.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003153535-S,email,"Wenn Dich Technik begeistert und du eine Herausforderung suchst, die abwechslungsreich und spannend ist... dann bewirb Dich jetzt bei ratiokontakt!",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003153535-S,ratiokontakt GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Bamberg,tidak,belum,tinggi,"Wenn Dich Technik begeistert und du eine Herausforderung suchst, die abwechslungsreich und spannend ist... dann bewirb Dich jetzt bei ratiokontakt!

Eine Ausbildung zum Fachinformatiker bei ratiokontakt umfasst eine vielzahl an technischen Themen, unter anderem:

- Linux- und Windows-Server
- viel Netzwerktechnik
- Datenbanken
- Monitoring-, Backup- und Patchmanagement
- E-Mail
- Devops, Scripting und Programmierung
- Neubau und Reparatur von Hardware

Das erwarten wir von Dir:

- Interesse für Technik und IT
- Logisches Denkvermögen, strukturiertes Arbeiten
- Lust im Team, aber auch selbstständig zu arbeiten
- ein freundliches und selbstbewusstes Auftreten

Das darfst du von uns erwarten:

- eine abwechslungsreiche Ausbildung mit viel Praxiserfahrung
- eine lockere, teamorientierte Arbeitsatmosphäre
- viel Input und eine steile Lernkurve

Wir freuen uns auf Deine Bewerbung per E-Mail an: personal@ratiokontakt.de",Mittlere Reife / Realschulabschluss,2026-06-11T08:13:35.635742+00:00
10000-1204875424-S,fachinformatiker_ae_2026,tegos GmbH,Bamberg,"Kronacher Str. 92, 96052 Bamberg",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,87,ba_portal,karriere@rmstegos.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204875424-S,email,0951/94220-0,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204875424-S,tegos GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Bamberg,tidak,belum,tinggi,"Dein Herz schlägt für Computer, IT und Softwareentwicklung? Du möchtest an echten Kundenprojekten mitarbeiten und jeden Tag dazulernen? Du willst nicht einer unter vielen sein, sondern eigene Ideen in die Tat umsetzen? Du willst Teil eines Teams sein, das Dich fördert und fordert? Perfekt – werde Teil der RMStegos-Familie! 

RMStegos ist ein wachsendes IT-Unternehmen aus Bamberg, welches anspruchsvolle Softwarelösungen für Kunden aus den Bereichen Handel, Industrie und Bau entwickelt. Um unsere mehr als 35-jährige Erfolgsgeschichte fortzusetzen, suchen wir engagierte Auszubildende zum Fachinformatiker für Anwendungsentwicklung (m/w/d).

DEINE AUSBILDUNG

    Ausbildungsdauer: 3 Jahre
    Ausbildungsort: Bamberg (Praxis), Lichtenfels (Berufsschule)
    Abschluss: Fachinformatiker für Anwendungsentwicklung (m/w/d)

DEINE AUFGABEN & AUSBILDUNGSINHALTE

    Du lernst mobile Anwendungen & Apps zu entwickeln
    Du übernimmst Programmieraufgaben im Umfeld der ERP-Lösung Microsoft Dynamics 365 Business Central
    Du entwickelst eigenständig neue Funktionen und passt unsere bestehenden Softwarelösungen an
    Du testest neu entwickelte Software
    Du unterstützt unsere Kunden beim Handling unserer Softwarelösungen

DAS SOLLTEST DU MITBRINGEN

    Abitur, Fachabitur oder mittlere Reife mit gutem Notendurchschnitt; gerne auch Studienabbrecher aus den Bereichen Informatik, Wirtschaftsinformatik, Mathematik
    Gute Noten in den Fächern Mathematik und Informatik
    Sicherer Umgang mit der deutschen Sprache
    Logisches Denkvermögen
    Kommunikationsfähigkeit & Spaß an der Arbeit im Team
    Leistungsbereitschaft, Selbständigkeit und Zuverlässigkeit
    Lernbereitschaft & Offenheit für Neues

WIR BIETEN DIR

    Spannende Kundenprojekte und vielfältige Praxiseinsätze
    Eine abwechslungsreiche Ausbildung mit Einblicken in alle Phasen der Softwareentwicklung
    Eine professionelle Einarbeitung und Betreuung durch einen erfahrenen Ausbildungsbetreuer
    Ein menschliches Arbeitsumfeld, in dem der Einzelne wertgeschätzt wird
    Einen modern ausgestatteten Arbeitsplatz und neueste Technologien
    Sehr hohe Übernahmechancen und hervorragende Zukunftsperspektiven
    Vereinbarkeit von Familie, Freizeit und Beruf
    Kostenlose Getränke & Kaffee, freie WLAN-Nutzung, kostenlose Parkplätze direkt am Gebäude, spannende Mitarbeiterevents

HABEN WIR DICH ÜBERZEUGT?

Dann sende Deine vollständige Onlinebewerbung an Markus Wismath: karriere@rmstegos.de. Oder nutze unser Bewerbungsformular auf unserer Homepage unter http://rmstegos.de/bewerbung. Wir freuen uns auf ein persönliches Gespräch mit Dir!

www.rmstegos.de 0951/94220-0 Kronacher Straße 92 96052 Bamberg",Mittlere Reife / Realschulabschluss,2026-06-11T08:12:58.903721+00:00
AZDE-12403577,azubi_de_fi,ratiokontakt GmbH,Bamberg,96050 Bamberg DE,Ausbildung | zum Fachinformatiker/in Anwendungsentwicklung (m/w/d) in Bamberg 2026,ae,,,,60,empty,personal@ratiokontakt.de,https://www.azubi.de/ausbildungsplatz/12403577-b-ausbildung-zum-fachinformatiker-in-anwendungsentwicklung-m-w-d-in-bamberg-2026/apply,email,"Wenn Dich Technik begeistert und du eine Herausforderung suchst, die abwechslungsreich und spannend ist... dann bewirb Dich jetzt bei ratiokontakt!
Eine Ausbildung zum Fachinformatiker bei ratiokontakt umfasst eine vielzahl an technischen Themen, unter anderem:
- Linux- und Windows-Server
- viel Netzwerktechnik
- Datenbanken
- Monitoring-, Backup- und Patchmanagement
- E-Mail
- Devops, Scripting und Programmierung
- Neubau und Reparatur von Hardware
Das erwarten wir von Dir:
- Interesse für Technik und IT
- Logisches Denkvermögen, strukturiertes Arbeiten
- Lust im Team, aber auch selbstständig zu arbeiten
- ein freundliches und selbstbewusstes Auftreten
Das darfst du von uns erwarten:
- eine abwechslungsreiche Ausbildung mit viel Praxiserfahrung
- eine lockere, teamorientierte Arbeitsatmosphäre
- viel Input und eine steile Lernkurve
Wir freuen uns auf Deine Bewerbung per E-Mail an: personal@ratiokontakt.de
Aufgaben",,ratiokontakt GmbH | Ausbildung | zum Fachinformatiker/in Anwendungsentwicklung (m/w/d) in Bamberg 2026 | Bamberg,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker/in Anwendungsentwicklung (m/w/d) in Bamberg 2026

Einleitung",Einleitung,2026-06-13T10:40:19.009949+00:00
STEP-14084985,stepstone_de_ae,upjers GmbH,Bamberg,Bamberg Bamberg,Ausbildung | zum Fachinformatiker für Anwendungsentwicklung (m/w/d) 2026,ae,2026,9,,60,empty,,https://company.upjers.com/,portal,"Kontakt
Sichere dir deine Ausbildung in der Games-Branche - Bewirb dich jetzt!",,upjers GmbH | Ausbildung | zum Fachinformatiker für Anwendungsentwicklung (m/w/d) 2026 | Bamberg,tidak,belum,sedang,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) 2026

Aufgaben
Wir bilden schwerpunktmäßig in folgenden Bereichen aus:
Webentwicklung in PHP, Javascript und HTML
Konzeptionierung von Datenbanken in MySQL
Entwicklung von mobilen Anwendungen mit C# und Unity
Qualifikation
Du bist ein engagierter Teamplayer auf der Suche nach einem sicheren Ausbildungsplatz mit Zukunftsperspektive?
Du bist erprobt im Umgang mit Computern und weißt, wie du im Internet schnell an Informationen kommst?
Du hast den Traum, dich in der Spielebranche zu verwirklichen?
Sichere dir bereits jetzt deinen Ausbildungsplatz ab dem 01.09.2026 für unseren Standort in Bamberg!

Wir bieten
Benefits
Was wir dir bieten können?
Deinen Start in die Spielebranche ganz ohne Vorkenntnisse
Moderne Arbeitsplätze mit gesundheitsbewusster Ausstattung
Flexible Arbeitszeiten (Kernarbeitszeit: 10:00 - 15:00 Uhr)
Jährlich 30 Urlaubstage
Kaffee, Tee und Mineralwasser so viel du willst
Im Rahmen deiner praxisorientierten Ausbildung spielst du bereits von Anfang an eine zentrale Rolle im Firmengeschehen und bist im Laufe der Ausbildung an der Spieleentwicklung beteiligt
Vor Ausbildungsbeginn erhältst du im Rahmen eines Praktikums Einblick in die Firma und das Tätigkeitsfeld eines Fachinformatikers – so kannst du dir sicher sein, mit upjers die für dich passende Ausbildungsstätte gefunden zu haben!",,2026-06-12T20:21:18.141245+00:00
STEP-14142866,stepstone_de_ae,PERBILITY GmbH,Bamberg,Bamberg Bamberg,Ausbildung | 2027 zum Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,53,empty,,https://twitter.com/stepstone_de,portal,"Kontakt
Über den ""Jetzt bewerben""- Button kann mit wenigen Klicks eine Bewerbung online oder per WhatsApp eingereicht werden! Aus Datenschutzgründen können wir Bewerbungen per E-Mail oder in Papierform leider nicht akzeptieren.
Du hast Fragen? Deine Ansprechpartnerin Heike Verlage 05971 7999937
Um dieses Video von YouTube anzuzeigen, benötigen wir Ihre Zustimmung.
Mit dem Laden des Videos können personenbezogene Daten an YouTube übermittelt werden. Weitere Informationen finden Sie in unserer .Datenschutzerklärung",,PERBILITY GmbH | Ausbildung | 2027 zum Fachinformatiker für Anwendungsentwicklung (m/w/d) | Bamberg,tidak,belum,sedang,"Ausbildung 2027 zum Fachinformatiker für Anwendungsentwicklung (m/w/d)

Während deiner Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) tauchst du in die Welt der Software ein, entwickelst eigene Anwendungen und übernimmst Schritt für Schritt Verantwortung in spannenden IT-Projekten. Dabei erwarten dich beispielsweise folgende Aufgaben:
Erlernen der Grundlagen der Softwareentwicklung mit .NET, SQL und JavaScript
Kennenlernen von Prozessen in unseren unterschiedlichen IT-Abteilungen
Mitarbeit an komplexen Softwarelösungen für unseren Kunden in agilen Projekten
Selbstständiges und eigenverantwortliches Arbeiten
Das ist dein Erfolgsrezept:
Die Fachhochschulreife hast du erfolgreich abgeschlossen oder du schließt diese im kommenden Jahr ab
IT-Technologien begeistern dich und du hast Spaß an analytischem Denken
Als absoluter Teamplayer (m/w/d) zeichnen dich dein Engagement und deine Motivation aus
Du bringst die Bereitschaft zu eigenverantwortlichem und eigenständigem Arbeiten mit

Darauf kannst du dich freuen:
Das bieten wir dir:
Einstieg mit 1.170,- € Ausbildungsvergütung pro Monat
13. Monatsgehalt (Weihnachtsgeld)
1.000,- € Urlaubsgeld
40,- € vermögenswirksame Leistungen
31 Urlaubstage pro Jahr
Falls du mal Überstunden machst, kannst du diese in Freizeit ausgleichen
kostenloses Mittagessen in unserem eigenen Betriebsrestaurant
Deutschlandticket
Genieße ein umfangreiches Fitnessangebot als EGYM Wellpass Partner
Möglichkeit, bei guten Leistungen ein Auslandspraktikum zu absolvieren
weitere attraktive Rahmenbedingungen: Azubievents, Einführungstage, regelmäßige Feedbackgespräche, Unterstützung bei deiner Prüfungsvorbereitung u.a.",,2026-06-12T19:59:01.036538+00:00
ASD-997250003415713143,ausbildungsstellen_si,upjers GmbH,Bamberg,96047 Bamberg Bayern,Ausbildung zum Fachinformatiker – Anwendungsentwicklung (m/w/d),ae,,,,53,empty,jobs@upjers.com,https://jobs3000.net/jobs/ausbildung-zum-fachinformatiker-anwendungsentwicklung-m-w-d-09362465383#,email,,,upjers GmbH | Ausbildung zum Fachinformatiker – Anwendungsentwicklung (m/w/d) | Bamberg,tidak,belum,sedang,Ausbildung zum Fachinformatiker – Anwendungsentwicklung (m/w/d),,2026-06-13T12:40:44.741726+00:00
MAD-2370293257,meine_ausbildung_ae,Computer im Betrieb Dr. Hoffbauer GmbH,Bamberg,,Wir suchen einen Auszubildenden (m/w/d) zum Fachinformatiker - Anwendungsentwicklung an unserem Standort in Bamberg,ae,,,,40,company,,https://www.cibamberg.de/cib/jobs/auszubildenden-fachinformatiker-anwendungsentwicklung?utm_source=meine-ausbildung-in-deutschland,portal,,,Computer im Betrieb Dr. Hoffbauer GmbH | Wir suchen einen Auszubildenden (m/w/d) zum Fachinformatiker - Anwendungsentwicklung an unserem Standort in Bamberg | Bamberg,ya,belum,rendah,Wir suchen einen Auszubildenden (m/w/d) zum Fachinformatiker - Anwendungsentwicklung an unserem Standort in Bamberg,,2026-06-11T12:03:20.100652+00:00
MAD-2376777126,meine_ausbildung_ae,RMS EDV-Lösungen GmbH,Bamberg,,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) ab 2023/2024,ae,,,,40,company,,https://rmstegos.de/karriere/ausbildung-anwendungsentwicklung?utm_source=meine-ausbildung-in-deutschland,portal,,,RMS EDV-Lösungen GmbH | Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) ab 2023/2024 | Bamberg,ya,belum,rendah,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) ab 2023/2024,,2026-06-11T12:01:13.847553+00:00
MAD-2436789000,meine_ausbildung_dpa,STWB Stadtwerke Bamberg GmbH,Bamberg,,Fachinformatiker Daten- und Prozessanalyse,dpa,,,,40,company,,https://www.stadtwerke-bamberg.de/karriere/ausbildung/ausbildung-fachinformatiker-daten-prozessanalyse-m/w/d?utm_source=meine-ausbildung-in-deutschland,portal,,,STWB Stadtwerke Bamberg GmbH | Fachinformatiker Daten- und Prozessanalyse | Bamberg,ya,belum,rendah,Fachinformatiker Daten- und Prozessanalyse,,2026-06-11T11:40:33.590747+00:00
