id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1205358370-S,fachinformatiker_ae_2026,bpi solutions gmbh & co. kg,Bielefeld,"Krackser Str. 12, 33659 Bielefeld",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,87,ba_portal,bewerbung@bpi-solutions.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205358370-S,email,"**Du hast Fragen?**  Kontaktiere uns unter 0521-9401-0.
**Bewerbung per E-Mail: bewerbung@bpi-solutions.de**",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205358370-S,bpi solutions gmbh & co. kg | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Bielefeld,tidak,belum,tinggi,"### Deine Karriere bei bpi solutions: Ausbildung zum Fachinformatiker – Anwendungsentwicklung (m/w/d) Programmiere Deine Zukunft mit uns!

**Wer wir sind:** Die **bpi solutions gmbh & co. kg**, Software- und Beratungshaus aus Bielefeld unterstützt ihre Kunden seit Beginn der 1980er Jahre erfolgreich mit ganzheitlichen Konzepten, basierend sowohl auf Standardsoftware als auch auf branchenspezifischen Lösungen.
Unser Fokus liegt auf der **Optimierung und Automatisierung von Geschäftsprozessen**.
Von der Beratung über die Konzeption und Entwicklung bis hin zur Integration und langfristigen Betreuung – wir bieten umfassende Lösungen, die individuell auf die Anforderungen unserer Kunden zugeschnitten sind und dabei zukunftssicher bleiben.

**Dein Aufgabenbereich:**
• **Anforderungen umsetzen**: Du lernst, Kundenwünsche und technische Anforderungen in Softwarelösungen zu übersetzen.
• **Projektarbeit**: Du unterstützt bei der Entwicklung und Umsetzung neuer Funktionen und Features für unsere Lösungen.
• **Qualitätssicherung**: Du analysierst und behebst Softwarefehler, um Anwendungen optimal nutzbar zu machen.

**Was Du mitbringst:**
• Gute Problemlösefähigkeit und analytisches Denken.
• Teamfähigkeit und eine strukturierte Arbeitsweise.
• Erste Programmierkenntnisse sind ein Plus – aber keine Sorge, wir bringen Dir alles bei!

**Was wir dir bieten:**
• **Attraktive Vergütung**: Überdurchschnittlich plus regelmäßige Erhöhung.
• **Modernes Equipment**: iPads für die Berufsschule, höhenverstellbare Schreibtische, usw.
• **Eigenverantwortliches Arbeiten**: Mitspracherecht und aktive Beteiligung an Projekten.
• **Flexibilität**: Möglichkeit auf Selbstbestimmtes, ortsunabhängiges Arbeiten.
• **Team Events**: Weihnachtsfeier, Sommerfest, bpi Fußballturnier.
• **Standort**: Gute ÖPNV-Anbindung, nahe der Autobahn.


**Vielfalt und Chancengleichheit:** Wir leben eine Kultur der Offenheit und Diversität.  Bewerbungen von Menschen jeden Alters, Geschlechts, Herkunft oder mit Behinderung sind ausdrücklich erwünscht.

**So bewirbst Du Dich:** 

**Du hast Fragen?**  Kontaktiere uns unter 0521-9401-0.
**Bewerbung per E-Mail: bewerbung@bpi-solutions.de**
**Postadresse**:
bpi solutions gmbh & co. kg
Herr Dirk Meier
Krackser Straße 12
33659 Bielefeld


**Werde Teil unseres Teams und starte Deine IT-Karriere bei bpi solutions!**","Von der Beratung über die Konzeption und Entwicklung bis hin zur Integration und langfristigen Betreuung – wir bieten umfassende Lösungen, die individuell auf die Anforderungen unserer Kunden zugeschnitten sind und dabei zukunftssicher bleiben.
**Dein Aufgabenbereich:**
• **Anforderungen umsetzen**: Du lernst, Kundenwünsche und technische Anforderungen in Softwarelösungen zu übersetzen.
• **Projektarbeit**: Du unterstützt bei der Entwicklung und Umsetzung neuer Funktionen und Features für unsere Lösungen.
• **Qualitätssicherung**: Du analysierst und behebst Softwarefehler, um Anwendungen optimal nutzbar zu machen.
Mittlere Reife / Realschulabschluss",2026-06-11T08:12:19.175502+00:00
NRW-4636-11987,ausbildung_nrw_ae,eBZ GmbH,Bielefeld,Neusser Straße 8 33649 Bielefeld,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2026),ae,,,,80,company,bewerbung@ebzgmbh.de,https://,email,"Kontakt
0521-32948759
hava.sentuerk@ebzgmbh.de
https://www.ebzgmbh.de/
Neusser Straße 8
33649 Bielefeld
H
Hava Sentürk
Personal
0521-32948759
hava.sentuerk@ebzgmbh.de
Social Media
Profil bei Karriereseite
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,eBZ GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2026) | Bielefeld,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung (2026)

Fachinformatiker/in - Anwendungsentwicklung in Bielefeld (2026)
Mehr Informationen
Angebote
Duale Ausbildung

So kannst du dich bewerben
Sende uns Deine Bewerbung per E-Mail an bewerbung@ebzgmbh.de. Deine Bewerbung sollte ein Anschreiben, Deinen Lebenslauf und Deine Zeugnisse enthalten.",,2026-06-12T09:55:21.937539+00:00
10001-1001614769-S,fachinformatiker_ae_2026,NTT DATA Business Solutions AG,Bielefeld,"Königsbreede 1, 33605 Bielefeld",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,67,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1001614769-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1001614769-S,NTT DATA Business Solutions AG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Bielefeld,ya,belum,rendah,"## **Du brennst für Herausforderungen?**

■ Du bist Teil des **Entwicklungsteams**, das Dir während Deiner Ausbildung mit Rat und Tat zur Seite steht.

■ Nach und nach übernimmst Du zunehmend **verantwortungsvolle Aufgaben** aus unseren **Softwareprojekten**, die Du selbstständig umsetzt.

■ Du lernst in verschiedenen **Programmiersprachen (z.B. der SAP-eigenen Programmiersprache ‘ABAP‘, Java oder Javascript)** vielfältige Anforderungen zu entwickeln und zu realisieren.

■ Außerdem gehört das **Testen und Dokumentieren der Entwicklungen** sowie die **Schulung der Anwender:innen** dazu.

■ Dich erwarten außerdem viele weitere **spannende Aufgaben und Projekte**!

## **Überzeuge uns mit Deinem Potential!**

■ Du hast einen **erfolgreichen Schulabschluss** (mittlere Reife, Fachhochschulreife oder allgemeine Hochschulreife).

■ Du verfügst über **technisches Verständnis** und eine **entsprechende IT-Affinität**.

■ Idealerweise bringst Du **erste Kenntnisse in der Programmierung** mit.

■ Eine **analytische und logische Denkweise**, eine **gewissenhafte** und **selbstständige** **Arbeitsweise** wie auch **Team- und Kommunikationsfähigkeit** zeichnen Dich aus.

■ Außerdem hast Du **sehr gute Deutsch- und gute Englischkenntnisse** in Wort und Schrift.","■ Du lernst in verschiedenen **Programmiersprachen (z.B. der SAP-eigenen Programmiersprache ‘ABAP‘, Java oder Javascript)** vielfältige Anforderungen zu entwickeln und zu realisieren.
■ Außerdem gehört das **Testen und Dokumentieren der Entwicklungen** sowie die **Schulung der Anwender:innen** dazu.
Mittlere Reife / Realschulabschluss",2026-06-11T08:14:04.235895+00:00
STEP-14074886,stepstone_de_ae,Avanis GmbH,Bielefeld,Bielefeld Bielefeld,Ausbildung | als Fachinformatikerin für Anwendungsentwicklung (m/w/d),ae,2026,8,,53,empty,,https://twitter.com/stepstone_de,portal,,,Avanis GmbH | Ausbildung | als Fachinformatikerin für Anwendungsentwicklung (m/w/d) | Bielefeld,tidak,belum,sedang,"Ausbildung als Fachinformatikerin für Anwendungsentwicklung (m/w/d)

Wir ermöglichen Dir bereits zu einem frühen Zeitpunkt, eigenverantwortlich Aufgaben und Projekte zu übernehmen
Wir sind sehr daran interessiert, Dich nach erfolgreich abgeschlossener Ausbildung zu übernehmen
Wir sind ein starkes und dynamisches Team mit flachen Hierarchien

Du entwickelst Softwarelösungen und setzt Anforderungen in komplexe Programme um
Du analysierst und planst IT-Systeme und setzt diese um
Du entwickelst und ggf. pflegst Datenbanken
Du testest und dokumentierst Softwarelösungen
Du berätst und schulst Anwender
Ihr Profil
Voraussetzungen: Fachoberschulreife, Hoch- oder Fachhochschulreife
Was wir von Dir erwarten:
Du bist zukunftsorientiert, denkst mit und packst mit an
Du bist selbstständig, zuverlässig und hast den Anspruch an Dich selbst, sehr gute Ergebnisse zu erzielen
Du hast eine schnelle Auffassungsgabe, eine ausgeprägte Lern- und Leistungsbereitschaft sowie die Fähigkeit, analytisch zu denken
Du bist sorgfältig, verantwortungsbewusst und teamfähig
Du hast Spaß am Umgang mit Menschen und ein freundliches Auftreten
Du bist sicher im Umgang mit MS-Office-Anwendungen
Du verfügst über sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift
Was wir Dir bieten:
Beginn: 01.08.2026 Dauer: 3 Jahre Unternehmen: Avanis GmbH Standort: Meisenstraße 79a,33607 Bielefeld

Wir bieten Dir eine abwechslungsreiche und praxisnahe Ausbildung, wo kein Tag dem anderen gleicht
Wir bieten Dir einen sehr gut ausgestatteten Arbeitsplatz in einem neuen, modernen Gebäude mit 300m² Dachterrasse - zum Arbeiten im Freien und zum Entspannen in der Pause
Wir sind dank der zentralen Lage in der Bielefelder City gut für Dich erreichbar
Wir bieten flexible Arbeitszeitmodelle
Wir halten zahlreiche Benefits für Dich bereit: betriebliche Altersvorsorge, Firmen-Handy, Jobticket für den ÖPNV, Mitarbeiter-Angebote, Firmen- und Teamevents, kostenlose Parkplätze, kostenfreie Getränke...","Du entwickelst Softwarelösungen und setzt Anforderungen in komplexe Programme um
Du analysierst und planst IT-Systeme und setzt diese um
Du entwickelst und ggf. pflegst Datenbanken
Du testest und dokumentierst Softwarelösungen
Du berätst und schulst Anwender
Ihr Profil
Voraussetzungen: Fachoberschulreife, Hoch- oder Fachhochschulreife
Was wir von Dir erwarten:
Du bist zukunftsorientiert, denkst mit und packst mit an
Du bist selbstständig, zuverlässig und hast den Anspruch an Dich selbst, sehr gute Ergebnisse zu erzielen
Du hast eine schnelle Auffassungsgabe, eine ausgeprägte Lern- und Leistungsbereitschaft sowie die Fähigkeit, analytisch zu denken
Du bist sorgfältig, verantwortungsbewusst und teamfähig
Du hast Spaß am Umgang mit Menschen und ein freundliches Auftreten
Du bist sicher im Umgang mit MS-Office-Anwendungen
Du verfügst über sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift
Was wir Dir bieten:
Beginn: 01.08.2026 Dauer: 3 Jahre Unternehmen: Avanis GmbH Standort: Meisenstraße 79a,33607 Bielefeld",2026-06-12T20:14:27.533817+00:00
MSD-100012027023,meinestadt_ae,BOGE KOMPRESSOREN Otto Boge GmbH & Co. KG,Bielefeld,33602 Bielefeld,Ausbildung | Azubi Fachinformatiker Anwendungsentwicklung (m/w/x),ae,,,,47,empty,,https://karriere.boge.com/boge-bewerbungsformular/?utm_source=meinestadt,portal,"Hilfe & Kontakt
Über uns
Karriere
Unternehmen
Werbung bei meinestadt.de
Übersicht Rubriken
AGB
Datenschutz",,BOGE KOMPRESSOREN Otto Boge GmbH & Co. KG | Ausbildung | Azubi Fachinformatiker Anwendungsentwicklung (m/w/x) | Bielefeld,ya,belum,rendah,Azubi Fachinformatiker Anwendungsentwicklung (m/w/x),,2026-06-13T10:15:19.828463+00:00
NRW-3846-7256,ausbildung_nrw_ae,c-trace GmbH,Bielefeld,Stieghorster Str. 112 33605 Bielefeld,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,47,empty,,,tidak_jelas,"KONTAKT
DATENSCHUTZ
IMPRESSUM
FINDE DEINEN BERUFSEINSTIEG IN NRW
Karte schließen
+
–
⤢
POP-UP Aus- und Weiterbildung - Starte deine Zukunft jetzt!
Industrie- und Handelskammer zu Dortmund
von Montag, 08.06.2026 - 13:00 bis Morgen, 13.06.2026 - 16:00
Mehr Informationen
CHECK In - Berufswelt in Neuss
Industrie- und Handelskammer Mittlerer Niederrhein
von Mittwoch, 10.06.2026 - 10:00 bis 14:00
Mehr Informationen
Erlebniswelt Ausbildung meets HEROCON
Industrie- und Handelskammer zu Dortmund
von Heute - 09:00 bis Morgen, 13.06.2026 - 16:00
Mehr Informationen
Weitere Veranstaltungen
Filtern
Zurücksetzen
Umkreis
10km
Veranstaltung
Was suchst du?
Berufsfeld
Beruf
Jahresfilter
8572 Ergebnisse
""
Industriekaufmann/frau
""Formzeug"" Formen und Werkzeuggesellschaft mit beschränkter Haftung und Co, Kommanditgesellschaft
Wegberg
""
Kaufmann/frau - Einzelhandel (2026)
""Hol ab!"" Getränkemarkt GmbH
Bünde, Espelkamp, Lübbecke, Rödinghausen
""
Verkäufer/in (2026)
""Hol ab!"" Getränkemarkt GmbH
Bünde, Espelkamp, Lübbecke, Rödinghausen
Kaufmann/frau – Büromanagement
""STURM® INDUSTRIES"" (STURM GmbH)
Duisburg
Industriekaufmann/frau
""STURM® INDUSTRIES"" (STURM GmbH)
Duisburg
Technische/r Produktdesigner/in
""STURM® INDUSTRIES"" (STURM GmbH)
Duisburg
Maschinen- und Anlagenführer/in
""STURM® INDUSTRIES"" (STURM GmbH)
Duisburg
Kaufmann/frau – Büromanagement
2bessential GmbH
Bielefeld
Mechatroniker/-in für Kältetechnik (2026, 2027, 2028)
2G Energy AG
Heek
Elektroniker/in – Betriebstechnik (2026, 2027, 2028)
2G Energy AG
Heek
Fachkraft – Lagerlogistik (2026, 2027, 2028)
2G Energy AG
Heek
Mechatroniker/in (2026, 2027, 2028)
2G Energy AG
Heek
Fachinformatiker/in - Anwendungsentwicklung (2026, 2027, 2028)
2G Energy AG
Heek
Industriekaufmann/frau (2027, 2028)
2G Energy AG
Heek
Fachinformatiker/in - Systemintegration (2027, 2028)
2G Energy AG
Heek
Kaufmann/frau - Digitalisierungsmanagement (2027, 2028)
2G Energy AG
Heek
Technische/r Produktdesigner/in (2027, 2028)
2G Energy AG
Heek
Kaufmann/frau – Marketingkommunikation (2025)
2increase - Agentur für Marketing + Events
Mönchengladbach
Veranstaltungskaufmann/frau (2025)
2increase - Agentur für Marketing + Events
Mönchengladbach
Werkzeugmechaniker/in (2025)
3 D-plastic Hans Kintra GmbH
Mönchengladbach
Kaufmann/frau - E-Commerce (2025)
3000watt GmbH
Bielefeld
Veranstaltungskaufmann/frau (2025)
3s GmbH & Co. KG
Nordrhein-Westfalen - Mönchengladbach
Personaldienstleistungskaufmann/frau (2025)
3s GmbH & Co. KG
Nordrhein-Westfalen - Mönchengladbach
Fachkraft – Lagerlogistik (2026, 2027)
3S Schrader GmbH
Bad Salzdetfurth
Fachlagerist/in (2026, 2027)
3S Schrader GmbH
Bad Salzdetfurth
Zerspanungsmechaniker/in (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Kaufmann/frau – Büromanagement (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Industriemechaniker/in - Maschinen- und Anlagenbau (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Kaufmann/frau – Spedition und Logistikdienstleistung (2025, 2026)
8Motions Solutions GmbH
Kaarst
Steuerfachangestellte/r (2026)
8P Partnerschaft mbB
Siegen
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,c-trace GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Bielefeld,ya,belum,rendah,"Fachinformatiker/in - Anwendungsentwicklung

Fachinformatiker/in - Anwendungsentwicklung (2026, 2027, 2028)
2G Energy AG
Heek
Industriekaufmann/frau (2027, 2028)
2G Energy AG
Heek
Fachinformatiker/in - Systemintegration (2027, 2028)
2G Energy AG
Heek
Kaufmann/frau - Digitalisierungsmanagement (2027, 2028)
2G Energy AG
Heek
Technische/r Produktdesigner/in (2027, 2028)
2G Energy AG
Heek
Kaufmann/frau – Marketingkommunikation (2025)
2increase - Agentur für Marketing + Events
Mönchengladbach
Veranstaltungskaufmann/frau (2025)
2increase - Agentur für Marketing + Events
Mönchengladbach
Werkzeugmechaniker/in (2025)
3 D-plastic Hans Kintra GmbH
Mönchengladbach
Kaufmann/frau - E-Commerce (2025)
3000watt GmbH
Bielefeld
Veranstaltungskaufmann/frau (2025)
3s GmbH & Co. KG
Nordrhein-Westfalen - Mönchengladbach
Personaldienstleistungskaufmann/frau (2025)
3s GmbH & Co. KG
Nordrhein-Westfalen - Mönchengladbach
Fachkraft – Lagerlogistik (2026, 2027)
3S Schrader GmbH
Bad Salzdetfurth
Fachlagerist/in (2026, 2027)
3S Schrader GmbH
Bad Salzdetfurth
Zerspanungsmechaniker/in (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Kaufmann/frau – Büromanagement (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Industriemechaniker/in - Maschinen- und Anlagenbau (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Kaufmann/frau – Spedition und Logistikdienstleistung (2025, 2026)
8Motions Solutions GmbH
Kaarst
Steuerfachangestellte/r (2026)
8P Partnerschaft mbB
Siegen
info@ausbildung.nrw",,2026-06-12T09:54:15.863525+00:00
NRW-3841-7247,ausbildung_nrw_ae,Husemann & Fritz EDV-Organisations- und Beratungs GmbH,Bielefeld,Werningshof 4 33719 Bielefeld,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,47,empty,,,tidak_jelas,"KONTAKT
DATENSCHUTZ
IMPRESSUM
FINDE DEINEN BERUFSEINSTIEG IN NRW
Karte schließen
+
–
⤢
POP-UP Aus- und Weiterbildung - Starte deine Zukunft jetzt!
Industrie- und Handelskammer zu Dortmund
von Montag, 08.06.2026 - 13:00 bis Morgen, 13.06.2026 - 16:00
Mehr Informationen
CHECK In - Berufswelt in Neuss
Industrie- und Handelskammer Mittlerer Niederrhein
von Mittwoch, 10.06.2026 - 10:00 bis 14:00
Mehr Informationen
Erlebniswelt Ausbildung meets HEROCON
Industrie- und Handelskammer zu Dortmund
von Heute - 09:00 bis Morgen, 13.06.2026 - 16:00
Mehr Informationen
Weitere Veranstaltungen
Filtern
Zurücksetzen
Umkreis
10km
Veranstaltung
Was suchst du?
Berufsfeld
Beruf
Jahresfilter
8572 Ergebnisse
""
Industriekaufmann/frau
""Formzeug"" Formen und Werkzeuggesellschaft mit beschränkter Haftung und Co, Kommanditgesellschaft
Wegberg
""
Kaufmann/frau - Einzelhandel (2026)
""Hol ab!"" Getränkemarkt GmbH
Bünde, Espelkamp, Lübbecke, Rödinghausen
""
Verkäufer/in (2026)
""Hol ab!"" Getränkemarkt GmbH
Bünde, Espelkamp, Lübbecke, Rödinghausen
Kaufmann/frau – Büromanagement
""STURM® INDUSTRIES"" (STURM GmbH)
Duisburg
Industriekaufmann/frau
""STURM® INDUSTRIES"" (STURM GmbH)
Duisburg
Technische/r Produktdesigner/in
""STURM® INDUSTRIES"" (STURM GmbH)
Duisburg
Maschinen- und Anlagenführer/in
""STURM® INDUSTRIES"" (STURM GmbH)
Duisburg
Kaufmann/frau – Büromanagement
2bessential GmbH
Bielefeld
Mechatroniker/-in für Kältetechnik (2026, 2027, 2028)
2G Energy AG
Heek
Elektroniker/in – Betriebstechnik (2026, 2027, 2028)
2G Energy AG
Heek
Fachkraft – Lagerlogistik (2026, 2027, 2028)
2G Energy AG
Heek
Mechatroniker/in (2026, 2027, 2028)
2G Energy AG
Heek
Fachinformatiker/in - Anwendungsentwicklung (2026, 2027, 2028)
2G Energy AG
Heek
Industriekaufmann/frau (2027, 2028)
2G Energy AG
Heek
Fachinformatiker/in - Systemintegration (2027, 2028)
2G Energy AG
Heek
Kaufmann/frau - Digitalisierungsmanagement (2027, 2028)
2G Energy AG
Heek
Technische/r Produktdesigner/in (2027, 2028)
2G Energy AG
Heek
Kaufmann/frau – Marketingkommunikation (2025)
2increase - Agentur für Marketing + Events
Mönchengladbach
Veranstaltungskaufmann/frau (2025)
2increase - Agentur für Marketing + Events
Mönchengladbach
Werkzeugmechaniker/in (2025)
3 D-plastic Hans Kintra GmbH
Mönchengladbach
Kaufmann/frau - E-Commerce (2025)
3000watt GmbH
Bielefeld
Veranstaltungskaufmann/frau (2025)
3s GmbH & Co. KG
Nordrhein-Westfalen - Mönchengladbach
Personaldienstleistungskaufmann/frau (2025)
3s GmbH & Co. KG
Nordrhein-Westfalen - Mönchengladbach
Fachkraft – Lagerlogistik (2026, 2027)
3S Schrader GmbH
Bad Salzdetfurth
Fachlagerist/in (2026, 2027)
3S Schrader GmbH
Bad Salzdetfurth
Zerspanungsmechaniker/in (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Kaufmann/frau – Büromanagement (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Industriemechaniker/in - Maschinen- und Anlagenbau (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Kaufmann/frau – Spedition und Logistikdienstleistung (2025, 2026)
8Motions Solutions GmbH
Kaarst
Steuerfachangestellte/r (2026)
8P Partnerschaft mbB
Siegen
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,Husemann & Fritz EDV-Organisations- und Beratungs GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Bielefeld,ya,belum,rendah,"Fachinformatiker/in - Anwendungsentwicklung

Fachinformatiker/in - Anwendungsentwicklung (2026, 2027, 2028)
2G Energy AG
Heek
Industriekaufmann/frau (2027, 2028)
2G Energy AG
Heek
Fachinformatiker/in - Systemintegration (2027, 2028)
2G Energy AG
Heek
Kaufmann/frau - Digitalisierungsmanagement (2027, 2028)
2G Energy AG
Heek
Technische/r Produktdesigner/in (2027, 2028)
2G Energy AG
Heek
Kaufmann/frau – Marketingkommunikation (2025)
2increase - Agentur für Marketing + Events
Mönchengladbach
Veranstaltungskaufmann/frau (2025)
2increase - Agentur für Marketing + Events
Mönchengladbach
Werkzeugmechaniker/in (2025)
3 D-plastic Hans Kintra GmbH
Mönchengladbach
Kaufmann/frau - E-Commerce (2025)
3000watt GmbH
Bielefeld
Veranstaltungskaufmann/frau (2025)
3s GmbH & Co. KG
Nordrhein-Westfalen - Mönchengladbach
Personaldienstleistungskaufmann/frau (2025)
3s GmbH & Co. KG
Nordrhein-Westfalen - Mönchengladbach
Fachkraft – Lagerlogistik (2026, 2027)
3S Schrader GmbH
Bad Salzdetfurth
Fachlagerist/in (2026, 2027)
3S Schrader GmbH
Bad Salzdetfurth
Zerspanungsmechaniker/in (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Kaufmann/frau – Büromanagement (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Industriemechaniker/in - Maschinen- und Anlagenbau (2026, 2027)
3WIN Maschinenbau GmbH
Aachen
Kaufmann/frau – Spedition und Logistikdienstleistung (2025, 2026)
8Motions Solutions GmbH
Kaarst
Steuerfachangestellte/r (2026)
8P Partnerschaft mbB
Siegen
info@ausbildung.nrw",,2026-06-12T09:56:19.643678+00:00
AZDE-10250863,azubi_de_fi,NTT DATA Business Solutions AG,Bielefeld,33605 Bielefeld DE,Ausbildung | Auszubildende:r für Fachinformatik Anwendungsentwicklung für 2026,ae,,,,47,empty,,https://www.azubi.de/ausbildungsplatz/10250863-b-auszubildende-r-fuer-fachinformatik-anwendungsentwicklung-fuer-2026/apply,portal,,,NTT DATA Business Solutions AG | Ausbildung | Auszubildende:r für Fachinformatik Anwendungsentwicklung für 2026 | Bielefeld,ya,belum,rendah,"Auszubildende:r für Fachinformatik Anwendungsentwicklung für 2026

Einleitung
Du brennst für Herausforderungen?
■ Du bist Teil des Entwicklungsteams, das Dir während Deiner Ausbildung mit Rat und Tat zur Seite steht.
■ Nach und nach übernimmst Du zunehmend verantwortungsvolle Aufgaben aus unseren Softwareprojekten, die Du selbstständig umsetzt.
■ Du lernst in verschiedenen Programmiersprachen (z.B. der SAP-eigenen Programmiersprache ‘ABAP‘, Java oder Javascript) vielfältige Anforderungen zu entwickeln und zu realisieren.
■ Außerdem gehört das Testen und Dokumentieren der Entwicklungen sowie die Schulung der Anwender:innen dazu.
■ Dich erwarten außerdem viele weitere spannende Aufgaben und Projekte!
Überzeuge uns mit Deinem Potential!
■ Du hast einen erfolgreichen Schulabschluss (mittlere Reife, Fachhochschulreife oder allgemeine Hochschulreife).
■ Du verfügst über technisches Verständnis und eine entsprechende IT-Affinität.
■ Idealerweise bringst Du erste Kenntnisse in der Programmierung mit.
■ Eine analytische und logische Denkweise, eine gewissenhafte und selbstständige Arbeitsweise wie auch Team- und Kommunikationsfähigkeit zeichnen Dich aus.
■ Außerdem hast Du sehr gute Deutsch- und gute Englischkenntnisse in Wort und Schrift.
Aufgaben","Einleitung
Du brennst für Herausforderungen?
■ Du bist Teil des Entwicklungsteams, das Dir während Deiner Ausbildung mit Rat und Tat zur Seite steht.
■ Nach und nach übernimmst Du zunehmend verantwortungsvolle Aufgaben aus unseren Softwareprojekten, die Du selbstständig umsetzt.
■ Du lernst in verschiedenen Programmiersprachen (z.B. der SAP-eigenen Programmiersprache ‘ABAP‘, Java oder Javascript) vielfältige Anforderungen zu entwickeln und zu realisieren.
■ Außerdem gehört das Testen und Dokumentieren der Entwicklungen sowie die Schulung der Anwender:innen dazu.
■ Dich erwarten außerdem viele weitere spannende Aufgaben und Projekte!
Überzeuge uns mit Deinem Potential!
■ Du hast einen erfolgreichen Schulabschluss (mittlere Reife, Fachhochschulreife oder allgemeine Hochschulreife).
■ Du verfügst über technisches Verständnis und eine entsprechende IT-Affinität.
■ Idealerweise bringst Du erste Kenntnisse in der Programmierung mit.
■ Eine analytische und logische Denkweise, eine gewissenhafte und selbstständige Arbeitsweise wie auch Team- und Kommunikationsfähigkeit zeichnen Dich aus.
■ Außerdem hast Du sehr gute Deutsch- und gute Englischkenntnisse in Wort und Schrift.
Aufgaben",2026-06-13T10:33:22.049644+00:00
MAD-2428066409,meine_ausbildung_ae,Böllhoff Ausbildung und Perspektive GmbH,Bielefeld,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,,40,company,,https://suche.ausbildung.nrw/unternehmen/boellhoff-gesellschaft-fuer-ausbildung-und-perspektive-gmbh/4225?utm_source=meine-ausbildung-in-deutschland,portal,,,Böllhoff Ausbildung und Perspektive GmbH | Fachinformatiker/in - Anwendungsentwicklung | Bielefeld,ya,belum,rendah,Fachinformatiker/in - Anwendungsentwicklung,,2026-06-11T11:50:35.686810+00:00
MAD-2442789870,meine_ausbildung_dpa,Böllhoff Ausbildung und Perspektive GmbH,Bielefeld,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,,40,company,,https://suche.ausbildung.nrw/unternehmen/boellhoff-gesellschaft-fuer-ausbildung-und-perspektive-gmbh/4225?utm_source=meine-ausbildung-in-deutschland,portal,,,Böllhoff Ausbildung und Perspektive GmbH | Fachinformatiker/in - Daten- und Prozessanalyse | Bielefeld,ya,belum,rendah,Fachinformatiker/in - Daten- und Prozessanalyse,,2026-06-11T11:40:15.300124+00:00
