id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
AD-acc6d27e-cec2-4684-a199-29d463183d9b,ausbildung_de_ae,Prodware Deutschland AG,Chemnitz,Ludwigstraße 21 09113 Chemnitz Sachsen,Ausbildung | Fachinformatiker/in für Anwendungsentwicklung (m/w/d),ae,2026,8,"1. Jahr: 1070 €
2. Jahr: 1150 €
3. Jahr: 1250 €",80,company,,https://karriere-prodwaredag.icims.com/jobs/1881/duales-studium---wirtschaft--und-verwaltungsinformatik-%28m-w-d%29/job?mode=view,portal,,,Prodware Deutschland AG | Ausbildung | Fachinformatiker/in für Anwendungsentwicklung (m/w/d) | Chemnitz,tidak,belum,sedang,"Ausbildung Fachinformatiker/in für Anwendungsentwicklung (m/w/d)

Das lernst du bei uns:
- Du wirst an die praktische Softwareentwicklung im Bereich Microsoft Dynamics 365 – Business Central herangeführt
- Dir wird die Integration von ERP-Systemen in die bestehenden Anwendungslandschaften unserer Kunden gezeigt
- Du wirst lernen, mit den Produkten von Microsoft Dynamics 365 Systeme zu entwickeln und damit für unsere Kunden Lösungen zu schaffen
- Du wirst dabei in Projektarbeit und Kundenberatung involviert sein
- Du wirst von einem vielseitigen Team in deine Aufgabenbereiche eingearbeitet​
- Wir leben flache Hierarchien und eine kollegiale Arbeitsatmosphäre: Bei uns wird über alle Ebenen hinweg geduzt ​
- Flexible Arbeitszeiten in einem Gleitzeitmodell​
- Benefits wie Mitarbeiterrabatte, einen Zuschuss zur eigenen Sport-Mitgliedschaft und das Deutschland-Ticket oder einen Fahrtkostenzuschuss​
- Bei Firmenevents und regelmäßigen Get-Togethers kannst du deine Kolleg*innen kennenlernen​
- Du kannst bei uns eigenständig arbeiten und je nach Interesse in verschiedenen Bereichen Verantwortung übernehmen​
- Wir legen Wert auf deine Erholung: Neben 28 Urlaubstagen profitierst du von zusätzlichen arbeitsfreien Tagen an Weihnachten und Silvester​
- Nach erfolgreichem Abschluss würden wir dich gerne übernehmen​

Das bringst Du mit:
- Du hast das Abitur oder die mittlere Reife erfolgreich abgeschlossen
- Du hattest idealerweise Informatik als Unterrichtsfach
- Du hast schon erste Erfahrungen mit IT-Systemen gesammelt, am besten während eines Praktikums
- Begriffe wie Storage, Server, Netzwerk, Cloud und Virtualisierung sind Dir nicht fremd
- Du zeichnest Dich durch Begeisterungsfähigkeit, eine eigenständige und strukturierte Arbeitsweise sowie ein hohes Maß an Flexibilität aus
- Du bist teamfähig, selbständig, kreativ und kommunizierst offen und klar
- Du hast sehr gute Deutschkenntnisse sowie sichere Englischkenntnisse
Deine Vorteile bei uns:​

Wir bieten Dir eine Ausbildung, in der Du zunehmend eigenständig spannende Aufgaben bearbeiten wirst. Durch das Arbeiten in einem kleinen Team sowie ein maßgeschneidertes Schulungsprogramm kannst Du Dich persönlich und fachlich entwickeln. Dabei stehen Dir erfahrene Kolleg*innen zur Seite.
Wir suchen Dich zum 01.08.2026 zur Verstärkung unseres Teams am Standort Chemnitz.","Das bringst Du mit:
- Du hast das Abitur oder die mittlere Reife erfolgreich abgeschlossen
- Du hattest idealerweise Informatik als Unterrichtsfach
- Du hast schon erste Erfahrungen mit IT-Systemen gesammelt, am besten während eines Praktikums
- Begriffe wie Storage, Server, Netzwerk, Cloud und Virtualisierung sind Dir nicht fremd
- Du zeichnest Dich durch Begeisterungsfähigkeit, eine eigenständige und strukturierte Arbeitsweise sowie ein hohes Maß an Flexibilität aus
- Du bist teamfähig, selbständig, kreativ und kommunizierst offen und klar
- Du hast sehr gute Deutschkenntnisse sowie sichere Englischkenntnisse
Deine Vorteile bei uns:​",2026-06-11T11:20:43.106188+00:00
ASD-998030000296907315,ausbildungsstellen_si,Azubiyo,Chemnitz,09111 Chemnitz Sachsen,Ausbildung im Bereich Fachinformatik Anwendungsentwicklung (m/w/d) 2026,ae,,,,67,company,,https://www.azubiyo.de/bewerbung/,portal,,,Azubiyo | Ausbildung im Bereich Fachinformatik Anwendungsentwicklung (m/w/d) 2026 | Chemnitz,tidak,belum,sedang,"Ausbildung im Bereich Fachinformatik Anwendungsentwicklung (m/w/d) 2026

- Selbstständige Fehleranalyse und -behebung sowie Erstellung von FehlerberichtenDein Profil
- Abschluss der Mittleren Reife, Fachhochschulreife oder der Allgemeinen Hochschulreife
- Erste Kenntnisse im Programmieren von Vorteil
- Selbstorganisation und Lernbereitschaft
- Begeisterung für die Mitarbeit in einem agilen Entwicklungsteam
- Sehr gute Deutsch- und Englischkenntnisse
- Offene, innovationsgetriebene Unternehmenskultur
- Arbeiten in dynamischen und inspirierenden Teams
- Spannende Einführungstage sowie Teamevents
- Betreuung durch persönliche Ansprechpersonen während der gesamten Ausbildung
- Gute Berufsperspektiven und umfassendes Weiterentwicklungsangebot
- Flexible Arbeitszeiten
- Attraktive Gesundheits- und Sportangebote, z. B. durch die Schaeffler Health Coach App","- Selbstständige Fehleranalyse und -behebung sowie Erstellung von FehlerberichtenDein Profil
- Abschluss der Mittleren Reife, Fachhochschulreife oder der Allgemeinen Hochschulreife
- Erste Kenntnisse im Programmieren von Vorteil
- Selbstorganisation und Lernbereitschaft
- Begeisterung für die Mitarbeit in einem agilen Entwicklungsteam
- Sehr gute Deutsch- und Englischkenntnisse
- Offene, innovationsgetriebene Unternehmenskultur
- Arbeiten in dynamischen und inspirierenden Teams
- Spannende Einführungstage sowie Teamevents
- Betreuung durch persönliche Ansprechpersonen während der gesamten Ausbildung
- Gute Berufsperspektiven und umfassendes Weiterentwicklungsangebot
- Flexible Arbeitszeiten
- Attraktive Gesundheits- und Sportangebote, z. B. durch die Schaeffler Health Coach App",2026-06-13T12:43:38.324020+00:00
INDEED-2137a68f98a12644,indeed_de_ae,axilaris GmbH,Chemnitz,Chemnitz SN,Ausbildung | zum Fachinformatiker (m/w/d) Anwendungsentwicklung,ae,,,"Vollzeit, Berufsausbildung",60,empty,bewerbung@axilaris.de,https://www.hiringlab.org/de/,email,"Kontakt
Sibylle Reitze
Assistent Personal 0371 308080
bewerbung@axilaris.de",,axilaris GmbH | Ausbildung | zum Fachinformatiker (m/w/d) Anwendungsentwicklung | Chemnitz,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker (m/w/d) Anwendungsentwicklung

Diese Praxisaufgaben erwarten dich bei uns:
Bei uns erwarten dich spannende IT-Projekte in der Bankenwelt sowie für mittelständische Unternehmen, bei welchen du uns in der Programmierung, Pflege, Fehlerbehebung sowie Anpassungen der Software unterstützt.
Du lernst bei uns die Anwendung der gängigen modernen Programmier- und Datenbankansprachen sowie die Entwicklung benutzerfreundlicher Anwendungen (Usability).
Im Laufe deiner Ausbildung bekommst du auch ein eigenes Entwicklungs-Projekt übertragen.
Das ist uns wichtig:
Abitur mit gutem bis sehr gutem Abschluss
Gute Kenntnisse in Mathematik, Technik und Informatik / sowie ggf. erste Programmiererfahrungen
Sehr gute Deutschkenntnisse in Wort und Schrift (mind. C1 Niveau)
Interesse an Hard- und Software sowie technisches und analytisches Denkvermögen
Motivation, Zuverlässigkeit, Eigeninitiative und strukturiertes Arbeiten
Dauer der Berufsausbildung
3 Jahre",,2026-06-13T11:33:59.907495+00:00
AZUB-de2f4fg3,azubiyo_de_ae,Azubiyo,Chemnitz,09111 Chemnitz Sachsen,Ausbildung | im Bereich Fachinformatik Anwendungsentwicklung (m/w/d) 2026,ae,,,,60,empty,,https://www.azubiyo.de/stellenanzeigen/DE2F4FG3/bewerben/,portal,,,Azubiyo | Ausbildung | im Bereich Fachinformatik Anwendungsentwicklung (m/w/d) 2026 | Chemnitz,tidak,belum,sedang,"Ausbildung im Bereich Fachinformatik Anwendungsentwicklung (m/w/d) 2026

- Selbstständige Fehleranalyse und -behebung sowie Erstellung von FehlerberichtenDein Profil
- Abschluss der Mittleren Reife, Fachhochschulreife oder der Allgemeinen Hochschulreife
- Erste Kenntnisse im Programmieren von Vorteil
- Selbstorganisation und Lernbereitschaft
- Begeisterung für die Mitarbeit in einem agilen Entwicklungsteam
- Sehr gute Deutsch- und Englischkenntnisse
- Offene, innovationsgetriebene Unternehmenskultur
- Arbeiten in dynamischen und inspirierenden Teams
- Spannende Einführungstage sowie Teamevents
- Betreuung durch persönliche Ansprechpersonen während der gesamten Ausbildung
- Gute Berufsperspektiven und umfassendes Weiterentwicklungsangebot
- Flexible Arbeitszeiten
- Attraktive Gesundheits- und Sportangebote, z. B. durch die Schaeffler Health Coach App","- Selbstständige Fehleranalyse und -behebung sowie Erstellung von FehlerberichtenDein Profil
- Abschluss der Mittleren Reife, Fachhochschulreife oder der Allgemeinen Hochschulreife
- Erste Kenntnisse im Programmieren von Vorteil
- Selbstorganisation und Lernbereitschaft
- Begeisterung für die Mitarbeit in einem agilen Entwicklungsteam
- Sehr gute Deutsch- und Englischkenntnisse
- Offene, innovationsgetriebene Unternehmenskultur
- Arbeiten in dynamischen und inspirierenden Teams
- Spannende Einführungstage sowie Teamevents
- Betreuung durch persönliche Ansprechpersonen während der gesamten Ausbildung
- Gute Berufsperspektiven und umfassendes Weiterentwicklungsangebot
- Flexible Arbeitszeiten
- Attraktive Gesundheits- und Sportangebote, z. B. durch die Schaeffler Health Coach App",2026-06-12T09:51:00.269923+00:00
INDEED-d13d66e955e7ee91,indeed_de_ae,K & W Informatik GmbH,Chemnitz,Chemnitz SN,Ausbildung | Fachinformatiker für Anwendungsentwicklung (m/w/d) für Chemnitz,ae,,,Berufsausbildung,53,empty,,https://www.hiringlab.org/de/,portal,,,K & W Informatik GmbH | Ausbildung | Fachinformatiker für Anwendungsentwicklung (m/w/d) für Chemnitz | Chemnitz,tidak,belum,sedang,"Fachinformatiker für Anwendungsentwicklung (m/w/d) für Chemnitz

Dein Profil:
Teamfähigkeit, Kommunikationsfreude
Interesse an technischen und wirtschaftlichen Zusammenhängen
Ausbildung:
Dauer 3 Jahre
Durchlauf aller relevanten Abteilungen
Ausbildung in Betrieb und Berufsschule","Dein Profil:
Teamfähigkeit, Kommunikationsfreude
Interesse an technischen und wirtschaftlichen Zusammenhängen
Ausbildung:
Dauer 3 Jahre
Durchlauf aller relevanten Abteilungen
Ausbildung in Betrieb und Berufsschule",2026-06-13T11:33:53.373291+00:00
AUBI-445605,aubi_plus_fi,Schaeffler Digital Solutions GmbH,Chemnitz,09111 Chemnitz,Ausbildung | Fachinformatiker / Fachinformatikerin Fachrichtung Anwendungsentwicklung,ae,,,,47,empty,,https://www.aubi-plus.de/bewerbung/,portal,Kontakt,,Schaeffler Digital Solutions GmbH | Ausbildung | Fachinformatiker / Fachinformatikerin Fachrichtung Anwendungsentwicklung | Chemnitz,ya,belum,rendah,Fachinformatiker / Fachinformatikerin Fachrichtung Anwendungsentwicklung,,2026-06-13T14:54:01.747751+00:00
STEP-14068941,stepstone_de_ae,Axilaris GmbH,Chemnitz,Chemnitz Chemnitz,Ausbildung | zum Fachinformatiker (m/w/d) Anwendungsentwicklung | Chemnitz 2026,ae,,,,40,empty,,https://twitter.com/stepstone_de,portal,,,Axilaris GmbH | Ausbildung | zum Fachinformatiker (m/w/d) Anwendungsentwicklung | Chemnitz 2026 | Chemnitz,ya,belum,rendah,"Ausbildung zum Fachinformatiker (m/w/d) Anwendungsentwicklung | Chemnitz 2026

Diese Praxisaufgaben erwarten dich bei uns:
Bei uns erwarten dich spannende IT-Projekte in der Bankenwelt sowie für mittelständische Unternehmen, bei welchen du uns in der Programmierung, Pflege, Fehlerbehebung sowie Anpassungen der Software unterstützt.
Du lernst bei uns die Anwendung der gängigen modernen Programmier- und Datenbankansprachen sowie die Entwicklung benutzerfreundlicher Anwendungen (Usability).
Im Laufe deiner Ausbildung bekommst du auch ein eigenes Entwicklungs-Projekt übertragen.
Das ist uns wichtig:
Abitur mit gutem bis sehr gutem Abschluss
Gute Kenntnisse in Mathematik, Technik und Informatik / sowie ggf. erste Programmiererfahrungen
Sehr gute Deutschkenntnisse in Wort und Schrift (mind. C1 Niveau)
Interesse an Hard- und Software sowie technisches und analytisches Denkvermögen
Motivation, Zuverlässigkeit, Eigeninitiative und strukturiertes Arbeiten",,2026-06-12T20:28:29.045373+00:00
MAD-2436117624,meine_ausbildung_ae,BTS Software GmbH & Co. KG,Chemnitz,,Fachinformatiker/-in Anwendungsentwicklung,ae,,,,40,company,,https://www.karriere-rockt.de/lehrstellen/fachinformatiker-in-anwendungsentwicklung-11/?_ptype=jobs&radius=5&utm_source=meine-ausbildung-in-deutschland,portal,,,BTS Software GmbH & Co. KG | Fachinformatiker/-in Anwendungsentwicklung | Chemnitz,ya,belum,rendah,Fachinformatiker/-in Anwendungsentwicklung,,2026-06-11T11:46:40.092520+00:00
MAD-2368287065,meine_ausbildung_ae,Freiepresse Mediengruppe - Medien Union GmbH Ludwigshafen,Chemnitz,,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://www.freiepresse-mediengruppe.de/karriere/details/ausbildung-zum-fachinformatiker-fuer-anwendungsentwicklung-mwd-71?utm_source=meine-ausbildung-in-deutschland,portal,,,Freiepresse Mediengruppe - Medien Union GmbH Ludwigshafen | Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) | Chemnitz,ya,belum,rendah,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d),,2026-06-11T12:03:34.477676+00:00
MAD-2405726199,meine_ausbildung_ae,Götz Günther GmbH,Chemnitz,,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://www.goetzguenther.de/azubi-fachinformatiker-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,portal,,,Götz Günther GmbH | Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) | Chemnitz,ya,belum,rendah,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d),,2026-06-11T11:54:51.370556+00:00
