id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
AZDE-10637771,azubi_de_fi,dynadev GmbH,Darmstadt,Robert-Bosch-Str. 7 64293 Darmstadt DE,Ausbildung | zum Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,73,empty,jobs@dynadev.de,https://www.azubi.de/ausbildungsplatz/10637771-p-ausbildung-zum-fachinformatiker-fuer-anwendungsentwicklung-m-w-d/apply,email,Kontaktinformationen:,,dynadev GmbH | Ausbildung | zum Fachinformatiker für Anwendungsentwicklung (m/w/d) | Darmstadt,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d)

Einleitung:
Du wolltest schon immer Wissen, wie der Arbeitsalltag in einer IT-Firma aussieht, hast dich schon mit Programmiersprachen beschäftigt oder Computer auseinander- und wieder zusammengebaut? Wenn ja, solltest du dich unbedingt bei uns als Fachinformatiker für Anwendungsentwicklung oder Systemintegration bewerben!
In deiner Ausbildung wirst du alles von PHP über Java bis TypeScript/JavaScript erfahren und lernen.
Du wirst die Programmiersprachen beherrschen und mit deren Hilfe eine große Bandbreite an betriebsinternen oder kundenorientierten Softwarelösungen sowie Anwendungen für Unternehmen und Kunden entwickeln.
Auf dich wartet ein Rundumblick in die Softwareentwicklung – von Webportalen, über Skripten bis hin zu Desktop Anwendungen.
Was dich erwartet:
- Entwicklung von Softwarelösungen
- Implementierungen von Webanwendungen
- Content Management auf Kundenwebsites
- erstellen von Kunden- und Entwicklerdokumentationen mit Confluence
- Mitwirkung in einem agilen IT-Projekt nach SCRUM
Was du mitbringen solltest:
- mindestens einen guten Realschulabschluss und zu deinen Lieblingsfächern gehört u. a. Mathe und Englisch
- Spaß am Arbeiten mit dem PC und Liebe zur Technik
- Teamfähigkeit, Kreativität und Aufgeschlossenheit
- eine gute schriftliche und mündliche Ausdrucksweise

Was wir bieten:
- interne Weiterbildungsangebote
- flexible Arbeitszeitenplanung
- Home-Office Möglichkeiten
- einen eigenen Laptop sowie weitere Hardware
- Übernahmechancen
Die dynadev GmbH befindet sich nur 5 Minuten fußläufig vom Hauptbahnhof in Darmstadt entfernt und liegt nahe der A5 was die Anreise sowohl mit den öffentlichen Verkehrsmitteln als auch mit dem Auto einfach gestaltet.
Durch die flexiblen Arbeitsplätze in unserem Büro, ist es möglich zwischen Home-Office und der Arbeit im Office zu wechseln.
Bei uns ist ein Ausbildungsstart nicht nur zum klassischen Beginn im Sommer möglich - auch ein Einstieg mitten im Jahr ist jederzeit machbar. Egal, ob du dich für eine Ausbildung neu entscheidest, einen Ausbildungswechsel anstrebst oder eine Umschulung beginnen möchtest: Wir unterstützen dich dabei, den passenden Weg zu finden und schnell durchzustarten.
Weitere Informationen zu unseren Ausbildungsangeboten findest du auch auf unserer Karriere-Seite: https://www.dynadev.de/karriere/ausbildung/","Einleitung:
Du wolltest schon immer Wissen, wie der Arbeitsalltag in einer IT-Firma aussieht, hast dich schon mit Programmiersprachen beschäftigt oder Computer auseinander- und wieder zusammengebaut? Wenn ja, solltest du dich unbedingt bei uns als Fachinformatiker für Anwendungsentwicklung oder Systemintegration bewerben!
In deiner Ausbildung wirst du alles von PHP über Java bis TypeScript/JavaScript erfahren und lernen.
Du wirst die Programmiersprachen beherrschen und mit deren Hilfe eine große Bandbreite an betriebsinternen oder kundenorientierten Softwarelösungen sowie Anwendungen für Unternehmen und Kunden entwickeln.
Auf dich wartet ein Rundumblick in die Softwareentwicklung – von Webportalen, über Skripten bis hin zu Desktop Anwendungen.
Was dich erwartet:
- Entwicklung von Softwarelösungen
- Implementierungen von Webanwendungen
- Content Management auf Kundenwebsites
- erstellen von Kunden- und Entwicklerdokumentationen mit Confluence
- Mitwirkung in einem agilen IT-Projekt nach SCRUM
Was du mitbringen solltest:
- mindestens einen guten Realschulabschluss und zu deinen Lieblingsfächern gehört u. a. Mathe und Englisch
- Spaß am Arbeiten mit dem PC und Liebe zur Technik
- Teamfähigkeit, Kreativität und Aufgeschlossenheit
- eine gute schriftliche und mündliche Ausdrucksweise",2026-06-13T10:34:46.893283+00:00
AZDE-10637772,azubi_de_fi,dynadev GmbH,Darmstadt,Robert-Bosch-Str. 7 64293 Darmstadt DE,Ausbildung | zum Fachinformatiker für Systemintegration (m/w/d),ae,,,,73,empty,jobs@dynadev.de,https://www.azubi.de/ausbildungsplatz/10637772-p-ausbildung-zum-fachinformatiker-fuer-systemintegration-m-w-d/apply,email,Kontaktinformationen:,,dynadev GmbH | Ausbildung | zum Fachinformatiker für Systemintegration (m/w/d) | Darmstadt,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker für Systemintegration (m/w/d)

Einleitung:
Du wolltest schon immer Wissen, wie der Arbeitsalltag in einer IT-Firma aussieht, hast dich schon mit Programmiersprachen beschäftigt oder Computer auseinander- und wieder zusammengebaut? Wenn ja, solltest du dich unbedingt bei uns als Fachinformatiker für Anwendungsentwicklung oder Systemintegration bewerben!
Auf dich wartet ein Rundumblick in den Aufbau, Betrieb und Wartung von Infrastruktur – von Client PCs über Anwendungsprobleme bis hin zur Server Verwaltung und Absicherung.
Hierbei machen wir keinen Unterschied zwischen Linux und Windows.
Was dich erwartet:
- Betreiben und Aufbauen von Netzwerken
- Modellierung und Pflege von SQL-Datenbanken
- Erstellen von Kunden- und Entwicklerdokumentationen mit Confluence
- Mitwirkung in einem agilen IT-Projekt nach SCRUM
Was du mitbringen solltest:
- mindestens einen guten Realschulabschluss und zu deinen Lieblingsfächern gehört u. a. Mathe und Englisch
- Spaß am Arbeiten mit dem PC und Liebe zur Technik
- Teamfähigkeit, Kreativität und Aufgeschlossenheit
- eine gute schriftliche und mündliche Ausdrucksweise

Was wir bieten:
- interne Weiterbildungsangebote
- flexible Arbeitszeitenplanung
- Home-Office Möglichkeiten
- einen eigenen Laptop sowie weitere Hardware
- Übernahmechancen
Die dynadev GmbH befindet sich nur 5 Minuten fußläufig vom Hauptbahnhof in Darmstadt entfernt und liegt nahe der A5 was die Anreise sowohl mit den öffentlichen Verkehrsmitteln als auch mit dem Auto einfach gestaltet.
Durch die flexiblen Arbeitsplätze in unserem Büro, ist es möglich zwischen Home-Office und der Arbeit im Office zu wechseln.
Bei uns ist ein Ausbildungsstart nicht nur zum klassischen Beginn im Sommer möglich - auch ein Einstieg mitten im Jahr ist jederzeit machbar. Egal, ob du dich für eine Ausbildung neu entscheidest, einen Ausbildungswechsel anstrebst oder eine Umschulung beginnen möchtest: Wir unterstützen dich dabei, den passenden Weg zu finden und schnell durchzustarten.
Weitere Informationen zu unseren Ausbildungsangeboten findest du auch auf unserer Karriere-Seite: https://www.dynadev.de/karriere/ausbildung/","Einleitung:
Du wolltest schon immer Wissen, wie der Arbeitsalltag in einer IT-Firma aussieht, hast dich schon mit Programmiersprachen beschäftigt oder Computer auseinander- und wieder zusammengebaut? Wenn ja, solltest du dich unbedingt bei uns als Fachinformatiker für Anwendungsentwicklung oder Systemintegration bewerben!
Auf dich wartet ein Rundumblick in den Aufbau, Betrieb und Wartung von Infrastruktur – von Client PCs über Anwendungsprobleme bis hin zur Server Verwaltung und Absicherung.
Hierbei machen wir keinen Unterschied zwischen Linux und Windows.
Was dich erwartet:
- Betreiben und Aufbauen von Netzwerken
- Modellierung und Pflege von SQL-Datenbanken
- Erstellen von Kunden- und Entwicklerdokumentationen mit Confluence
- Mitwirkung in einem agilen IT-Projekt nach SCRUM
Was du mitbringen solltest:
- mindestens einen guten Realschulabschluss und zu deinen Lieblingsfächern gehört u. a. Mathe und Englisch
- Spaß am Arbeiten mit dem PC und Liebe zur Technik
- Teamfähigkeit, Kreativität und Aufgeschlossenheit
- eine gute schriftliche und mündliche Ausdrucksweise",2026-06-13T10:34:47.638667+00:00
STEP-14088783,stepstone_de_dpa,cirromed GmbH,Darmstadt,Darmstadt Darmstadt,Ausbildung | Fachinformatiker/-in Anwendungsentwicklung (m/w/d),ae,,,,67,empty,,https://twitter.com/stepstone_de,portal,Kontakt,,cirromed GmbH | Ausbildung | Fachinformatiker/-in Anwendungsentwicklung (m/w/d) | Darmstadt,tidak,belum,sedang,"Ausbildung Fachinformatiker/-in Anwendungsentwicklung (m/w/d)

Das solltest Du mitbringen:
Fachhochschulreife oder Abitur
gute schriftliche und mündliche Ausdrucksweise
Teamfähigkeit, Aufgeschlossenheit, Kreativität und Flexibilität, Wissensdurst
Erste praktische Erfahrungen im Bereich IT, insbesondere Programmiersprachen
gute Noten in Mathematik, Informatik und Naturwissenschaften sind von Vorteil

Darauf kannst Du dich freuen:
Teil eines Teams bestehend aus Auszubildenden, ehemaligen Auszubildenden, Mentoren und motivierten Kollegen
Moderne Programmiersprachen und bewährte Programmierparadigmen
Interne Weiterbildungsangebote
Flexibles Umfeld mit Home-Office-Möglichkeiten
Gute Erreichbarkeit mit dem ÖPNV (8 Min. Fußweg vom Darmstädter Hauptbahnhof)","Das solltest Du mitbringen:
Fachhochschulreife oder Abitur
gute schriftliche und mündliche Ausdrucksweise
Teamfähigkeit, Aufgeschlossenheit, Kreativität und Flexibilität, Wissensdurst
Erste praktische Erfahrungen im Bereich IT, insbesondere Programmiersprachen
gute Noten in Mathematik, Informatik und Naturwissenschaften sind von Vorteil",2026-06-12T21:20:22.322473+00:00
13649-10637771AZ-S,fachinformatiker_ae,dynadev GmbH,Darmstadt,64293 Darmstadt,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,67,partner_portal,,https://www.azubi.de/ausbildungsplatz/10637771?utm_campaign=job&utm_medium=premiumcpc&utm_source=BAG&utm_content=job,portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/13649-10637771AZ-S,dynadev GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Darmstadt,tidak,belum,sedang,"Einleitung:

Du wolltest schon immer Wissen, wie der Arbeitsalltag in einer IT-Firma aussieht, hast dich schon mit Programmiersprachen beschäftigt oder Computer auseinander- und wieder zusammengebaut? Wenn ja, solltest du dich unbedingt bei uns als Fachinformatiker für Anwendungsentwicklung oder Systemintegration bewerben!


In deiner Ausbildung wirst du alles von PHP über Java bis TypeScript/JavaScript erfahren und lernen.


Du wirst die Programmiersprachen beherrschen und mit deren Hilfe eine große Bandbreite an betriebsinternen oder kundenorientierten Softwarelösungen sowie Anwendungen für Unternehmen und Kunden entwickeln.


Auf dich wartet ein Rundumblick in die Softwareentwicklung – von Webportalen, über Skripten bis hin zu Desktop Anwendungen.


Was du mitbringen solltest:

* mindestens einen guten Realschulabschluss und zu deinen Lieblingsfächern gehört u. a. Mathe und Englisch
* Spaß am Arbeiten mit dem PC und Liebe zur Technik
* Teamfähigkeit, Kreativität und Aufgeschlossenheit
* eine gute schriftliche und mündliche Ausdrucksweise


Was wir bieten:

* interne Weiterbildungsangebote
* flexible Arbeitszeitenplanung
* Home-Office Möglichkeiten
* einen eigenen Laptop sowie weitere Hardware
* Übernahmechancen 


Die dynadev GmbH befindet sich nur 5 Minuten fußläufig vom Hauptbahnhof in Darmstadt entfernt und liegt nahe der A5 was die Anreise sowohl mit den öffentlichen Verkehrsmitteln als auch mit dem Auto einfach gestaltet.


Durch die flexiblen Arbeitsplätze in unserem Büro, ist es möglich zwischen Home-Office und der Arbeit im Office zu wechseln.


Bei uns ist ein Ausbildungsstart nicht nur zum klassischen Beginn im Sommer möglich - auch ein Einstieg mitten im Jahr ist jederzeit machbar. Egal, ob du dich für eine Ausbildung neu entscheidest, einen Ausbildungswechsel anstrebst oder eine Umschulung beginnen möchtest: Wir unterstützen dich dabei, den passenden Weg zu finden und schnell durchzustarten.


Weitere Informationen zu unseren Ausbildungsangeboten findest du auch auf unserer Karriere-Seite: https://www.dynadev.de/karriere/ausbildung/


Was dich erwartet:

* Entwicklung von Softwarelösungen
* Implementierungen von Webanwendungen
* Content Management auf Kundenwebsites
* erstellen von Kunden- und Entwicklerdokumentationen mit Confluence
* Mitwirkung in einem agilen IT-Projekt nach SCRUM",,2026-06-11T09:12:39.816987+00:00
STEP-14026781,stepstone_de_ae,BAYOONET Service GmbH & Co. KG,Darmstadt,"Darmstadt, Deutschland Darmstadt",Ausbildung | als Fachinformatiker (m/w/d) für Anwendungsentwicklung,ae,,,,53,empty,,https://twitter.com/stepstone_de,portal,,,BAYOONET Service GmbH & Co. KG | Ausbildung | als Fachinformatiker (m/w/d) für Anwendungsentwicklung | Darmstadt,tidak,belum,sedang,"Ausbildung als Fachinformatiker (m/w/d) für Anwendungsentwicklung

Deine Aufgaben
Als angehender Auszubildender Fachinformatiker (m/w/d) für Anwendungsentwicklung unterstützt Du unser Team bei spannenden Entwicklungsprojekten unserer internationalen Kund:innen. Vom ersten Tag an bist du ein vollwertiges Mitglied unseres Teams. Dein Tätigkeitsbereich umfasst die Konzeption und Entwicklung von Softwarelösungen nach agilen Softwareentwicklungsmodellen mit dem Schwerpunkt der Entwicklung von (Web-) Anwendungen in C# und Java oder mobilen Anwendungen unter Android und iOS. Sowohl in der Berufsschule als auch in Deinem Berufsalltag bei uns lernst Du alles über das Programmieren. Das Gelernte kannst Du dann direkt in Projekten umsetzen.
Aktive Mitgestaltungsmöglichkeiten in spannenden und herausfordernden Aufgaben und Projekten
Eine positive Fehlerkultur, in der wir Erfolge feiern und unsere Zusammenarbeit kontinuierlich verbessern
Freiraum für Deine eigene berufliche Entwicklung
Objektives Karrieremodell für Fach- oder Führungslaufbahnen
Unsere BAYOONIVERSITY für Erfahrungsaustausch und Weiterbildung, spannende Schulungen, Tech Talks sowie Firmenausflüge und -events
Flache Hierarchien in crossfunktionalen Teams
Flexible Arbeitszeiten und -modelle, bei denen keine Arbeitsstunde verfällt
Wachsendes Urlaubskontingent nach Firmenzugehörigkeit
Leistungsorientierte Bezahlung mit Option zur betrieblichen Altersvorsorge
Höhenverstellbare Multiscreen-Arbeitsplätze sowie leistungsstarke Laptops
Bestens erreichbare Standorte mit dem ÖPNV und mit dem Auto
Und natürlich moderne, helle Büros, Themen-Meetingräume, frisches Obst, Kaffee und Getränke
Haben wir Dein Interesse geweckt?

Dein Profil
Gutes (Fach-) Abitur
Begeisterung für Technik und IT-Themen
Spaß am Lernen und viel Motivation
Sehr gute Sprachkenntnisse in Deutsch und Englisch
Neben Deinem technischen und fachlichen Knowhow zeichnet Dich soziale Kompetenz aus. Du bist zuverlässig, engagiert und flexibel. Du bist fähig, aktiv zuzuhören und verfügst sowohl über ein hohes Maß an Eigenständigkeit als auch eine hohe Teamfähigkeit. Vor allem bist du ein:e Mitdenker:in.
Das kannst Du erwarten
Software EngineeringDarmstadtPosted 8 Monaten ago
Vielfältige Teams aus Mitdenker:innen und Kund:innen, die kollaborativ und auf Augenhöhe zusammenarbeiten","Dein Profil
Gutes (Fach-) Abitur
Begeisterung für Technik und IT-Themen
Spaß am Lernen und viel Motivation
Sehr gute Sprachkenntnisse in Deutsch und Englisch
Neben Deinem technischen und fachlichen Knowhow zeichnet Dich soziale Kompetenz aus. Du bist zuverlässig, engagiert und flexibel. Du bist fähig, aktiv zuzuhören und verfügst sowohl über ein hohes Maß an Eigenständigkeit als auch eine hohe Teamfähigkeit. Vor allem bist du ein:e Mitdenker:in.
Das kannst Du erwarten
Software EngineeringDarmstadtPosted 8 Monaten ago
Vielfältige Teams aus Mitdenker:innen und Kund:innen, die kollaborativ und auf Augenhöhe zusammenarbeiten",2026-06-12T20:14:17.925388+00:00
MAD-2448815445,meine_ausbildung_ae,appJobber wer denkt was GmbH,Darmstadt,,Ausbildung zum Fachinformatiker (m/w/d) Fachrichtung Anwendungsentwicklung,ae,,,,40,company,,https://werdenktwas.de/wp-content/uploads/2026/05/2026-05-04-Azubi-Fachinformatiker-Anwendungsentwicklung.pdf?utm_source=meine-ausbildung-in-deutschland,portal,,,appJobber wer denkt was GmbH | Ausbildung zum Fachinformatiker (m/w/d) Fachrichtung Anwendungsentwicklung | Darmstadt,ya,belum,rendah,Ausbildung zum Fachinformatiker (m/w/d) Fachrichtung Anwendungsentwicklung,,2026-06-11T11:37:14.682309+00:00
MAD-2435091475,meine_ausbildung_ae,Technische Universität Darmstadt,Darmstadt,,Fachinformatiker:in (w/m/d) für Anwendungsentwicklung,ae,,,,40,company,,https://www.hrz.tu-darmstadt.de/ueber_uns/karriere/ausbildung/it_ausbildungsberufe/fachinformatiker_in_fuer_anwendungsentwicklung/index.de.jsp?utm_source=meine-ausbildung-in-deutschland,portal,,,Technische Universität Darmstadt | Fachinformatiker:in (w/m/d) für Anwendungsentwicklung | Darmstadt,ya,belum,rendah,Fachinformatiker:in (w/m/d) für Anwendungsentwicklung,,2026-06-11T11:46:54.094415+00:00
STEP-14088756,stepstone_de_dpa,cirromed GmbH,Darmstadt,Darmstadt Darmstadt,Ausbildung | Fachinformatiker/-in Daten- und Prozessanalyse (m/w/d),dpa,,,,67,empty,,https://twitter.com/stepstone_de,portal,Kontakt,,cirromed GmbH | Ausbildung | Fachinformatiker/-in Daten- und Prozessanalyse (m/w/d) | Darmstadt,tidak,belum,sedang,"Ausbildung Fachinformatiker/-in Daten- und Prozessanalyse (m/w/d)

Das solltest Du mitbringen:
Fachhochschulreife oder Abitur
gute schriftliche und mündliche Ausdrucksweise
Teamfähigkeit, Aufgeschlossenheit, Kreativität und Flexibilität, Wissensdurst
Erste praktische Erfahrungen im Bereich IT, insbesondere Programmiersprachen
gute Noten in Mathematik, Informatik und Naturwissenschaften sind von Vorteil

Darauf kannst Du dich freuen:
Teil eines Teams bestehend aus Auszubildenden, ehemaligen Auszubildenden, Mentoren und motivierten Kollegen
Moderne Programmiersprachen und bewährte Programmierparadigmen
Interne Weiterbildungsangebote
Flexibles Umfeld mit Home-Office-Möglichkeiten
Gute Erreichbarkeit mit dem ÖPNV (8 Min. Fußweg vom Darmstädter Hauptbahnhof)","Das solltest Du mitbringen:
Fachhochschulreife oder Abitur
gute schriftliche und mündliche Ausdrucksweise
Teamfähigkeit, Aufgeschlossenheit, Kreativität und Flexibilität, Wissensdurst
Erste praktische Erfahrungen im Bereich IT, insbesondere Programmiersprachen
gute Noten in Mathematik, Informatik und Naturwissenschaften sind von Vorteil",2026-06-12T21:20:49.543139+00:00
STEP-14088917,stepstone_de_ae,cirromed GmbH,Darmstadt,Darmstadt Darmstadt,Ausbildung | Fachinformatiker/-in Systemintegrator (m/w/d),si,,,,67,empty,,https://twitter.com/stepstone_de,portal,Kontakt,,cirromed GmbH | Ausbildung | Fachinformatiker/-in Systemintegrator (m/w/d) | Darmstadt,tidak,belum,sedang,"Ausbildung Fachinformatiker/-in Systemintegrator (m/w/d)

Ihre Aufgaben
Deine Ausbildungsschwerpunkte:
Hier erwartet Dich ein Rundumblick in den Aufbau, Betrieb und Wartung von Infrastruktur - von Client PCs über Anwenderprobleme bis hin zur Server Verwaltung und Absicherung dieses Gesamtsystems. Hierbei machen wir keinen Unterschied zwischen Linux und Win
Im Rahmen Deiner Ausbildung wirst Du verschiedene Teilbereiche durchlaufen und Deine Berufung finden können. Unterstützung erfährst Du dabei von unseren Mentoren, ehemaligen Auszubildenden und der Ausbildungsbeauftragten

Das solltest Du mitbringen:
Fachhochschulreife oder Abitur
gute schriftliche und mündliche Ausdrucksweise
Teamfähigkeit, Aufgeschlossenheit, Kreativität und Flexibilität, Wissensdurst
technisches Verständnis und idealerweise erste praktische Erfahrungen im Bereich IT
gute Noten in Mathematik, Informatik und Naturwissenschaften sind von Vorteil

Darauf kannst Du dich freuen:
Du wirst Teil eines Teams bestehend aus Auszubildenden, ehemaligen Auszubildenden, Mentoren und motivierten Kollegen
Du lernst wie sich Projekte im Bereich Systemintegration realisieren lassen
Du unterstützt bei der Entwicklung von Lösungsvorschlägen und lernst, wie Systeme neu eingeführt werden
Du lernst wie du unsere Entwickler unterstützen kannst beim Bereitstellen der benötigten Infrastruktur
Du erhältst einen Einblick in die Zusammenarbeit im Service Management
Wir bieten
Du kannst ein flexibles Umfeld bspw. durch Home Office Möglichkeiten in Anspruch nehmen
Unser Unternehmen ist zudem gut mit dem ÖPNV erreichbar (8 Min. Fußweg vom Darmstädter Hauptbahnhof)","Das solltest Du mitbringen:
Fachhochschulreife oder Abitur
gute schriftliche und mündliche Ausdrucksweise
Teamfähigkeit, Aufgeschlossenheit, Kreativität und Flexibilität, Wissensdurst
technisches Verständnis und idealerweise erste praktische Erfahrungen im Bereich IT
gute Noten in Mathematik, Informatik und Naturwissenschaften sind von Vorteil",2026-06-12T20:06:59.717351+00:00
AZDE-11725939,azubi_de_fi,Opticom IT-Systemhaus GmbH,Darmstadt,64295 Darmstadt DE,Ausbildung | zum Fachinformatiker für Systemintegration (m/w/d) – Start 2026,si,,,,67,empty,personal@opticom.it,https://www.azubi.de/ausbildungsplatz/11725939-b-ausbildung-zum-fachinformatiker-fuer-systemintegration-m-w-d-start-2026/apply,email,,,Opticom IT-Systemhaus GmbH | Ausbildung | zum Fachinformatiker für Systemintegration (m/w/d) – Start 2026 | Darmstadt,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker für Systemintegration (m/w/d) – Start 2026

Das lernst du bei uns
Während deiner Ausbildung wirst du Schritt für Schritt zum IT-Profi ausgebildet und arbeitest aktiv im Team mit.
Du lernst unter anderem:
- PCs, Notebooks und Serversysteme installieren und konfigurieren
- Netzwerke planen, aufbauen und betreuen
- Windows-Systeme und Server administrieren
- IT-Systeme überwachen und Fehler analysieren
- Benutzerkonten und IT-Dienste einrichten
- Datensicherungen erstellen und Systeme wiederherstellen
- Kunden bei IT-Problemen unterstützen
- an spannenden IT-Projekten mitarbeiten
Außerdem bekommst du Einblicke in moderne Technologien wie:
- Server- und Netzwerkinfrastruktur
- Virtualisierung und Rechenzentrumsbetrieb
- IT-Sicherheit und Firewall-Systeme
- Monitoring- und Backup-Systeme
Du wirst dabei von erfahrenen Kollegen begleitet und lernst Schritt für Schritt, komplexe IT-Systeme zu verstehen und zu betreiben.

Einleitung
Ausbildung zum Fachinformatiker für Systemintegration (m/w/d) – Start 2026
Standort: Darmstadt
Ausbildungsbeginn: 03. August 2026
Ausbildungsdauer: 3 Jahre
Werde Teil unseres IT-Teams
Du interessierst dich für Computer, Netzwerke und moderne IT-Systeme?
Du möchtest nicht nur Theorie lernen, sondern von Anfang an echte IT-Projekte erleben?
Dann starte deine Ausbildung bei der opticom IT-Systemhaus GmbH.
Seit über 34 Jahren planen, bauen und betreiben wir professionelle IT-Infrastrukturen für Unternehmen. Dazu gehören Netzwerke, Serversysteme, IT-Sicherheit sowie eigene Hosting- und Rechenzentrumsplattformen.
Bei uns lernst du IT nicht nur aus Büchern – du arbeitest direkt mit echten Systemen, echten Projekten und echten Kunden.
Das solltest du mitbringen
- Fachhochschulreife, Abitur oder sehr guter Realschulabschluss
- Interesse an Computern, Technik und IT-Systemen
- logisches Denken und Spaß am Lösen von Problemen
- Motivation, Neues zu lernen
- Teamfähigkeit und freundlicher Umgang mit Menschen
Ein Führerschein Klasse B ist von Vorteil bzw. sollte spätestens während der Ausbildung vorhanden sein.

Das bieten wir dir
Bei uns erwartet dich keine langweilige Ausbildung, sondern echte Praxis.
Wir bieten dir:
- eine praxisnahe Ausbildung mit echten IT-Projekten
- Einblick in professionelle Netzwerke und Serversysteme
- Mitarbeit im Betrieb moderner IT-Infrastrukturen
- ein erfahrenes Team mit viel Know-how
- moderne Arbeitsplätze und aktuelle Technik
- gute Übernahmechancen nach der Ausbildung
Außerdem:
- flexible Arbeitszeiten
- Weiterbildungsmöglichkeiten und Zertifizierungen
- modernes Arbeitsumfeld
- kostenlose Getränke und eine eigene Küche
- regelmäßige Team-Events
Bewirb dich jetzt
Wir freuen uns auf deine Bewerbung.","Einleitung
Ausbildung zum Fachinformatiker für Systemintegration (m/w/d) – Start 2026
Standort: Darmstadt
Ausbildungsbeginn: 03. August 2026
Ausbildungsdauer: 3 Jahre
Werde Teil unseres IT-Teams
Du interessierst dich für Computer, Netzwerke und moderne IT-Systeme?
Du möchtest nicht nur Theorie lernen, sondern von Anfang an echte IT-Projekte erleben?
Dann starte deine Ausbildung bei der opticom IT-Systemhaus GmbH.
Seit über 34 Jahren planen, bauen und betreiben wir professionelle IT-Infrastrukturen für Unternehmen. Dazu gehören Netzwerke, Serversysteme, IT-Sicherheit sowie eigene Hosting- und Rechenzentrumsplattformen.
Bei uns lernst du IT nicht nur aus Büchern – du arbeitest direkt mit echten Systemen, echten Projekten und echten Kunden.
Das solltest du mitbringen
- Fachhochschulreife, Abitur oder sehr guter Realschulabschluss
- Interesse an Computern, Technik und IT-Systemen
- logisches Denken und Spaß am Lösen von Problemen
- Motivation, Neues zu lernen
- Teamfähigkeit und freundlicher Umgang mit Menschen
Ein Führerschein Klasse B ist von Vorteil bzw. sollte spätestens während der Ausbildung vorhanden sein.",2026-06-13T10:37:58.607617+00:00
