id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
12743-43596380-819-S,fachinformatiker_ae_2026,EDAG Engineering GmbH,Fulda,36037 Fulda,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,8,"gehalt (in Höhe von 85%), Rabatte in lokalen sowie Online-Shops",93,company,,https://www.arbeitsagentur.de/jobsuche/jobdetail/12743-43596380-819-S,ba_portal,"*  Deine Ausbildung beginnt am 01.08.2026 mit einer mehrmonatigen Einarbeitung, in der du das Unternehmen, deine Ansprechpartner* und auch andere Auszubildende kennenlernst.
*  Die Ausbildung umfasst drei Jahre in Form einer dualen Ausbildung. Das theoretische Wissen eignest du dir an einer Berufsschule an. Bei uns lernst du dieses Wissen praktisch anzuwenden.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12743-43596380-819-S,EDAG Engineering GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Fulda,ya,belum,rendah,"Als globaler und unabhängiger Engineering Partner entwickeln wir Lösungen sowohl in der Mobiliätsbranche als auch in non-automotive Bereichen. Dabei konzentrieren wir uns nicht nur auf einzelne Bauteile, sondern setzen darüber hinaus die komplette Gesamtfahrzeugentwicklung um und erarbeiten zukunftsweisende Lösungen im Anlagenengineering. Von der Konzeptphase über den Prototypen bis zum fertigen Fahrzeug inklusive der Gestaltung von ganzen Produktionsanlagen definieren unsere interdisziplinären Expertenteams die Mobilitäts- und Industriebereiche von morgen.
Die Inhalte deiner Ausbildung:
  *  Kennenlernen von verschiedenen Programmier- bzw. Skriptsprachen sowie Datenbanksystemen, um dich in der komplexen IT-Welt zu verständigen und Softwareentwicklungstools sinnvoll einzusetzen
  *  Realisierung kundenspezifischer Softwareanwendungen oder anwenderfreundlichen Bedienoberflächen
  *  Planung und Durchführung von Anwenderschulungen und -präsentationen für zukünftige Benutzer
  *  Behebung von Fehlern und Störungen sowie Durchführung notwendiger Anpassungen an der Software
  *  Entwicklung neuer Anwendungen sowie Anpassung und Testung bestehender Software

Dein Weg zum ausgebildeten Fachinformatiker*:
  *  Deine Ausbildung beginnt am 01.08.2026 mit einer mehrmonatigen Einarbeitung, in der du das Unternehmen, deine Ansprechpartner* und auch andere Auszubildende kennenlernst.
  *  Die Ausbildung umfasst drei Jahre in Form einer dualen Ausbildung. Das theoretische Wissen eignest du dir an einer Berufsschule an. Bei uns lernst du dieses Wissen praktisch anzuwenden.


Deine Stärken:
  *  Realschulabschluss, Fachhochschulreife oder Allgemeine Hochschulreife
  *  Interesse an Hardware, Betriebssystemen und Software sowie deren Entwicklung
  *  Gutes mathematisches und logisches Denkvermögen sowie Interesse an technischen Zusammenhängen
  *  Eine strukturierte, sorgfältige und eigenständige Arbeitsweise sowie eine hohe Lernbereitschaft
  *  Gute Deutsch- und Englischkenntnisse

Hier geht's zum Video: EDAG Ausbildung Fachinformatiker*in - Milena und Saad
Du möchtest dich in Programmiersprachen unterhalten können? Oder kannst es bereits? Perfekt! Wenn du Lust bekommen hast auf den vielseitigen, zukunftsorientierten Beruf fehlt nur noch eines: Deine Bewerbung!
Unsere Benefits für dich:
  *  flexible Arbeitszeiten
  *  eine überdurchschnittliche Ausbilungsvergütung vom ersten Tag an
  *  qualifizierte Einarbeitung und Prüfungsvorbereitung vor den Zwischen- bzw. Abschlussprüfungen
  *  Vermögenswirksame Leistungen, 13. Monatsgehalt (in Höhe von 85%), Rabatte in lokalen sowie Online-Shops
  *  Mietkostenzuschuss für duale Studierende
  *  Möglichkeit des Auslandssemesters für duale Studierende
  *  After Work Networking und regelmäßige Betriebsveranstaltungen 

und vieles mehr.
*Diese Benefits sind abhängig von der jeweiligen Tätigkeit, dem Standort oder der Infrastruktur.
Das klingt nach deiner nächsten Herausforderung?
Dann freuen wir uns auf deine Bewerbung über unsere Karriereseite: https://www.edag.com/de/karriere
Dort findest du auch spannende Einblicke in EDAG als Arbeitgeber, alle kommenden Job-Messen und viele weitere Infos.
Bei Fragen erreichst du uns gerne von Montag bis Freitag zwischen 8:00 und 13:00 Uhr unter: 08458 32382480

Wir freuen uns auf dich!

*Geschlecht, Alter, Nationalität und Religion sind für uns nicht relevant - was zählt, bist Du.",Mittlere Reife / Realschulabschluss,2026-06-11T08:13:33.635793+00:00
10001-1002943014-S,fachinformatiker_ae,Bürosystemhaus Schäfer GmbH & Co. KG,Fulda,"Haimbacher Str. 24, 36041 Fulda",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,8,,87,ba_portal,job@buerosystemhaus.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002943014-S,email,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002943014-S,Bürosystemhaus Schäfer GmbH & Co. KG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Fulda,tidak,belum,tinggi,"Wir suchen zur Verstärkung unseres Team\`s in Fulda **zum 01.08.2026**\*\* einen talentierten 

### **Auszubildenden Fachinformatiker - Anwendungsentwickler (m/w/d)\*\***

## Über uns:

Das Bürosystemhaus Schäfer GmbH & Co. KG implementiert bei seinen Kunden digitale Dokumentenprozesse und entwickelt ein eigenes ERP-System für Technik und IT Unternehmen.

**Deine Aufgaben im Team während der Ausbildung:**

• Entwicklung von Schnittstellen und Automatisierungslösungen

• Entwicklung und Pflege von Webseiten

• Die Papierprozesse unserer Kunden in digitale Lösungen überführen

• Die hauseigene Infrastruktur betreuen und den Kollegen bei IT-Problemen helfen

**Dein Profil:**

• Abgeschlossene mittlere Reife oder höherer Abschluss

• Interesse an IT und Programmierung

• Teamfähigkeit und Eigeninitiative

**Wir bieten:**

• Eine abwechslungsreiche Tätigkeit mit viel Gestaltungsspielraum

• Flexible Arbeitszeiten und die Möglichkeit zum Homeoffice nach Absprache ab dem 2ten Lehrjahr

• Mitarbeit an spannenden Digitalisierungsprojekten

• Weiterbildungsmöglichkeiten und individuelle Förderung

### Bitte sende deine Bewerbung an: job@buerosystemhaus.de","**Dein Profil:**
• Abgeschlossene mittlere Reife oder höherer Abschluss
Mittlere Reife / Realschulabschluss",2026-06-11T09:14:28.536741+00:00
10001-1002784385-S,fachinformatiker_ae_2026,addvalue GmbH,Fulda,"Ernst-Barlach-Str. 20, 36041 Fulda",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,Jahr 1: 850 EUR/Monat | Jahr 2: 900 EUR/Monat | Jahr 3: 950 EUR/Monat,80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002784385-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002784385-S,addvalue GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Fulda,ya,belum,rendah,"Ohne Computer oder Smartphone geht fast nichts mehr in der modernen Arbeitswelt. Doch bevor diese uns hilfreiche Dienste erweisen können, müssen sie erst einmal entsprechend programmiert werden. Als Fachinformatiker/in Anwendungsentwicklung erfüllst Du die individuellen Softwarewünsche unserer Kunden, indem Du neue Anwendungen entwickelst oder bestehende Software anpasst.

Nach Deiner dreijährigen Ausbildung entscheidest Du selbst, wie es für Dich weitergehen soll. Du kannst Dich für eine Fachkarriere entscheiden. Oder möchtest Du vielleicht ein berufsbegleitendes Studium absolvieren? Vielleicht doch lieber Weiterbildung und Zertifizierung? Dir stehen alle Türen offen!

### Das bringst Du mit...

Schulnoten sind nicht alles was zählt. Am besten kannst Du uns überzeugen mit:

- Deinem Talent
- Deinem Engagement
- Deiner Persönlichkeit
- HTML & CSS Kenntnisse wünschenswert

### Deswegen bist Du bei uns richtig mit...

- Interesse an Web- & App-Entwicklung sowie Websites & Shops
- Spaß an Teamarbeit, aber auch an selbstständiger Problemlösung
- Mobilität und Flexibilität

### Was wir Dir bie­ten...

Bei uns startest Du mit einer fundierten und abwechslungsreichen Ausbildung in eine wachsende Zukunftsbranche, mit besten Chancen, danach übernommen zu werden.","### Das bringst Du mit...
Schulnoten sind nicht alles was zählt. Am besten kannst Du uns überzeugen mit:
Mittlere Reife / Realschulabschluss",2026-06-11T08:12:44.823181+00:00
12444-1440530-1-S,fachinformatiker_ae_2026,Deutsche Telekom AG,Fulda,36043 Fulda,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,9,,73,company,,https://www.arbeitsagentur.de/jobsuche/jobdetail/12444-1440530-1-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/12444-1440530-1-S,Deutsche Telekom AG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Fulda,ya,belum,rendah,"Stellen-ID: 289472_TA

Einstiegsart: Ausbildung
Ausbildungsbeginn: 01.09.2026
Dauer: 3 Jahre
Vergütung: 1.287 bis 1.393 Euro
Standort: Fulda

Aufgabe

In unserer Ausbildung zum Fachinformatiker bzw. zur Fachinformatikerin der Fachrichtung Anwendungsentwicklung lernst du die individuellen Softwarewünsche unserer Kundinnen und Kunden zu erfüllen, indem du neue Anwendungen im Umfeld eines modernen Technologiekonzerns entwickelst oder bestehende Softwarelösungen anpasst.

Diese Ausbildungsinhalte erwarten dich u.a.:
- Erstellen oder Anpassen von Computerprogrammen und Software wie Apps, Websites oder auch Spielen
- Umsetzung oder Anpassungen von Benutzerschnittstellen sowie Softwareanbindungen
- Verwaltung und Konfiguration sowie Testen von Software, für eine fehlerfreie und sichere Funktion sowie Datenübertragung
- Durchführen von Schulungen oder auch Kundenberatung zum Einsatz von Computerprogrammen, Software allgemein sowie Technologien

Detailliertere Informationen über die gesamten Ausbildungsinhalte findest du hier [https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/80000].

Ein möglicher Einsatzbereich während der Ausbildung kann z.B. bei T-Systems sein, wo du kundenspezifische Softwarelösungen und Schnittstellen entwickelst.
Wenn du jetzt wissen willst, wie wir eine digitale Zukunft gestalten und woran wir arbeiten, dann schaue hier [https://www.telekom.com/de/karriere/woran-wir-arbeiten] in die Business Bereiche der Deutschen Telekom!

Nach dem Abschluss? Dir stehen viele Türen offen! Ob im Support Engineering oder Software Development – bei uns hast du beste Chancen, deine Karriere in spannenden Bereichen zu starten. Und das ist erst der Anfang! Mit unseren vielfältigen Weiterbildungsmöglichkeiten wächst du stetig weiter. Mit unserem Programm Bologna@Telekom bieten wir dir die Möglichkeit, nach deinem Abschluss bei der Telekom berufsbegleitend zu studieren. Dazu arbeiten wir mit ausgewählten Hochschulen zusammen, die dir eine Vielzahl an Studiengängen anbieten.


Profil

Bei uns stehst du im Mittelpunkt! Wir gestalten gemeinsam deinen Karriereweg und arbeiten an Projekten, die echten Mehrwert für dich und die Gesellschaft bieten.

Um bei uns richtig durchzustarten, solltest du Folgendes mitbringen:

- Haupt-/Realschulabschluss, Abitur oder einen vergleichbaren Schulabschluss
- Interesse an der Telekommunikationsbranche
- Die Arbeit im Team gefällt dir, du gehst aktiv auf andere Menschen zu und bietest deine Unterstützung an
- Technische Neuheiten & digitale Medien begeistern dich, du bist am Puls der Zeit und teilst gerne dein Wissen
- Begeisterung für Computertechnik, Programmieren und mathematisch-technische Aufgaben
- Englischkenntnisse
- Du hast Spaß am Lernen und hast das Ziel stets fest im Blick","Detailliertere Informationen über die gesamten Ausbildungsinhalte findest du hier [https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/80000].
Ein möglicher Einsatzbereich während der Ausbildung kann z.B. bei T-Systems sein, wo du kundenspezifische Softwarelösungen und Schnittstellen entwickelst.
Wenn du jetzt wissen willst, wie wir eine digitale Zukunft gestalten und woran wir arbeiten, dann schaue hier [https://www.telekom.com/de/karriere/woran-wir-arbeiten] in die Business Bereiche der Deutschen Telekom!
Hauptschulabschluss",2026-06-11T08:13:24.331038+00:00
10001-1002632869-S,fachinformatiker_ae_2026,LANsoftware GmbH,Fulda,"Königstr. 42, 36037 Fulda",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,73,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002632869-S,ba_portal,"Großen Wert legen wir auf exzellenten Support und Service, denn wir sind davon überzeugt, dass unsere Kundinnen und Kunden mehr Freude an der Arbeit mit der Software haben, wenn sie bei Fragen schnelle und professionelle Unterstützung bekommen.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002632869-S,LANsoftware GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Fulda,ya,belum,rendah,"Seit über 35 Jahren sind wir ein erfolgreiches und familiengeführtes Softwareunternehmen mit Sitz in Fulda. Mit unserer Softwarelösungen für Bildungsstätten und Seminarhäuser nehmen wir bundesweit eine marktprägende Stellung ein. Darüber hinaus bieten wir als autorisierter Partner für betriebswirtschaftliche Softwarelösungen der Sage Software GmbH individuelle und passgenaue Lösungen für unsere Kundinnen und Kunden.

Großen Wert legen wir auf exzellenten Support und Service, denn wir sind davon überzeugt, dass unsere Kundinnen und Kunden mehr Freude an der Arbeit mit der Software haben, wenn sie bei Fragen schnelle und professionelle Unterstützung bekommen.

Bereits seit 1994 sind wir Ausbildungsbetrieb im IHK-Bezirk Fulda. Viele unserer heutigen Mitarbeitenden haben ihre Ausbildung in unserem Unternehmen absolviert. Unsere Auszubildenden werden regelmäßig als Jahrgangsbeste auf Bezirks-, Landes- und Bundesebene ausgezeichnet – ein deutlicher Beleg für die hohe Qualität unserer Berufsausbildung.

Unsere Nachwuchskräfte werden von Anfang an ins Team integriert und erhalten eine vielseitige und abwechslungsreiche Ausbildung. Ziel ist es, sowohl fachliche Kompetenzen als auch persönliche Fähigkeiten nachhaltig zu fördern und dich optimal auf das Berufsleben vorzubereiten.

**Ausbildungsbeginn:**
August/September 2026

### **Was Du von uns lernst**

- Softwareentwicklung mit modernen Technologien und Programmiersprachen (C#, TypeScript, ASP.NET, .NET-Framework, MS SQL-Server, Microsoft Azure)
- Agile Methoden in der Softwareentwicklung
- Projektanalyse, -planung und -durchführung
- Qualitätssicherung in Softwareprojekten
- Anwendersupport und Betreuung für unsere Produkte

### **Was Du mitbringen solltest**

- Mittlere Reife oder einen vergleichbaren Abschluss
- Führerschein der Klasse B
- Teamfähigkeit, Zuverlässigkeit, Sorgfalt und Spaß am Lernen
- Gutes mathematisches und logisches Denkvermögen
- Grundkenntnisse einer Programmiersprache

### **Was wir Dir bieten**

- Eine fundierte Ausbildung
- Über 30 Jahre Erfahrung als Ausbildungsbetrieb
- Top-10-Ausbildungsbetrieb in Fulda
- Viele ausgezeichnete Absolvent:innen
- Interessante Herausforderungen und Eigenverantwortlichkeit
- Flexible Arbeitszeiten
- Ein engagiertes und hochmotiviertes Team
- Charity- und Teamevents
- Einen Kicker-Tisch für Zwischendurch
- Azubicoaching
- Diverse innerbetriebliche Trainings
- Vorbereitung auf Projekte und Abschlussarbeiten
- Hunde am Arbeitsplatz
- Gesundheitsvorsorge & Erholungsbeihilfe
- Gesundheitsförderung am Arbeitsplatz",Mittlere Reife / Realschulabschluss,2026-06-11T08:13:30.748282+00:00
MAD-2383366756,meine_ausbildung_ae,Jumo GmbH & Co. KG,Fulda,,Fachinformatiker (m/w/d) - Anwendungsentwicklung,ae,,,,40,company,,https://www.jumo.group/de/de/career/apprenticeship/fachinformatiker-anwendungsentwicklung,portal,,,Jumo GmbH & Co. KG | Fachinformatiker (m/w/d) - Anwendungsentwicklung | Fulda,ya,belum,rendah,Fachinformatiker (m/w/d) - Anwendungsentwicklung,,2026-06-11T11:59:32.287451+00:00
MAD-2420999516,meine_ausbildung_ae,SoftVision Development GmbH,Fulda,,Ausbildungsplatz zum Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://www.softvision.de/ueber-uns/jobs/?utm_source=meine-ausbildung-in-deutschland,portal,,,SoftVision Development GmbH | Ausbildungsplatz zum Fachinformatiker für Anwendungsentwicklung (m/w/d) | Fulda,ya,belum,rendah,Ausbildungsplatz zum Fachinformatiker für Anwendungsentwicklung (m/w/d),,2026-06-11T11:51:58.032979+00:00
MAD-2416106925,meine_ausbildung_ae,stafftastic GmbH,Fulda,,Ausbildung zum/zur Fachinformatiker:in für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://stafftastic.com/de/karriere/ausbildung-zum-fachinformatiker-fuer-anwendungsentwicklung-m-w-d?utm_source=meine-ausbildung-in-deutschland,portal,,,stafftastic GmbH | Ausbildung zum/zur Fachinformatiker:in für Anwendungsentwicklung (m/w/d) | Fulda,ya,belum,rendah,Ausbildung zum/zur Fachinformatiker:in für Anwendungsentwicklung (m/w/d),,2026-06-11T11:53:00.437232+00:00
MAD-2425318485,meine_ausbildung_ae,Weinrich GmbH & Co. KG,Fulda,,Ausbildung zum Fachinformatiker - Fachrichtung Anwendungsentwicklung (m/w/d) in Fulda,ae,,,,40,company,,https://www.weinrich.de/ausbildungsplaetze-fulda/ausbildung-fachinformatiker-fachrichtung-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,portal,,,Weinrich GmbH & Co. KG | Ausbildung zum Fachinformatiker - Fachrichtung Anwendungsentwicklung (m/w/d) in Fulda | Fulda,ya,belum,rendah,Ausbildung zum Fachinformatiker - Fachrichtung Anwendungsentwicklung (m/w/d) in Fulda,,2026-06-11T11:51:12.450656+00:00
AUBI-366478,aubi_plus_fi,Kerbl GmbH & Co. KG,Fulda,36039 Fulda,Ausbildung als Fachinformatiker*in mit Fachrichtung Systemintegration (m/w/d),si,,,"1.276,85 €, 1.276,85 €",73,empty,romina.trost@verw.hs-fulda.de,https://www.aubi-plus.de/bewerbung/,email,"Kontakt
Frau Katharina Ritter
Personalabteilung
Bewerbungsunterlagen
vollständige Bewerbungsunterlagen
aussagekräftige Bewerbungsunterlagen
die letzten 2 Schulzeugnisse
Tipp: Beziehe dich in deiner Bewerbung auf AUBI-plus!
Mit bewerbung2go kannst du deine Bewerbungsunterlagen erstellen.
Deine AUBI-plus Jobmail
Lass deinen Bot für dich suchen! Lege deine Suchkriterien fest und lehn dich zurück. Du bekommst aktuelle Stellen für deinen Traumberuf direkt per Mail zugeschickt.
SUCHBOT ERSTELLEN
Ähnliche Suchanfragen:
AUSBILDUNG FULDA
AUSBILDUNG IN HESSEN
AUSBILDUNG 2027
AUSBILDUNG ALS FACHINFORMATIKER FACHRICHTUNG SYSTEMINTEGRATION (M/W/D) IN FULDA
3 weitere Stellen, die dich interessieren könnten
Duales Studium Angewandte Informatik (B. Sc.) (m/w/d)
Hochschule Fulda
36039 Fulda
Ausbildung zum Elektroniker für Gebäudesystemintegration (m/w/d)
Kerbl GmbH & Co. KG
36100 Petersberg (Hessen)
01.08.2026
Duales Studium - Data Science und Künstliche Intelligenz (m/w/d)
Schaeffler Technologies AG & Co. KG
36179 Bebra
06.08.2026
AUBI-plus
Über uns
Karriere
Partner
FAQ
News & Events
Presse
Blog
Messen & Aktionstage
DEUTSCHES AUSBILDUNGSFORUM
Produkte & Dienstleistungen
Für Ausbildungsbetriebe
Für Hochschulen
Für Schulen
Für Eltern
Besuch uns auch auf:
Region ändern:
AUBI-plus Österreich (deutsch)
AUBI-plus Schweiz (deutsch)
AUBI-plus Italien (deutsch)
AUBI-plus
Impressum
AGB
Datenschutz
Bildrechte
Kontakt",,Kerbl GmbH & Co. KG | Ausbildung als Fachinformatiker*in mit Fachrichtung Systemintegration (m/w/d) | Fulda,tidak,belum,tinggi,"Ausbildung als Fachinformatiker*in mit Fachrichtung Systemintegration (m/w/d)

Das erwartet dich:
Als Fachinformatiker*in für Systemintegration sorgst du dafür, dass bei uns technisch alles rundläuft – ob im Büro, Hörsaal oder remote. In deiner Ausbildung lernst du, wie moderne IT-Systeme geplant, eingerichtet und betreut werden. Du unterstützt Kolleg*innen bei IT-Fragen, findest Lösungen, wenn's mal hakt, und bringst eigene Ideen in spannende Projekte ein. Technik, Teamwork und Verantwortung? Gibt’s bei uns ab dem ersten Tag!
Unsere dreijährige Ausbildung zur Fachinformatiker*in bindet dich von Anfang an aktiv in die vielfältigen IT-Abläufe unserer Hochschulcampus ein
Einblicke in viele spannende Bereiche - vom Support rund um Computer, Netzwerke und Telefonie über die Beratung und Schulung unserer Kolleg*innen bis zur Auswahl und Beschaffung von Hard- und Software
Digitaler Durchblick garantiert - ob Server, Clients, Netzwerke oder Cloud – du bekommst einen umfassenden Rundumblick über die digitale Infrastruktur
Mitwirkung an spannenden Projekten – setze eigene Ideen um und arbeite mit deinen Kolleg*innen im Team zusammen
Ausbildung auf Augenhöhe – mit persönlicher Betreuung, offener Feedbackkultur und kollegialem Miteinander
Die praktische Ausbildung findet hauptsächlich in unserem Rechenzentrum statt
Die Theorie erlernst du parallel in der Berufsschule (Ferdinand-Braun-Schule, Fulda)

Das bringst du mit:
Mindestens Realschulabschluss mit guten Noten in Mathematik, Deutsch und Englisch
Einen sicheren Umgang mit den MS Office-Anwendungen
Analytisches und logisches Denkvermögen und Freude im Umgang mit moderner Technik
Zuverlässigkeit, Kommunikationsfähigkeit, Teamgeist und Organisationsgeschick
International Bewerbende benötigen Deutschkenntnisse mit dem Niveau DSH 2/C1
Wünschenswert sind erste praktische Erfahrungen im IT-Bereich, z. B. im Rahmen eines Praktikums
Freue dich auf:
Persönliche Betreuung & Unterstützung durch engagierte Ausbilder*innen und Azubi-Paten
Einen starken Zusammenhalt unter Azubis durch gemeinsame Projekte, Teamevents und Austauschformate
Ein cooles Campusleben mit Food-Truck, Mensa, Sportangeboten & Events
Unsere Hochschul-, Landes- und Stadtbibliothek: Ob Buch, E-Book oder Konsole – hier findest du alles, was du brauchst

Eine attraktive Vergütung nach TVA-H BBiG – aktuell 1.276,85 € im ersten Ausbildungsjahr (jährlich steigend), Sonderzahlung, VWL und Abschlussprämie
Laptop & Fachliteratur für deine Ausbildungszeit
30 Urlaubstage + 5 Tage Prüfungsurlaub und eine flexible Arbeitszeitgestaltung
Das LandesTicket Hessen – kostenlos mit Bus & Bahn durch ganz Hessen
Individuelle Entwicklung – mit zusätzlichen Workshops, Lernangeboten, einer möglichen Sprachreise nach Irland (inkl. ERASMUS-Förderung)
Sehr gute Übernahmechancen in einem sicheren Job mit Sinn und Zukunft
Die Hochschule Fulda setzt sich für Chancengerechtigkeit ein und begrüßt ausdrücklich die Bewerbung von Menschen in all ihrer Vielfalt. Menschen mit Behinderung werden bei gleicher Eignung bevorzugt.
Die Chance, sich für den Ausbildungsbeginn 2026 zu bewerben, ist vorüber, aber keine Sorge – im kommenden Jahr stehen dir erneut Türen offen. Wir werden dich rechtzeitig über den Start des Bewerbungszeitraums informieren und freuen uns schon jetzt auf deine Bewerbung.
Für Rückfragen steht dir Romina Trost (romina.trost@verw.hs-fulda.de) zur Verfügung.
Wir freuen uns auf dich!
Stellendetails
Beruf:
Fachinformatiker / Fachinformatikerin Fachrichtung Systemintegration
Bewerbungsfrist:
Abgelaufen
Mindestabschluss:
Realschulabschluss / Mittlere Reife
mit guten Noten in Mathematik
Dauer:
3 Jahre
Referenz-Nr:
AUBI-366478
(Bitte in der Bewerbung angeben)
Kopieren
Dein persönlicher Matching-Score
Du willst wissen, wie gut diese Stelle zu dir passt? Dann registriere dich und mach das Matching. Mehr erfahren
Ausbildungsvergütung
1. Ausbildungsjahr: 1.276,85 €","Das bringst du mit:
Mindestens Realschulabschluss mit guten Noten in Mathematik, Deutsch und Englisch
Einen sicheren Umgang mit den MS Office-Anwendungen
Analytisches und logisches Denkvermögen und Freude im Umgang mit moderner Technik
Zuverlässigkeit, Kommunikationsfähigkeit, Teamgeist und Organisationsgeschick
International Bewerbende benötigen Deutschkenntnisse mit dem Niveau DSH 2/C1
Wünschenswert sind erste praktische Erfahrungen im IT-Bereich, z. B. im Rahmen eines Praktikums
Freue dich auf:
Persönliche Betreuung & Unterstützung durch engagierte Ausbilder*innen und Azubi-Paten
Einen starken Zusammenhalt unter Azubis durch gemeinsame Projekte, Teamevents und Austauschformate
Ein cooles Campusleben mit Food-Truck, Mensa, Sportangeboten & Events
Unsere Hochschul-, Landes- und Stadtbibliothek: Ob Buch, E-Book oder Konsole – hier findest du alles, was du brauchst",2026-06-13T14:49:41.715753+00:00
