id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
NRW-2550-4711,ausbildung_nrw_ae,Arineo GmbH,Göttingen,Pauliner Str. 12 37073 Göttingen,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2026),ae,,,,87,company,bewerbung@arineo.com,https://jobs.arineo.com/jobs/jobdetails/2267261/ausbildung-fachinformatik-fuer-anwendungsentwicklung-all-genders-goettingen,email,"Der Link führt in unser Jobportal. Suche dort nach der von dir ausgewählten Stelle, öffne diese und klicke dann auf den Button ""Jetzt bewerben"". Jetzt kannst du deine Kontaktdaten eingeben und deine Unterlagen hochladen.
Kontakt
0551 521380
Recruiterin | Ansprechpartnerin Ausbildung
0551521381352
maike.thoele@arineo.com
Social Media
Standort
+
–
⤢
Standorte
Werner-von-Siemens-Str. 1a
35510 Butzbach
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,Arineo GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2026) | Göttingen,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung (2026)

Fachinformatiker/in - Anwendungsentwicklung in Göttingen / Butzbach (2026)
Mehr Informationen
Angebote
Duale Ausbildung (Vollzeit)
Praktikum

Schon gewusst?
Wir sind ein kollegial organisiertes Unternehmen in Mitarbeitendenhand- das heißt, du kannst bei uns eigenverantwortlich arbeiten, Verantwortung übernehmen und darüber mitbestimmen, wie sich das Unternehmen in Zukunft weiterentwickeln soll. https://arineo.com/de/arbeiten-bei-arineo/
In deiner Ausbildung arbeitest du eher im Büro. Das hat den Vorteil, dass du zusammen mit den anderen Auszubildenden lernst und viele Kolleg:innen vor Ort kennenlernen kannst. Außerdem ist es einfacher, dich in deiner Ausbildung zu unterstützen. Nach der Ausbildung arbeitest du wie alle anderen Mitarbeitenden entweder im Homeoffice oder im Büro, ganz nach deiner persönlichen Präferenz.
Du kannst deinen Arbeitstag zeitlich weitestgehend flexibel gestalten. Das hängt natürlich immer von deinen Aufgaben und deinen Meetings ab.
Natürlich gibt es bei uns noch weitere Benefits wie Weiterentwicklungsangebote, Teamevents oder Sportangebote - schau gern mal bei uns rein und mach dir dein eigenes Bild : https://arineo.com/de/werde-teil-des-teams/schueler/
Wende dich bei Fragen einfach an Eileen.
P.S. Falls du dich jetzt gefragt haben solltest, ob es üblich ist, sich bei uns zu duzen. Ja, ist es ;-)
Mehr Informationen

So kannst du dich bewerben
Deine Bewerbungsunterlagen sendest du uns über unser Jobportal zu. Dazu klicke diesen Link: https://jobs.arineo.com/jobs
bewerbung@arineo.com
https://www.arineo.com
Pauliner Str. 12
37073 Göttingen
Maike Thöle",,2026-06-12T09:53:21.580839+00:00
10000-1204539030-S,fachinformatiker_ae_2026,MAHR GMBH,Göttingen,"Carl-Mahr-Str. 1, 37073 Göttingen",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204539030-S,ba_portal,"Sie sind bei uns richtig, wenn Sie mathematisches und technisches Verständnis mitbringen sowie Interesse an Computertechnologien haben. Neben einem sehr guten Abschluss der Realschule oder (Fach-)Abitur verfügen Sie über sprachliche Ausdrucksfähigkeit und Fremdsprachenkenntnisse. Kontaktfreudigkeit und ein sicheres Auftreten sowie selbstständiges Arbeiten runden Ihr Profil ab.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204539030-S,MAHR GMBH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Göttingen,ya,belum,rendah,"Höchste Präzision, moderne Technologien und internationale Präsenz – dafür steht Mahr. Als Hersteller innovativer Fertigungsmesstechnik sind wir seit über 150 Jahren am Markt aktiv. Diese Erfahrung macht uns zu Experten für die Qualitätssicherung in der Automobilindustrie, im Maschinenbau, der Luft- und Raumfahrt, der Optik und vielen anderen Branchen. Egal, ob manueller Handmessschieber oder vollautomatisierter Messplatz mit Roboterbeladung: in allen unseren Produkten stecken die Leidenschaft und das Know-how unserer mehr als 1.900 Mitarbeiter weltweit.

Alle zum Firmenverbund zählenden Unternehmensbereiche sind unter dem gemeinsamen Dach der Carl Mahr GmbH & Co. KG in Göttingen zusammengefasst. Die Gesellschaft ist neben der Koordinierung der unternehmerischen Interessen auch für den weltweiten Support der gesamten Gruppe zuständig. Für das Ausbildungsjahr 2026 suchen wir an unserem Hauptstandort in Göttingen

# Auszubildende als Fachinformatiker (m/w/d) für Anwendungsentwicklung - Beginn 2026

## Ihre Aufgaben

Als Projektmitarbeiter denken sich die Fachinformatiker/innen in die betrieblichen Besonderheiten ihrer Auftraggeber hinein, entwickeln anforderungsgerechte Softwarelösungen und realisieren diese. Sie kennen sich aus mit Software-Engineering und Software-Entwicklung und nutzen die gesamte Breite der aktuellen IuK-Technologien bis hin zu Multimediaanwendungen.

## Ihr Anforderungsprofil

Sie sind bei uns richtig, wenn Sie mathematisches und technisches Verständnis mitbringen sowie Interesse an Computertechnologien haben. Neben einem sehr guten Abschluss der Realschule oder (Fach-)Abitur verfügen Sie über sprachliche Ausdrucksfähigkeit und Fremdsprachenkenntnisse. Kontaktfreudigkeit und ein sicheres Auftreten sowie selbstständiges Arbeiten runden Ihr Profil ab.

**In unserer Unternehmensgruppe mit technologisch führenden Produkten und attraktiven familienfreundlichen Arbeitsbedingungen erwarten Sie ein erhebliches Maß an Eigenverantwortung, die Zusammenarbeit in einem Team sowie die Möglichkeit zur persönlichen und fachlichen Weiterentwicklung. Möchten Sie Mahr mit Ihrer Kreativität und Kompetenz voran bringen? Dann freuen wir uns auf Ihre aussagekräftigen Bewerbungsunterlagen!**

**Bitte nutzen Sie für Ihre Bewerbung unser Online-Formular.**

**https://www.mahr.com/de/karriere/jobportal**","Als Projektmitarbeiter denken sich die Fachinformatiker/innen in die betrieblichen Besonderheiten ihrer Auftraggeber hinein, entwickeln anforderungsgerechte Softwarelösungen und realisieren diese. Sie kennen sich aus mit Software-Engineering und Software-Entwicklung und nutzen die gesamte Breite der aktuellen IuK-Technologien bis hin zu Multimediaanwendungen.
## Ihr Anforderungsprofil
Mittlere Reife / Realschulabschluss",2026-06-11T08:13:36.227632+00:00
10000-1204635860-S,fachinformatiker_ae,Prof. Schumann GmbH,Göttingen,"Jutta-Limbach-Str. 1, 37073 Göttingen",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204635860-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204635860-S,Prof. Schumann GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Göttingen,ya,belum,rendah,"SCHUMANN steht für Stabilität, Kundenorientierung und Wachstum. Gemeinsam mit unseren Kunden aus den Bereichen Industry & Trade, Credit & Surety und Financial Services setzen wir Standards und die Trends von morgen!

Schließe dich unserer mehr als 200 Köpfe zählenden Familie an und schreibe mit uns die über 25 Jahre andauernde Erfolgsgeschichte fort. Bewirb dich jetzt für die Ausbildung.

## Ausbildungsschwerpunkte:

- Grundlagen des Programmierhandwerkes, insbesondere der Programmiersprache Java
- Kennenlernen der Standardsoftwareentwicklung
- Mitarbeit an Kundenprojekten
- Eigenständiges Umsetzen eines Hardwareprojektes
- Teilnahme an der Know-IT Göttingen mit einem eigenen Vortrag im 2. Lehrjahr

## Deine Talente und Eigenschaften:

- Abitur mit guten Leistungen im sprachlichen und mathematischen Bereich
- Ggf. Kenntnisse des Studienganges der (Wirtschafts-)Informatik, Physik, Mathematik oder sonstiger relevanter Studiengänge
- IT-Affinität
- Lust auf Herausforderung und Teamarbeit
- Motivation und Neugierde
- Idealerweise IT-Vorkenntnisse

## Unser Angebot:

- Fundierte und anspruchsvolle Ausbildung unter Nutzung aktuellster Technik
- Softwareentwicklung mit Java
- Direkte Einbindung in Kundenprojekte sowie Mitarbeit an der Weiterentwicklung von marktführender Standardsoftware
- Eine individuelle Betreuung und interne Weiterbildung
- Unternehmensindividueller Wirtschaftsunterricht
- Individuelle Entwicklungschancen und die Möglichkeit zur Spezialisierung
- Unterstützung bei der Erreichung persönlicher Ziele
- Eine produktive Arbeitsatmosphäre und flache Hierarchien
- Ein junges, motiviertes Team, das gerne neue Kollegen aufnimmt

## Weiterführende Informationen:

### Berufsbild: Fachinformatiker/in für Anwendungsentwicklung

Was ein/e Fachinformatiker/in für Anwendungsentwicklung so macht und ob dieser Beruf zu dir passt, das kannst du hier herausfinden!
[https://prof-schumann.com/berufsbild-fachinformatiker-in-fuer-anwendungsentwicklung](https://prof-schumann.com/berufsbild-fachinformatiker-in-fuer-anwendungsentwicklung)
 

### Ausbildung bei SCHUMANN

Hier erfährst du mehr darüber, wie die Ausbildung bei SCHUMANN abläuft, welche Erfahrungen bisherige Auszubildende gemacht haben und was dich sonst noch so erwartet!
[https://prof-schumann.com/ausbildung](https://prof-schumann.com/ausbildung)",Fachhochschulreife,2026-06-11T09:11:08.163184+00:00
STEP-14069535,stepstone_de_ae,Hogrefe-Verlag GmbH & Co. KG,Göttingen,Göttingen Göttingen,Ausbildung | zum Fachinformatiker (m/w/d) für Anwendungsentwicklung im Bereich Webentwicklung,ae,,,,67,empty,,https://twitter.com/stepstone_de,portal,"Kontakt
Bei Fragen kontaktiere unseren Ausbildungskoordinator Karsten gern per WhatsApp unter 0151 277 272 02.",,Hogrefe-Verlag GmbH & Co. KG | Ausbildung | zum Fachinformatiker (m/w/d) für Anwendungsentwicklung im Bereich Webentwicklung | Göttingen,tidak,belum,sedang,"Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung im Bereich Webentwicklung

Deine Aufgaben
Unser Entwicklerteam im Bereich E-Commerce & Online Marketing betreut insgesamt 12 Websites und Online-Shops und ist an der Gestaltung des digitalen Wandels der Hogrefe Verlagsgruppe maßgeblich beteiligt. Als angehender Fachinformatiker (m/w/d) für Anwendungsentwicklung unterstützt Du beim Ausbau und der Weiterentwicklung unserer internationalen Plattform „Hogrefe OneWEB“. In dieser Ausbildung erlernst Du die methodische Herangehensweise bei der Webentwicklung von der Pike auf.
Abwechslungsreiche Aufgaben und viele spannende Arbeitsbereiche
Flexible Arbeitszeiten mit einer 38-Stunden-Woche und eine attraktive Ausbildungsvergütung (1. Lehrjahr: € 1.125,00; 2. Lehrjahr: € 1.295,00; 3. Lehrjahr: € 1.465,00)

Dein Profil
Guter bis sehr guter Realschulabschluss oder Fachhochschulreife
Erste Erfahrungen in der Programmierung von Websites wünschenswert
Gute Team- und Kommunikationsfähigkeiten
Sorgfältige und strukturierte Arbeitsweise
Sicherer Umgang mit der deutschen Rechtschreibung
Gute Englischkenntnisse
Freude an neuen Herausforderungen und der selbstständigen Arbeit an Projekten

Wir bieten dir
Ein tolles Arbeitsklima mit erfahrenen Kolleg*innen und einem aufgeschlossenen Azubi-Team, die sich auf die Zusammenarbeit mit Dir freuen
Internationaler Arbeitgeber mit zahlreichen Benefits (Hogrefe Card, Jobticket, Teamevents, Health Management, etc.)
Möglichkeit für einen Auslandsaufenthalt in einer unserer Niederlassungen
Ein Weiterbildungsprogramm mit abwechslungsreichen und ständig neuen Inhalten
Moderne, ergonomische und gut ausgestattete Arbeitsplätze","Dein Profil
Guter bis sehr guter Realschulabschluss oder Fachhochschulreife
Erste Erfahrungen in der Programmierung von Websites wünschenswert
Gute Team- und Kommunikationsfähigkeiten
Sorgfältige und strukturierte Arbeitsweise
Sicherer Umgang mit der deutschen Rechtschreibung
Gute Englischkenntnisse
Freude an neuen Herausforderungen und der selbstständigen Arbeit an Projekten",2026-06-12T20:31:02.697846+00:00
10000-1205380484-S,fachinformatiker_ae_2026,M.I.T. Maxx Software GmbH,Göttingen,"Maschmühlenweg 40 a, 37081 Göttingen",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,8,,67,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205380484-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205380484-S,M.I.T. Maxx Software GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Göttingen,ya,belum,rendah,"Die M.I.T. Maxx Software GmbH unterstützt seit 2002 mit ihren Produkten und Dienstleistungen zahlreiche mittelständische Unternehmen bei der Realisierung komplexer IT-Systeme und durch Programmierung und Einrichtung von Anwendungssoftware.
Eine ganzheitliche Sichtweise erlaubt uns, leistungsfähige individuelle Lösungen für unsere Kunden zu gestalten. Der After-Sales-Bereich, der Service, Wartung, Support und Hotline umfasst, zählt in diesem Zusammenhang zu unseren besonderen Stärken.

Die Schwerpunkte unserer Tätigkeit liegen in der Realisierung kaufmännischer Lösungen, der Optimierung von IT-gestützten Businessprozessen, der Weiterentwicklung und individuellen Anpassung unserer Logistiksoftware-Produkte aus der Maxx-Reihe. Neben der Entwicklung und Implementierung kompletter IT-Projekte erweitern wir bestehende IT-Lösungen bzw. passen diese an die aktuellen Kundenanforderungen an.

Wir suchen:

Für die Verstärkung unseres Teams suchen wir zum 01.08.2026   Auszubildende (m/w/d) für den Beruf

Fachinformatiker-Anwendungsentwicklung (m/w/d).

Ihr Profil:

Sie haben mindestens Fachabitur oder können einen gleichwertigen Bildungsstand
Nachweisen und haben Interesse an neuen IT-Technologien und allgemeine Programmierkenntnisse??

Wenn Sie sich zudem durch gute kommunikative Fähigkeiten auszeichnen, Freude
am Umgang mit Kunden haben sowie selbständig und teamfähig arbeiten, freuen
wir uns auf Ihre Bewerbung. Wir wünschen ein mindestens 4-wöchiges Praktikum
vor Ausbildungsbeginn. Das Praktikum kann ganzjährig begonnen werden.

Deutschkenntnisse von C1 sind erforderlich

Interessiert? Dann nehmen Sie Ihre Chance wahr!

Wir erwarten Ihre vollständige Bewerbung ausschließlich per E-Mail.","Die Schwerpunkte unserer Tätigkeit liegen in der Realisierung kaufmännischer Lösungen, der Optimierung von IT-gestützten Businessprozessen, der Weiterentwicklung und individuellen Anpassung unserer Logistiksoftware-Produkte aus der Maxx-Reihe. Neben der Entwicklung und Implementierung kompletter IT-Projekte erweitern wir bestehende IT-Lösungen bzw. passen diese an die aktuellen Kundenanforderungen an.
Wir suchen:
Abitur / Allgemeine Hochschulreife",2026-06-11T08:12:15.838163+00:00
AZDE-10959964,azubi_de_fi,Prof. Schumann GmbH,Göttingen,37073 Göttingen DE,Ausbildung | Ausbildung: Fachinformatiker/in für Anwendungsentwicklung (w/m/d),ae,,,,47,empty,,https://www.azubi.de/ausbildungsplatz/10959964-b-ausbildung-fachinformatiker-in-fuer-anwendungsentwicklung-w-m-d/apply,portal,,,Prof. Schumann GmbH | Ausbildung | Ausbildung: Fachinformatiker/in für Anwendungsentwicklung (w/m/d) | Göttingen,ya,belum,rendah,"Ausbildung: Fachinformatiker/in für Anwendungsentwicklung (w/m/d)

Einleitung
SCHUMANN steht für Stabilität, Kundenorientierung und Wachstum. Gemeinsam mit unseren Kunden aus den Bereichen Industry & Trade, Credit & Surety und Financial Services setzen wir Standards und die Trends von morgen!
Schließe dich unserer mehr als 200 Köpfe zählenden Familie an und schreibe mit uns die über 25 Jahre andauernde Erfolgsgeschichte fort. Bewirb dich jetzt für die Ausbildung.
Ausbildungsschwerpunkte:
- Grundlagen des Programmierhandwerkes, insbesondere der Programmiersprache Java
- Kennenlernen der Standardsoftwareentwicklung
- Mitarbeit an Kundenprojekten
- Eigenständiges Umsetzen eines Hardwareprojektes
- Teilnahme an der Know-IT Göttingen mit einem eigenen Vortrag im 2. Lehrjahr
Deine Talente und Eigenschaften:
- Abitur mit guten Leistungen im sprachlichen und mathematischen Bereich
- Ggf. Kenntnisse des Studienganges der (Wirtschafts-)Informatik, Physik, Mathematik oder sonstiger relevanter Studiengänge
- IT-Affinität
- Lust auf Herausforderung und Teamarbeit
- Motivation und Neugierde
- Idealerweise IT-Vorkenntnisse
Unser Angebot:
- Fundierte und anspruchsvolle Ausbildung unter Nutzung aktuellster Technik
- Softwareentwicklung mit Java
- Direkte Einbindung in Kundenprojekte sowie Mitarbeit an der Weiterentwicklung von marktführender Standardsoftware
- Eine individuelle Betreuung und interne Weiterbildung
- Unternehmensindividueller Wirtschaftsunterricht
- Individuelle Entwicklungschancen und die Möglichkeit zur Spezialisierung
- Unterstützung bei der Erreichung persönlicher Ziele
- Eine produktive Arbeitsatmosphäre und flache Hierarchien
- Ein junges, motiviertes Team, das gerne neue Kollegen aufnimmt
Weiterführende Informationen:
Berufsbild: Fachinformatiker/in für Anwendungsentwicklung
Was ein/e Fachinformatiker/in für Anwendungsentwicklung so macht und ob dieser Beruf zu dir passt, das kannst du hier herausfinden!
https://prof-schumann.com/berufsbild-fachinformatiker-in-fuer-anwendungsentwicklung (https://prof-schumann.com/berufsbild-fachinformatiker-in-fuer-anwendungsentwicklung)
Ausbildung bei SCHUMANN
Hier erfährst du mehr darüber, wie die Ausbildung bei SCHUMANN abläuft, welche Erfahrungen bisherige Auszubildende gemacht haben und was dich sonst noch so erwartet!
https://prof-schumann.com/ausbildung (https://prof-schumann.com/ausbildung)
Aufgaben","Einleitung
SCHUMANN steht für Stabilität, Kundenorientierung und Wachstum. Gemeinsam mit unseren Kunden aus den Bereichen Industry & Trade, Credit & Surety und Financial Services setzen wir Standards und die Trends von morgen!
Schließe dich unserer mehr als 200 Köpfe zählenden Familie an und schreibe mit uns die über 25 Jahre andauernde Erfolgsgeschichte fort. Bewirb dich jetzt für die Ausbildung.
Ausbildungsschwerpunkte:
- Grundlagen des Programmierhandwerkes, insbesondere der Programmiersprache Java
- Kennenlernen der Standardsoftwareentwicklung
- Mitarbeit an Kundenprojekten
- Eigenständiges Umsetzen eines Hardwareprojektes
- Teilnahme an der Know-IT Göttingen mit einem eigenen Vortrag im 2. Lehrjahr
Deine Talente und Eigenschaften:
- Abitur mit guten Leistungen im sprachlichen und mathematischen Bereich
- Ggf. Kenntnisse des Studienganges der (Wirtschafts-)Informatik, Physik, Mathematik oder sonstiger relevanter Studiengänge
- IT-Affinität
- Lust auf Herausforderung und Teamarbeit
- Motivation und Neugierde
- Idealerweise IT-Vorkenntnisse
Unser Angebot:
- Fundierte und anspruchsvolle Ausbildung unter Nutzung aktuellster Technik
- Softwareentwicklung mit Java
- Direkte Einbindung in Kundenprojekte sowie Mitarbeit an der Weiterentwicklung von marktführender Standardsoftware
- Eine individuelle Betreuung und interne Weiterbildung
- Unternehmensindividueller Wirtschaftsunterricht
- Individuelle Entwicklungschancen und die Möglichkeit zur Spezialisierung
- Unterstützung bei der Erreichung persönlicher Ziele
- Eine produktive Arbeitsatmosphäre und flache Hierarchien
- Ein junges, motiviertes Team, das gerne neue Kollegen aufnimmt
Weiterführende Informationen:
Berufsbild: Fachinformatiker/in für Anwendungsentwicklung
Was ein/e Fachinformatiker/in für Anwendungsentwicklung so macht und ob dieser Beruf zu dir passt, das kannst du hier herausfinden!
https://prof-schumann.com/berufsbild-fachinformatiker-in-fuer-anwendungsentwicklung (https://prof-schumann.com/berufsbild-fachinformatiker-in-fuer-anwendungsentwicklung)
Ausbildung bei SCHUMANN
Hier erfährst du mehr darüber, wie die Ausbildung bei SCHUMANN abläuft, welche Erfahrungen bisherige Auszubildende gemacht haben und was dich sonst noch so erwartet!
https://prof-schumann.com/ausbildung (https://prof-schumann.com/ausbildung)
Aufgaben",2026-06-13T10:35:55.854846+00:00
MAD-2453755509,meine_ausbildung_ae,Georg-August-Universität Göttingen,Göttingen,,Fachinformatiker(in) Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://gwdg.de/about-us/career/ausbildung/?utm_source=meine-ausbildung-in-deutschland,portal,,,Georg-August-Universität Göttingen | Fachinformatiker(in) Anwendungsentwicklung (m/w/d) | Göttingen,ya,belum,rendah,Fachinformatiker(in) Anwendungsentwicklung (m/w/d),,2026-06-11T11:35:30.961026+00:00
MAD-2419016484,meine_ausbildung_ae,Werner Fromm EDV-Beratungs GmbH,Göttingen,,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://frommedv.de/fachinformatiker-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,portal,,,Werner Fromm EDV-Beratungs GmbH | Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) | Göttingen,ya,belum,rendah,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d),,2026-06-11T11:52:25.793024+00:00
NRW-2550-4712,ausbildung_nrw_dpa,Arineo GmbH,Göttingen,Pauliner Str. 12 37073 Göttingen,Ausbildung | Fachinformatiker/in - Daten- und Prozessanalyse (2026),dpa,,,,87,company,bewerbung@arineo.com,https://jobs.arineo.com/jobs/jobdetails/2267263/ausbildung-fachinformatik-fuer-daten-und-prozessanalyse-all-genders-goettingen,email,"Der Link führt in unser Jobportal. Suche dort nach der von dir ausgewählten Stelle, öffne diese und klicke dann auf den Button ""Jetzt bewerben"". Jetzt kannst du deine Kontaktdaten eingeben und deine Unterlagen hochladen.
Kontakt
0551 521380
Recruiterin | Ansprechpartnerin Ausbildung
0551521381352
maike.thoele@arineo.com
Social Media
Standort
+
–
⤢
Standorte
Werner-von-Siemens-Str. 1a
35510 Butzbach
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,Arineo GmbH | Ausbildung | Fachinformatiker/in - Daten- und Prozessanalyse (2026) | Göttingen,tidak,belum,tinggi,"Fachinformatiker/in - Daten- und Prozessanalyse (2026)

Fachinformatiker/in - Daten- und Prozessanalyse in Göttingen (2026)
Mehr Informationen
Fachinformatiker/in - Anwendungsentwicklung in Göttingen / Butzbach (2026)
Mehr Informationen
Angebote
Duale Ausbildung (Vollzeit)
Praktikum

Schon gewusst?
Wir sind ein kollegial organisiertes Unternehmen in Mitarbeitendenhand- das heißt, du kannst bei uns eigenverantwortlich arbeiten, Verantwortung übernehmen und darüber mitbestimmen, wie sich das Unternehmen in Zukunft weiterentwickeln soll. https://arineo.com/de/arbeiten-bei-arineo/
In deiner Ausbildung arbeitest du eher im Büro. Das hat den Vorteil, dass du zusammen mit den anderen Auszubildenden lernst und viele Kolleg:innen vor Ort kennenlernen kannst. Außerdem ist es einfacher, dich in deiner Ausbildung zu unterstützen. Nach der Ausbildung arbeitest du wie alle anderen Mitarbeitenden entweder im Homeoffice oder im Büro, ganz nach deiner persönlichen Präferenz.
Du kannst deinen Arbeitstag zeitlich weitestgehend flexibel gestalten. Das hängt natürlich immer von deinen Aufgaben und deinen Meetings ab.
Natürlich gibt es bei uns noch weitere Benefits wie Weiterentwicklungsangebote, Teamevents oder Sportangebote - schau gern mal bei uns rein und mach dir dein eigenes Bild : https://arineo.com/de/werde-teil-des-teams/schueler/
Wende dich bei Fragen einfach an Eileen.
P.S. Falls du dich jetzt gefragt haben solltest, ob es üblich ist, sich bei uns zu duzen. Ja, ist es ;-)
Mehr Informationen

So kannst du dich bewerben
Deine Bewerbungsunterlagen sendest du uns über unser Jobportal zu. Dazu klicke diesen Link: https://jobs.arineo.com/jobs
bewerbung@arineo.com
https://www.arineo.com
Pauliner Str. 12
37073 Göttingen
Maike Thöle",,2026-06-12T10:00:08.023065+00:00
10000-1203506295-S,fachinformatiker_dpa,Sartorius Corporate Administration GmbH,Göttingen,"Otto-Brenner-Str. 20, 37079 Göttingen",Ausbildung | Fachinformatiker/in - Daten- und Prozessanalyse,dpa,2026,8,"1. Jahr, 1.334 €",80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203506295-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203506295-S,Sartorius Corporate Administration GmbH | Ausbildung | Fachinformatiker/in - Daten- und Prozessanalyse | Göttingen,ya,belum,rendah,"Starte durch bei einem der größten Arbeitgeber der Region und werde Teil der Lösung im Kampf gegen Krankheiten weltweit. Für die Sartorius Corporate Administration GmbH suchen wir dich für eine IT Ausbildung als Fachinformatiker für Daten- und Prozessanalyse  (x|w|m) am Standort Göttingen. Du lernst Geschäftsprozesse zu digitalisieren und IT-Prozesse zu optimieren und qualifizierst dich für die Arbeit in internationalen Projekten.

Die Ausbildung beginnt am 01.08.2026 und dauert 3 Jahre

**Das erwartet dich**

- Du optimierst datengesteuerte Prozesse und digitalisierst Geschäftsprozesse 
- Du automatisierst Aufgaben, konzipierst entsprechende Lösungen, erstellst Modelle und ermittelst Prozesse 
- Du implementierst Maßnahmen zur IT-Sicherheit und zum Datenschutz 
- Du lernst unterschiedliche Abteilungen kennen und steigst direkt in spannende, oft auch internationale Projekte ein
- Wir unterstützen dich bei der Prüfungsvorbereitung und bei deiner persönlichen und fachlichen Entwicklung

**Was uns überzeugt**

- Du bringst gute IT-Vorkenntnisse und ein ausgeprägtes IT-Interesse mit
- Du verfügst über ein sehr gutes analytisches und logisches Denkvermögen
- Du zeichnest dich durch Flexibilität und eine strukturierte Arbeitsweise aus
- Du arbeitest gern in internationalen Teams
- Du hast gute Kenntnisse in Mathematik, Physik und Englisch und interessierst dich für Wirtschaftsthemen

**Davon profitierst du**

Als internationales, börsennotiertes Unternehmen bieten wir dir viele Vorteile:

- Attraktive Bezahlung: 1.264 €|Monat im 1. Jahr, 1.334 €|Monat im 2. Jahr, 1.439 €|Monat im 3. Jahr sowie Urlaubs- und Weihnachtsgeld (Stand 07/2025)
- Übernahme-Quote von fast 100% 
- Flexible Arbeitszeiten, 35 h|Woche mit Gleitzeit, Home Office-Möglichkeiten, 30 Tage Urlaub  
- Azubi-Coach, der dich begleitet und eine spannende Kennenlernwoche
- Großer Campus mit schönem Außenbereich, Open Space-Büros, Dachterrassen, kostenfreies Fitness-Studio und WLAN
- Betriebsrestaurant mit Bio - und veganem Angebot, italienisches Bistro mit Eisverkauf  
- Eigener Laptop, modernes Azubi-Lab auf 50 m² mit 3D-Drucker und Smartboard 
- Jobticket, kostenfreies Parkhaus und gute Busanbindungen, finanzielle Unterstützung beim Umzug ab einer bestimmten Entfernung
- Familiäres Arbeitsklima, Zusammenhalt und Teamspirit 

Du möchtest noch mehr über Sartorius erfahren? Dann schau auf **[www.sartorius.de/ausbildung ](http://www.sartorius.de/ausbildung)**vorbei.

Wir freuen uns auf deine Bewerbung.

**Über Sartorius**

Sartorius ist Teil der Lösung im Kampf gegen Krebs, Demenz und viele andere Krankheiten. Unsere Technologien helfen wissenschaftliche Erkenntnisse schneller in Medikamente für Patienten weltweit zu übersetzen.

Wir suchen ambitionierte Teamplayer und kreative Köpfe, die zu diesem Ziel beitragen und ihre Karriere in einem dynamischen globalen Umfeld vorantreiben wollen.

Werden auch Sie Teil der Lösung. Wir freuen uns auf Ihre Bewerbung.

[www.sartorius.de/karriere](https://www.sartorius.de/karriere)



Schülerpraktikum:
Schulpraktikum zum Kennenlernen für den Bereich Informatik
Am Standort Göttingen suchen wir interessierte Schülerpraktikanten (m/w/d)","- Du bringst gute IT-Vorkenntnisse und ein ausgeprägtes IT-Interesse mit
- Du verfügst über ein sehr gutes analytisches und logisches Denkvermögen
- Du zeichnest dich durch Flexibilität und eine strukturierte Arbeitsweise aus
- Du arbeitest gern in internationalen Teams
- Du hast gute Kenntnisse in Mathematik, Physik und Englisch und interessierst dich für Wirtschaftsthemen",2026-06-11T08:16:07.986464+00:00
