id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
AD-b21206ae-2a0e-4580-920e-ef1320689c04,ausbildung_de_ae,Debeka Versicherungsvereine aG,Koblenz,Debeka-Platz 56073 Koblenz Rheinland-Pfalz,Ausbildung | Fachinformatiker Anwendungsentwicklung (w/m/d) - August 2026,ae,,,,67,company,,https://debeka.wd3.myworkdayjobs.com/Karriere/job/Koblenz/Ausbildung-Fachinformatiker-Anwendungsentwicklung--w-m-d----Einstellung-August-2026_JR9107-1/apply,portal,"- Sie unterstützen Ihre Kolleginnen und Kollegen bei Fragen zu Anwendungen.
- Sie arbeiten mit unterschiedlichen Programmierlogiken, -methoden und -sprachen (z. B. Java).
- Sie wirken in spannenden Projekten mit.
Das wünschen wir uns
- Sie haben (bald) einen sehr guten Realschulabschluss, ein gutes Fachabitur oder Abitur.
- Sie sind stark in Informatik und Mathematik.
- Sie wollen sich persönlich und fachlich weiterentwickeln.
- Sie sind kommunikativ und arbeiten gerne im Team.",,Debeka Versicherungsvereine aG | Ausbildung | Fachinformatiker Anwendungsentwicklung (w/m/d) - August 2026 | Koblenz,tidak,belum,sedang,"Ausbildung Fachinformatiker Anwendungsentwicklung (w/m/d) - August 2026

Mittlere Reife",Mittlere Reife,2026-06-11T11:11:54.311270+00:00
INDEED-e55cd3ba045ad342,indeed_de_ae,MACH,Koblenz,Koblenz RP,Ausbildung | zum Fachinformatiker:in (m/w/d) - Fachrichtung: Anwendungsentwicklung am Standort Koblenz,ae,,,Vollzeit,67,empty,,https://www.hiringlab.org/de/,portal,"Du gehst offen auf Menschen zu, kommunizierst gerne und freust dich auf den Kontakt mit Kund:innen
Dich erwarten
Eine Ausbildung, in der du von Anfang an aktiv mitarbeitest
Persönliche Betreuung und Unterstützung auf Augenhöhe
Eine sinnstiftende Tätigkeit mit direktem Beitrag zur Digitalisierung der öffentlichen Verwaltung
Ein wertschätzendes Miteinander und eine offene, kollegiale Unternehmenskultur – erlebe den MACH-Spirit
Sehr gute Entwicklungs- und Weiterbildungsmöglichkeiten – auch über die Ausbildung hinaus
Flexibles Arbeiten: Arbeite im Büro und später auch mobil und genieße die Vorteile der Remote-Zusammenarbeit innerhalb Deutschlands
Firmenlaptop
Gesundheitsangebote (EGYM Wellpass, Gesundheitsticket)",,MACH | Ausbildung | zum Fachinformatiker:in (m/w/d) - Fachrichtung: Anwendungsentwicklung am Standort Koblenz | Koblenz,tidak,belum,sedang,"Ausbildung zum Fachinformatiker:in (m/w/d) - Fachrichtung: Anwendungsentwicklung am Standort Koblenz

Dein Einstieg in die Softwareentwicklung für eine digitale Verwaltung von morgen
Du willst mehr als nur programmieren, sondern digitale Lösungen entwickeln, die im Alltag von Städten, Verwaltungen und sozialen Einrichtungen genutzt werden?
Dann starte deine Ausbildung bei MACH und gestalte mit uns die digitale Zukunft der öffentlichen Verwaltung.
Seit über 40 Jahren entwickeln wir innovative Softwarelösungen für mehr als 6.000 Kund:innen aus Verwaltung und Sozialwirtschaft. Mit rund 600 Mitarbeitenden verbinden wir moderne Technologie mit echtem gesellschaftlichem Nutzen.

Während deiner Ausbildung lernst du Schritt für Schritt, wie aus Anforderungen funktionierende Software wird. Du bist dabei nicht nur Zuschauer:in, sondern von Anfang an Teil eines Teams. Gemeinsam mit erfahrenen Entwickler:innen arbeitest du an echten Projekten, bringst eigene Ideen ein und entwickelst dich fachlich und persönlich weiter.
Du möchtest nicht einfach irgendeine Ausbildung machen, sondern etwas Sinnvolles bewegen? Dann starte deine Zukunft in der IT bei MACH.
Dein Auftrag
Während deiner Ausbildung wirst du von Grund auf an die professionelle Softwareentwicklung herangeführt:
Du beschäftigst dich vor allem mit der Anforderungsanalyse und Softwareentwicklung für unsere Kund:innen aus dem Bereich der öffentlichen Verwaltung und soziale Einrichtungen
Du lernst unsere Software-Systeme und Entwicklungstools fundiert kennen und setzt dein Wissen direkt in der Praxis ein
Gemeinsam mit unserem Support und unseren IT-Berater:innen analysierst du Problemstellungen entwickelst passende, kundenspezifische Lösungen
Du wirkst an spannenden Projekten und Arbeitsgruppen mit – zum Beispiel bei der Einführung von KI im Software-Entwicklungsprozess, der Neugestaltung einer App oder der Entwicklung eines neuen Moduls in K1 – und entwickelst dich systematisch zur Fachkraft für Anwendungsentwicklung
Du besuchst 1-2 Tage pro Woche die Berufsschule in Koblenz und lernst die theoretischen Hintergründe deiner Ausbildung kennen
Dein Profil

Du hast die Fachhochschulreife oder das Abitur mit mindestens guten Leistungen erfolgreich abgeschlossen
Du begeisterst dich für IT und Softwareentwicklung
Du verfügst über sehr gute Deutschkenntnisse (mindestens auf C1-Niveau)
Du findest dich schnell in neue Themenkomplexe zurecht, denkst logisch und kannst technische Zusammenhänge gut verstehen und erklären
Du arbeitest gern im Team und du hältst Wort, wenn Dinge vereinbart wurden
Du bist motiviert neues zu Lernen und dich kontinuierlich weiterzubilden
Corporate Benefits
Betriebliche Altersvorsorge
Betriebliche Berufsunfähigkeitsversicherung
PME-Familienservice
Zentrale Bürolagen
Tu was Sinnvolles: Mach Karriere bei MACH!
Patricia Funke
Leitung Recruiting
MACH
Sag es weiter!","Während deiner Ausbildung lernst du Schritt für Schritt, wie aus Anforderungen funktionierende Software wird. Du bist dabei nicht nur Zuschauer:in, sondern von Anfang an Teil eines Teams. Gemeinsam mit erfahrenen Entwickler:innen arbeitest du an echten Projekten, bringst eigene Ideen ein und entwickelst dich fachlich und persönlich weiter.
Du möchtest nicht einfach irgendeine Ausbildung machen, sondern etwas Sinnvolles bewegen? Dann starte deine Zukunft in der IT bei MACH.
Dein Auftrag
Während deiner Ausbildung wirst du von Grund auf an die professionelle Softwareentwicklung herangeführt:
Du beschäftigst dich vor allem mit der Anforderungsanalyse und Softwareentwicklung für unsere Kund:innen aus dem Bereich der öffentlichen Verwaltung und soziale Einrichtungen
Du lernst unsere Software-Systeme und Entwicklungstools fundiert kennen und setzt dein Wissen direkt in der Praxis ein
Gemeinsam mit unserem Support und unseren IT-Berater:innen analysierst du Problemstellungen entwickelst passende, kundenspezifische Lösungen
Du wirkst an spannenden Projekten und Arbeitsgruppen mit – zum Beispiel bei der Einführung von KI im Software-Entwicklungsprozess, der Neugestaltung einer App oder der Entwicklung eines neuen Moduls in K1 – und entwickelst dich systematisch zur Fachkraft für Anwendungsentwicklung
Du besuchst 1-2 Tage pro Woche die Berufsschule in Koblenz und lernst die theoretischen Hintergründe deiner Ausbildung kennen
Dein Profil",2026-06-13T11:50:46.499826+00:00
AD-23649422-c2e8-47bc-86a9-db14294ecae1,ausbildung_de_ae,ZF Active Safety GmbH,Koblenz,Koblenz Rheinland-Pfalz,Ausbildung | Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,60,company,,https://ausbildungsfinder.zf.com/offer/fachinformatiker-fur-anwendungsentw/393f9ef0-0819-5a14-be15-e8e873677cb2,portal,,,ZF Active Safety GmbH | Ausbildung | Fachinformatiker für Anwendungsentwicklung (m/w/d) | Koblenz,tidak,belum,sedang,"Fachinformatiker für Anwendungsentwicklung (m/w/d)

Voraussetzungen und AusbildungsdauerFür die Ausbildung benötigst du die Fachhochschulreife bzw. Mittlere Reife mit guten Noten in Mathematik, Deutsch und Physik und idealerweise dem Fach Informatik.","Voraussetzungen und AusbildungsdauerFür die Ausbildung benötigst du die Fachhochschulreife bzw. Mittlere Reife mit guten Noten in Mathematik, Deutsch und Physik und idealerweise dem Fach Informatik.",2026-06-11T11:22:52.343425+00:00
STEP-13918363,stepstone_de_ae,awk AUSSENWERBUNG GmbH,Koblenz,Koblenz Koblenz,Ausbildung | Fachinformatiker/-in für Anwendungsentwicklung (m/w/d),ae,,,"1100€, 1150€, 1300€",47,empty,,https://twitter.com/stepstone_de,portal,,,awk AUSSENWERBUNG GmbH | Ausbildung | Fachinformatiker/-in für Anwendungsentwicklung (m/w/d) | Koblenz,ya,belum,rendah,Ausbildung Fachinformatiker/-in für Anwendungsentwicklung (m/w/d),,2026-06-12T20:07:04.341438+00:00
MAD-2446135894,meine_ausbildung_ae,BRICKMAKERS GmbH,Koblenz,,Ausbildung Fachinformatiker*in für Anwendungsentwicklung (m/w/d) 2026,ae,,,,40,company,,https://jobs.brickmakers.de/de?id=703034&utm_source=meine-ausbildung-in-deutschland,portal,,,BRICKMAKERS GmbH | Ausbildung Fachinformatiker*in für Anwendungsentwicklung (m/w/d) 2026 | Koblenz,ya,belum,rendah,Ausbildung Fachinformatiker*in für Anwendungsentwicklung (m/w/d) 2026,,2026-06-11T11:37:48.118309+00:00
MAD-2428940218,meine_ausbildung_ae,Eugen König GmbH,Koblenz,,Fachinformatiker*in Anwendungsentwicklung,ae,,,,40,company,,https://www.eugen-koenig.de/fachinformatiker-anwendungsentwicklung-neu/?utm_source=meine-ausbildung-in-deutschland,portal,,,Eugen König GmbH | Fachinformatiker*in Anwendungsentwicklung | Koblenz,ya,belum,rendah,Fachinformatiker*in Anwendungsentwicklung,,2026-06-11T11:50:08.307279+00:00
STEP-14069022,stepstone_de_ae,Kassenärztliche Vereinigung Rheinland-Pfalz i. G.,Koblenz,Koblenz Koblenz,Ausbildung | Auszubildende als Fachinformatiker*innen für Anwendungsentwicklung (w/m/d),ae,,,,40,empty,,https://twitter.com/stepstone_de,portal,,,Kassenärztliche Vereinigung Rheinland-Pfalz i. G. | Ausbildung | Auszubildende als Fachinformatiker*innen für Anwendungsentwicklung (w/m/d) | Koblenz,ya,belum,rendah,"Auszubildende als Fachinformatiker*innen für Anwendungsentwicklung (w/m/d)

Wir, die Kassenärztliche Vereinigung Rheinland-Pfalz, organisieren in unserem Bundesland die ambulante medizinische Versorgung von rund 3,6 Millionen gesetzlich Krankenversicherten – und das alsInteressenvertretung und Dienstleisterin für fast 8.000 Ärztinnen und Ärzte sowie Psychotherapeutinnen und Psychotherapeuten. Unseren rund 1.800 Beschäftigten bieten wir sichere Arbeitsplätze und vielseitige Aufgaben. Profitieren Sie von Entwicklungsmöglichkeiten in der Gesundheitsbranche, einem innovativen und dynamischen Umfeld mit Zukunft.
An unserem Standort Koblenz bieten wir zum 15. August 2026
Das erwartet Sie
Spezielle Anwenderkenntnisse und konzeptionelles Verständnis für den IT-Bereich
Kennenlernen aller wesentlichen Fachbereiche unseres Unternehmens wie z.B. die Qualitätssicherung, die Sicherstellung und die Honorarabrechnung
Persönliche Betreuung durch die Ausbildungsleiterin und einen Buddy während der gesamten Ausbildungszeit
Das bringen Sie mit
Abitur oder Mittlere Reife
Gute Noten in Englisch, Mathematik und Informatik
Interesse am eigenständigen Konzipieren und Realisieren von Softwareanwendungen
Sicherer Umgang mit verschiedenen Betriebssystemen und erste Erfahrungen im Programmieren
Allgemeine Anwenderkenntnisse in den Office-Produkten
gutes mündliches und schriftliches Ausdrucksvermögen
Unser Plus für Sie
Koblenz
Vollzeit
1.250,00 bis 1.400,00 EUR brutto pro Monat
Firmenlaptop
30+ Tage frei
Teamevents
moderne & ruhige Büros
Arbeitszeitkonto und Zeiterfassung
Fort- und Weiterbildung
gute Verkehrsanbindung
Abschlussprämie
Übernahmeangebot
Karrierelaufbahn
Interessiert?
Dann freuen wir uns schon jetzt auf Ihre Bewerbung.
Fragen? Ich bin gerne für Sie da.
Cindy Fries g Tel: 06131 326 - 3323",,2026-06-12T20:38:01.398183+00:00
MAD-2373888786,meine_ausbildung_ae,OGS Gesellschaft für Datenverarbeitung und Systemberatung mbH,Koblenz,,Auszubildende (m/w/d) Fachinformatiker Anwendungsentwicklung,ae,,,,40,company,,https://www.ogs.de/fileadmin/ogs_jobs/OGS_Stellenanzeige_2022_und_neuer__Azubi_Anwendungsentwicklung.pdf?utm_source=meine-ausbildung-in-deutschland,portal,,,OGS Gesellschaft für Datenverarbeitung und Systemberatung mbH | Auszubildende (m/w/d) Fachinformatiker Anwendungsentwicklung | Koblenz,ya,belum,rendah,Auszubildende (m/w/d) Fachinformatiker Anwendungsentwicklung,,2026-06-11T12:02:26.264377+00:00
MAD-2367774201,meine_ausbildung_ae,Stadt Koblenz,Koblenz,,Fachinformatiker (w/m/d) (Anwendungsentwicklung),ae,,,,40,company,,https://www.koblenz.de/jobs-und-karriere/ausbildung-und-studium/technische-berufe/?utm_source=meine-ausbildung-in-deutschland,portal,,,Stadt Koblenz | Fachinformatiker (w/m/d) (Anwendungsentwicklung) | Koblenz,ya,belum,rendah,Fachinformatiker (w/m/d) (Anwendungsentwicklung),,2026-06-11T12:03:40.427379+00:00
AD-db05dbc8-6e47-475d-91f2-e79157219c6b,ausbildung_de_dpa,Debeka Versicherungsvereine aG,Koblenz,Debeka-Platz 56073 Koblenz Rheinland-Pfalz,Ausbildung | Fachinformatiker Daten- & Prozessanalyse (w/m/d) - August 2026,dpa,,,,67,company,,https://debeka.wd3.myworkdayjobs.com/Karriere/job/Koblenz/Ausbildung-Fachinformatiker-Daten----Prozessanalyse--w-m-d----Einstellung-August-2026_JR9109/apply,portal,"- Sie unterstützen Ihre Kolleginnen und Kollegen bei Fragen zu Anwendungen.
- Sie arbeiten mit unterschiedlichen Programmierlogiken, -methoden und -sprachen (z. B. Java).
- Sie wirken in spannenden Projekten mit.
Das wünschen wir uns
- Sie haben (bald) ein gutes Fachabitur oder Abitur.
- Sie sind stark in Informatik und Mathematik.
- Sie wollen sich persönlich und fachlich weiterentwickeln.
- Sie sind kommunikativ und arbeiten gerne im Team.",,Debeka Versicherungsvereine aG | Ausbildung | Fachinformatiker Daten- & Prozessanalyse (w/m/d) - August 2026 | Koblenz,tidak,belum,sedang,"Ausbildung Fachinformatiker Daten- & Prozessanalyse (w/m/d) - August 2026

Mittlere Reife",Mittlere Reife,2026-06-11T11:23:43.513143+00:00
