id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10001-1001774603-S,fachinformatiker_ae_2026,Panasonic Industrial Devices Europe GmbH,Lüneburg,"Zeppelinstr. 19, 21337 Lüneburg",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,8,Jahr 1: 1226 EUR/Monat | Jahr 2: 1294 EUR/Monat | Jahr 3: 1396 EUR/Monat,80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1001774603-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1001774603-S,Panasonic Industrial Devices Europe GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Lüneburg,ya,belum,rendah,"Zum Ausbildungsbeginn am **01.08.2026** suchen wir einen engagierten Auszubildenden für den Beruf **Fachinformatiker /-in Anwendungsentwicklung (m/w/d)**.

Die Bewerberinnen und Bewerber sollten über einen guten Realschulabschluss oder ein (Fach-) Abitur verfügen. Zudem sollte ein gutes mathematisches und naturwissenschaftliches Verständnis vorgewiesen werden können, sowie ausgeprägtes logisches und analytisches Denken. Interesse an der Informatik, IT-Systemen, Anwendungsentwicklung und der Programmierung ist für uns besonders wichtig. Zudem sollten gute Englischkenntnisse in Wort und Schrift nicht fehlen.Verantwortungsbewusstsein, Selbstständigkeit und sorgfältiges Arbeiten sind ebenso wichtig wie gute Teamfähigkeit. 

Bei uns hat die IT einen hohen Stellenwert. Die Kunden der IT sind die internen Fachabteilungen mit ihren individuellen Anforderungen. Als Auszubildender arbeitest Du bereits in Deiner Ausbildung aktiv daran, diese Anforderungen umzusetzen und die Prozesse zu optimieren.

Die Ausbildung erfolgt im dualen System über drei Jahre. Die Berufsschule ist in Lüneburg. Bei guten Leistungen ist eine Verkürzung der Ausbildung möglich.

Wir bieten u.a. folgende **Benefits** :

- Übernahme der Kosten für die Prüfungsvorbereitung
-  Zuschuss zum Deutschlandticket
-  35 Stunden Woche
-  Gleitzeit
-  Urlaubs- und Weihnachtsgeld
-  tarifliche Ausbildungsvergütung
-  30 Tage Urlaub
-  verschiede Azubi Events
-  betriebliche Altersvorsorge
-  Hansefit","Bei uns hat die IT einen hohen Stellenwert. Die Kunden der IT sind die internen Fachabteilungen mit ihren individuellen Anforderungen. Als Auszubildender arbeitest Du bereits in Deiner Ausbildung aktiv daran, diese Anforderungen umzusetzen und die Prozesse zu optimieren.
Die Ausbildung erfolgt im dualen System über drei Jahre. Die Berufsschule ist in Lüneburg. Bei guten Leistungen ist eine Verkürzung der Ausbildung möglich.
Mittlere Reife / Realschulabschluss",2026-06-11T08:12:54.960645+00:00
10001-1002887113-S,fachinformatiker_ae_2026,wnm GmbH,Lüneburg,"Anna-Vogeley-Str. 6, 21337 Lüneburg",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002887113-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002887113-S,wnm GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Lüneburg,ya,belum,rendah,"Wir sind ein dynamisches Unternehmen, das innovative IT-Lösungen für unsere Kunden entwickelt und dabei auf eine moderne und zukunftsorientierte Technik setzt. Zur Verstärkung unseres Teams suchen wir zum

**1. August 2026** einen motivierten Auszubildenden (m/w/d) im Bereich **Fachinformatiker Anwendungsentwicklung**.

Zuständigkeiten/Hauptaufgaben

- Du bist mit der Erstellung von Anwendungssoftware betraut, testest diese und passt sie ggf. an.
- Du entwickelst komplexe Softwarelösungen auf Basis verschiedener Programmier-, Script und Datenbanksprachen (z.B. PHP, HTML, JavaScript, jQuery, MySQL, C#, MSSQL)
- Du pflegst und dokumentierst interne und externe Projekte.

Qualifikationen / Anforderungen

- Du solltest ein großes Interesse am Programmieren haben.
- Du hast erste Erfahrungen mit einer Programmiersprache aus Praktikum, Freizeit oder abgebrochenem Studium.
- Du solltest einen guten Realschulabschluss oder vergleichbaren Schulabschluss besitzen.
- Du hast gute Noten in Englisch, Mathematik und Informatik.
- Du bringst Spaß am Tüfteln, Ausdauer und Motivation mit.

Leistungen der Anstellung

• 3 Monitore
• Option auf Homeoffice (nach erfolgreichem Abschluss der Ausbildung)
• Die wnm Kreditkarte nach Ablauf der Probezeit mit 50€ Guthaben pro Monat zzgl. der übertariflichen Ausbildungsvergütung
• Flexible Arbeitszeiten in einer 39-Stunden-Woche (hybrides Arbeiten)
• Mitarbeiter WLAN

• Zuschuss zur betrieblichen Altersvorsorge

• Betriebliche private Krankenzusatzversicherung mit Gesundheitsbudget, Chefarztbehandlung und Privatzimmer
• Viele interessante und kreative Projekte mit Eigenverantwortung
• Ein spannendes Umfeld mit aufgeschlossenen Teamkollegen
• Flache Hierarchien, kurze Entscheidungswege und jederzeit ein offenes Ohr
• Fortbildungen zur individuellen Weiterentwicklung
• Ergonomische Arbeitsplätze

• 1 bis 2 Personen-Büros – Kein Großraumbüro
• Umfangreiche Mitarbeitervergünstigungen

• Mitarbeiterparkplätze

• Das JobTicket (DeutschlandTicket) kann bundesweit genutzt werden
• Ein bezuschusstes Mittagessen am Standort Lüneburg.

Du bist richtig bei uns, wenn du die Arbeit mit dem Computer liebst. Nutze deine Chance, bewirb dich bei uns und überzeuge uns von deinen Fähigkeiten. Dich erwarten bei uns ein familiäres Umfeld, nette Kollegen und eine Zusammenarbeit im kleinen professionellen Team mit spannenden Projekten.","Qualifikationen / Anforderungen
- Du solltest ein großes Interesse am Programmieren haben.
- Du hast erste Erfahrungen mit einer Programmiersprache aus Praktikum, Freizeit oder abgebrochenem Studium.
- Du solltest einen guten Realschulabschluss oder vergleichbaren Schulabschluss besitzen.
- Du hast gute Noten in Englisch, Mathematik und Informatik.
- Du bringst Spaß am Tüfteln, Ausdauer und Motivation mit.
Mittlere Reife / Realschulabschluss",2026-06-11T08:13:53.200511+00:00
AZDE-10700608,azubi_de_fi,Panasonic Industrial Devices Europe GmbH,Lüneburg,21337 Lüneburg DE,Ausbildung | 2026 / Fachinformatiker/-in für Anwendungsentwicklung (m/w/d),ae,2026,8,"- Übernahme der Kosten für die Prüfungsvorbereitung
- Zuschuss zum Deutschlandticket
- 35 Stunden Woche
- Gleitzeit",60,empty,,https://www.azubi.de/ausbildungsplatz/10700608-b-ausbildung-2026-fachinformatiker-in-fuer-anwendungsentwicklung-m-w-d/apply,portal,,,Panasonic Industrial Devices Europe GmbH | Ausbildung | 2026 / Fachinformatiker/-in für Anwendungsentwicklung (m/w/d) | Lüneburg,tidak,belum,sedang,"Ausbildung 2026 / Fachinformatiker/-in für Anwendungsentwicklung (m/w/d)

Einleitung
Zum Ausbildungsbeginn am 01.08.2026 suchen wir einen engagierten Auszubildenden für den Beruf Fachinformatiker /-in Anwendungsentwicklung (m/w/d).
Die Bewerberinnen und Bewerber sollten über einen guten Realschulabschluss oder ein (Fach-) Abitur verfügen. Zudem sollte ein gutes mathematisches und naturwissenschaftliches Verständnis vorgewiesen werden können, sowie ausgeprägtes logisches und analytisches Denken. Interesse an der Informatik, IT-Systemen, Anwendungsentwicklung und der Programmierung ist für uns besonders wichtig. Zudem sollten gute Englischkenntnisse in Wort und Schrift nicht fehlen.Verantwortungsbewusstsein, Selbstständigkeit und sorgfältiges Arbeiten sind ebenso wichtig wie gute Teamfähigkeit.
Bei uns hat die IT einen hohen Stellenwert. Die Kunden der IT sind die internen Fachabteilungen mit ihren individuellen Anforderungen. Als Auszubildender arbeitest Du bereits in Deiner Ausbildung aktiv daran, diese Anforderungen umzusetzen und die Prozesse zu optimieren.
Die Ausbildung erfolgt im dualen System über drei Jahre. Die Berufsschule ist in Lüneburg. Bei guten Leistungen ist eine Verkürzung der Ausbildung möglich.

Wir bieten u.a. folgende Benefits :
- Übernahme der Kosten für die Prüfungsvorbereitung
- Zuschuss zum Deutschlandticket
- 35 Stunden Woche
- Gleitzeit
- Urlaubs- und Weihnachtsgeld
- tarifliche Ausbildungsvergütung
- 30 Tage Urlaub
- verschiede Azubi Events
- betriebliche Altersvorsorge
- Hansefit
Aufgaben","Einleitung
Zum Ausbildungsbeginn am 01.08.2026 suchen wir einen engagierten Auszubildenden für den Beruf Fachinformatiker /-in Anwendungsentwicklung (m/w/d).
Die Bewerberinnen und Bewerber sollten über einen guten Realschulabschluss oder ein (Fach-) Abitur verfügen. Zudem sollte ein gutes mathematisches und naturwissenschaftliches Verständnis vorgewiesen werden können, sowie ausgeprägtes logisches und analytisches Denken. Interesse an der Informatik, IT-Systemen, Anwendungsentwicklung und der Programmierung ist für uns besonders wichtig. Zudem sollten gute Englischkenntnisse in Wort und Schrift nicht fehlen.Verantwortungsbewusstsein, Selbstständigkeit und sorgfältiges Arbeiten sind ebenso wichtig wie gute Teamfähigkeit.
Bei uns hat die IT einen hohen Stellenwert. Die Kunden der IT sind die internen Fachabteilungen mit ihren individuellen Anforderungen. Als Auszubildender arbeitest Du bereits in Deiner Ausbildung aktiv daran, diese Anforderungen umzusetzen und die Prozesse zu optimieren.
Die Ausbildung erfolgt im dualen System über drei Jahre. Die Berufsschule ist in Lüneburg. Bei guten Leistungen ist eine Verkürzung der Ausbildung möglich.",2026-06-13T10:34:55.346319+00:00
AUBI-309843,aubi_plus_fi,Securepoint GmbH,Lüneburg,21337 Lüneburg,Ausbildung zum Fachinformatiker – Anwendungsentwicklung (m/w/d),ae,2026,8,,60,empty,jobs@securepoint.de,https://www.aubi-plus.de/bewerbung/,email,Kontakt,,Securepoint GmbH | Ausbildung zum Fachinformatiker – Anwendungsentwicklung (m/w/d) | Lüneburg,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker – Anwendungsentwicklung (m/w/d)

Ausbildungsvergütung
Eine faire Ausbildungsvergütung ist für uns selbstverständlich.
Attraktive Sachzuwendungen
Zusätzlich zur Ausbildungsvergütung erwarten dich weitere coole Sachzuwendungen.
Abschlussarbeiten
Deine Abschlussarbeit rückt immer näher? Gerne entwickeln wir gemeinsam ein spannendes Projekt.
Ihre Bewerbungsunterlagen
Bitte nutzen Sie unser Online-Bewerbungsformular und senden uns Ihre vollständigen Unterlagen zusammengefasst in einer PDF-Datei.
Verwenden Sie KEINE Hyperlinks oder QR- bzw. Barcodes innerhalb ihrer Bewerbungsunterlagen
Aufgrund der aktuellen Sicherheitslage (Verschlüsselungstrojaner) nehmen wir nur PDF-Dokumente entgegen. Ihre elektronisch zugesandten Unterlagen werden für einen Zeitraum von sechs Monaten vorgehalten. Nach Ablauf der Verwahrungsfrist werden Ihre Unterlagen selbstverständlich gelöscht.
Stellendetails
Beruf:
Fachinformatiker / Fachinformatikerin Fachrichtung Anwendungsentwicklung
Bewerbungsfrist:
Offen
Mindestabschluss:
Realschulabschluss / Mittlere Reife
oder einen höheren Schulabschluss
Freie Ausbildungsplätze:
Freie Plätze vorhanden
Auch geeignet für:
Umschüler*innen
Dauer:
3 Jahre
Referenz-Nr:
AUBI-309843
(Bitte in der Bewerbung angeben)
Kopieren
Dein persönlicher Matching-Score
Du willst wissen, wie gut diese Stelle zu dir passt? Dann registriere dich und mach das Matching. Mehr erfahren
Bewerbungsunterlagen
vollständige Bewerbungsunterlagen
Anschreiben
Lebenslauf
die letzten 2 Schulzeugnisse
Tipp: Beziehe Dich in Deiner Bewerbung auf AUBI-plus!
Mit bewerbung2go kannst du deine Bewerbungsunterlagen erstellen.
Bildungspartner
Berufsbildende Schulen I Lüneburg
21337 Lüneburg
Deine AUBI-plus Jobmail
Lass deinen Bot für dich suchen! Lege deine Suchkriterien fest und lehn dich zurück. Du bekommst aktuelle Stellen für deinen Traumberuf direkt per Mail zugeschickt.
SUCHBOT ERSTELLEN
Ähnliche Suchanfragen:
AUSBILDUNG LÜNEBURG 2026
AUSBILDUNG IN NIEDERSACHSEN
AUSBILDUNG 2026
AUSBILDUNG ALS FACHINFORMATIKER FACHRICHTUNG ANWENDUNGSENTWICKLUNG (M/W/D) IN LÜNEBURG
9 weitere Stellen im Unternehmen
Ausbildung zu Kaufleuten für Büromanagement Schwerpunkt Buchhaltung und Rechnungswesen (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
Ausbildung zum Fachinformatiker – Systemintegration (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
Duales Studium (B.A.) Medien- und IT-Management - Fokus: Produktmanagement (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
WEITERE STELLEN LADEN
AUBI-plus
Über uns
Karriere
Partner
FAQ
News & Events
Presse
Blog
Messen & Aktionstage
DEUTSCHES AUSBILDUNGSFORUM
Produkte & Dienstleistungen
Für Ausbildungsbetriebe
Für Hochschulen
Für Schulen
Für Eltern
Besuch uns auch auf:
Region ändern:
AUBI-plus Österreich (deutsch)
AUBI-plus Schweiz (deutsch)
AUBI-plus Italien (deutsch)
AUBI-plus
Impressum
AGB
Datenschutz",,2026-06-13T14:54:24.304507+00:00
AUBI-309846,aubi_plus_fi,Securepoint GmbH,Lüneburg,21337 Lüneburg,Ausbildung zum Fachinformatiker – Systemintegration (m/w/d),ae,2026,8,,60,empty,jobs@securepoint.de,https://www.aubi-plus.de/bewerbung/,email,"Für die Fachrichtung Systemintegration spezialisieren sich künftige Fachinformatiker auf die Entwicklung, Planung und Umsetzung von Systemlösungen. Sie entwickeln Hardware- (Computer, Drucker, etc.) und Software-Lösungen, bauen größere vernetzte Mehrbenutzersysteme auf, planen und kontrollieren Projekte, beheben Störungen durch den Einsatz von Spezialsystemen, verwalten IT-Systeme, präsentieren Systemlösungen usw. Beispiel aus dem Job: Mit diesem Schwerpunkt sind Fachinformatiker beispielsweise in der Lage, für einen Kunden eine Security-Lösung zu implementieren und zu warten. Dir sollte es Spaß machen, diese Systeme selbst zu verwalten und zu entwickeln und anderen als Ansprechpartner (m/w/d) für Fragen und Probleme mit der Bedienung des Computer- und Kommunikationssystems zur Verfügung zu stehen.
Ausbildungsschwerpunkte: Fachrichtung Systemintegration
Planung von Systemlösungen
Installation von Netzwerkprodukten
Operating
Service
Schulung
Projektmanagement
Fachaufgaben einzelner Einsatzgebiete wie Rechenzentren, Netzwerke, Client-Server, Festnetze, Funknetze
Ausbildungsbeginn: 01.08.2026*
Ausbildungsdauer: 3 Jahre
Berufsschule: BBS II in Lüneburg
* Wir freuen uns auch über Bewerbungen von Auszubildenden, die ihren aktuellen Ausbildungsbetrieb wechseln wollen bzw. müssen. Ein kurzfristiger Einstieg bei uns wäre möglich.
Einige Benefits
Professionelles Onboarding
Durch unser Onboarding-Konzept ermöglichen wir einen perfekten Start.
Mentorenprogramm
Deinen perfekten Start ermöglichen wir durch ein strukturiertes Mentorenprogramm.
Übernahme
Wir verfolgen immer das Ziel einer Übernahme nach Deiner Ausbildung.
Technische Ausstattung
Es steht moderne technische Ausstattung für die tägliche Arbeit zur Verfügung.
Gute Verkehrsanbindung
Wir sind innenstadtnah mit direkter Anbindung zum Bahnhof.
Kontakt",,Securepoint GmbH | Ausbildung zum Fachinformatiker – Systemintegration (m/w/d) | Lüneburg,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker – Systemintegration (m/w/d)

Ausbildungsvergütung
Eine faire Ausbildungsvergütung ist für uns selbstverständlich.
Attraktive Sachzuwendungen
Zusätzlich zur Ausbildungsvergütung erwarten dich weitere coole Sachzuwendungen.
Abschlussarbeiten
Deine Abschlussarbeit rückt immer näher? Gerne entwickeln wir gemeinsam ein spannendes Projekt.
Ihre Bewerbungsunterlagen
Bitte nutzen Sie unser Online-Bewerbungsformular und senden uns Ihre vollständigen Unterlagen zusammengefasst in einer PDF-Datei.
Verwenden Sie KEINE Hyperlinks oder QR- bzw. Barcodes innerhalb ihrer Bewerbungsunterlagen
Aufgrund der aktuellen Sicherheitslage (Verschlüsselungstrojaner) nehmen wir nur PDF-Dokumente entgegen. Ihre elektronisch zugesandten Unterlagen werden für einen Zeitraum von sechs Monaten vorgehalten. Nach Ablauf der Verwahrungsfrist werden Ihre Unterlagen selbstverständlich gelöscht.
Stellendetails
Beruf:
Fachinformatiker / Fachinformatikerin Fachrichtung Systemintegration
Bewerbungsfrist:
Offen
Mindestabschluss:
Realschulabschluss / Mittlere Reife
oder einen höheren Schulabschluss
Freie Ausbildungsplätze:
Freie Plätze vorhanden
Auch geeignet für:
Umschüler*innen
Dauer:
3 Jahre
Referenz-Nr:
AUBI-309846
(Bitte in der Bewerbung angeben)
Kopieren
Dein persönlicher Matching-Score
Du willst wissen, wie gut diese Stelle zu dir passt? Dann registriere dich und mach das Matching. Mehr erfahren
Bewerbungsunterlagen
vollständige Bewerbungsunterlagen
Anschreiben
Lebenslauf
die letzten 2 Schulzeugnisse
Tipp: Beziehe Dich in Deiner Bewerbung auf AUBI-plus!
Mit bewerbung2go kannst du deine Bewerbungsunterlagen erstellen.
Deine AUBI-plus Jobmail
Lass deinen Bot für dich suchen! Lege deine Suchkriterien fest und lehn dich zurück. Du bekommst aktuelle Stellen für deinen Traumberuf direkt per Mail zugeschickt.
SUCHBOT ERSTELLEN
Ähnliche Suchanfragen:
AUSBILDUNG LÜNEBURG
AUSBILDUNG IN NIEDERSACHSEN
AUSBILDUNG 2026
AUSBILDUNG ALS FACHINFORMATIKER FACHRICHTUNG SYSTEMINTEGRATION (M/W/D) IN LÜNEBURG
9 weitere Stellen im Unternehmen
Ausbildung zum Fachinformatiker – Anwendungsentwicklung (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
Ausbildung zum Fachinformatiker – Digitale Vernetzung (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
Duales Studium (B.A.) Medien- und IT-Management - Fokus: Produktmanagement (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
WEITERE STELLEN LADEN
AUBI-plus
Über uns
Karriere
Partner
FAQ
News & Events
Presse
Blog
Messen & Aktionstage
DEUTSCHES AUSBILDUNGSFORUM
Produkte & Dienstleistungen
Für Ausbildungsbetriebe
Für Hochschulen
Für Schulen
Für Eltern
Besuch uns auch auf:
Region ändern:
AUBI-plus Österreich (deutsch)
AUBI-plus Schweiz (deutsch)
AUBI-plus Italien (deutsch)
AUBI-plus
Impressum
AGB
Datenschutz",,2026-06-13T14:54:34.816551+00:00
MAD-2410257030,meine_ausbildung_ae,Netzkunst24 Design- und Internetagentur GmbH,Lüneburg,,Fachinformatiker (m/w/d) – für Anwendungsentwicklung,ae,,,,40,company,,https://netzkunst-marketing.de/agentur/karriere/ausbildung-fachinformatiker-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,portal,,,Netzkunst24 Design- und Internetagentur GmbH | Fachinformatiker (m/w/d) – für Anwendungsentwicklung | Lüneburg,ya,belum,rendah,Fachinformatiker (m/w/d) – für Anwendungsentwicklung,,2026-06-11T11:54:20.835194+00:00
MAD-2391489594,meine_ausbildung_ae,Panasonic Europe Ltd.,Lüneburg,,Ausbildung zum Fachinformatiker/-in Anwendungsentwicklung (m/w/d) 2026,ae,,,,40,company,,https://pideu.panasonic.de/de/jobs/ausbildung-zum-fachinformatiker-in-anwendungsentwicklung-m-w-d-2026/?utm_source=meine-ausbildung-in-deutschland,portal,,,Panasonic Europe Ltd. | Ausbildung zum Fachinformatiker/-in Anwendungsentwicklung (m/w/d) 2026 | Lüneburg,ya,belum,rendah,Ausbildung zum Fachinformatiker/-in Anwendungsentwicklung (m/w/d) 2026,,2026-06-11T11:58:07.870838+00:00
MAD-2441373872,meine_ausbildung_ae,Werum Software & Systems AG,Lüneburg,,Auszubildende zur/zum Fachinformatiker/in für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://www.werum.de/de/ausbildung-bei-werum/azubi-fi-anwendungsentwicklung?utm_source=meine-ausbildung-in-deutschland,portal,,,Werum Software & Systems AG | Auszubildende zur/zum Fachinformatiker/in für Anwendungsentwicklung (m/w/d) | Lüneburg,ya,belum,rendah,Auszubildende zur/zum Fachinformatiker/in für Anwendungsentwicklung (m/w/d),,2026-06-11T11:43:58.654671+00:00
MAD-2437059215,meine_ausbildung_ae,wnm® GmbH | Zentrale,Lüneburg,,Ausbildung zur/zum Fachinformatiker Anwendungsentwicklung (m/w/d) Lüneburg,ae,,,,40,company,,https://wnm.de/job/ausbildungsplatz_fachinformatiker_anwendungsentwicklung_lueneburg-2/?utm_source=meine-ausbildung-in-deutschland,portal,,,wnm® GmbH | Zentrale | Ausbildung zur/zum Fachinformatiker Anwendungsentwicklung (m/w/d) Lüneburg | Lüneburg,ya,belum,rendah,Ausbildung zur/zum Fachinformatiker Anwendungsentwicklung (m/w/d) Lüneburg,,2026-06-11T11:46:14.807775+00:00
AUBI-309844,aubi_plus_fi,Securepoint GmbH,Lüneburg,21337 Lüneburg,Ausbildung zum Fachinformatiker – Daten- und Prozessanalyse (m/w/d),dpa,2026,8,,60,empty,jobs@securepoint.de,https://www.aubi-plus.de/bewerbung/,email,Kontakt,,Securepoint GmbH | Ausbildung zum Fachinformatiker – Daten- und Prozessanalyse (m/w/d) | Lüneburg,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker – Daten- und Prozessanalyse (m/w/d)

Ausbildungsvergütung
Eine faire Ausbildungsvergütung ist für uns selbstverständlich.
Attraktive Sachzuwendungen
Zusätzlich zur Ausbildungsvergütung erwarten dich weitere coole Sachzuwendungen.
Abschlussarbeiten
Deine Abschlussarbeit rückt immer näher? Gerne entwickeln wir gemeinsam ein spannendes Projekt.
Ihre Bewerbungsunterlagen
Bitte nutzen Sie unser Online-Bewerbungsformular und senden uns Ihre vollständigen Unterlagen zusammengefasst in einer PDF-Datei.
Verwenden Sie KEINE Hyperlinks oder QR- bzw. Barcodes innerhalb ihrer Bewerbungsunterlagen
Aufgrund der aktuellen Sicherheitslage (Verschlüsselungstrojaner) nehmen wir nur PDF-Dokumente entgegen. Ihre elektronisch zugesandten Unterlagen werden für einen Zeitraum von sechs Monaten vorgehalten. Nach Ablauf der Verwahrungsfrist werden Ihre Unterlagen selbstverständlich gelöscht.
Stellendetails
Beruf:
Fachinformatiker / Fachinformatikerin Fachrichtung Daten- und Prozessanalyse
Bewerbungsfrist:
Offen
Mindestabschluss:
Realschulabschluss / Mittlere Reife
oder einen höheren Schulabschluss
Freie Ausbildungsplätze:
Freie Plätze vorhanden
Auch geeignet für:
Umschüler*innen
Dauer:
3 Jahre
Referenz-Nr:
AUBI-309844
(Bitte in der Bewerbung angeben)
Kopieren
Dein persönlicher Matching-Score
Du willst wissen, wie gut diese Stelle zu dir passt? Dann registriere dich und mach das Matching. Mehr erfahren
Bewerbungsunterlagen
vollständige Bewerbungsunterlagen
Anschreiben
Lebenslauf
die letzten 2 Schulzeugnisse
Tipp: Beziehe Dich in Deiner Bewerbung auf AUBI-plus!
Mit bewerbung2go kannst du deine Bewerbungsunterlagen erstellen.
Deine AUBI-plus Jobmail
Lass deinen Bot für dich suchen! Lege deine Suchkriterien fest und lehn dich zurück. Du bekommst aktuelle Stellen für deinen Traumberuf direkt per Mail zugeschickt.
SUCHBOT ERSTELLEN
Ähnliche Suchanfragen:
AUSBILDUNG LÜNEBURG
AUSBILDUNG IN NIEDERSACHSEN
AUSBILDUNG 2026
AUSBILDUNG ALS FACHINFORMATIKER FACHRICHTUNG DATEN- UND PROZESSANALYSE IN LÜNEBURG
9 weitere Stellen im Unternehmen
Ausbildung zum Fachinformatiker – Digitale Vernetzung (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
Ausbildung zu Kaufleuten für Büromanagement Schwerpunkt Sales (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
Duales Studium (B.A.) Medien- und IT-Management - Fokus: Produktmanagement (m/w/d)
Securepoint GmbH
21337 Lüneburg
01.08.2026
WEITERE STELLEN LADEN
AUBI-plus
Über uns
Karriere
Partner
FAQ
News & Events
Presse
Blog
Messen & Aktionstage
DEUTSCHES AUSBILDUNGSFORUM
Produkte & Dienstleistungen
Für Ausbildungsbetriebe
Für Hochschulen
Für Schulen
Für Eltern
Besuch uns auch auf:
Region ändern:
AUBI-plus Österreich (deutsch)
AUBI-plus Schweiz (deutsch)
AUBI-plus Italien (deutsch)
AUBI-plus
Impressum
AGB
Datenschutz",,2026-06-13T14:54:28.711550+00:00
