id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10001-1002742155-S,fachinformatiker_ae,KLS Pharma Robotics GmbH,Mannheim,"Besselstrasse 25, 68219 Mannheim",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,80,ba_portal,personal@pro-medisoft.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002742155-S,email,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002742155-S,KLS Pharma Robotics GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Mannheim,tidak,belum,tinggi,"Die **Pro Medisoft AG** entwickelt, vertreibt und wartet seit 1985 Software und Systeme für das Gesundheitswesen (Apotheken, Arztpraxen, Kliniken, Wundzentren, Heimversorgung und Arbeits-/Betriebsmedizin). Ziel unseres Unternehmens ist es, alle EDV Bedürfnisse unserer Kunden zu decken. Von der Beratung beim Kauf der Systeme bis zur laufenden Fortbildung in unseren Themenkreisen. Wir haben unseren Betriebsablauf in Inhalten und Arbeitszeiten dem unserer Kunden angepasst. **Pro Medisoft AG** ist in jeder Hinsicht serviceorientiert und innovativ.

Zur Verstärkung unseres Teams suchen wir

einen Auszubildenden  ( m/w/d ) für den Beruf :

\*\*\* Fachinformatiker  / Anwendungsentwicklung \*\*\*

Ihre Aufgaben :

Kennenlernen von verschiedenen Programmiersprachen
Arbeiten mit Datenbanken
Analyse von fachlichen Aufgabenstellungen
Mitarbeit an verschiedenen Projekten

Entwicklung und programmieren von Software für den eigenen Betrieb oder für unsere Kunden.

Beispielsweise erweitern sie betriebseigene Programme oder entwickeln neue Lösungen, die auf die eigenen betrieblichen Bedürfnisse bzw. die Kundenanforderungen zugeschnitten sind.

Sie installieren Softwareanwendungen, nehmen sie in Betrieb und weisen ggf. die Anwender in die Bedienung ein. Auch die regelmäßige Aktualisierung und Wartung, der IT-Support gehören zu Ihren Aufgaben

Ihr Profil:

Abitur oder Fachhochschulreife, oder sehr guter mittlerer Bildungsabschluss
sehr gute PC-Kenntnisse und ein Interesse an neuen Technologien
Vorkenntnisse in der Programmierung, gerne auch schon im Umgang mit Datenbanken

Wir erwarten von Ihnen:

Technisches Verständnis und Handgeschick (z.B. externe IT-Ressourcen bewerten und IT-Systeme integrieren, Hardwarekomponenten einbauen und warten)

Kreativität (z.B. Anwendungslösungen entwerfen und realisieren)

Durchhaltevermögen (z.B. langwierige Fehlersuchen durchführen)

Kundenorientierung und mündliches Ausdrucksvermögen (z.B. bei der bedarfsgerechten Planung von IT-Systemen, beim Beraten und Schulen von Nutzern)
Organisationsgeschick, eine selbständige Arbeitsweise und gute kommunikative Fähigkeiten
Spaß an der Arbeit im Team
gutes Englisch in Wort und Schrift

Wir bieten Ihnen:

○Einen sicheren Ausbildungsplatz
○Abwechslungsreiche Ausbildung
○durchlaufen aller wichtigen Entwicklungsbereiche

Haben wir Ihr Interesse geweckt?
Dann freuen wir uns auf Ihre Bewerbung per E-Mail: personal@pro-medisoft.de","Beispielsweise erweitern sie betriebseigene Programme oder entwickeln neue Lösungen, die auf die eigenen betrieblichen Bedürfnisse bzw. die Kundenanforderungen zugeschnitten sind.
Sie installieren Softwareanwendungen, nehmen sie in Betrieb und weisen ggf. die Anwender in die Bedienung ein. Auch die regelmäßige Aktualisierung und Wartung, der IT-Support gehören zu Ihren Aufgaben
Mittlere Reife / Realschulabschluss",2026-06-11T09:10:41.288861+00:00
AD-2166eb34-871a-49b1-808a-d00e4291deb8,ausbildung_de_ae,October Labs GmbH,Mannheim,"C 7, 18 68159 Mannheim Baden-Württemberg",Ausbildung | Fachinformatiker/in für Anwendungsentwicklung (m/w/d),ae,,,,73,company,ich-will-zu@octlabs.com,https://www.ausbildung.de/direktbewerbung/ausbildung-fachinformatiker-in-fuer-anwendungsentwicklung-m-w-d-bei-october-labs-gmbh-in-mannheim-60fec229-de77-4aff-b54c-40004a4852d7/,email,,,October Labs GmbH | Ausbildung | Fachinformatiker/in für Anwendungsentwicklung (m/w/d) | Mannheim,tidak,belum,tinggi,"Ausbildung Fachinformatiker/in für Anwendungsentwicklung (m/w/d)

Mittlere Reife",Mittlere Reife,2026-06-11T11:20:24.516755+00:00
INDEED-44f9783336384237,indeed_de_ae,Phoenix Medical,Mannheim,Mannheim BW,Ausbildung | Auszubildender (m/w/d) zum Fachinformatiker für Anwendungsentwicklung,ae,,,Berufsausbildung,67,empty,,https://www.hiringlab.org/de/,portal,"Bei ADG steckt viel dahinter: ein abwechslungsreicher Start ins Berufsleben mit richtig guten Perspektiven. Bitte bewirb Dich online. Deine Ansprechpartnerin ist Frau Ina Dreizehnter, Verantwortliche für Aus- und Weiterbildung. Wir freuen uns auf Deine Bewerbung!",,Phoenix Medical | Ausbildung | Auszubildender (m/w/d) zum Fachinformatiker für Anwendungsentwicklung | Mannheim,tidak,belum,sedang,"Auszubildender (m/w/d) zum Fachinformatiker für Anwendungsentwicklung

Deine Aufgaben
Du lernst die verschiedenen Abteilungen und ein breites Spektrum an informationstechnologischen Tätigkeiten in unserer Service- und Dienstleistungsgesellschaft kennen. Während der 3-jährigen Ausbildung wechseln sich Praxisphasen in der Firma und Theoriephasen an der Berufsschule (Blockunterricht) ab. Es werden Dir wichtige Lerninhalte vermittelt, so dass Du Dein Wissen für Ihre spätere berufliche Tätigkeit komplettieren kannst.
Fachinformatiker mit der Fachrichtung Anwendungsentwicklung…
…planen, konzipieren und programmieren verschiedene Programme und Anwendungen.
…entwickeln anwendungsgerechte und nutzerfreundliche Bedienoberflächen.
…nutzen verschiedene Programmiersprachen und spezielle Entwicklertools.
…schulen Anwender in der neuen Software.

Dein Profil
Gute Mittlere Reife, Fachhochschulreife oder Hochschulreife
Persönliches Interesse sowie Begeisterung für technischen Themen und Programmierung
Hohe Auffassungsaufgabe sowie die Bereitschaft, bekannte aber auch neue Tätigkeiten für sich zu entdecken und einzuarbeiten
Freude an Teamarbeit sowie eine selbstständige Arbeitsweise

Unsere Benefits
Zukunftssicher : Wir wachsen und wachsen. Wir zählen zu den Marktführern und bieten Dir die Perspektive auf ein unbefristetes Arbeitsverhältnis.
Vereinbarkeit von Privat- und Berufsleben : Wir bieten Dir Mobile-Office und flexible Arbeitszeitmodelle.
Karriere : Wir fördern Dich! Innerhalb der ADG und des PHOENIX-Konzerns bieten sich tolle Möglichkeiten.
Weiterbildung : Sehr gerne - wir freuen uns, wenn Du wissbegierig bist.
Team : So arbeiten wir. Wir fördern den Zusammenhalt im Team durch kleine und große Events.","Dein Profil
Gute Mittlere Reife, Fachhochschulreife oder Hochschulreife
Persönliches Interesse sowie Begeisterung für technischen Themen und Programmierung
Hohe Auffassungsaufgabe sowie die Bereitschaft, bekannte aber auch neue Tätigkeiten für sich zu entdecken und einzuarbeiten
Freude an Teamarbeit sowie eine selbstständige Arbeitsweise",2026-06-13T11:30:46.526835+00:00
STEP-14075083,stepstone_de_ae,Bauhaus AG - Service Center Deutschland,Mannheim,Mannheim Mannheim,Ausbildung | Fachinformatiker (m/w/d) bei BAUHAUS,ae,,,"1.120€, 1.230€, 1.410€",60,empty,,https://twitter.com/stepstone_de,portal,"Kontakt
Dein Ansprechpartner
Du hast Fragen zur Ausbildung oder deinen Einstiegsmöglichkeiten bei BAUHAUS? Unser Kollege Marius Herget ( karriere@bauhaus-ag.de ) freut sich auf deine Nachricht.
Weitere Tipps & Hinweise für deine Bewerbung findest du hier .
Bewerbungsprozess",,Bauhaus AG - Service Center Deutschland | Ausbildung | Fachinformatiker (m/w/d) bei BAUHAUS | Mannheim,tidak,belum,sedang,"Ausbildung Fachinformatiker (m/w/d) bei BAUHAUS

Ihre Aufgaben
Fachinformatiker:innen werden in Zeiten der voran­schreitenden Digitali­sierung überall gesucht und gebraucht. Als Computer-Expert:in übernimmst du schließlich so gut wie alle Aufgaben rund um die gesamte Unternehmens-IT. Für deinen Berufseinstieg zum Fachinformatiker (m/w/d)
Je nach gewähltem Ausbildungs­­schwerpunkt spezialisierst du dich in den Fach­richtungen System­integration oder Anwendungs­­entwicklung.
Du erlangst wesentliches Wissen rund um fachmännisch aufgesetzte Computernetzwerke, sodass du entsprechende Anwender:innen kompetent betreuen kannst.
Du entwickelst, erstellst und betreust maßgeschneiderte IT-Lösungen.
Du kümmerst dich um die Umsetzung, Integration sowie Prüfung von Maßnahmen zur IT-Sicherheit und zum Datenschutz.
Du erhältst grundlegende Einblicke in die Bereiche Service Desk, Betriebs­systeme, Netz­werke und IT-Sicherheit.
Du automatisierst Prozesse mithilfe von Skript- und Programmier­sprachen wie PHP, C#, JavaScript oder Python und wendest deine erworbenen Kennt­nisse z. B. bei der Fehler­prüfung an.
Du vertiefst dein Wissen in den Themen BWL, Soft- und Hardware, Netz­werk­technik und Wirtschafts­kunde.
Du lernst weitere BAUHAUS Abteilungen wie den Einkauf, das Marketing und den Bereich Digital Commerce kennen.
Als Fachinformatiker für System­integration (m/w/d) spezialisierst du dich außerdem im
Konzipieren, Realisieren und Administrieren von IT-Systemen sowie
Installieren und Konfigu­rieren von Netzwerken.
Als Fach­informa­tiker für Anwendungs­entwicklung (m/w/d) konzentriert sich deine Aus­bildung vor allem auf
das Konzipieren und Umsetzen kunden­spezifischer Software­anwendungen sowie
deren Qualitäts­sicherung und Weiter­entwicklung.
Nach deinem erfolgreichen Abschluss und bei guten praktischen Leistungen wirst du von BAUHAUS übernommen. Von da an stehen dir viele Weiter­bildungs- und Karriere­möglichkeiten offen.
Ihr Profil
Du hast die mittlere Reife oder einen höheren Abschluss mit guten Noten, insbesondere in den technisch-natur­wissen­schaft­lichen Fächern und Englisch.
Du begeisterst dich für die IT-Branche sowie für betriebs­wirtschaftliche Abläufe und hast großes Interesse an technischen Systemen.
Idealer­weise hast du bereits erste Erfahrungen in Soft- und Hard­ware­themen sammeln können.
Du zeichnest dich durch ein großes außer­schulisches Engage­ment sowie soziales Denken und Handeln aus.
Deine BAUHAUS Vorteile
­­­ bei BAUHAUS sprechen neben einer hochwertigen und mehrfach ausge­zeichneten Ausbildung vor allem ein erfahrenes IT-Team aus gleich­gesinnten Digital-Begeisterten, eine über­durchschnitt­liche Vergütung und aus­sichtsreiche Weiter­bildungs­möglichkeiten in einem der erfolg­reichsten Handel­sunternehmen Europas.
Deine Ausbildung beginnt am 1. September, dauert in der Regel 3 Jahre und findet im BAUHAUS Service Center Deutschland in Mannheim statt. Bei entsprech­ender schulischer Vorbildung oder bei sehr guter Leistung kann die Aus­bildungs­zeit auch verkürzt werden.
Überdurchschnittliche Vergütung
1. Lehrjahr: 1.120€
2. Lehrjahr: 1.230€
3. Lehrjahr: 1.410€
Mobiles Arbeiten
Mobiles Arbeiten ist möglich.
Übernahme
bei guten Leistungen.
30 Tage Urlaub
im Jahr.
BuV
Berufsunfähigkeitsversicherung zu Sonderkonditionen.
Präsente
Kleine Aufmerksamkeiten zu besonderen Anlässen, wie Geburtstag oder Weihnachten.
Fahrtkostenzuschuss
Auszubildende, die für Fahrten zwischen Wohnung und Arbeitsstelle öffentliche Verkehrsmittel benutzen, erhalten einen monatlichen Fahrtkostenzuschuss.
Personalrabatt
Das sagen unsere Azubis„Ich wollte hier hin, weil BAUHAUS als Top-Arbeitgeber im Bereich Ausbildung mehrfach ausgezeichnet ist. Heute weiß ich auch warum: Meine Aufgaben sind spannend und ab­wechslungs­reich, die Zusammen­arbeit im Team funktioniert super und ich kann mein grund­legendes Verständnis und Interesse im IT-Bereich immer weiter ausbauen.“Tim B.Auszubildender Fachinformatiker Deine Einarbeitung und Weiterbildung bei BAUHAUS
Herzlich willkommen im #TeamBAUHAUS! Die ersten Tage sind aufregend – um dir den Einstieg zu erleichtern, begleiten wir dich von Anfang an mit unserem strukturierten Onboarding. Auch nach der Einarbeitung bieten wir dir dank unserer BAUHAUS Akademie viele Möglichkeiten dein Wissen auszubauen und Neues dazuzulernen.
Deine ersten Tage bei BAUHAUS
Gleich zu Beginn deiner Ausbildung findet ein Willkommenstag mit allen neuen Azubis im BAUHAUS Service Center Deutschland statt. Dort erwarten dich Kennenlernspiele, ein gemeinsames Frühstück sowie Mittagessen und du erhältst erste Infos zu deiner Ausbildung bei BAUHAUS. An deinem ersten Tag wirst du direkt mit einem iPad und einer Willkommensbox ausgestattet. Die Willkommensbox enthält alle Dinge, die du für deinen Start bei uns brauchst. Während der gesamten Ausbildung finden regelmäßige Treffen mit allen Azubis aus dem BAUHAUS Service Center Deutschland statt, wo du dich austauschen und Fragen stellen kannst. Bei der Einarbeitung in deiner Abteilung wirst du ab dem ersten Tag von deinem Team an deine Aufgaben herangeführt. So steht deinem optimalen Start im #TeamBAUHAUS nichts mehr im Weg!e
Die BAUHAUS Akademie
Unsere BAUHAUS Akademie bietet allen Mitarbeiter:innen ein bedarfsorientiertes Schulungsangebot. Dieses umfasst abwechslungsreiche Blended-Learning-Konzepte mit Formaten wie Präsenztrainings, Webinare und Online-Kurse. Dank Learning@Home ist eine Weiterbildung auch von zu Hause aus möglich.

Personalrabatt in unseren BAUHAUS Fachcentren und Zugang zur Vorteilsplattform Corporate Benefits.
Betriebliche Altersversorgung
Zuschuss zur Entgeltumwandlung.
BAUHAUS Restaurant
Eine große Auswahl an Speisen aus regionalen Produkten zu Sonderkonditionen.
Flexible Arbeitszeiten
unter Berücksichtigung der Kern- und Rahmensarbeitszeit.
Betreuung
intensive Betreuung durch den Fachbereich.
Vergünstiger Leihservice
für Geräte & Transporter.
Weiterbildungen
individuelle Weiterbildungsmöglichkeiten zu unterschiedlichen Themen der persönlichen Entwicklung.
Events
Teilnahme an unterschiedlichen Events etwa Sommer- und Weihnachtsfeiern.
Abschlussreise
für die besten Absolvent:innen.",,2026-06-12T20:08:19.862866+00:00
STEP-12632195,stepstone_de_ae,Photovate GmbH,Mannheim,Mannheim Mannheim,Ausbildung | Fachinformatiker (m/w/d) für Anwendungsentwicklung,ae,,,,60,empty,,https://twitter.com/stepstone_de,portal,"Kontakt
stärken.
Wir freuen uns auf",,Photovate GmbH | Ausbildung | Fachinformatiker (m/w/d) für Anwendungsentwicklung | Mannheim,tidak,belum,sedang,"Ausbildung Fachinformatiker (m/w/d) für Anwendungsentwicklung

Aufgaben
Du lernst, wie Softwareprojekte geplant, umgesetzt und weiterentwickelt werden – von der Anforderungsanalyse bis zur Qualitätssicherung.
Du arbeitest mit modernen Programmiersprachen (z. B. Python, JavaScript, Java) und Frameworks in praxisnahen Projekten.
Du entwickelst individuelle Anwendungen, Schnittstellen oder Tools, die echte Mehrwerte schaffen.
Du wirst Teil eines Entwicklungsteams , arbeitest nach agilen Methoden und lernst Clean Code, Testing und Versionsverwaltung (Git) von Anfang an richtig einzusetzen.
Du wirkst aktiv an Projekten mit – ob bei der Digitalisierung interner Abläufe oder bei der Umsetzung neuer Softwarelösungen für unsere Kunden
Ein abwechslungsreiches Aufgabenspektrum in einem innovativen Tech-Startup mit Raum für deine eigenen Ideen und Initiativen.
Ein moderner Arbeitsplatz mit einem hohen Digitalisierungsgrad und der Möglichkeit, mit den neuesten Technologien zu arbeiten.
Ein unterstützendes und dynamisches Team mit einem angenehmen Arbeitsklima , in dem wir gemeinsam an einer grüneren Zukunft arbeiten.
Hervorragende Möglichkeiten zur Weiterentwicklung deiner persönlichen und fachlichen Stärken durch spannende Projekte und flache Hierarchien.
Vergünstigte Premium-Fitnessmitgliedschaft bei Pfitzenmeier.
Möglichkeit auf Homeoffice.
Snacks, diverse Tee- und Kaffeespezialitäten sowie regelmäßige Team- und Firmenevents, die den

Dein Profil
Einen guten Realschulabschluss oder (Fach-)Abitur.
Erste Programmiererfahrung durch eigene Projekte, Kurse, Praktika oder Freizeit – idealerweise hast du schon kleinere Anwendungen entwickelt oder automatisierte Abläufe umgesetzt.
Erste Referenzen,  B. in Form eines GitHub-Repositories, Projektbeispiels oder eigener Code-Snippets.
Grundkenntnisse in mindestens einer Programmiersprache (z. B. Python, Java, JavaScript, C# o. ä.) sind von Vorteil.
Begeisterung für Softwareentwicklung , neue Technologien und systematisches Arbeiten.
Analytisches Denken, Eigeninitiative sowie eine strukturierte und zuverlässige Arbeitsweise.
Freude an Teamarbeit und der Bereitschaft, dich
weiterzuentwickeln

Benefits","Dein Profil
Einen guten Realschulabschluss oder (Fach-)Abitur.
Erste Programmiererfahrung durch eigene Projekte, Kurse, Praktika oder Freizeit – idealerweise hast du schon kleinere Anwendungen entwickelt oder automatisierte Abläufe umgesetzt.
Erste Referenzen,  B. in Form eines GitHub-Repositories, Projektbeispiels oder eigener Code-Snippets.
Grundkenntnisse in mindestens einer Programmiersprache (z. B. Python, Java, JavaScript, C# o. ä.) sind von Vorteil.
Begeisterung für Softwareentwicklung , neue Technologien und systematisches Arbeiten.
Analytisches Denken, Eigeninitiative sowie eine strukturierte und zuverlässige Arbeitsweise.
Freude an Teamarbeit und der Bereitschaft, dich
weiterzuentwickeln",2026-06-12T20:08:34.673853+00:00
MAD-2413627734,meine_ausbildung_ae,Dots United - Agentur für Neue Medien,Mannheim,,Ausbildung Fachinformatiker für Anwendungsentwicklung in Mannheim,ae,,,,40,company,,https://dotsunited.de/jobs/ausbildung-fachinformatiker-fuer-anwendungsentwicklung?utm_source=meine-ausbildung-in-deutschland,portal,,,Dots United - Agentur für Neue Medien | Ausbildung Fachinformatiker für Anwendungsentwicklung in Mannheim | Mannheim,ya,belum,rendah,Ausbildung Fachinformatiker für Anwendungsentwicklung in Mannheim,,2026-06-11T11:53:40.288492+00:00
MAD-2416273637,meine_ausbildung_ae,JobRouter GmbH,Mannheim,,Ausbildung Fachinformatiker:in für Anwendungsentwicklung in unserem Support -Team (m/w/d),ae,,,,40,company,,https://www.jobrouter.com/de/stellenangebot/ausbildung-fachinformatikerin-fuer-anwendungsentwicklung-in-unserem-support-team/?utm_source=meine-ausbildung-in-deutschland,portal,,,JobRouter GmbH | Ausbildung Fachinformatiker:in für Anwendungsentwicklung in unserem Support -Team (m/w/d) | Mannheim,ya,belum,rendah,Ausbildung Fachinformatiker:in für Anwendungsentwicklung in unserem Support -Team (m/w/d),,2026-06-11T11:52:59.042917+00:00
MAD-2446912959,meine_ausbildung_ae,Phoenix Pharmahandel GmbH & Co KG,Mannheim,,Auszubildender (m/w/d) zum Fachinformatiker für Anwendungsentwicklung,ae,,,,40,company,,https://jobs.phoenixgroup.eu/de/p/hp-germany/jobs/146751/auszubildender-mwd-zum-fachinformatiker-fur-anwendungsentwicklung?utm_source=meine-ausbildung-in-deutschland,portal,,,Phoenix Pharmahandel GmbH & Co KG | Auszubildender (m/w/d) zum Fachinformatiker für Anwendungsentwicklung | Mannheim,ya,belum,rendah,Auszubildender (m/w/d) zum Fachinformatiker für Anwendungsentwicklung,,2026-06-11T11:37:36.394901+00:00
MAD-2389321360,meine_ausbildung_ae,Pro Medisoft Ag,Mannheim,,Fachinformatiker für Anwendungsentwicklung / Systemintegration (m/w/d) Ausbildung,ae,,,,40,company,,https://www.pro-medisoft.de/karriere?utm_source=meine-ausbildung-in-deutschland,portal,,,Pro Medisoft Ag | Fachinformatiker für Anwendungsentwicklung / Systemintegration (m/w/d) Ausbildung | Mannheim,ya,belum,rendah,Fachinformatiker für Anwendungsentwicklung / Systemintegration (m/w/d) Ausbildung,,2026-06-11T11:58:27.187876+00:00
AZDE-12191092,azubi_de_fi,Spruck IT Service GmbH,Mannheim,68161 Mannheim DE,Ausbildung | zum Fachinformatiker Systemintegration 2027 (m/w/d),si,,,,73,empty,bewerbung@spruck-it.de,https://www.azubi.de/ausbildungsplatz/12191092-b-ausbildung-zum-fachinformatiker-systemintegration-2027-m-w-d/apply,email,"- Kundenkontakt und Vor-Ort-Einsätze gehören dazu
- Eigenes Equipment, eigener Mentor, eigene Projekte
- Berufsschule und Praxis im Wechsel — IHK-Abschluss am Ende
- Übernahmechance bei guter Leistung
Was du mitbringen solltest
- Mittlere Reife oder höher
- Echtes Interesse an IT — was du nicht weißt, bringen wir dir bei
- Lust, Verantwortung zu übernehmen und mit Kunden zu reden
- Deutsch sicher in Wort und Schrift
- Zuverlässigkeit und Teamgeist",,Spruck IT Service GmbH | Ausbildung | zum Fachinformatiker Systemintegration 2027 (m/w/d) | Mannheim,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker Systemintegration 2027 (m/w/d)

Einleitung
Über uns
Spruck IT-Service GmbH ist seit 2003 ein etabliertes IT-Systemhaus in Mannheim. Wir betreuen die IT mittelständischer Unternehmen in der Rhein-Neckar-Region — und bilden seit Jahren erfolgreich Fachinformatiker aus.
Dein Start in die IT
Du willst nicht nur klicken, sondern verstehen, wie Netzwerke, Server und Cloud wirklich funktionieren? Bei uns lernst du das Handwerk an echten Projekten — nicht im Trockenkurs.
Was dich erwartet
- Netzwerk- und Server-Administration ab Tag eins
- Microsoft 365, Cloud-Lösungen und Endpoint-Management mit Intune

Was wir bieten
- Strukturierte Ausbildung in einem etablierten IT-Systemhaus
- Eigene Projekte und Verantwortung von Anfang an
- Modernes Equipment und Tech-Stack
- Kleines Team, kurze Wege, direkter Draht zur Geschäftsführung
- Büro mitten in der Mannheimer City (O7, 6)
Bewerbung","Einleitung
Über uns
Spruck IT-Service GmbH ist seit 2003 ein etabliertes IT-Systemhaus in Mannheim. Wir betreuen die IT mittelständischer Unternehmen in der Rhein-Neckar-Region — und bilden seit Jahren erfolgreich Fachinformatiker aus.
Dein Start in die IT
Du willst nicht nur klicken, sondern verstehen, wie Netzwerke, Server und Cloud wirklich funktionieren? Bei uns lernst du das Handwerk an echten Projekten — nicht im Trockenkurs.
Was dich erwartet
- Netzwerk- und Server-Administration ab Tag eins
- Microsoft 365, Cloud-Lösungen und Endpoint-Management mit Intune",2026-06-13T10:39:23.894898+00:00
