id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1203304938-S,fachinformatiker_ae_2026,Martinrea Honsel Germany GmbH,Meschede,"Fritz-Honsel-Str. 30, 59872 Meschede",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,87,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203304938-S,ba_portal,"- Internationale Kontakte
- Hohe Ausbildungsvergütung nach Metalltarif
- Subventioniertes Mittagessen im eigenen Betriebsrestaurant",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203304938-S,Martinrea Honsel Germany GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Meschede,ya,belum,rendah,"**UNSER HERZ SCHLÄGT FÜR ALUMINIUM! DEINS AUCH?**

Martinrea Honsel ist ein weltweit führender Zulieferer von Leichtmetall­erzeugnissen mit Kernaktivitäten im Bereich Automotive. An den Standorten in Deutschland, Spanien, Brasilien, Mexiko und China
entwickeln und fertigen die rund 4.100 Mitarbeiterinnen und Mitarbeiter Komponenten aus Aluminium
für Motor, Getriebe, Fahrwerk und Karosserie von PKW und Nutzfahrzeugen sowie den Maschinenbau und andere Anwendungen.

Zur Verstärkung unseres Teams am Standort Meschede suchen wir ab dem 01. September 2026 Auszubildende zum

**Fachinformatiker (m/w/d) für Anwendungsentwicklung**

Fachinformatiker der Fachrichtung Anwendungsentwicklung entwickeln und programmieren kundenspezifische Softwareanwendungen. Sie erstellen individuelle Software neu oder testen bestehende Anwendungen, passen diese an und entwickeln anwendungsgerechte Bedienoberflächen. Für ihre Arbeit nutzen sie Programmiersprachen und Werkzeuge wie z.B. Entwicklertools. Außerdem übernehmen sie Aufgaben in der Projektplanung und -kontrolle. Darüber hinaus beheben sie Fehler mithilfe von Experten- und Diagnosesystemen und beraten bzw. schulen die Anwender

**DAS BIETEN WIR DIR:**

- Gute Perspektiven und vielfältige Entwicklungsmöglichkeiten für deine berufliche Karriere
- Lange Ausbildungstradition mit jährlich durchschnittlich 100 Auszubildenden
- Lernen und Arbeiten in einem technologisch hochspannenden Umfeld
- Individuelle Förderung und intensive Prüfungsvorbereitung
- Exzellente Weiterbildungsmöglichkeiten
- Internationale Kontakte
- Hohe Ausbildungsvergütung nach Metalltarif
- Subventioniertes Mittagessen im eigenen Betriebsrestaurant
- Betriebliches Gesundheitsmanagement

**DEINE AUFGABEN:**

- Softwarelösungen für technische, mathematisch-naturwissenschaftliche und kaufmännische Anwendungsbereiche erarbeiten, auch für Multimediaanwendungen, Expertensysteme oder vernetzte Produktionsanlagen
- Projekte zur Entwicklung kundenspezifischer Anwendungslösungen in kaufmännischer, technischer und organisatorischer Hinsicht leiten, einschließlich Qualitätssicherung
- Den Markt für IT-Technologien und -Systeme, Hard- und Softwareprodukte beobachten

**DAS BRINGST DU MIT:**

- Schulabschluss: mindestens Fachoberschulreife
- Ausgeprägte IT-Begeisterung
- Technisches und kaufmännisches Verständnis
- Selbständiges Arbeiten / Eigeninitiative
- Zuverlässigkeit
- Motivation / Leistungsbereitschaft / Lernbereitschaft
- Kommunikationsfähigkeit
- Teamfähigkeit

Ausbildungsdauer: 3 Jahre (Verkürzung der Ausbildungszeit möglich)

**Bewirb dich jetzt über unser [Online-Bewerberportal](https://martinreahonsel.prevueaps.com/jobs/).**

**Martinrea Honsel Germany GmbH**

Dieter Berndt - Personalentwicklung

Fritz-Honsel-Straße 30 - 59872 Meschede

0291 291-256

[www.martinrea-honsel.com](https://www.martinrea-honsel.com/)","**DAS BRINGST DU MIT:**
- Schulabschluss: mindestens Fachoberschulreife
- Ausgeprägte IT-Begeisterung
- Technisches und kaufmännisches Verständnis
- Selbständiges Arbeiten / Eigeninitiative
- Zuverlässigkeit
- Motivation / Leistungsbereitschaft / Lernbereitschaft
- Kommunikationsfähigkeit
- Teamfähigkeit
Mittlere Reife / Realschulabschluss",2026-06-11T08:15:20.849213+00:00
15109-k42271.2514-S,fachinformatiker_ae_2026,HST Systemtechnik GmbH & Co KG,Meschede,"Heinrichsthaler Straße 8, 59872 Meschede",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,80,company,,https://www.arbeitsagentur.de/jobsuche/jobdetail/15109-k42271.2514-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/15109-k42271.2514-S,HST Systemtechnik GmbH & Co KG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Meschede,ya,belum,rendah,"# Ausbildung zum Fachinformatiker für Anwendungsentwicklung für 2026 (m/w/d) in Meschede 

Wasserretter gesucht – Dein Einstieg in die Zukunft der Wasserwelt

Du möchtest einen Job mit Sinn und Zukunft?

Dann bist du bei HST Systemtechnik genau richtig! HST Systemtechnik GmbH &amp; Co. KG ist ein innovatives Unternehmen im Bereich der Wasser- und Abwassertechnik. Seit über 40 Jahren entwickeln wir zukunftsweisende Lösungen für die Wasserwirtschaft – von der Planung über die Fertigung bis hin zur Digitalisierung von Anlagen.

Bei uns gestaltest du aktiv die Welt von morgen – mit smarten Technologien und einem klaren Ziel: Sauberes Wasser, funktionierende Abwassersysteme und nachhaltige Lösungen für Umwelt und Gesellschaft.

Zukunftssicherer Job: Du arbeitest in einem führenden 4.0-Technologieunternehmen der Wasserwirtschaft.

Technik &amp; Nachhaltigkeit vereint: Du arbeitest mit moderner Steuerungs- und Automatisierungstechnik, lernst smarte Systeme kennen und gestaltest nachhaltige Lösungen.

Abwechslung statt Langeweile: Ob Werkstatt, Baustelle oder Büro – bei uns ist jeder Tag anders. Gestalte aktiv und eigenverantwortlich mit.

Klare Perspektiven: Sehr gute Übernahmechancen.

# Du lernst bei uns:

- Mitarbeit an der Konzeption und Realisierung von Software für verschiedene Zielsysteme
- Modulation von Datenbanken (z.B. mit Oracle oder Microsoft SQL)
- Testen von Software und Qualitätsmanagement
- Weitere Schwerpunkte können die Softwarebetreuung, Software-Wartung und Systemintegration sein

# Das bringst Du mit:

- Erfolgreich abgeschlossene Fachoberschulreife oder eine vergleichbare Qualifikation
- IT-Affinität sowie Interesse an Programmierung
- Einsatzbereitschaft und Zuverlässigkeit
- Spaß an Teamarbeit als auch eigenständigem Arbeiten

# Wir bieten Dir:

- Eine praxisorientierte und abwechslungsreiche Ausbildung und ausführliche Einarbeitung
- Eine attraktive Ausbildungsvergütung: Schon im ersten Jahr verdienst du 1.000€ im Monat - mit regelmäßiger Steigerung in den Folgejahren!
- Optimale Unterstützung bei deiner Ausbildung sowie deiner Abschlussprüfung
- Weiterbildungsmöglichkeiten im Rahmen der Personalentwicklung
- Sehr gute Übernahmechancen in ein sicheres Arbeitsumfeld
- Kostenlose Getränke und wöchentliches Mittagessen

Bewirb dich jetzt! Sei ein Wasserretter bei HST - Gestalte mit uns die Zukunft der Wasserbranche.","# Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife oder eine vergleichbare Qualifikation
- IT-Affinität sowie Interesse an Programmierung
- Einsatzbereitschaft und Zuverlässigkeit
- Spaß an Teamarbeit als auch eigenständigem Arbeiten",2026-06-11T08:12:31.637092+00:00
AZDE-10577860,azubi_de_fi,HST Systemtechnik GmbH & Co KG,Meschede,59872 Meschede DE,Ausbildung | zum Fachinformatiker für Anwendungsentwicklung für 2026 (m/w/d),ae,,,"Schon im ersten Jahr verdienst du 1.000€ im Monat - mit regelmäßiger Steigerung in den Folgejahren!
- Optimale Unterstützung bei deiner Ausbildung sowie deiner Abschlussprüfung
- Weiterbildungsmöglichkeiten im Rahmen der Personalentwicklung
- Sehr gute Übernahmechancen in ein sicheres Arbeitsumfeld",60,empty,,https://www.azubi.de/ausbildungsplatz/10577860-b-ausbildung-zum-fachinformatiker-fuer-anwendungsentwicklung-fuer-2026-m-w-d/apply,portal,,,HST Systemtechnik GmbH & Co KG | Ausbildung | zum Fachinformatiker für Anwendungsentwicklung für 2026 (m/w/d) | Meschede,tidak,belum,sedang,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung für 2026 (m/w/d)

Wasserretter gesucht – Dein Einstieg in die Zukunft der Wasserwelt
Du möchtest einen Job mit Sinn und Zukunft?
Dann bist du bei HST Systemtechnik genau richtig! HST Systemtechnik GmbH & Co. KG ist ein innovatives Unternehmen im Bereich der Wasser- und Abwassertechnik. Seit über 40 Jahren entwickeln wir zukunftsweisende Lösungen für die Wasserwirtschaft – von der Planung über die Fertigung bis hin zur Digitalisierung von Anlagen.
Bei uns gestaltest du aktiv die Welt von morgen – mit smarten Technologien und einem klaren Ziel: Sauberes Wasser, funktionierende Abwassersysteme und nachhaltige Lösungen für Umwelt und Gesellschaft.
Zukunftssicherer Job: Du arbeitest in einem führenden 4.0-Technologieunternehmen der Wasserwirtschaft.
Technik & Nachhaltigkeit vereint: Du arbeitest mit moderner Steuerungs- und Automatisierungstechnik, lernst smarte Systeme kennen und gestaltest nachhaltige Lösungen.
Abwechslung statt Langeweile: Ob Werkstatt, Baustelle oder Büro – bei uns ist jeder Tag anders. Gestalte aktiv und eigenverantwortlich mit.
Klare Perspektiven: Sehr gute Übernahmechancen.
Du lernst bei uns:
- Mitarbeit an der Konzeption und Realisierung von Software für verschiedene Zielsysteme
- Modulation von Datenbanken (z.B. mit Oracle oder Microsoft SQL)
- Testen von Software und Qualitätsmanagement
- Weitere Schwerpunkte können die Softwarebetreuung, Software-Wartung und Systemintegration sein

Einleitung
Ausbildung zum Fachinformatiker für Anwendungsentwicklung für 2026 (m/w/d) in Meschede
Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife oder eine vergleichbare Qualifikation
- IT-Affinität sowie Interesse an Programmierung
- Einsatzbereitschaft und Zuverlässigkeit
- Spaß an Teamarbeit als auch eigenständigem Arbeiten

Wir bieten Dir:
- Eine praxisorientierte und abwechslungsreiche Ausbildung und ausführliche Einarbeitung
- Eine attraktive Ausbildungsvergütung: Schon im ersten Jahr verdienst du 1.000€ im Monat - mit regelmäßiger Steigerung in den Folgejahren!
- Optimale Unterstützung bei deiner Ausbildung sowie deiner Abschlussprüfung
- Weiterbildungsmöglichkeiten im Rahmen der Personalentwicklung
- Sehr gute Übernahmechancen in ein sicheres Arbeitsumfeld
- Kostenlose Getränke und wöchentliches Mittagessen
Bewirb dich jetzt! Sei ein Wasserretter bei HST - Gestalte mit uns die Zukunft der Wasserbranche.
Aufgaben","Einleitung
Ausbildung zum Fachinformatiker für Anwendungsentwicklung für 2026 (m/w/d) in Meschede
Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife oder eine vergleichbare Qualifikation
- IT-Affinität sowie Interesse an Programmierung
- Einsatzbereitschaft und Zuverlässigkeit
- Spaß an Teamarbeit als auch eigenständigem Arbeiten",2026-06-13T10:34:34.126746+00:00
ASD-995510001901781244,ausbildungsstellen_si,Martinrea Honsel Germany GmbH,Meschede,Fritz-Honsel-Straße 30 59872 Meschede Nordrhein-Westfalen,Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung,ae,,,,53,empty,ausbildung@martinrea.com,https://www.karriere-suedwestfalen.de/registrieren/bewerber,email,"- Internationale Kontakte
- Hohe Ausbildungsvergütung nach Metalltarif
- Subventioniertes Mittagessen im eigenen Betriebsrestaurant
- Betriebliches Gesundheitsmanagement
Ausbildungsdauer: 3 Jahre
Bewirb dich jetzt über unser Onlinebewerbermanagement.
Martinrea Honsel Germany GmbH
Dieter Berndt
Leiter Personalentwicklung
Tel. 0291 291 256",,Martinrea Honsel Germany GmbH | Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung | Meschede,tidak,belum,sedang,Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung,,2026-06-13T12:33:54.301633+00:00
KSW-34710,karriere_sw_ae,Martinrea Honsel Germany GmbH,Meschede,Fritz-Honsel-Straße 30 59872 Meschede,Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung,ae,,,,53,empty,ausbildung@martinrea.com,https://martinreahonsel.prevueaps.com/jobs/,email,"- Internationale Kontakte
- Hohe Ausbildungsvergütung nach Metalltarif
- Subventioniertes Mittagessen im eigenen Betriebsrestaurant
- Betriebliches Gesundheitsmanagement
Ausbildungsdauer: 3 Jahre
Bewirb dich jetzt über unser Onlinebewerbermanagement.
Martinrea Honsel Germany GmbH
Dieter Berndt
Leiter Personalentwicklung
Tel. 0291 291 256",,Martinrea Honsel Germany GmbH | Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung | Meschede,tidak,belum,sedang,Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung,,2026-06-13T14:41:43.635007+00:00
15109-k42271.2516-S,fachinformatiker_ae_2026,HST Systemtechnik GmbH & Co KG,Meschede,"Heinrichsthaler Straße 8, 59872 Meschede",Ausbildung | Fachinformatiker/in - Systemintegration,si,2026,,,87,company,,https://www.arbeitsagentur.de/jobsuche/jobdetail/15109-k42271.2516-S,ba_portal,"- Kontaktfreude und Freude am Beraten von Kunden/Kollegen
- Spaß an Teamarbeit als auch am eigenständigen Arbeiten",https://www.arbeitsagentur.de/jobsuche/jobdetail/15109-k42271.2516-S,HST Systemtechnik GmbH & Co KG | Ausbildung | Fachinformatiker/in - Systemintegration | Meschede,ya,belum,rendah,"# Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d) in Meschede 

Meschede Veröffentlicht am 01.08.2025

Wasserretter gesucht – Dein Einstieg in die Zukunft der Wasserwelt

Du möchtest einen Job mit Sinn und Zukunft?

Dann bist du bei HST Systemtechnik genau richtig! HST Systemtechnik GmbH &amp; Co. KG ist ein innovatives Unternehmen im Bereich der Wasser- und Abwassertechnik. Seit über 40 Jahren entwickeln wir zukunftsweisende Lösungen für die Wasserwirtschaft – von der Planung über die Fertigung bis hin zur Digitalisierung von Anlagen.

Bei uns gestaltest du aktiv die Welt von morgen – mit smarten Technologien und einem klaren Ziel: Sauberes Wasser, funktionierende Abwassersysteme und nachhaltige Lösungen für Umwelt und Gesellschaft.

Zukunftssicherer Job: Du arbeitest in einem führenden 4.0-Technologieunternehmen der Wasserwirtschaft.

Technik &amp; Nachhaltigkeit vereint: Du arbeitest mit moderner Steuerungs- und Automatisierungstechnik, lernst smarte Systeme kennen und gestaltest nachhaltige Lösungen.

Abwechslung statt Langeweile: Ob Werkstatt, Baustelle oder Büro – bei uns ist jeder Tag anders. Gestalte aktiv und eigenverantwortlich mit.

Klare Perspektiven: Sehr gute Übernahmechancen.

# Du lernst bei uns:

- Du planst, konfigurierst und installierst IT-Systeme – von Servern bis hin zu Netzwerken
- Du betreibst und betreust bestehende IT-Infrastrukturen und sorgst dafür, dass alles sicher und zuverlässig läuft
- Du unterstützt Anwenderinnen und Anwender im Umgang mit Hard- und Software und bist bei IT-Fragen erste Anlaufstelle
- Du installierst und konfigurierst Netzwerke, richtest Arbeitsplätze ein und stellst die benötigte Hardware bereit
- Du analysierst und behebst technische Störungen, damit Systeme schnell wieder einsatzbereit sind
- Du unterstützt ggf. auch im IT-Support für unsere internen oder externen Kunden

# Das bringst Du mit:

- Erfolgreich abgeschlossene Fachoberschulreife, Fachhochschulreife, Hochschulreife oder eine vergleichbare Qualifikation
- Interesse an IT-Themen
- Kontaktfreude und Freude am Beraten von Kunden/Kollegen
- Spaß an Teamarbeit als auch am eigenständigen Arbeiten

# Wir bieten Dir:

- Eine praxisorientierte, abwechslungsreiche Ausbildung und ausführliche Einarbeitung
- Eine attraktive Ausbildungsvergütung: Schon im ersten Jahr verdienst du 1.000€ im Monat - mit regelmäßiger Steigerung in den Folgejahren!
- Optimale Unterstützung bei deiner Ausbildung sowie deiner Abschlussprüfung
- Weiterbildungsmöglichkeiten im Rahmen der Personalentwicklung
- Sehr gute Übernahmechancen in ein sicheres Arbeitsumfeld
- Kostenlose Getränke und wöchentliches Mittagessen

Bewirb dich jetzt! Sei ein Wasserretter bei HST - Gestalte mit uns die Zukunft der Wasserbranche.","# Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife, Fachhochschulreife, Hochschulreife oder eine vergleichbare Qualifikation
- Interesse an IT-Themen
- Kontaktfreude und Freude am Beraten von Kunden/Kollegen
- Spaß an Teamarbeit als auch am eigenständigen Arbeiten
Mittlere Reife / Realschulabschluss",2026-06-11T08:14:46.937316+00:00
ASD-995510003711968963,ausbildungsstellen_si,HST Systemtechnik GmbH & Co. KG,Meschede,Heinrichsthaler Straße 8 59872 Meschede Nordrhein-Westfalen,Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d),si,,,1.000€,73,empty,eliza.kryeziu@hst.de,https://www.karriere-suedwestfalen.de/registrieren/bewerber,email,"- Kontaktfreude und Freude am Beraten von Kunden/Kollegen
- Spaß an Teamarbeit als auch am eigenständigen Arbeiten",,HST Systemtechnik GmbH & Co. KG | Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d) | Meschede,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d)

Wasserretter gesucht – Dein Einstieg in die Zukunft der Wasserwelt
Du möchtest einen Job mit Sinn und Zukunft?
Dann bist du bei HST Systemtechnik genau richtig! HST Systemtechnik GmbH & Co. KG ist ein innovatives Unternehmen im Bereich der Wasser- und Abwassertechnik. Seit über 40 Jahren entwickeln wir zukunftsweisende Lösungen für die Wasserwirtschaft – von der Planung über die Fertigung bis hin zur Digitalisierung von Anlagen.
Bei uns gestaltest du aktiv die Welt von morgen – mit smarten Technologien und einem klaren Ziel: Sauberes Wasser, funktionierende Abwassersysteme und nachhaltige Lösungen für Umwelt und Gesellschaft.
Zukunftssicherer Job: Du arbeitest in einem führenden 4.0-Technologieunternehmen der Wasserwirtschaft.
Technik & Nachhaltigkeit vereint: Du arbeitest mit moderner Steuerungs- und Automatisierungstechnik, lernst smarte Systeme kennen und gestaltest nachhaltige Lösungen.
Abwechslung statt Langeweile: Ob Werkstatt, Baustelle oder Büro – bei uns ist jeder Tag anders. Gestalte aktiv und eigenverantwortlich mit.
Klare Perspektiven: Sehr gute Übernahmechancen.
Das lernst Du bei uns:
- Du planst, konfigurierst und installierst IT-Systeme – von Servern bis hin zu Netzwerken
- Du betreibst und betreust bestehende IT-Infrastrukturen und sorgst dafür, dass alles sicher und zuverlässig läuft
- Du unterstützt Anwenderinnen und Anwender im Umgang mit Hard- und Software und bist bei IT-Fragen erste Anlaufstelle
- Du installierst und konfigurierst Netzwerke, richtest Arbeitsplätze ein und stellst die benötigte Hardware bereit
- Du analysierst und behebst technische Störungen, damit Systeme schnell wieder einsatzbereit sind
- Du unterstützt ggf. auch im IT-Support für unsere internen oder externen Kunden

Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife, Fachhochschulreife, Hochschulreife oder eine vergleichbare Qualifikation
- Interesse an IT-Themen

Wir bieten Dir:
- Eine praxisorientierte, abwechslungsreiche Ausbildung und ausführliche Einarbeitung
- Eine attraktive Ausbildungsvergütung: Schon im ersten Jahr verdienst du 1.000€ im Monat - mit regelmäßiger Steigerung in den Folgejahren!
- Optimale Unterstützung bei deiner Ausbildung sowie deiner Abschlussprüfung
- Weiterbildungsmöglichkeiten im Rahmen der Personalentwicklung
- Sehr gute Übernahmechancen in ein sicheres Arbeitsumfeld
- Kostenlose Getränke und wöchentliches Mittagessen
Haben wir Ihr Interesse geweckt?
Dann bewerben Sie sich direkt bei uns unter Angabe von Eintrittstermin und Gehaltsvorstellung
JETZT BEWERBEN! HST Systemtechnik GmbH & Co. KG
Frau Eliza Kryeziu
Heinrichsthaler Straße 8
59872 Meschede
mailto: bewerbung@hst.de
Tel. 02919929956","Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife, Fachhochschulreife, Hochschulreife oder eine vergleichbare Qualifikation
- Interesse an IT-Themen",2026-06-13T12:38:16.064794+00:00
AZDE-10577813,azubi_de_fi,HST Systemtechnik GmbH & Co KG,Meschede,59872 Meschede DE,Ausbildung | zum Fachinformatiker für Systemintegration für 2026 (m/w/d),si,,,"Schon im ersten Jahr verdienst du 1.000€ im Monat - mit regelmäßiger Steigerung in den Folgejahren!
- Optimale Unterstützung bei deiner Ausbildung sowie deiner Abschlussprüfung
- Weiterbildungsmöglichkeiten im Rahmen der Personalentwicklung
- Sehr gute Übernahmechancen in ein sicheres Arbeitsumfeld",67,empty,,https://www.azubi.de/ausbildungsplatz/10577813-b-ausbildung-zum-fachinformatiker-fuer-systemintegration-fuer-2026-m-w-d/apply,portal,"- Kontaktfreude und Freude am Beraten von Kunden/Kollegen
- Spaß an Teamarbeit als auch am eigenständigen Arbeiten",,HST Systemtechnik GmbH & Co KG | Ausbildung | zum Fachinformatiker für Systemintegration für 2026 (m/w/d) | Meschede,tidak,belum,sedang,"Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d)

Wasserretter gesucht – Dein Einstieg in die Zukunft der Wasserwelt
Du möchtest einen Job mit Sinn und Zukunft?
Dann bist du bei HST Systemtechnik genau richtig! HST Systemtechnik GmbH & Co. KG ist ein innovatives Unternehmen im Bereich der Wasser- und Abwassertechnik. Seit über 40 Jahren entwickeln wir zukunftsweisende Lösungen für die Wasserwirtschaft – von der Planung über die Fertigung bis hin zur Digitalisierung von Anlagen.
Bei uns gestaltest du aktiv die Welt von morgen – mit smarten Technologien und einem klaren Ziel: Sauberes Wasser, funktionierende Abwassersysteme und nachhaltige Lösungen für Umwelt und Gesellschaft.
Zukunftssicherer Job: Du arbeitest in einem führenden 4.0-Technologieunternehmen der Wasserwirtschaft.
Technik & Nachhaltigkeit vereint: Du arbeitest mit moderner Steuerungs- und Automatisierungstechnik, lernst smarte Systeme kennen und gestaltest nachhaltige Lösungen.
Abwechslung statt Langeweile: Ob Werkstatt, Baustelle oder Büro – bei uns ist jeder Tag anders. Gestalte aktiv und eigenverantwortlich mit.
Klare Perspektiven: Sehr gute Übernahmechancen.
Du lernst bei uns:
- Du planst, konfigurierst und installierst IT-Systeme – von Servern bis hin zu Netzwerken
- Du betreibst und betreust bestehende IT-Infrastrukturen und sorgst dafür, dass alles sicher und zuverlässig läuft
- Du unterstützt Anwenderinnen und Anwender im Umgang mit Hard- und Software und bist bei IT-Fragen erste Anlaufstelle
- Du installierst und konfigurierst Netzwerke, richtest Arbeitsplätze ein und stellst die benötigte Hardware bereit
- Du analysierst und behebst technische Störungen, damit Systeme schnell wieder einsatzbereit sind
- Du unterstützt ggf. auch im IT-Support für unsere internen oder externen Kunden

Einleitung
Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d) in Meschede
Meschede Veröffentlicht am 01.08.2025
Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife, Fachhochschulreife, Hochschulreife oder eine vergleichbare Qualifikation
- Interesse an IT-Themen

Wir bieten Dir:
- Eine praxisorientierte, abwechslungsreiche Ausbildung und ausführliche Einarbeitung
- Eine attraktive Ausbildungsvergütung: Schon im ersten Jahr verdienst du 1.000€ im Monat - mit regelmäßiger Steigerung in den Folgejahren!
- Optimale Unterstützung bei deiner Ausbildung sowie deiner Abschlussprüfung
- Weiterbildungsmöglichkeiten im Rahmen der Personalentwicklung
- Sehr gute Übernahmechancen in ein sicheres Arbeitsumfeld
- Kostenlose Getränke und wöchentliches Mittagessen
Bewirb dich jetzt! Sei ein Wasserretter bei HST - Gestalte mit uns die Zukunft der Wasserbranche.
Aufgaben","Einleitung
Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d) in Meschede
Meschede Veröffentlicht am 01.08.2025
Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife, Fachhochschulreife, Hochschulreife oder eine vergleichbare Qualifikation
- Interesse an IT-Themen",2026-06-13T10:34:33.529636+00:00
KSW-260130,karriere_sw_ae,HST Systemtechnik GmbH & Co. KG,Meschede,Heinrichsthaler Straße 8 59872 Meschede,Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d),si,,,,67,empty,eliza.kryeziu@hst.de,https://jobs.hst.de/job-ausbildung-zum-fachinformatiker-fuer-systemintegration-fuer-2026-m-w-d-meschede-2712.html,email,"- Kontaktfreude und Freude am Beraten von Kunden/Kollegen
- Spaß an Teamarbeit als auch am eigenständigen Arbeiten",,HST Systemtechnik GmbH & Co. KG | Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d) | Meschede,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker für Systemintegration für 2026 (m/w/d)

Das lernst Du bei uns:
- Du planst, konfigurierst und installierst IT-Systeme – von Servern bis hin zu Netzwerken
- Du betreibst und betreust bestehende IT-Infrastrukturen und sorgst dafür, dass alles sicher und zuverlässig läuft
- Du unterstützt Anwenderinnen und Anwender im Umgang mit Hard- und Software und bist bei IT-Fragen erste Anlaufstelle
- Du installierst und konfigurierst Netzwerke, richtest Arbeitsplätze ein und stellst die benötigte Hardware bereit
- Du analysierst und behebst technische Störungen, damit Systeme schnell wieder einsatzbereit sind
- Du unterstützt ggf. auch im IT-Support für unsere internen oder externen Kunden

Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife, Fachhochschulreife, Hochschulreife oder eine vergleichbare Qualifikation
- Interesse an IT-Themen

Wir bieten Dir:
- Eine praxisorientierte, abwechslungsreiche Ausbildung und ausführliche Einarbeitung
- Eine attraktive Ausbildungsvergütung: Schon im ersten Jahr verdienst du 1.000€ im Monat - mit regelmäßiger Steigerung in den Folgejahren!
- Optimale Unterstützung bei deiner Ausbildung sowie deiner Abschlussprüfung
- Weiterbildungsmöglichkeiten im Rahmen der Personalentwicklung
- Sehr gute Übernahmechancen in ein sicheres Arbeitsumfeld
- Kostenlose Getränke und wöchentliches Mittagessen
Haben wir Ihr Interesse geweckt?
Dann bewerben Sie sich direkt bei uns unter Angabe von Eintrittstermin und Gehaltsvorstellung
JETZT BEWERBEN! HST Systemtechnik GmbH & Co. KG
Frau Eliza Kryeziu
Heinrichsthaler Straße 8
59872 Meschede
mailto: bewerbung@hst.de
Tel. 02919929956","Das bringst Du mit:
- Erfolgreich abgeschlossene Fachoberschulreife, Fachhochschulreife, Hochschulreife oder eine vergleichbare Qualifikation
- Interesse an IT-Themen",2026-06-13T14:42:23.292857+00:00
ASD-995510001268832691,ausbildungsstellen_si,Klauke Enterprises GmbH & Co. KG,Meschede,Am Kindergarten 16 59872 Meschede Nordrhein-Westfalen,Ausbildung | Auszubildender Fachinformatiker für Systemintegration (m/w/d),si,,,,53,empty,felix.klauke@klauke-enterprises.com,https://www.karriere-suedwestfalen.de/registrieren/bewerber,email,,,Klauke Enterprises GmbH & Co. KG | Ausbildung | Auszubildender Fachinformatiker für Systemintegration (m/w/d) | Meschede,tidak,belum,sedang,"Auszubildender Fachinformatiker für Systemintegration (m/w/d)

Wir bieten dir:
- Eine fundierte und praxisnahe Ausbildung in einem innovativen Unternehmen.
- Regelmäßige interne Schulungen und die Möglichkeit zur Teilnahme an externen Fortbildungen.
- Ein kollegiales Arbeitsumfeld mit erfahrenen Mentoren an deiner Seite.
- Nach erfolgreichem Abschluss gute Übernahmechancen und Entwicklungsperspektiven.
- Teilnahme an Team-Events, Messen und Weiterbildungen, um dein Netzwerk zu erweitern und den neuesten Technologien zu begegnen.
Klauke Enterprises GmbH & Co. KG
Am Kindergarten 16
59872 Meschede",,2026-06-13T12:32:12.212311+00:00
