id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
ASD-998030000948382045,ausbildungsstellen_si,Azubiyo,Oldenburg,26133 Oldenburg Niedersachsen,Ausbildung zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders),ae,,,"1.120 €, 1.190 €, 1.250 €, 25 €",87,company,ausbildung@cewe.de,https://www.azubiyo.de/bewerbung/,email,,,Azubiyo | Ausbildung zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders) | Oldenburg,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders)

Deine Aufgaben:
Ob App, Website oder KI-Feature – bei CEWE bringst du Software auf das nächste Level!
Du analysierst, planst, entwickelst und testest Programme für den Echtbetrieb. Von der ersten Idee bis zum fertigen Tool bist du dabei – inklusive Dokus, User-Tests & Bugfixes.
Besonders spannend: Du kannst an innovativen Projekten rund um künstliche Intelligenz arbeiten – bring deine Ideen ein und entwickle die digitale Zukunft mit!
Und die Theorie? Findet an der BBS Haarentor in Oldenburg statt.

Dein Profil:
- Guter Realschulabschluss (mindestens)
- Gute Mathe-Skills & IT-Interesse
- Erste Erfahrungen im Programmieren (z. B. Schule, Freizeit, Praktika)
- Technisches Verständnis & Neugier

- Kommunikationsstärke & TeamgeistDeine Benefits:
Vergütung:
1.120 € (1. Jahr)
1.190 € (2. Jahr)
1.250 € (3. Jahr)
Weihnachtsgeld (13. Ausbildungsvergütung) + Urlaubsgeld
Monatlich 25 € Gutschein für verschiedene OnlineshopsUnd obendrauf gibt’s ein iPad zum Ausbildungsstart
30 Urlaubstage
Fahrtkostenzuschuss (ab 11 km)
Ausbildungseinsätze sind im In- und Ausland möglich
Lernpat:innen zum Start
garantierte 3-monatige Übernahme + Weiterbildungsmöglichkeiten
Schulbuchkosten? Übernehmen wir!
Mobiles Arbeiten möglich
Hansefit, Sportangebote & Gesundheitsaktionen
Mitarbeiteraktien, Altersvorsorge & mehr
Parkplätze, Fahrradstellplätze & Bushaltestelle direkt vorm Haus
Kennenlernfahrt zu Ausbildungsbeginn
... und vieles mehr!
Wichtiger Hinweis:","Dein Profil:
- Guter Realschulabschluss (mindestens)
- Gute Mathe-Skills & IT-Interesse
- Erste Erfahrungen im Programmieren (z. B. Schule, Freizeit, Praktika)
- Technisches Verständnis & Neugier",2026-06-13T12:47:25.256754+00:00
STEP-14106782,stepstone_de_ae,CEWE Stiftung & Co. KGaA,Oldenburg,Meerweg 30-32 26133 Oldenburg,Ausbildung | zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders),ae,,,"1.120 €, 1.190 €, 1.250 €, 25 €",80,empty,an ausbildung@cewe.de,mailto:an%C2%A0ausbildung@cewe.de,email,,,CEWE Stiftung & Co. KGaA | Ausbildung | zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders) | Oldenburg,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders)

Deine Aufgaben
Deine Aufgaben: Ob App, Website oder KI-Feature – bei CEWE bringst du Software auf das nächste Level!
Du analysierst, planst, entwickelst und testest Programme für den Echtbetrieb. Von der ersten Idee bis zum fertigen Tool bist du dabei – inklusive Dokus, User-Tests & Bugfixes.
Besonders spannend: Du kannst an innovativen Projekten rund um künstliche Intelligenz arbeiten – bring deine Ideen ein und entwickle die digitale Zukunft mit!
Und die Theorie? Findet an der BBS Haarentor in Oldenburg statt.

Dein Profil
Dein Profil: Guter Realschulabschluss (mindestens)
Gute Mathe-Skills & IT-Interesse
Erste Erfahrungen im Programmieren (z. B. Schule, Freizeit, Praktika)
Technisches Verständnis & Neugier
Kommunikationsstärke & Teamgeist

Deine Benefits: Vergütung: 1.120 € (1. Jahr) – 1.190 € (2. Jahr) - 1.250 € (3. Jahr)
Weihnachtsgeld (13. Ausbildungsvergütung) + Urlaubsgeld
Monatlich 25 € Gutschein für verschiedene OnlineshopsUnd obendrauf gibt’s ein iPad zum Ausbildungsstart
30 Urlaubstage
Fahrtkostenzuschuss (ab 11 km)
Ausbildungseinsätze sind im In- und Ausland möglich
Lernpat:innen zum Start
garantierte 3-monatige Übernahme + Weiterbildungsmöglichkeiten
Schulbuchkosten? Übernehmen wir!
Mobiles Arbeiten möglich
Hansefit, Sportangebote & Gesundheitsaktionen
Mitarbeiteraktien, Altersvorsorge & mehr
Parkplätze, Fahrradstellplätze & Bushaltestelle direkt vorm Haus
3-tägige Kennenlernfahrt zu Ausbildungsbeginn
... und vieles mehr!
Wichtiger Hinweis:","Dein Profil
Dein Profil: Guter Realschulabschluss (mindestens)
Gute Mathe-Skills & IT-Interesse
Erste Erfahrungen im Programmieren (z. B. Schule, Freizeit, Praktika)
Technisches Verständnis & Neugier
Kommunikationsstärke & Teamgeist",2026-06-12T20:20:36.847870+00:00
NRW-923-2489,ausbildung_nrw_ae,worldiety GmbH,Oldenburg,Nordseestraße 2 26131 Oldenburg,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,80,company,katharina.venohr@worldiety.de,https://www.worldiety.de/karriere/ausbildung,email,"Kontakt
0441 559 770 20
katharina.venohr@worldiety.de
https://www.worldiety.de
Nordseestraße 2
26131 Oldenburg
L
Laura Oberbüscher
Recruiter
0441 559 770 18
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,worldiety GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Oldenburg,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung

Fachinformatiker/in - Anwendungsentwicklung in Oldenburg
Mehr Informationen
Angebote
Berufsfelderkundungstag
Sonstiges

Schon gewusst?
Mit uns sind vor 15 Jahren die mobilen Apps von CEWE entstanden, z.B. die CEWE Fotowelt :)

So kannst du dich bewerben
Am besten direkt über unsere Website: https://www.worldiety.de/karriere/jetzt-bewerben oder aber an bewerbung@worldiety.de
bewerbung@worldiety.de
Social Media
Standort
+
–
⤢
info@ausbildung.nrw",,2026-06-12T09:59:56.083830+00:00
AZDE-12427788,azubi_de_fi,CEWE Stiftung & Co.KGaA,Oldenburg,26133 Oldenburg,Ausbildung | zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders),ae,,,"1.120 € (1. Jahr)
1.190 € (2. Jahr)
1.250 € (3. Jahr)
Weihnachtsgeld (13. Ausbildungsvergütung) + Urlaubsgeld",73,empty,ausbildung@cewe.de,https://www.azubi.de/ausbildungsplatz/12427788-s-ausbildung-zum-fachinformatiker-fuer-anwendungsentwicklung-2027-all-genders/apply,email,,,CEWE Stiftung & Co.KGaA | Ausbildung | zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders) | Oldenburg,tidak,belum,tinggi,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung 2027 (all genders)

Deine Aufgaben:
Ob App, Website oder KI-Feature – bei CEWE bringst du Software auf das nächste Level!
Du analysierst, planst, entwickelst und testest Programme für den Echtbetrieb. Von der ersten Idee bis zum fertigen Tool bist du dabei – inklusive Dokus, User-Tests & Bugfixes.
Besonders spannend: Du kannst an innovativen Projekten rund um künstliche Intelligenz arbeiten – bring deine Ideen ein und entwickle die digitale Zukunft mit!
Und die Theorie? Findet an der BBS Haarentor in Oldenburg statt.

Einleitung
​
Hello World! Wie wär’s mit Hello Zukunft!
Dann steig bei CEWE ein – Europas Nr. 1 für Fotoprodukte. Hier entwickelst du smarte Anwendungen, die täglich tausende Menschen begeistern.
Dein Profil:
- Guter Realschulabschluss (mindestens)
- Gute Mathe-Skills & IT-Interesse
- Erste Erfahrungen im Programmieren (z. B. Schule, Freizeit, Praktika)
- Technisches Verständnis & Neugier

- Kommunikationsstärke & TeamgeistDeine Benefits:
Vergütung:
1.120 € (1. Jahr)
1.190 € (2. Jahr)
1.250 € (3. Jahr)
Weihnachtsgeld (13. Ausbildungsvergütung) + Urlaubsgeld
Monatlich 25 € Gutschein für verschiedene OnlineshopsUnd obendrauf gibt’s ein iPad zum Ausbildungsstart
30 Urlaubstage
Fahrtkostenzuschuss (ab 11 km)
Ausbildungseinsätze sind im In- und Ausland möglich
Lernpat:innen zum Start
garantierte 3-monatige Übernahme + Weiterbildungsmöglichkeiten
Schulbuchkosten? Übernehmen wir!
Mobiles Arbeiten möglich
Hansefit, Sportangebote & Gesundheitsaktionen
Mitarbeiteraktien, Altersvorsorge & mehr
Parkplätze, Fahrradstellplätze & Bushaltestelle direkt vorm Haus
Kennenlernfahrt zu Ausbildungsbeginn
... und vieles mehr!
Wichtiger Hinweis:","Einleitung
​
Hello World! Wie wär’s mit Hello Zukunft!
Dann steig bei CEWE ein – Europas Nr. 1 für Fotoprodukte. Hier entwickelst du smarte Anwendungen, die täglich tausende Menschen begeistern.
Dein Profil:
- Guter Realschulabschluss (mindestens)
- Gute Mathe-Skills & IT-Interesse
- Erste Erfahrungen im Programmieren (z. B. Schule, Freizeit, Praktika)
- Technisches Verständnis & Neugier",2026-06-13T10:40:35.583738+00:00
STEP-13185130,stepstone_de_ae,Energy & Meteo Systems GmbH,Oldenburg,Oldenburg Oldenburg,Ausbildung | Full-Stack-Softwareentwickler:in / Software Engineer,ae,,,,67,empty,,https://twitter.com/stepstone_de,portal,"Kontakt
Bewerbungsschluss: Wir nehmen fortlaufend Bewerbungen entgegen.
Du fühlst dich angesprochen und willst mit uns die Energiewende gestalten?",,Energy & Meteo Systems GmbH | Ausbildung | Full-Stack-Softwareentwickler:in / Software Engineer | Oldenburg,tidak,belum,sedang,"Full-Stack-Softwareentwickler:in / Software Engineer

Ihre Aufgaben
Deine Aufgabe:
Wir sind technologisch breit aufgestellt. Als Programmiersprachen kommen Python, Java und TypeScript zum Einsatz. Du entwickelst Softwarekomponenten für unsere SaaS-Produkte. Deine möglichen Aufgabenbereiche könnten sein:
Infrastructure Tooling
REST APIs (Backend und Frontend – API-Clients und Web)
GUI-Entwicklung für wissenschaftliche Anwendungen und Datenvisualisierung
Datenbankentwicklung und -tuning
Zeitreihenmanagement
Message queues / brokers (Kafka, RabbitMQ)
Data pipelines
Container Platform (Docker, Kubernetes)
Microservices
Ihr Profil

Dein Profil:
Du willst mitdenken und hinterfragen, bist bereit mit anzupacken und Problemlösungen besser zu machen als sie sind. Diese Features machen dich aus:
Du hast ein naturwissenschaftliches Studium im Bereich Informatik, Software Engineering, Physik oder Mathematik oder eine Ausbildung zum Fachinformatiker für Anwendungsentwicklung (w/m/d) abgeschlossen oder eine vergleichbare Qualifikation – auch ein Quereinstieg ist möglich.
Als Berufseinsteiger (w/m/d) oder mit Berufserfahrung bist du uns gleichermaßen willkommen.
Erfahrung in einer objektorientierten oder Multiparadigmen-Programmiersprache wie Java oder Python bringst du mit.
Du hast den Drive, robuste und sichere Software zu bauen.
Mit deinem überzeugenden Auftreten und deiner offenen, freundlichen und konstruktiven Art kannst du bei uns im Team punkten.
Was dich bei uns erwartet
Du erhältst die Chance, an sinnstiftenden Projekten im Bereich Erneuerbare Energien mitzuarbeiten und dein Potenzial sowie deine Ideen einzubringen.
Dein Arbeitstag ist abwechslungsreich, deine Tätigkeit anspruchsvoll und dein Team motiviert.
Unbefristeter Arbeitsvertrag – wir rechnen längerfristig mit dir.
Flexible Arbeitszeit und die Erfassung jeder Überstunde: Du musst nicht um 7 Uhr auf der Matte stehen. Wichtig ist uns, dass du vollen Einsatz zeigst, wenn du da bist.
Flache Hierarchien und kurze Entscheidungswege – unsere Chefs haben offene Ohren und Türen.
Für den kleinen Break zwischendurch gibt es Getränke, Bio-Obst und Snacks for free. Für den großen Hunger erwartet dich unsere hauseigene Kantine mit vegetarischen, veganen und fleischhaltigen Gerichten aus regionalen Produkten.
Auch außerhalb unserer Büroräume ist die Stimmung gut, z. B. auf dem jährlichen Betriebsausflug, bei Teambuildingmaßnahmen, Weihnachtsfeiern, unserem monatlichen Spieleabend etc. Hier reden wir nicht nur über Arbeit.

Weitere Benefits: betriebliche Altersvorsorge, Berufsunfähigkeitsversicherung, Fahrradleasing oder Sportzuschuss sowie die guud-Karte mit vielen nachhaltigen Vorteilen.","Dein Profil:
Du willst mitdenken und hinterfragen, bist bereit mit anzupacken und Problemlösungen besser zu machen als sie sind. Diese Features machen dich aus:
Du hast ein naturwissenschaftliches Studium im Bereich Informatik, Software Engineering, Physik oder Mathematik oder eine Ausbildung zum Fachinformatiker für Anwendungsentwicklung (w/m/d) abgeschlossen oder eine vergleichbare Qualifikation – auch ein Quereinstieg ist möglich.
Als Berufseinsteiger (w/m/d) oder mit Berufserfahrung bist du uns gleichermaßen willkommen.
Erfahrung in einer objektorientierten oder Multiparadigmen-Programmiersprache wie Java oder Python bringst du mit.
Du hast den Drive, robuste und sichere Software zu bauen.
Mit deinem überzeugenden Auftreten und deiner offenen, freundlichen und konstruktiven Art kannst du bei uns im Team punkten.
Was dich bei uns erwartet
Du erhältst die Chance, an sinnstiftenden Projekten im Bereich Erneuerbare Energien mitzuarbeiten und dein Potenzial sowie deine Ideen einzubringen.
Dein Arbeitstag ist abwechslungsreich, deine Tätigkeit anspruchsvoll und dein Team motiviert.
Unbefristeter Arbeitsvertrag – wir rechnen längerfristig mit dir.
Flexible Arbeitszeit und die Erfassung jeder Überstunde: Du musst nicht um 7 Uhr auf der Matte stehen. Wichtig ist uns, dass du vollen Einsatz zeigst, wenn du da bist.
Flache Hierarchien und kurze Entscheidungswege – unsere Chefs haben offene Ohren und Türen.
Für den kleinen Break zwischendurch gibt es Getränke, Bio-Obst und Snacks for free. Für den großen Hunger erwartet dich unsere hauseigene Kantine mit vegetarischen, veganen und fleischhaltigen Gerichten aus regionalen Produkten.
Auch außerhalb unserer Büroräume ist die Stimmung gut, z. B. auf dem jährlichen Betriebsausflug, bei Teambuildingmaßnahmen, Weihnachtsfeiern, unserem monatlichen Spieleabend etc. Hier reden wir nicht nur über Arbeit.",2026-06-12T20:46:50.727644+00:00
AUBI-456350,aubi_plus_fi,EWE NETZ GmbH,Oldenburg,26133 Oldenburg,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027,ae,,,"1.325 €, 1.325,00 €, 1.375,00 €, 1.475,00 €",60,empty,,https://www.aubi-plus.de/bewerbung/,portal,"Kontakt
Team Nachwuchssicherung
EWE NETZ GmbH - Bereich Ausbildung
0441 4808-2880
E-Mail anzeigen
Bewerbungsunterlagen
Lebenslauf
die letzten 2 Schulzeugnisse
Tipp: Beziehe dich in deiner Bewerbung auf AUBI-plus!
Mit bewerbung2go kannst du deine Bewerbungsunterlagen erstellen.
Bildungspartner
Berufsbildende Schulen Haarentor
26129 Oldenburg
Deine AUBI-plus Jobmail
Lass deinen Bot für dich suchen! Lege deine Suchkriterien fest und lehn dich zurück. Du bekommst aktuelle Stellen für deinen Traumberuf direkt per Mail zugeschickt.
SUCHBOT ERSTELLEN
Ähnliche Suchanfragen:
AUSBILDUNG OLDENBURG
AUSBILDUNG IN NIEDERSACHSEN
AUSBILDUNG 2027
AUSBILDUNG ALS FACHINFORMATIKER FACHRICHTUNG ANWENDUNGSENTWICKLUNG (M/W/D) IN OLDENBURG
Play
Das Video ist Teil einer Playlist. Du findest weitere Videos direkt im YouTube-Player über das Playlist-Symbol.
54 weitere Stellen im Unternehmen
Duales Studium Bachelor of Arts Betriebswirtschaft – Schwerpunkt Energiewirtschaft (w/d/m) - 2027
EWE NETZ GmbH
26133 Oldenburg
01.08.2027
Ausbildung zum Hauswirtschafter (w/d/m) - 2027
EWE NETZ GmbH
26133 Oldenburg
01.08.2027
Ausbildung zum Koch (w/d/m) - 2027
EWE NETZ GmbH
26133 Oldenburg
01.08.2027
WEITERE STELLEN LADEN
AUBI-plus
Über uns
Karriere
Partner
FAQ
News & Events
Presse
Blog
Messen & Aktionstage
DEUTSCHES AUSBILDUNGSFORUM
Produkte & Dienstleistungen
Für Ausbildungsbetriebe
Für Hochschulen
Für Schulen
Für Eltern
Besuch uns auch auf:
Region ändern:
AUBI-plus Österreich (deutsch)
AUBI-plus Schweiz (deutsch)
AUBI-plus Italien (deutsch)
AUBI-plus
Impressum
AGB
Datenschutz
Bildrechte
Kontakt",,EWE NETZ GmbH | Ausbildung zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027 | Oldenburg,tidak,belum,sedang,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027

Das lernst du bei uns:
Softwareentwicklung von Grund auf: du lernst, wie Software geplant, programmiert und weiterentwickelt wird und wie ihre Qualität durch Tests, Code‑Reviews und eine saubere Dokumentation sichergestellt wird
Installation und Betreuung von Anwendungen: wir zeigen dir, wie du Software einsetzt und am Laufen hältst
Enge Zusammenarbeit mit unseren Fachbereichen: du bekommst tiefe Einblicke in die Welt der Telekommunikation und arbeitest mit verschiedenen Teams zusammen
Vielseitige Programmierkenntnisse: im Laufe der Ausbildung wirst du mehrere Programmiersprachen kennenlernen, sowohl im Backend als auch im Frontend
Cloud-Technologien: wir bringen dir den Umgang mit Cloud-Plattformen wie AWS und Azure bei
Data Science und KI: neben der klassischen Softwareentwicklung erhältst du erste Einblicke in Datenanalyse und intelligente Systeme
Kommunikation und Präsentation: du wirst lernen, deine Arbeit zu präsentieren, technische Sachverhalte verständlich zu erklären und in Meetings oder kleinen Vorträgen deine Ideen vorzustellen
So hast du gute Chancen:
Gute Kenntnisse in Mathematik, Deutsch und Englisch
Interesse und Neugier an IT und Technik
Eigeninitiative und die Lust, Neues zu lernen
Teamgeist und die Fähigkeit, mit anderen im Team gemeinsam Lösungen zu erarbeiten
Kreativität, um auch mal um die Ecke zu denken
Durchhaltevermögen, wenn es mal knifflig wird
Kundenorientierung und eine gute Kommunikationsfähigkeit
Keine Sorge, wenn du noch nicht programmieren kannst: Du brauchst keine Vorkenntnisse – wir bringen dir alles Schritt für Schritt bei. Falls du schon erste Erfahrungen gesammelt hast, umso besser!
Ausbildungsdauer:
3 Jahre
Ausbildungsort:
Oldenburg
Berufsschule:
BBS Haarentor in Oldenburg
Bist du dabei?
Dann freuen wir uns auf deine Bewerbung direkt auf unserer Website: Mach‘s kurz und füge dort einfach einen Lebenslauf und deine letzten beiden Schulzeugnisse hinzu, ein Extra-Anschreiben ist nicht notwendig. Mit deiner Bewerbung bestätigst du deine Bereitschaft zur Teilnahme an der für die Tätigkeit erforderlichen Sicherheitsüberprüfung.
Noch unentschlossen? Dann check unbedingt mal unseren Azubiblog: azubiblog.ewe.com
Übrigens – im EWE-Konzern managt die EWE NETZ GmbH die Ausbildung für sämtliche Gesellschaften. Und wenn du mehr über die anderen Berufsbilder und dualen Studiengängen wissen willst: ewe.com/karriere
Stellendetails
Beruf:
Fachinformatiker / Fachinformatikerin Fachrichtung Anwendungsentwicklung
Bewerbungsfrist:
Offen
Mindestabschluss:
Hauptschulabschluss
Freie Ausbildungsplätze:
1
Auch geeignet für:
Studienabbrecher*innen
Dauer:
3 Jahre
Referenz-Nr:
AUBI-plus
(Bitte in der Bewerbung angeben)
Kopieren
Dein persönlicher Matching-Score
Du willst wissen, wie gut diese Stelle zu dir passt? Dann registriere dich und mach das Matching. Mehr erfahren

Ausbildungsvergütung
1. Ausbildungsjahr: 1.325,00 €
2. Ausbildungsjahr: 1.375,00 €
3. Ausbildungsjahr: 1.475,00 €",,2026-06-13T14:48:26.392740+00:00
INDEED-a825caca63b30ebc,indeed_de_ae,EWE NETZ GmbH,Oldenburg,Oldenburg NI,Ausbildung | Auszubildender zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027,ae,,,Ab 1.325 € pro Monat - Vollzeit,60,empty,,https://www.hiringlab.org/de/,portal,"Ansprechpartner
Julia Balzen, Tel:",,EWE NETZ GmbH | Ausbildung | Auszubildender zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027 | Oldenburg,tidak,belum,sedang,"Auszubildender zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027

Dein Einstiegsgehalt: 1.325 € (zzgl. Weihnachts- und Urlaubsgeld!)
Dein Urlaub: 30 Tage (zusätzlich Heiligabend und Silvester frei!)
Übernahmemöglichkeit für mindestens 2 Jahre
Dein eigenes Notebook
Deine Home-Office-Option
Kennenlerntage, Mentoring und starkes Seminarprogramm
Leben, Wohnen und Lernen auf unserem EnergieCampus mit coolen Sport- und Freizeitangeboten
Das lernst du bei uns:
Softwareentwicklung von Grund auf: du lernst, wie Software geplant, programmiert und weiterentwickelt wird – und wie ihre Qualität durch Tests, Code‑Reviews und eine saubere Dokumentation sichergestellt wird
Installation und Betreuung von Anwendungen: wir zeigen dir, wie du Software einsetzt und am Laufen hältst
Enge Zusammenarbeit mit unseren Fachbereichen: du bekommst tiefe Einblicke in die Welt der Telekommunikation und arbeitest mit verschiedenen Teams zusammen
Vielseitige Programmierkenntnisse: im Laufe der Ausbildung wirst du mehrere Programmiersprachen kennenlernen, sowohl im Backend als auch im Frontend
Cloud-Technologien: wir bringen dir den Umgang mit Cloud-Plattformen wie AWS und Azure bei
Data Science und KI: neben der klassischen Softwareentwicklung erhältst du erste Einblicke in Datenanalyse und intelligente Systeme
Kommunikation und Präsentation: du wirst lernen, deine Arbeit zu präsentieren, technische Sachverhalte verständlich zu erklären und in Meetings oder kleinen Vorträgen deine Ideen vorzustellen
So hast du gute Chancen:
Gute Kenntnisse in Mathematik, Deutsch und Englisch
Interesse und Neugier an IT und Technik
Eigeninitiative und die Lust, Neues zu lernen
Teamgeist und die Fähigkeit, mit anderen im Team gemeinsam Lösungen zu erarbeiten
Kreativität, um auch mal um die Ecke zu denken
Durchhaltevermögen, wenn es mal knifflig wird
Kundenorientierung und eine gute Kommunikationsfähigkeit
Keine Sorge, wenn du noch nicht programmieren kannst: Du brauchst keine Vorkenntnisse – wir bringen dir alles Schritt für Schritt bei. Falls du schon erste Erfahrungen gesammelt hast, umso besser!
Ausbildungsdauer:
3 Jahre
Ausbildungsorte:
Oldenburg
Berufsschule:
BBS Haarentor in Oldenburg
Bist du dabei?",,2026-06-13T11:44:52.591237+00:00
STEP-13990869,stepstone_de_ae,EWE NETZ GmbH,Oldenburg,Oldenburg Oldenburg,Ausbildung | Auszubildender zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027,ae,,,1.325 €,60,empty,,https://twitter.com/stepstone_de,portal,"Kontakt
Bist du dabei?",,EWE NETZ GmbH | Ausbildung | Auszubildender zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027 | Oldenburg,tidak,belum,sedang,"Auszubildender zum Fachinformatiker für Anwendungsentwicklung (w/d/m) - 2027

Das lernst du bei uns:
Software und digitale Anwendungen planen, programmieren und installieren – hier lernst du grundlegend, wie moderne Informations- und Kommunikationssysteme funktionieren und wie man technische Probleme löst. Du entwickelst benutzerfreundliche Oberflächen, programmierst neue Funktionen oder behebst Fehler im Code und sorgst so jederzeit dafür, dass Software effizient und zuverlässig läuft.
Softwareentwicklung von Grund auf: du lernst, wie Software geplant, programmiert und weiterentwickelt wird – und wie ihre Qualität durch Tests, Code‑Reviews und eine saubere Dokumentation sichergestellt wird
Installation und Betreuung von Anwendungen: wir zeigen dir, wie du Software einsetzt und am Laufen hältst
Enge Zusammenarbeit mit unseren Fachbereichen: du bekommst tiefe Einblicke in die Welt der Telekommunikation und arbeitest mit verschiedenen Teams zusammen
Vielseitige Programmierkenntnisse: im Laufe der Ausbildung wirst du mehrere Programmiersprachen kennenlernen, sowohl im Backend als auch im Frontend
Cloud-Technologien: wir bringen dir den Umgang mit Cloud-Plattformen wie AWS und Azure bei
Data Science und KI: neben der klassischen Softwareentwicklung erhältst du erste Einblicke in Datenanalyse und intelligente Systeme
Kommunikation und Präsentation: du wirst lernen, deine Arbeit zu präsentieren, technische Sachverhalte verständlich zu erklären und in Meetings oder kleinen Vorträgen deine Ideen vorzustellen
So hast du gute Chancen:
Gute Kenntnisse in Mathematik, Deutsch und Englisch
Interesse und Neugier an IT und Technik
Eigeninitiative und die Lust, Neues zu lernen
Teamgeist und die Fähigkeit, mit anderen im Team gemeinsam Lösungen zu erarbeiten
Kreativität, um auch mal um die Ecke zu denken
Durchhaltevermögen, wenn es mal knifflig wird
Kundenorientierung und eine gute Kommunikationsfähigkeit
Keine Sorge, wenn du noch nicht programmieren kannst: Du brauchst keine Vorkenntnisse – wir bringen dir alles Schritt für Schritt bei. Falls du schon erste Erfahrungen gesammelt hast, umso besser!
Das solltest du dir nicht entgehen lassen:
Dein Einstiegsgehalt: 1.325 € (zzgl. Weihnachts- und Urlaubsgeld!)
Dein Urlaub: 30 Tage (zusätzlich Heiligabend und Silvester frei!)
Übernahmemöglichkeit für mindestens 2 Jahre
Dein eigenes Notebook
Deine Home-Office-Option
Kennenlerntage, Mentoring und starkes Seminarprogramm
Leben, Wohnen und Lernen auf unserem EnergieCampus mit coolen Sport- und Freizeitangeboten
Ausbildungsdauer:
3 Jahre
Ausbildungsorte:
Oldenburg
Berufsschule:
BBS Haarentor in Oldenburg",,2026-06-12T20:41:12.554394+00:00
MAD-2418594381,meine_ausbildung_ae,BTC Business Technology Consulting AG,Oldenburg,,Ausbildung Fachinformatiker*in Anwendungsentwicklung,ae,,,,40,company,,https://www.btc-ag.com/Karriere/Bewerben/Stellenangebote?jobid=00007320&utm_source=meine-ausbildung-in-deutschland,portal,,,BTC Business Technology Consulting AG | Ausbildung Fachinformatiker*in Anwendungsentwicklung | Oldenburg,ya,belum,rendah,Ausbildung Fachinformatiker*in Anwendungsentwicklung,,2026-06-11T12:06:10.971805+00:00
MAD-2412679054,meine_ausbildung_ae,CodePartner GmbH Apps Agentur,Oldenburg,,Ausbildung zum Fachinformatiker Anwendungsentwicklung in Oldenburg,ae,,,,40,company,,https://apps-agentur.de/ausbildung-fachinformatiker-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,portal,,,CodePartner GmbH Apps Agentur | Ausbildung zum Fachinformatiker Anwendungsentwicklung in Oldenburg | Oldenburg,ya,belum,rendah,Ausbildung zum Fachinformatiker Anwendungsentwicklung in Oldenburg,,2026-06-11T11:53:58.539771+00:00
