id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1203991723-S,fachinformatiker_ae_2026,IWM Informationstechnik GmbH,Plettenberg,"Ohler Str. 104, 58840 Plettenberg",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,73,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203991723-S,ba_portal,**Ihr Ansprechpartner:**,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203991723-S,IWM Informationstechnik GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Plettenberg,ya,belum,rendah,"## Ihre Aufgaben:

Du stehst nicht so auf Sonnenlicht, frische Luft und das Zwitschern der Vögel? Wir bieten Dir einen dunklen Arbeitsplatz mit gut ausgestattetem PC zum Programmieren. Lerne die gängigen Programmiersprachen und wie Du diese kundenorientiert einsetzt. Darüber hinaus erwartet Dich die Möglichkeit, an innovativen Neu- und Weiterentwicklungen mitzuarbeiten.

## Ihr Profil:

Wichtiger als ein sehr guter bis guter (mindestens) Realschulabschluss ist Deine Faszination für Algorithmen und Datenstrukturen. Achtung, der Chef sagt immer: „Zum Softwareentwickler muss man geboren sein“. Wenn Du also nicht weißt, was es heißt zu programmieren, ist dieser Job nichts für Dich. Wenn doch, bieten wir Dir ein perfektes Umfeld mit viel Spaß an der Arbeit.

## Unser Angebot:

Du löst Probleme, die du nicht kanntest, auf eine Art, die Du nicht verstehst. Alle Kollegen sind langjährige Profis, die Dir alles gerne beibringen. Interne sowie externe Weiterbildung ist Bestandteil der Ausbildung. Fast 30 % Deiner Kollegen sind Azubis oder Studenten (berufsbegleitend). Ein anschließendes Studium wird von uns gefördert. Darüber hinaus gibt es ein betriebliches Gesundheitsprogramm, die Möglichkeit eines Dienstfahrrads und betrieblicher Altersvorsorge.

**Ihr Ansprechpartner:**

**[iwm Informationstechnik GmbH](https://karriere-suedwestfalen.de/iwm-informationstechnik)**
Herr Frank Wortmann
Tel. +49 (0) 2391 60 16 69 0","## Ihr Profil:
Wichtiger als ein sehr guter bis guter (mindestens) Realschulabschluss ist Deine Faszination für Algorithmen und Datenstrukturen. Achtung, der Chef sagt immer: „Zum Softwareentwickler muss man geboren sein“. Wenn Du also nicht weißt, was es heißt zu programmieren, ist dieser Job nichts für Dich. Wenn doch, bieten wir Dir ein perfektes Umfeld mit viel Spaß an der Arbeit.
Mittlere Reife / Realschulabschluss",2026-06-11T08:13:55.485190+00:00
ASD-995510002962530143,ausbildungsstellen_si,iwm Informationstechnik GmbH,Plettenberg,Ohler Straße 104 58840 Plettenberg Nordrhein-Westfalen,Ausbildung | Azubi if (Eignung>=Anforderung;Topjob+Karriere Chance++) (Fachinformatiker Anwendungsentwicklung) (m/w/d),ae,,,,60,empty,jobs@iwmweb.de,https://www.karriere-suedwestfalen.de/registrieren/bewerber,email,"Ihr Ansprechpartner:
iwm Informationstechnik GmbH
Herr Frank Wortmann
Tel. +49 (0) 2391 60 16 69 0",,iwm Informationstechnik GmbH | Ausbildung | Azubi if (Eignung>=Anforderung;Topjob+Karriere Chance++) (Fachinformatiker Anwendungsentwicklung) (m/w/d) | Plettenberg,tidak,belum,tinggi,"Azubi if (Eignung>=Anforderung;Topjob+Karriere Chance++) (Fachinformatiker Anwendungsentwicklung) (m/w/d)

Du stehst nicht so auf Sonnenlicht, frische Luft und das Zwitschern der Vögel? Wir bieten Dir einen dunklen Arbeitsplatz mit gut ausgestattetem PC zum Programmieren. Lerne die gängigen Programmiersprachen und wie Du diese kundenorientiert einsetzt. Darüber hinaus erwartet Dich die Möglichkeit, an innovativen Neu- und Weiterentwicklungen mitzuarbeiten.
Wichtiger als ein sehr guter bis guter (mindestens) Realschulabschluss ist Deine Faszination für Algorithmen und Datenstrukturen. Achtung, der Chef sagt immer: „Zum Softwareentwickler muss man geboren sein“. Wenn Du also nicht weißt, was es heißt zu programmieren, ist dieser Job nichts für Dich. Wenn doch, bieten wir Dir ein perfektes Umfeld mit viel Spaß an der Arbeit.
Du löst Probleme, die du nicht kanntest, auf eine Art, die Du nicht verstehst. Alle Kollegen sind langjährige Profis, die Dir alles gerne beibringen. Interne sowie externe Weiterbildung ist Bestandteil der Ausbildung. Fast 30 % Deiner Kollegen sind Azubis oder Studenten (berufsbegleitend). Ein anschließendes Studium wird von uns gefördert. Darüber hinaus gibt es ein betriebliches Gesundheitsprogramm, die Möglichkeit eines Dienstfahrrads und betrieblicher Altersvorsorge.",,2026-06-13T12:36:21.511143+00:00
KSW-279072,karriere_sw_ae,iwm Informationstechnik GmbH,Plettenberg,Ohler Straße 104 58840 Plettenberg,Ausbildung | Azubi if (Eignung>=Anforderung;Topjob+Karriere Chance++) (Fachinformatiker Anwendungsentwicklung) (m/w/d),ae,,,,53,empty,jobs@iwmweb.de,,email,"Ihr Ansprechpartner:
iwm Informationstechnik GmbH
Herr Frank Wortmann
Tel. +49 (0) 2391 60 16 69 0",,iwm Informationstechnik GmbH | Ausbildung | Azubi if (Eignung>=Anforderung;Topjob+Karriere Chance++) (Fachinformatiker Anwendungsentwicklung) (m/w/d) | Plettenberg,tidak,belum,sedang,"Azubi if (Eignung>=Anforderung;Topjob+Karriere Chance++) (Fachinformatiker Anwendungsentwicklung) (m/w/d)

Du stehst nicht so auf Sonnenlicht, frische Luft und das Zwitschern der Vögel? Wir bieten Dir einen dunklen Arbeitsplatz mit gut ausgestattetem PC zum Programmieren. Lerne die gängigen Programmiersprachen und wie Du diese kundenorientiert einsetzt. Darüber hinaus erwartet Dich die Möglichkeit, an innovativen Neu- und Weiterentwicklungen mitzuarbeiten.
Wichtiger als ein sehr guter bis guter (mindestens) Realschulabschluss ist Deine Faszination für Algorithmen und Datenstrukturen. Achtung, der Chef sagt immer: „Zum Softwareentwickler muss man geboren sein“. Wenn Du also nicht weißt, was es heißt zu programmieren, ist dieser Job nichts für Dich. Wenn doch, bieten wir Dir ein perfektes Umfeld mit viel Spaß an der Arbeit.
Du löst Probleme, die du nicht kanntest, auf eine Art, die Du nicht verstehst. Alle Kollegen sind langjährige Profis, die Dir alles gerne beibringen. Interne sowie externe Weiterbildung ist Bestandteil der Ausbildung. Fast 30 % Deiner Kollegen sind Azubis oder Studenten (berufsbegleitend). Ein anschließendes Studium wird von uns gefördert. Darüber hinaus gibt es ein betriebliches Gesundheitsprogramm, die Möglichkeit eines Dienstfahrrads und betrieblicher Altersvorsorge.",,2026-06-13T14:44:09.503849+00:00
KSW-245800,karriere_sw_ae,Prange Gruppe,Plettenberg,Reichsstraße 78 58840 Plettenberg,Ausbildung | Auszubildender Fachinformatiker für Systemintegration (m/w/d),si,2027,8,,67,empty,bewerbung@prange.org,https://prange.recruiting-portal.com/karriere/?origin=param#/~/application/1038/uws-krypt,email,"- Ansprechpartner für Kunden und unsere Beteiligungen im Bereich IT
- Schulung der Kunden und Kollegen im Umgang mit Hard- und Software",,Prange Gruppe | Ausbildung | Auszubildender Fachinformatiker für Systemintegration (m/w/d) | Plettenberg,tidak,belum,tinggi,"Auszubildender Fachinformatiker für Systemintegration (m/w/d)

Deine Aufgaben sind:
- Einrichtung, Wartung und Betreuung unserer Microsoft Serverumgebungen
- Planung, Vorbereitung und Implementierung neuer IT-Systeme
- Erfassung und Bearbeitung eingehender Störungsmeldungen in einem Ticketsystem

Das bringst Du mit:
- Affinität zu technischen Themen und vorzugsweise erste Erfahrungen im Bereich IT
- Kundenorientiertes Denken und Handeln
- Spaß am Umgang mit Menschen und die Bereitschaft sich in neue Aufgabengebiete einzuarbeiten
- Kenntnisse der englischen Sprache in Wort und Schrift
- Führerschein Klasse B

Wir bieten:
- Verantwortungsvolle und vielfältige Aufgaben in verschiedensten Branchen
- Einen moderner Arbeitsplatz und eine kollegiale Arbeitsatmosphäre sowie die Zugehörigkeit zu einer international agierenden Gruppe
- 50€-Sachbezugskarte monatlich + 1LJ 1000€, 2LJ 1200€ und 3LJ 1300€+ Urlaubs- und Weihnachtsgeld + Zeugnisprämie
- Bike-Leasing, Anteilige Übernahme der Kindergartenbeiträge
- Flexible Arbeitszeiten
- aktive Unterstützung bei Ihrer Fort- und Weiterbildung
- ein modernes Arbeitsumfeld und die Begleitung in eine zukunftsweisende Arbeitswelt
- Kostenlose Parkplätze sowie gute ÖPNV-Anbindung an Bus und Bahn in zentraler Lage mit Supermärkten und Bäckereien in fußläufiger Umgebung
- regelmäßig stattfindende Teamevents
- Übergreifender Austausch in der gesamten Gruppe
Haben wir Dein Interesse geweckt?
Bitte sende uns Deine vollständigen Bewerbungsunterlagen, gern per E-Mail zu Händen Herrn Michael von Loh. Start der Ausbildung ist der 01.08.2027.
Prange IT-Systeme GmbH
Reichsstraße 78 . 58840 Plettenberg
bewerbung@prange.org
www.prange.org","Das bringst Du mit:
- Affinität zu technischen Themen und vorzugsweise erste Erfahrungen im Bereich IT
- Kundenorientiertes Denken und Handeln
- Spaß am Umgang mit Menschen und die Bereitschaft sich in neue Aufgabengebiete einzuarbeiten
- Kenntnisse der englischen Sprache in Wort und Schrift
- Führerschein Klasse B",2026-06-13T14:43:51.802475+00:00
ASD-995510003941965887,ausbildungsstellen_si,iwm Informationstechnik GmbH,Plettenberg,Ohler Straße 104 58840 Plettenberg Nordrhein-Westfalen,Ausbildung | Azubi (Nerd) für Computerzeugs (Fachinformatiker Systemintegration) (m/w/d),si,,,,53,empty,jobs@iwmweb.de,https://www.karriere-suedwestfalen.de/registrieren/bewerber,email,"Ihr Ansprechpartner:
iwm Informationstechnik GmbH
Frau Catherine Delgado
Tel. +49 (0) 2391 60 16 69 0
Email: jobs@iwmweb.de",,iwm Informationstechnik GmbH | Ausbildung | Azubi (Nerd) für Computerzeugs (Fachinformatiker Systemintegration) (m/w/d) | Plettenberg,tidak,belum,sedang,Azubi (Nerd) für Computerzeugs (Fachinformatiker Systemintegration) (m/w/d),,2026-06-13T12:38:57.584538+00:00
KSW-279071,karriere_sw_ae,iwm Informationstechnik GmbH,Plettenberg,Ohler Straße 104 58840 Plettenberg,Ausbildung | Azubi (Nerd) für Computerzeugs (Fachinformatiker Systemintegration) (m/w/d),si,,,,47,empty,jobs@iwmweb.de,,email,"Ihr Ansprechpartner:
iwm Informationstechnik GmbH
Frau Catherine Delgado
Tel. +49 (0) 2391 60 16 69 0
Email: jobs@iwmweb.de",,iwm Informationstechnik GmbH | Ausbildung | Azubi (Nerd) für Computerzeugs (Fachinformatiker Systemintegration) (m/w/d) | Plettenberg,ya,belum,rendah,Azubi (Nerd) für Computerzeugs (Fachinformatiker Systemintegration) (m/w/d),,2026-06-13T14:44:12.485333+00:00
STEP-13457656,stepstone_de_ae,iwm Informationstechnik GmbH,Plettenberg,Plettenberg Plettenberg,Ausbildung | Fachinformatiker Systemintegration,si,,,,40,empty,,https://twitter.com/stepstone_de,portal,,,iwm Informationstechnik GmbH | Ausbildung | Fachinformatiker Systemintegration | Plettenberg,ya,belum,rendah,"Fachinformatiker Systemintegration

Ihre Aufgaben:
Betrieb und Administration der Netzwerke unserer Kunden
Störungsanalyse und Behebung
Monitoring komplexer IT-Systeme
Selbstständig Durchführung von Projekten
Ihr Profil:
Ausbildung zum Fachinformatiker, eine vergleichbare Ausbildung oder ein vergleichbarer Werdegang
Fünfjährige Erfahrung in der IT-Branche
Erfahrungen mit Cloud Computing von Vorteil
Kunden- und Serviceorientiertes Arbeiten
Kommunikationsfähigkeit und strukturiertes Denken
Engagement, Teamfähigkeit und Zuverlässigkeit
Eigenverantwortliches Arbeiten
Fahrerlaubnis Klasse B
Unser Angebot:
Langfristige Perspektiven in einem zukunftsorientierten Unternehmen
Einen modernen Arbeitsplatz in einem jungen Team
Freiraum für eigene Ideen
Modernes Vergütungsmodell mit Bonussystem
Individuelle interne und externe Weiterbildungsmöglichkeiten
Flache Hierarchien und kurze Entscheidungswege
Betriebliches Gesundheitsprogramm
Dienstwagen und Dienstfahrrad möglich",,2026-06-12T20:45:21.148898+00:00
STEP-13582813,stepstone_de_ae,iwm Informationstechnik GmbH,Plettenberg,Plettenberg Plettenberg,Ausbildung | Fachinformatiker Systemintegration (m/w/d),si,,,,40,empty,,https://twitter.com/stepstone_de,portal,,,iwm Informationstechnik GmbH | Ausbildung | Fachinformatiker Systemintegration (m/w/d) | Plettenberg,ya,belum,rendah,"Fachinformatiker Systemintegration (m/w/d)

Ihre Aufgaben
Betrieb und Administration der Netzwerke unserer Kunden
Störungsanalyse und Behebung
Monitoring komplexer IT-Systeme
Selbstständig Durchführung von Projekten
Ihr Profil
Ausbildung zum Fachinformatiker, eine vergleichbare Ausbildung oder ein vergleichbarer Werdegang
Fünfjährige Erfahrung in der IT-Branche
Erfahrungen mit Cloud Computing von Vorteil
Kunden- und Serviceorientiertes Arbeiten
Kommunikationsfähigkeit und strukturiertes Denken
Engagement, Teamfähigkeit und Zuverlässigkeit
Eigenverantwortliches Arbeiten
Fahrerlaubnis Klasse B
Unser Angebot
Langfristige Perspektiven in einem zukunftsorientierten Unternehmen
Einen modernen Arbeitsplatz in einem jungen Team
Freiraum für eigene Ideen
Modernes Vergütungsmodell mit Bonussystem
Individuelle interne und externe Weiterbildungsmöglichkeiten
Flache Hierarchien und kurze Entscheidungswege
Betriebliches Gesundheitsprogramm
Dienstwagen und Dienstfahrrad möglich",,2026-06-12T20:45:25.980372+00:00
ASD-995510001350910734,ausbildungsstellen_si,Linamar Plettenberg GmbH,Plettenberg,Daimlerstraße 11 58840 Plettenberg Nordrhein-Westfalen,Ausbildung | Auszubildender Fachinformatiker Digitale Vernetzung d/m/w,dv,,,,53,empty,Petra.Vogt@Linamar.com,https://www.karriere-suedwestfalen.de/registrieren/bewerber,email,,,Linamar Plettenberg GmbH | Ausbildung | Auszubildender Fachinformatiker Digitale Vernetzung d/m/w | Plettenberg,tidak,belum,sedang,"Auszubildender Fachinformatiker Digitale Vernetzung d/m/w

Wenn eine sehr gute Mittlere Reife oder Abitur vorhanden ist, sind dieses gute Voraussetzungen für eine erfolgreiche Ausbildung. Wünschenswert wären erste Erfahrungen, welche durch z.B. Praktika erworben wurden. Gute Leistungen in Mathematik und Physik sowie IT-Verständnis erleichtern den Einstieg in den Ausbildungsstart. Die Arbeit der Fachinformatiker/innen der Fachrichtung Digitale Vernetzung erfordert technisches Verständnis, wenn z.B. bestehende Systeme und technische Prozesse analysiert wreden. Die digitale Verbindung von Maschinen, Produkten, Logistik und Menschen mithilfe neuer Systeme setzt Kreativität voraus. Die Suche nach Systemfehlern erfordert teilweise Ausdauer und Durchhaltevermögen.
Zu deinen Stärken zählen selbstständiges Arbeiten, Teamfähigkeit, Flexibilität und Zuverlässigkeit. Zudem verfügst du über eine schnelle Auffassungsgabe und eine hohe Einsatzbereitschaft.
Bei uns verdienst du zwischen ca. 1.200,- € bis ca. 1.400,- € (je nach Ausbildungsjahr) und bekommst dazu Sonderzahlungen.
Wir ermöglichen dir eine gute Work-Life-Balance, denn du hast bei uns neben 30 Tagen Jahresurlaub auch 6 freie Tage zusätzlich.
Wir stellen dir einen Laptop zur Verfügung.
In der Linamar Gesundheitsschmiede findest du sicher etwas für deine Fitness (Zuschüsse zum Fitness-Studio, Sportkurse, etc.) und in der Kompetenzschmiede viele interessante Themen. Übrigens bieten wir dir eine Übernahmegarantie nach der Ausbildung.
Wir freuen uns über deine Bewerbung.","Wenn eine sehr gute Mittlere Reife oder Abitur vorhanden ist, sind dieses gute Voraussetzungen für eine erfolgreiche Ausbildung. Wünschenswert wären erste Erfahrungen, welche durch z.B. Praktika erworben wurden. Gute Leistungen in Mathematik und Physik sowie IT-Verständnis erleichtern den Einstieg in den Ausbildungsstart. Die Arbeit der Fachinformatiker/innen der Fachrichtung Digitale Vernetzung erfordert technisches Verständnis, wenn z.B. bestehende Systeme und technische Prozesse analysiert wreden. Die digitale Verbindung von Maschinen, Produkten, Logistik und Menschen mithilfe neuer Systeme setzt Kreativität voraus. Die Suche nach Systemfehlern erfordert teilweise Ausdauer und Durchhaltevermögen.
Zu deinen Stärken zählen selbstständiges Arbeiten, Teamfähigkeit, Flexibilität und Zuverlässigkeit. Zudem verfügst du über eine schnelle Auffassungsgabe und eine hohe Einsatzbereitschaft.
Bei uns verdienst du zwischen ca. 1.200,- € bis ca. 1.400,- € (je nach Ausbildungsjahr) und bekommst dazu Sonderzahlungen.
Wir ermöglichen dir eine gute Work-Life-Balance, denn du hast bei uns neben 30 Tagen Jahresurlaub auch 6 freie Tage zusätzlich.
Wir stellen dir einen Laptop zur Verfügung.
In der Linamar Gesundheitsschmiede findest du sicher etwas für deine Fitness (Zuschüsse zum Fitness-Studio, Sportkurse, etc.) und in der Kompetenzschmiede viele interessante Themen. Übrigens bieten wir dir eine Übernahmegarantie nach der Ausbildung.
Wir freuen uns über deine Bewerbung.",2026-06-13T12:32:29.340105+00:00
KSW-776548,karriere_sw_ae,Linamar Plettenberg GmbH,Plettenberg,Daimlerstraße 11 58840 Plettenberg,Ausbildung | Auszubildender Fachinformatiker Digitale Vernetzung d/m/w,dv,,,,47,empty,Petra.Vogt@Linamar.com,,email,,,Linamar Plettenberg GmbH | Ausbildung | Auszubildender Fachinformatiker Digitale Vernetzung d/m/w | Plettenberg,ya,belum,rendah,"Auszubildender Fachinformatiker Digitale Vernetzung d/m/w

Wenn eine sehr gute Mittlere Reife oder Abitur vorhanden ist, sind dieses gute Voraussetzungen für eine erfolgreiche Ausbildung. Wünschenswert wären erste Erfahrungen, welche durch z.B. Praktika erworben wurden. Gute Leistungen in Mathematik und Physik sowie IT-Verständnis erleichtern den Einstieg in den Ausbildungsstart. Die Arbeit der Fachinformatiker/innen der Fachrichtung Digitale Vernetzung erfordert technisches Verständnis, wenn z.B. bestehende Systeme und technische Prozesse analysiert wreden. Die digitale Verbindung von Maschinen, Produkten, Logistik und Menschen mithilfe neuer Systeme setzt Kreativität voraus. Die Suche nach Systemfehlern erfordert teilweise Ausdauer und Durchhaltevermögen.
Zu deinen Stärken zählen selbstständiges Arbeiten, Teamfähigkeit, Flexibilität und Zuverlässigkeit. Zudem verfügst du über eine schnelle Auffassungsgabe und eine hohe Einsatzbereitschaft.
Bei uns verdienst du zwischen ca. 1.200,- € bis ca. 1.400,- € (je nach Ausbildungsjahr) und bekommst dazu Sonderzahlungen.
Wir ermöglichen dir eine gute Work-Life-Balance, denn du hast bei uns neben 30 Tagen Jahresurlaub auch 6 freie Tage zusätzlich.
Wir stellen dir einen Laptop zur Verfügung.
In der Linamar Gesundheitsschmiede findest du sicher etwas für deine Fitness (Zuschüsse zum Fitness-Studio, Sportkurse, etc.) und in der Kompetenzschmiede viele interessante Themen. Übrigens bieten wir dir eine Übernahmegarantie nach der Ausbildung.
Wir freuen uns über deine Bewerbung.","Wenn eine sehr gute Mittlere Reife oder Abitur vorhanden ist, sind dieses gute Voraussetzungen für eine erfolgreiche Ausbildung. Wünschenswert wären erste Erfahrungen, welche durch z.B. Praktika erworben wurden. Gute Leistungen in Mathematik und Physik sowie IT-Verständnis erleichtern den Einstieg in den Ausbildungsstart. Die Arbeit der Fachinformatiker/innen der Fachrichtung Digitale Vernetzung erfordert technisches Verständnis, wenn z.B. bestehende Systeme und technische Prozesse analysiert wreden. Die digitale Verbindung von Maschinen, Produkten, Logistik und Menschen mithilfe neuer Systeme setzt Kreativität voraus. Die Suche nach Systemfehlern erfordert teilweise Ausdauer und Durchhaltevermögen.
Zu deinen Stärken zählen selbstständiges Arbeiten, Teamfähigkeit, Flexibilität und Zuverlässigkeit. Zudem verfügst du über eine schnelle Auffassungsgabe und eine hohe Einsatzbereitschaft.
Bei uns verdienst du zwischen ca. 1.200,- € bis ca. 1.400,- € (je nach Ausbildungsjahr) und bekommst dazu Sonderzahlungen.
Wir ermöglichen dir eine gute Work-Life-Balance, denn du hast bei uns neben 30 Tagen Jahresurlaub auch 6 freie Tage zusätzlich.
Wir stellen dir einen Laptop zur Verfügung.
In der Linamar Gesundheitsschmiede findest du sicher etwas für deine Fitness (Zuschüsse zum Fitness-Studio, Sportkurse, etc.) und in der Kompetenzschmiede viele interessante Themen. Übrigens bieten wir dir eine Übernahmegarantie nach der Ausbildung.
Wir freuen uns über deine Bewerbung.",2026-06-13T14:43:49.007739+00:00
