id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1203262303-S,fachinformatiker_ae_2026,InterRed GmbH,Siegen,"Eiserfelder Str. 316, 57080 Siegen",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,8,,87,ba_portal,jobs@interred.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203262303-S,email,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1203262303-S,InterRed GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Siegen,tidak,belum,tinggi,"Die InterRed GmbH ist einer der technologisch führenden Software-Anbieter in den Bereichen Content Management, Redaktionssystem und Multi Channel Publishing Lösungen. Für unseren Standort in Siegen (NRW) sind wir auf der Suche nach neuen Mitarbeitern.

Wir bieten:

- Eine abwechslungsreiche und eigenverantwortliche Tätigkeit
- Spannende Projekte in verschiedenen Branchen
- Persönliches, wertschätzendes Arbeitsumfeld, auch im Homeoffice
- Kollegialer Zusammenhalt in einem inhabergeführten, mittelständischen, deutschen Unternehmen
- Flexible Arbeitszeiten (Gleitzeit, Möglichkeit von Homeoffice)
- Überstundenvergütung ab der 1. Stunde
- Firmen- / Teamevents
- Weiterbildungsangebote
- u. v. m.

Wir suchen zum 01.08.2026:

Eine(n) Auszubildende(n) für die Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung für Web. Neben der Fachhochschulreife sollten Sie folgende Anforderungen erfüllen.

Vorteilhaft sind Kenntnisse in

- HTML, CSS, Javascript, PHP
- MariaDB/MySQL

Kür:

- Symfony
- Elasticsearch

sowie strukturiertes Arbeiten.

Bitte senden Sie Ihre aussagekräftige Bewerbung (inkl. Lebenslauf, Zeugnisse und Arbeitsprobe (Programmcode)), die insb. auf das Anforderungsprofil eingeht, per E-Mail, mit Verweis auf die Stelle, auf die Sie sich bewerben, im Betreff.

Bitte richten Sie Ihre Bewerbungen nur an jobs@interred.de. Bewerbungen an andere E-Mailadressen können nicht berücksichtigt werden. Bitte senden Sie als Anhang ausschließlich PDF-Dateien - Anhänge mit anderen Dateiformaten werden nicht akzeptiert.

Weitere Stellen und zusätzliche Informationen finden Sie unter: www.interred.de/jobs.

Informationen zur Verarbeitung Ihrer personenbezogenen Daten im Rahmen des Bewerbungsverfahrens finden Sie auf unserer Website unter: www.interred.de/datenschutz

Wir freuen uns, Sie kennenzulernen!","Eine(n) Auszubildende(n) für die Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung für Web. Neben der Fachhochschulreife sollten Sie folgende Anforderungen erfüllen.
Vorteilhaft sind Kenntnisse in",2026-06-11T08:13:19.865089+00:00
12287-JOB-718707-S,fachinformatiker_ae,DATASEC information factory GmbH,Siegen,"Welterstr. 57, 57072 Siegen",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,80,partner_portal,,https://www.karriere-suedwestfalen.de/ausbildung/ausbildung-zum-fachinformatiker-anwendungsentwicklung-fuer-2026-718707,portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/12287-JOB-718707-S,DATASEC information factory GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Siegen,tidak,belum,sedang,"Als führender Business Process Outsourcer beschäftigen wir derzeit über 350 Mitarbeiter und wachsen seit Jahren stetig. Das Angebot der DATASEC information factory reicht von Prozessanalyse und Beratung über die Entwicklung und Bereitstellung von innovativen (Cloud-)Lösungen bis hin zum Outsourcing kompletter Geschäftsprozesse. Jungen Talenten und erfahrenen Fachkräften bietet das Unternehmen viel Raum für ihre persönliche Entwicklung.

Du suchst nach einer neuen Herausforderung nach deinem Schulabschluss und bist motiviert neue Themen zu erlernen? Du möchtest deine Karriere in einer Zukunftsbranche bei einem der führenden Geschäftsprozessdienstleister Deutschlands starten? Dann bewirb dich jetzt bei uns!

Dich erwartet ein hochmotiviertes junges Team, das namhaften Kunden aus allen Branchen und Größenordnungen integrierte Dienstleistungen im Rahmen des Business Process Outsourcings bereitstellt.

Während deiner Ausbildung beschäftigst du dich mit der Entwicklung von Softwareanwendungen. Dabei lernst du alle Teilbereiche unserer IT-Abteilung kennen und wirst – neben der Einbindung in das Tagesgeschäft – mit der zunehmend selbstständigen Bearbeitung von Projektaufgaben betreut.

- Du hast (Fach-)Abitur oder einen guten Realschulabschluss; gerne geben wir auch Studienabbrechern eine Chance
- Du besitzt ein ausgeprägtes mathematisch-technisches Verständnis
- Du hast Spaß am Programmieren
- Du verfügst über eine hohe Einsatzbereitschaft und selbstständige Arbeitsweise
- Du hast Disziplin und die Fähigkeit, sorgfältig und eigenständig zu arbeiten
- Du zählst Teamfähigkeit zu deinen Stärken

Wir bieten dir einen interessanten und abwechslungsreichen Arbeitsplatz mit langfristiger Perspektive, verbunden mit einer attraktiven und fairen Vergütung. Gleichzeitig erhältst du die Möglichkeit, dich im Rahmen unserer Weiterbildungsangebote individuell fortzubilden.

- Abwechslungsreicher und interessanter Arbeitsplatz mit langfristiger Perspektive
- Attraktive und faire Vergütung
- Mitarbeiterrabatte bei über 800 Top-Markenanbietern
- Modernes E-Bike-Leasing nach Abschluss der Ausbildung
- Eingegliederter Betriebssport in den Arbeitsalltag
- Kostenlose Getränke und frisches Obst
- Zusätzlich zum Gehalt bieten wir Ihnen eine betriebliche Krankenversicherung und eine betriebliche Altersvorsorge an
- Austausch auf Augenhöhe und flache Hierarchien
- Teambuilding-Events: Als junges und dynamisches Team setzen wir auf Motivation, Teamgeist und Zusammenhalt mit regelmäßigen Veranstaltungen.
- Mitgestaltung und Weiter­entwicklung: Jeder kann seine Wünsche und Ideen einbringen und dazu beitragen, Themen im Unternehmen weiterzubringen. Für die fachliche und persönliche Entwicklung bieten wir, neben beruflichen Weiterbildungen, individuelle Angebote und Mentoren-Programme an.
- Außerdem unterstützen wir die nebenberufliche akademische Fortbildung mit Stipendien und begleiten unsere Mitarbeiter aktiv auf ihrem Weg in ein Bachelor oder Master Studiengang.

Die DATASEC sucht keine Überflieger – sondern Menschen mit Tiefgang und Bodenhaftung. Eng...","- Du verfügst über eine hohe Einsatzbereitschaft und selbstständige Arbeitsweise
- Du hast Disziplin und die Fähigkeit, sorgfältig und eigenständig zu arbeiten
- Du zählst Teamfähigkeit zu deinen Stärken",2026-06-11T09:12:17.976607+00:00
NRW-1709-4846,ausbildung_nrw_ae,InterRed GmbH,Siegen,Eiserfelder Str. 316 57080 Siegen,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,80,company,jobs@interred.de,https://www.interred.de/jobs,email,"Kontakt
0271303770
info@interred.de
https://www.interred.de
Eiserfelder Str. 316
57080 Siegen
A
Andreas Nentwig
Leiter Marketing
0271303770
info@interred.de
Social Media
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,InterRed GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Siegen,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung

Fachinformatiker/in - Anwendungsentwicklung in Siegen
Mehr Informationen
Fachinformatiker/in - Anwendungsentwicklung in Siegen
Mehr Informationen
Fachinformatiker/in - Systemintegration in Siegen
Mehr Informationen
Stellenangebote

So kannst du dich bewerben
Bitte sende Deine aussagekräftige Bewerbung (inkl. Lebenslauf, Zeugnisse und Arbeitsprobe (Programmcode)), die insb. auf das Anforderungsprofil eingeht, per E-Mail, mit Verweis auf die Stelle, auf die Du Dich bewirbst, im Betreff. Bitte richte Deine Bewerbungen nur an jobs@interred.de. Bewerbungen an andere E-Mailadressen können nicht berücksichtigt werden. Bitte sende als Anhang ausschließlich PDF-Dateien - Anhänge mit anderen Dateiformaten werden nicht akzeptiert. Weitere Stellen und zusätzliche Informationen unter: www.interred.de/jobs.
Mehr Informationen",,2026-06-12T09:56:30.232189+00:00
INDEED-875bc2514a93dbe1,indeed_de_ae,InterRed GmbH,Siegen,Siegen NW,Ausbildung | Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung,ae,,,Berufsausbildung,73,empty,jobs@interred.de,https://www.hiringlab.org/de/,email,,,InterRed GmbH | Ausbildung | Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung | Siegen,tidak,belum,tinggi,"Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung

Eine(n) Auszubildende(n) für die Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung. Neben der Fachhochschulreife sollten Sie folgende Anforderungen erfüllen.
Voraussetzungen:
Kenntnisse in HTML, JavaScript, Datenbanken (vorteilhaft: MariaDB/MySQL)
Des Weiteren sind Kenntnisse in
PHP, Perl, C, C++, Java, Objective C / Swift
vorteilhaft.

Wir bieten:
Eine abwechslungsreiche und eigenverantwortliche Tätigkeit
Spannende Projekte in verschiedenen Branchen
Persönliches, wertschätzendes Arbeitsumfeld, auch im Homeoffice
Kollegialer Zusammenhalt in einem inhabergeführten, mittelständischen, deutschen Unternehmen
Flexible Arbeitszeiten (Gleitzeit, Möglichkeit von Homeoffice)
Überstundenvergütung ab der 1. Stunde
Firmen- / Teamevents
Weiterbildungsangebote
u. v. m.
Wir suchen:","Eine(n) Auszubildende(n) für die Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung. Neben der Fachhochschulreife sollten Sie folgende Anforderungen erfüllen.
Voraussetzungen:
Kenntnisse in HTML, JavaScript, Datenbanken (vorteilhaft: MariaDB/MySQL)
Des Weiteren sind Kenntnisse in
PHP, Perl, C, C++, Java, Objective C / Swift
vorteilhaft.",2026-06-13T11:44:26.523573+00:00
INDEED-a165d54e61b59d69,indeed_de_ae,InterRed GmbH,Siegen,Siegen NW,Ausbildung | Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung für Web,ae,,,Berufsausbildung,73,empty,jobs@interred.de,https://www.hiringlab.org/de/,email,,,InterRed GmbH | Ausbildung | Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung für Web | Siegen,tidak,belum,tinggi,"Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung für Web

Eine(n) Auszubildende(n) für die Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung für Web. Neben der Fachhochschulreife sollten Sie folgende Anforderungen erfüllen.
Vorteilhaft sind Kenntnisse in
HTML, CSS, Javascript, PHP
MariaDB/MySQL
Kür:
Symfony
Elasticsearch
sowie strukturiertes Arbeiten.

Wir bieten:
Eine abwechslungsreiche und eigenverantwortliche Tätigkeit
Spannende Projekte in verschiedenen Branchen
Persönliches, wertschätzendes Arbeitsumfeld, auch im Homeoffice
Kollegialer Zusammenhalt in einem inhabergeführten, mittelständischen, deutschen Unternehmen
Flexible Arbeitszeiten (Gleitzeit, Möglichkeit von Homeoffice)
Überstundenvergütung ab der 1. Stunde
Firmen- / Teamevents
Weiterbildungsangebote
u. v. m.
Wir suchen:","Eine(n) Auszubildende(n) für die Ausbildungsstelle Fachinformatiker (m/w/d) - Anwendungsentwicklung für Web. Neben der Fachhochschulreife sollten Sie folgende Anforderungen erfüllen.
Vorteilhaft sind Kenntnisse in
HTML, CSS, Javascript, PHP
MariaDB/MySQL
Kür:
Symfony
Elasticsearch
sowie strukturiertes Arbeiten.",2026-06-13T11:44:20.793542+00:00
10000-1202508335-S,fachinformatiker_ae_2026,isl-kocher GmbH Intelligente Software Lösungen,Siegen,"Gutenbergstr. 89, 57078 Siegen",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,73,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1202508335-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1202508335-S,isl-kocher GmbH Intelligente Software Lösungen | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Siegen,ya,belum,rendah,"Fachinformatiker - Anwendungsentwickelung (m/w/d) bei isl-kocher GmbH

Hallo! Bist du frisch aus der Schule oder hast das Studium satt? Dann könnte diese Chance genau das Richtige für dich sein!

Wir, isl-kocher GmbH, sind auf der Suche nach einem motivierten Auszubildenden zum Fachinformatiker/Anwendungsentwicklung. In einer Zeit, in der die Digitalisierung in Baubetrieben immer wichtiger wird, stehen wir als führendes Softwareunternehmen für Bauabrechnung im Zentrum dieser Entwicklung.

Was wir bieten:
•	Ein dynamisches Arbeitsumfeld, in dem du direkt an der Schnittstelle von Technik und Bauwesen tätig sein wirst.
•	Eine Kultur der offenen Türen und des stetigen Lernens, wo Fragen und kreatives Denken immer willkommen sind.
•	 Flache Hierarchien, die schnelle Entscheidungen und direkte Kommunikationswege ermöglichen.
•	Einen jungen Ausbilder, der dir nicht nur im Betrieb, sondern auch bei schulischen Herausforderungen zur Seite steht.
•	Eine garantierte Übernahme nach erfolgreicher Ausbildung.
•	Garantierte Jobstabilität in einem Bereich, der nicht von künstlicher Intelligenz ersetzt wird.

Was erwarten wir von dir?
•	Ein ausgeprägtes Interesse an technischen Zusammenhängen und eine Leidenschaft für das Bauwesen.
•	Vorkenntnisse im Bereich CAD sind wünschenswert, aber kein zwingendes Kriterium.
•	Teamfähigkeit und die Offenheit, sich neues Wissen anzueignen.
•	Gute Kommunikationsfähigkeiten.



**Sprachvoraussetzung Deutsch B2**","**Sprachvoraussetzung Deutsch B2**
Mittlere Reife / Realschulabschluss",2026-06-11T08:14:30.578308+00:00
KSW-440471,karriere_sw_ae,os-cillation GmbH,Siegen,Hohler Weg 75 57072 Siegen,Ausbildung zum Fachinformatiker/in für Anwendungsentwicklung (m/w/d),ae,,,,53,empty,jobs@os-cillation.de,https://www.os-cillation.de/jobs/ausbildung-fachinformatiker,email,"- und natürlich eine leistungsgerechte Bezahlung Ihr Ansprechpartner:
os-cillation GmbH
Herr Oliver Schweissgut
Tel. +49-271-31368-111",,os-cillation GmbH | Ausbildung zum Fachinformatiker/in für Anwendungsentwicklung (m/w/d) | Siegen,tidak,belum,sedang,Ausbildung zum Fachinformatiker/in für Anwendungsentwicklung (m/w/d),,2026-06-13T14:41:46.298249+00:00
ASD-995510002065774364,ausbildungsstellen_si,DATASEC information factory GmbH,Siegen,Welterstr. 57 57072 Siegen Nordrhein-Westfalen,Ausbildung zum Fachinformatiker Anwendungsentwicklung für 2026 (m/w/d),ae,,,,47,empty,,https://www.karriere-suedwestfalen.de/registrieren/bewerber,portal,,,DATASEC information factory GmbH | Ausbildung zum Fachinformatiker Anwendungsentwicklung für 2026 (m/w/d) | Siegen,ya,belum,rendah,"Ausbildung zum Fachinformatiker Anwendungsentwicklung für 2026 (m/w/d)

- Du zählst Teamfähigkeit zu deinen StärkenWir bieten dir einen interessanten und abwechslungsreichen Arbeitsplatz mit langfristiger Perspektive, verbunden mit einer attraktiven und fairen Vergütung. Gleichzeitig erhältst du die Möglichkeit, dich im Rahmen unserer Weiterbildungsangebote individuell fortzubilden.
- Abwechslungsreicher und interessanter Arbeitsplatz mit langfristiger Perspektive
- Attraktive und faire Vergütung
- Mitarbeiterrabatte bei über 800 Top-Markenanbietern
- Modernes E-Bike-Leasing nach Abschluss der Ausbildung
- Eingegliederter Betriebssport in den Arbeitsalltag
- Kostenlose Getränke und frisches Obst
- Zusätzlich zum Gehalt bieten wir Ihnen eine betriebliche Krankenversicherung und eine betriebliche Altersvorsorge an
- Austausch auf Augenhöhe und flache Hierarchien
- Teambuilding-Events: Als junges und dynamisches Team setzen wir auf Motivation, Teamgeist und Zusammenhalt mit regelmäßigen Veranstaltungen.
- Mitgestaltung und Weiter­entwicklung: Jeder kann seine Wünsche und Ideen einbringen und dazu beitragen, Themen im Unternehmen weiterzubringen. Für die fachliche und persönliche Entwicklung bieten wir, neben beruflichen Weiterbildungen, individuelle Angebote und Mentoren-Programme an.
- Außerdem unterstützen wir die nebenberufliche akademische Fortbildung mit Stipendien und begleiten unsere Mitarbeiter aktiv auf ihrem Weg in ein Bachelor oder Master Studiengang.Die DATASEC sucht keine Überflieger – sondern Menschen mit Tiefgang und Bodenhaftung. Engagierte Persönlichkeiten, die mit Leidenschaft bei der Sache sind und mit neuen Ideen für frischen Wind sorgen. Zur Fortsetzung unserer Erfolgsgeschichte suchen wir dich!
Fühlst du dich angesprochen? Dann bewirb dich jetzt!
DATASEC information factory GmbH
Jolina Hegner
Welterstr. 57
57072 Siegen",,2026-06-13T12:34:33.540984+00:00
KSW-718707,karriere_sw_ae,DATASEC information factory GmbH,Siegen,Welterstr. 57 57072 Siegen,Ausbildung zum Fachinformatiker Anwendungsentwicklung für 2026 (m/w/d),ae,,,,47,empty,,https://datasec.talentstorm.de/bewerbung/ausbildung-zum-fachinformatiker-anwendungsentwicklung-fuer-2026-m-w-d-20707,portal,,,DATASEC information factory GmbH | Ausbildung zum Fachinformatiker Anwendungsentwicklung für 2026 (m/w/d) | Siegen,ya,belum,rendah,"Ausbildung zum Fachinformatiker Anwendungsentwicklung für 2026 (m/w/d)

- Du zählst Teamfähigkeit zu deinen StärkenWir bieten dir einen interessanten und abwechslungsreichen Arbeitsplatz mit langfristiger Perspektive, verbunden mit einer attraktiven und fairen Vergütung. Gleichzeitig erhältst du die Möglichkeit, dich im Rahmen unserer Weiterbildungsangebote individuell fortzubilden.
- Abwechslungsreicher und interessanter Arbeitsplatz mit langfristiger Perspektive
- Attraktive und faire Vergütung
- Mitarbeiterrabatte bei über 800 Top-Markenanbietern
- Modernes E-Bike-Leasing nach Abschluss der Ausbildung
- Eingegliederter Betriebssport in den Arbeitsalltag
- Kostenlose Getränke und frisches Obst
- Zusätzlich zum Gehalt bieten wir Ihnen eine betriebliche Krankenversicherung und eine betriebliche Altersvorsorge an
- Austausch auf Augenhöhe und flache Hierarchien
- Teambuilding-Events: Als junges und dynamisches Team setzen wir auf Motivation, Teamgeist und Zusammenhalt mit regelmäßigen Veranstaltungen.
- Mitgestaltung und Weiter­entwicklung: Jeder kann seine Wünsche und Ideen einbringen und dazu beitragen, Themen im Unternehmen weiterzubringen. Für die fachliche und persönliche Entwicklung bieten wir, neben beruflichen Weiterbildungen, individuelle Angebote und Mentoren-Programme an.
- Außerdem unterstützen wir die nebenberufliche akademische Fortbildung mit Stipendien und begleiten unsere Mitarbeiter aktiv auf ihrem Weg in ein Bachelor oder Master Studiengang.Die DATASEC sucht keine Überflieger – sondern Menschen mit Tiefgang und Bodenhaftung. Engagierte Persönlichkeiten, die mit Leidenschaft bei der Sache sind und mit neuen Ideen für frischen Wind sorgen. Zur Fortsetzung unserer Erfolgsgeschichte suchen wir dich!
Fühlst du dich angesprochen? Dann bewirb dich jetzt!
DATASEC information factory GmbH
Jolina Hegner
Welterstr. 57
57072 Siegen",,2026-06-13T14:41:27.425363+00:00
10000-1204726840-S,fachinformatiker_ae_2026,Kreisklinikum Siegen GmbH,Siegen,"Weidenauer Str. 76, 57076 Siegen",Ausbildung | Fachinformatiker/in - Systemintegration,si,2026,8,,87,ba_portal,it-ausbildung@klinikum-siegen.de,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204726840-S,email,"Kontakt für Rückfragen
Für weitere Informationen steht dir der Ausbilder, Herr Philipp Morbach, unter der E-Mail Adresse: it-ausbildung@klinikum-siegen.de gerne zur Verfügung.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204726840-S,Kreisklinikum Siegen GmbH | Ausbildung | Fachinformatiker/in - Systemintegration | Siegen,tidak,belum,tinggi,"Du interessierst dich für Technik, deine Leidenschaft sind Computer, Software und Digitalisierung und du bist auf der Suche nach einem Ausbildungsplatz für das Jahr 2026?
... hast ein Händchen für Technik sowie gute Computerkenntnisse?

- ... möchtest IT-Prozesse verstehen und aktiv mitgestalten?
- ... besitzt einen abgeschlossenen Schulabschluss, bist teamfähig, zuverlässig, hast Verantwortungsbewusstsein und Einsatzbereitschaft?
Wir bieten dir ab 01.08.2026 eine neue interessante Perspektive im Rahmen einer Ausbildung als
Fachinformatiker für Systemintegration (m/w/d).
Du...
- Dann bist du bei uns an der richtigen Adresse!

Was erwartet dich?

- Du planst, installierst und konfigurierst mit Hilfe modernster Technik komplexe IT-Systeme und stellst damit die IT-Infrastruktur sicher
- Du gibst dein während der Ausbildung erlerntes Fachwissen in Sachen Soft- und Hardware an Krankenhausmitarbeiter weiter und unterstützt diese damit im Klinikalltag

Wir bieten

- Eine interessante und abwechslungsreiche Berufsausbildung
- Beste Jobperspektiven
- Attraktive Ausbildungsvergütung nach TVAöD einschließlich Weihnachtsgeld und betrieblicher Altersvorsorge
- Flexible Arbeitszeit mit Gleitzeit
- Motivierte Kollegen, die sich auf dich freuen!
- Willkommensveranstaltung um andere Azubis kennenzulernen
- Kostengünstige Nutzung von attraktiven und vielfältigen Sportangeboten bei über 100 Standorten im Siegerland (www.urbansportsclub.com: 19,99 Euro im M Tarif für unsere Mitarbeiter:innen!)
- Nutzung von vielfältigen Shoppingrabatten durch Corporate Benefits
- Moderne Mitarbeiterkantine mit abwechslungsreichem und vergünstigtem Speiseangebot
- Zuschuss zum Deutschlandticket
Der schulische Teil der Ausbildung findet am Berufskolleg in Siegen statt.
Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.

Kontakt für Rückfragen
Für weitere Informationen steht dir der Ausbilder, Herr Philipp Morbach, unter der E-Mail Adresse: it-ausbildung@klinikum-siegen.de gerne zur Verfügung.

-",Qualifizierender Erweiterter Hauptschulabschluss,2026-06-11T08:14:58.579787+00:00
