id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
13151-1578647-1-S,fachinformatiker_ae,Mercedes-Benz Group AG,Stuttgart,70563 Stuttgart,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2027,9,,87,company,,https://www.arbeitsagentur.de/jobsuche/jobdetail/13151-1578647-1-S,ba_portal,Kontakt,https://www.arbeitsagentur.de/jobsuche/jobdetail/13151-1578647-1-S,Mercedes-Benz Group AG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Stuttgart,ya,belum,rendah,"Tätigkeitsbereich: IT/Telekommunikation
Gesellschaft: Mercedes-Benz Tech Innovation GmbH
Standort: Stuttgart
Startdatum: 01.09.2027
Veröffentlichungsdatum: 2027-09-01
Stellennummer: V000075410
Arbeitszeit: Vollzeit


Aufgaben

Welche Aufgaben erwarten dich bei uns?

- Als künftiger Softwareexperte (m/w/d/x) planst, konzipierst und entwickelst du verschiedenste Anwendungen im Kundenauftrag.
- Dabei legst du großen Wert auf eine nutzerfreundliche Gestaltung.
- Du testest die Anwendungen, sicherst deren Qualität und begleitest den Rollout sowie die Einführung beim Kunden.
- Deine Zukunft liegt uns am Herzen. Wir fördern deine Stärken und stehen dir zur Seite: Dein persönlicher Mentor (m/w/d/x) unterstützt dich in deiner fachlichen und persönlichen Entwicklung.
- Werde Teil eines Teams, das durch familiären Zusammenhalt wächst und mit innovativen Lösungen begeistert. Bewirb dich jetzt bei uns!


Qualifikationen

Wie passt du in unser Team?

Bereit, bei uns durchzustarten?

Wenn du sehr gute Deutschkenntnisse mitbringst (Englisch ist von Vorteil, aber kein Muss) und uns deine vollständigen Bewerbungsunterlagen – also Anschreiben, Lebenslauf und Notenübersicht – einreichst, freuen wir uns auf deine Bewerbung.

Kleiner Tipp:

Aufgrund der Vielzahl eingehender Bewerbungen können wir im weiteren Auswahlprozess ausschließlich vollständige und aussagekräftige Unterlagen berücksichtigen.

- Du hast eine mittlere Reife, fachgebundene Hochschulreife, Fachhochschulreife oder allgemeine Hochschulreife.
- Du entwickelst gerne eigene Programme und tüftelst so lange daran, bis sie fehlerfrei und optimal funktionieren.
- Du hast ein starkes Interesse an Informatik, insbesondere an der Anwendungsentwicklung.
- Du besitzt Grundkenntnisse über Computersysteme.
- Du zeichnest dich durch hohes Engagement und Lernbereitschaft aus.


Benefits


- Barriere­frei­heit
- Kantine, Café
- Coaching
- Mobilitäts­angebote
- Mit­arbeiter Events
- Mit­arbeiter­rabatte möglich
- Mit­arbeiter­beteili­gung möglich
- Mit­arbeiter­handy möglich
- Essens­zulagen
- Gesund­heits­maß­nahmen
- Hybrides Arbeiten möglich
- Lebens­langes Lernen
- Betrieb­liche Alters­ver­sorgung
- Park­platz
- Gute An­bindung
- Flexible Arbeits­zeit möglich


Kontakt

Gropiusplatz 10
70563 Stuttgart","Qualifikationen
Wie passt du in unser Team?
Mittlere Reife / Realschulabschluss",2026-06-11T09:12:44.680860+00:00
10001-1002689638-S,fachinformatiker_ae,Südwestrundfunk Anstalt des öf fentlichen Rechts Ausland Bade n-Baden,Stuttgart,"Neckarstraße 221, 70190 Stuttgart",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,Jahr 1: 1307 EUR/Monat | Jahr 2: 1370 EUR/Monat | Jahr 3: 1428 EUR/Monat,87,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002689638-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002689638-S,Südwestrundfunk Anstalt des öf fentlichen Rechts Ausland Bade n-Baden | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Stuttgart,ya,belum,rendah,"**Du möchtest für die einzigartigen Abläufe in einem großen Medienunternehmen passgenaue Software programmieren, betreuen und weiterentwickeln? Dein Verständnis für mediale Produktionsabläufe vom Redaktionsarbeitsplatz über Datenbereitstellung bis zur Ausspielung von verschiedenen Formaten bringt uns weiter? Dann kommt hier deine Chance – bewirb dich auf eine Ausbildung als Fachinformatiker\*in, Fachrichtung Anwendungsentwicklung und werde Teil unseres Teams!**

## 📣 **DAS ERWARTET DICH WÄHREND DEINER AUSBILDUNG**

- Umgang mit unterschiedlichen Programmiersprachen, Entwicklungsumgebungen und agilen Arbeitsmethoden
- Einblick in die Audio- und Videoproduktion
- Vielfältige Teams sowie spannende und praxisnahe Projekte
- Berücksichtigung deiner individuellen Interessen im Ausbildungsplan
- Ein Laptop, den du auch für die Berufsschule und privat nutzen kannst
- Innovative Themen für deine IHK-Abschlussarbeit

## ✔️ **DAS BRINGST DU SCHON MIT**

- Du bist IT-begeistert und hast Interesse an komplexen Aufgabenstellungen sowie Freude an Problemlösungen
- Erste Programmiererfahrungen
- Spaß am Umgang mit digitalen Medien
- Freude sowohl an selbständigem Arbeiten als auch an Teamarbeit
- Du bist vielfältig interessiert, offen und kommunikativ
- Einen guten bis sehr guten Abschluss der mittleren Reife oder einen höheren Schulabschluss inkl. gutem Ausdrucksvermögen in Wort und Schrift (Deutsch und Englisch)

## 🎉 **DEINE BENEFITS**

Neben einer umfassenden Ausbildung in einem multimedialen Unternehmen profitierst du bei uns von zahlreichen Benefits!

## VIELFALT IM SWR

Der SWR verfolgt das Ziel der beruflichen Chancengleichheit von Frauen und Männern und fordert daher Frauen auf, sich zu bewerben.

Wir sind Unterzeichner der „Charta der Vielfalt“ und fördern die Vielfalt in unserer Belegschaft. Deine Bewerbung ist bei uns willkommen, unabhängig von Geschlecht, kultureller oder sozialer Herkunft, Religion, Weltanschauung, Alter, sexueller Orientierung oder einer Behinderung.","## ✔️ **DAS BRINGST DU SCHON MIT**
- Du bist IT-begeistert und hast Interesse an komplexen Aufgabenstellungen sowie Freude an Problemlösungen
- Erste Programmiererfahrungen
- Spaß am Umgang mit digitalen Medien
- Freude sowohl an selbständigem Arbeiten als auch an Teamarbeit
- Du bist vielfältig interessiert, offen und kommunikativ
- Einen guten bis sehr guten Abschluss der mittleren Reife oder einen höheren Schulabschluss inkl. gutem Ausdrucksvermögen in Wort und Schrift (Deutsch und Englisch)
Mittlere Reife / Realschulabschluss",2026-06-11T09:10:23.233664+00:00
INDEED-1da0c2fbbede9332,indeed_de_ae,Mercedes-Benz Group AG,Stuttgart,Stuttgart BW,Ausbildung | Fachinformatiker Anwendungsentwicklung 2027 (m/w/d/x),ae,,,"Vollzeit, Berufsausbildung, Befristeter Vertrag",80,empty,mbti-career@mercedes-benz.com,https://www.hiringlab.org/de/,email,"KontaktMercedes-Benz Tech Innovation GmbH
Gropiusplatz 1070563 StuttgartDetails zum Standort
Mercedes-Benz Tech Innovation GmbH E-Mail: mbti-career@mercedes-benz.com",,Mercedes-Benz Group AG | Ausbildung | Fachinformatiker Anwendungsentwicklung 2027 (m/w/d/x) | Stuttgart,tidak,belum,tinggi,"Ausbildung Fachinformatiker Anwendungsentwicklung 2027 (m/w/d/x)

Aufgaben
Welche Aufgaben erwarten dich bei uns?
Als künftiger Softwareexperte (m/w/d/x) planst, konzipierst und entwickelst du verschiedenste Anwendungen im Kundenauftrag.
Dabei legst du großen Wert auf eine nutzerfreundliche Gestaltung.
Du testest die Anwendungen, sicherst deren Qualität und begleitest den Rollout sowie die Einführung beim Kunden.
Deine Zukunft liegt uns am Herzen. Wir fördern deine Stärken und stehen dir zur Seite: Dein persönlicher Mentor (m/w/d/x) unterstützt dich in deiner fachlichen und persönlichen Entwicklung.
Werde Teil eines Teams, das durch familiären Zusammenhalt wächst und mit innovativen Lösungen begeistert. Bewirb dich jetzt bei uns!

Qualifikationen
Wie passt du in unser Team?
Bereit, bei uns durchzustarten?

Benefits
Hybrides Arbeiten möglich
Mitarbeiterhandy möglich
Gesundheitsmaßnahmen
Mitarbeiterrabatte möglich
Mitarbeiter Events
Essenszulagen
Lebenslanges Lernen
Mobilitätsangebote
Mitarbeiterbeteiligung möglich
Coaching
Betriebliche Altersversorgung
Flexible Arbeitszeit möglich
Parkplatz
Kantine, Café
Gute Anbindung
Barrierefreiheit","Qualifikationen
Wie passt du in unser Team?
Bereit, bei uns durchzustarten?",2026-06-13T10:53:49.359918+00:00
10001-1002515547-S,fachinformatiker_ae,Valprovia GmbH,Stuttgart,"Möhringer Landstr. 5, 70563 Stuttgart",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002515547-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002515547-S,Valprovia GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Stuttgart,ya,belum,rendah,"Valprovia ist ein Stuttgarter B2B-SaaS-Unternehmen und Microsoft Solutions Partner. Wir entwickeln eine präventive Governance-Plattform für Microsoft 365, die IT-Abteilungen dabei hilft, Sicherheitsrisiken wie Oversharing und unkontrollierte Berechtigungen in Microsoft Teams und SharePoint zu verhindern – bevor sie entstehen.

Unsere Kunden sind namhafte Unternehmen in der DACH-Region, die auf unsere Lösungen vertrauen, um ihre Daten zu schützen und Compliance-Anforderungen zu erfüllen. Als wachsendes Unternehmen bieten wir dir die einzigartige Chance, von Anfang an echte Verantwortung zu übernehmen und an Produkten mitzuarbeiten, die täglich von tausenden Nutzern eingesetzt werden.

### Das erwartet dich bei uns

**Echte Produkte, echte Wirkung:** Du arbeitest nicht an Übungsprojekten, sondern an unserer Governance-Plattform – dein Code landet direkt bei unseren Kunden.

**Moderner Tech-Stack:** Du lernst aktuelle Technologien wie C#, .NET, TypeScript, React, Azure und Microsoft Graph API – die Werkzeuge, mit denen professionelle Cloud-Software gebaut wird.

**KI-Entwicklung von Anfang an:** Du bekommst Einblicke in die Entwicklung von KI-Agenten, arbeitest mit Large Language Models (LLMs), Microsoft Copilot und lernst, wie man KI-Features in echte Produkte integriert – Skills, die in Zukunft unverzichtbar sein werden.

**Microsoft 365 Expertise:** Du erhältst tiefe Einblicke in SharePoint, Teams und Azure AD – Know-how, das auf dem Arbeitsmarkt extrem gefragt ist.

**Agile Entwicklung:** Du wirst Teil eines kleinen, schlagkräftigen Teams, das nach agilen Methoden arbeitet und kurze Entscheidungswege hat.

**Persönliche Betreuung:** Unsere erfahrenen Entwickler und Gründer nehmen sich Zeit für dich und begleiten dich durch die gesamte Ausbildung.

### Das lernst du bei uns

- Entwicklung von Webanwendungen und Cloud-Services mit C#, .NET und TypeScript
- Aufbau von APIs und Integration mit Microsoft Graph und Azure
- **KI-Integration:** Arbeiten mit OpenAI APIs, Azure AI Services und Microsoft Copilot Studio
- **Prompt Engineering:** Entwicklung und Optimierung von KI-Agenten für Geschäftsanwendungen
- **MCP (Model Context Protocol):** Integration von KI-Modellen in bestehende Softwarearchitekturen
- Datenbank-Design und -Anbindung (SQL, PostgreSQL)
- Frontend-Entwicklung mit React und modernen UI-Frameworks
- Testing, Debugging und Code-Optimierung
- Deployment mit CI/CD-Pipelines und Azure DevOps
- Arbeiten mit Git, Code Reviews und professionellen Entwicklungsprozessen

### Das bringst du mit

- Mindestens einen guten Realschulabschluss oder (Fach-)Abitur
- Echte Begeisterung fürs Programmieren – eigene Projekte oder erste Coding-Erfahrungen sind ein Plus, aber kein Muss
- Neugier auf Künstliche Intelligenz und neue Technologien – du hast vielleicht schon mit ChatGPT experimentiert oder eigene Ideen, was man mit KI bauen könnte
- Logisches Denkvermögen und Freude am Lösen von Problemen
- Gute Englischkenntnisse (viel Dokumentation ist auf Englisch)
- Eigeninitiative und die Bereitschaft, Verantwortung zu übernehmen
- Teamgeist – bei uns arbeitet jeder mit jedem

### Das bieten wir dir

- **Echte Projekte** – dein Code kommt bei Kunden zum Einsatz, nicht in die Schublade
- **Zugang zu KI-Tools** – GitHub Copilot, ChatGPT und weitere KI-Assistenten für deine tägliche Arbeit
- **Modernes Equipment** – aktuelles Notebook und alles, was du zum Arbeiten brauchst
- **Flache Hierarchien** – direkter Austausch mit den Gründern und dem gesamten Team
- **Homeoffice-Möglichkeit** – nach der Einarbeitung auch hybrid möglich
- **Weiterbildung** – Zugang zu Schulungen, KI-Zertifizierungen und Konferenzen
- **Übernahmeperspektive** – bei guter Leistung freuen wir uns, dich nach der Ausbildung zu übernehmen
- **Marktgerechte Vergütung** – orientiert am Stuttgarter IT-Markt

**Interesse geweckt?** Schick uns deinen Lebenslauf und deine letzten zwei Schulzeugnisse. Hast du eigene Coding-Projekte, einen GitHub-Account oder mit KI experimentiert? Immer her damit – wir sind gespannt!","Unsere Kunden sind namhafte Unternehmen in der DACH-Region, die auf unsere Lösungen vertrauen, um ihre Daten zu schützen und Compliance-Anforderungen zu erfüllen. Als wachsendes Unternehmen bieten wir dir die einzigartige Chance, von Anfang an echte Verantwortung zu übernehmen und an Produkten mitzuarbeiten, die täglich von tausenden Nutzern eingesetzt werden.
Mittlere Reife / Realschulabschluss",2026-06-11T09:14:34.008238+00:00
ASD-998030000727294963,ausbildungsstellen_si,Azubiyo,Stuttgart,Sigmaringer Str. 111 70567 Stuttgart Baden-W&#252;rttemberg,Ausbildung zum Fachinformatiker (m/w/i) Anwendungsentwicklung 2026,ae,,,"1.000 €, 1.100 €, 1.200 €",73,company,,https://www.azubiyo.de/bewerbung/,portal,,,Azubiyo | Ausbildung zum Fachinformatiker (m/w/i) Anwendungsentwicklung 2026 | Stuttgart,tidak,belum,sedang,"Ausbildung zum Fachinformatiker (m/w/i) Anwendungsentwicklung 2026

Mittlere Reife

Darauf kannst Du Dich freuen
» Dein Arbeitsplatz hat eine zentrale Lage und ist mit den Öffis gut erreichbar
» Du hast 30 Tage Urlaub und Dresscode - welcher Dresscode?
» Obst, Kaffee, Tee und Softdrinks bekommst Du zum Nulltarif
Wir freuen uns darauf, Dich kennenzulernen!",Mittlere Reife,2026-06-13T12:46:09.494376+00:00
ASD-998030002080870558,ausbildungsstellen_si,Azubiyo,Stuttgart,Magirusstr. 13 70469 Stuttgart Baden-W&#252;rttemberg,Ausbildung | Fachinformatiker (m/w) für Anwendungsentwicklung (m/w/d),ae,,,1102 - 1253 EUR,67,company,,https://www.azubiyo.de/bewerbung/,portal,,,Azubiyo | Ausbildung | Fachinformatiker (m/w) für Anwendungsentwicklung (m/w/d) | Stuttgart,tidak,belum,sedang,"Fachinformatiker (m/w) für Anwendungsentwicklung (m/w/d)

Mittlere Reife",Mittlere Reife,2026-06-13T12:52:16.267222+00:00
STEP-14114527,stepstone_de_ae,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e.V. (CJD),Stuttgart,70469 Stuttgart,Ausbildung | Ausbilder (w/m/d) für Fachinformatik,ae,,,"100,00€",67,empty,,https://youtube.com/embed/EiHt7_XXwnQ?rel=0&showinfo,portal,"Kontakt
Wünschenswert ist die Mitgliedschaft in einer christlichen Kirche, die der Arbeitsgemeinschaft Christlicher Kirchen (ACK) Deutschlands angehört
Contact
Maria Silvano
Angebotsleitung
Tel. +49 151 406 396 33
Inge Starzmann
Fachbereichsleitung
Tel. +49 151 406 395 35
Your new sphere of activity",,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e.V. (CJD) | Ausbildung | Ausbilder (w/m/d) für Fachinformatik | Stuttgart,tidak,belum,sedang,"Ausbilder (w/m/d) für Fachinformatik

Ihr neues Aufgabengebiet
Vermittlung von praktischen und theoretischen Kenntnissen in den Berufen Fachinformatik
Fachliche Planung, Organisation und Durchführung der Ausbildung
Unterstützung der Teilnehmenden beim Erwerb von Schlüsselqualifikationen
Dokumentation der Unterweisungstätigkeiten
Interdisziplinäre Zusammenarbeit mit anderen Bereichen
Als Ausbilder (w/m/d) für Fachinformatik vermitteln Sie praxisorientiertes Fachwissen in den Bereichen Systemintegration, Anwendungsentwicklung und IT-Support. Sie leiten Lern- und Arbeitsprozesse an, begleiten Projekte und fördern gezielt die individuellen Stärken der Auszubildenden. Dabei legen Sie Wert auf eine moderne, praxisnahe Ausbildung und die Entwicklung sozialer sowie beruflicher Kompetenzen.
Darüber hinaus unterstützen Sie die Teilnehmenden in der Berufsvorbereitung, vermitteln Grundlagen der IT-Systeme, Netzwerktechnik, Programmierung und IT-Sicherheit und fördern das Verständnis für nachhaltige digitale Lösungen.
Your profile
Eine abgeschlossene Ausbildung als Fachinformatiker - Systemintegration, eine abgeschlossene Ausbildung als Fachinformatiker - Anwendungsentwicklung oder ein abgeschlossenes Studium im Bereich IT
Ausbildereignung nach der Ausbilder-Eignungsverordnung (AEVO)
Berufserfahrung mit jungen Menschen und Freude an der Arbeit mit Ihnen
Didaktische Vermittlungskompetenz
Geduld und Einfühlungsvermögen
Selbstständige Arbeitsweise, Eigeninitiative und Organisationstalent
We offer
Attraktive Vergütung nach AVR.DD/CJD
Kinderzuschlag (pro Kind 100,00€ brutto pro Monat bei Vollzeit) und Jahressonderzahlung
Kontinuierliche Tarifsteigerungen
31 Tage Urlaub (bei 5-Tage-Woche), für Weihnachten und Silvester keine Urlaubstage notwendig
Persönliche Weiterentwicklung durch gezielte Fort- und Weiterbildungen
Regelmäßige Team- und Fallsupervisionen
Möglichkeit des Bikeleasings
Jobticket (Zuschuss zum Deutschlandticket)
Das Rahmenschutzkonzept des CJD wird aktiv gelebt und vor Ort so angepasst, dass jede Einrichtung ein sicheres und gewaltfreies Umfeld für alle schafft
Gestalten Sie Veränderungen mit und übernehmen Sie Verantwortung in einem Umfeld, das Engagement und Eigeninitiative schätzt

Sonderrabatte bei über 800 Markenanbietern (Corporate Benefits)
Eine Gemeinschaft , deren Werte auf dem christlichen Menschenbild basieren
Mehr anzeigen
Mit Ihrer pädagogischen Kompetenz, Ihrem Fachwissen und Ihrer Freude an der Arbeit mit jungen Menschen schaffen Sie ein lernförderliches Umfeld, das Motivation, Stabilität und Wertschätzung vermittelt.
Willkommen im CJD
Wir freuen uns über Bewerbungen von Menschen aller Altersgruppen und Geschlechter, Menschen mit Schwerbehinderung und Gleichstellung sowie jeglicher ethnischer Herkunft.",,2026-06-12T19:57:52.928726+00:00
STEP-14061334,stepstone_de_ae,Mercedes-Benz Tech Innovation,Stuttgart,Gropiusplatz 10 70563 Stuttgart,Ausbildung | Fachinformatiker Anwendungsentwicklung 2027 (m/w/d/x),ae,,,,67,empty,,https://youtube.com/embed/I6oGB3e4b2s?rel=0&showinfo,portal,"Kontakt
Mercedes-Benz Tech Innovation GmbH
Email: mbti-career@mercedes-benz.com
Mercedes-Benz Tech Innovation GmbH, Stuttgart
Gropiusplatz 10
70563 Stuttgart",,Mercedes-Benz Tech Innovation | Ausbildung | Fachinformatiker Anwendungsentwicklung 2027 (m/w/d/x) | Stuttgart,tidak,belum,sedang,"Ausbildung Fachinformatiker Anwendungsentwicklung 2027 (m/w/d/x)

Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen bedeutet, Teil eines globalen Teams zu werden, dessen Ziel es ist, die begehrenswertesten Automobile der Welt zu bauen. Together for excellence.
Stellennummer: V000075410
Aufgaben
Welche Aufgaben erwarten dich bei uns?
Als künftiger Softwareexperte (m/w/d/x) planst, konzipierst und entwickelst du verschiedenste Anwendungen im Kundenauftrag.
Dabei legst du großen Wert auf eine nutzerfreundliche Gestaltung.
Du testest die Anwendungen, sicherst deren Qualität und begleitest den Rollout sowie die Einführung beim Kunden.
Deine Zukunft liegt uns am Herzen. Wir fördern deine Stärken und stehen dir zur Seite: Dein persönlicher Mentor (m/w/d/x) unterstützt dich in deiner fachlichen und persönlichen Entwicklung.
Werde Teil eines Teams, das durch familiären Zusammenhalt wächst und mit innovativen Lösungen begeistert. Bewirb dich jetzt bei uns!
Qualifikationen
Wie passt du in unser Team?
Bereit, bei uns durchzustarten?

Benefits
Hybrides Arbeiten möglich
Mit­arbeiter­handy möglich
Gesund­heits­maß­nahmen
Mit­arbeiter­rabatte möglich
Mit­arbeiter Events
Essens­zulagen
Lebens­langes Lernen
Mobilitäts­angebote
Mit­arbeiter­beteili­gung möglich
Coaching
Betrieb­liche Alters­ver­sorgung
Flexible Arbeits­zeit möglich
Park­platz
Kantine, Café
Gute An­bindung
Barriere­frei­heit",,2026-06-12T19:59:25.758208+00:00
10001-1002298847-S,fachinformatiker_ae,SoftMate GmbH,Stuttgart,"Hedelfinger Str. 60, 70327 Stuttgart",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,,,,67,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002298847-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002298847-S,SoftMate GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Stuttgart,ya,belum,rendah,"Ob am Beginn der beruflichen Karriere oder auf der Suche nach neuen beruflichen Herausforderungen – bei uns findest Du eine Stelle, die zu Deinen individuellen Qualifikationen passt. Genieße die Vorteile abwechslungsreicher Aufgaben zu flexiblen Arbeitszeiten in Zusammenarbeit eines starken Teams.

Unser expandierendes 40-köpfiges Consulting- und Entwicklungsteam betreut derzeit über 400 Kunden in Deutschland und weltweit. Im Bereich ECM und DMS bieten wir bewährte und innovative Lösungen zur Digitalisierung von Unternehmensprozessen. Aktuell und auch in Zukunft besteht eine hohe Kundennachfrage, die vielversprechende berufliche Perspektiven bietet.

PCs bzw. Programmierung ist dein Hobby Nr. 1

Informationen zur Berufsausbildung findest du im Internetangebot der [IHK Stuttgart](https://www.ihk.de/stuttgart/) unter dem Stichwort „Ausbildungsberufe im IT-Bereich“ oder beim Arbeitsamt für [Anwendungsentwickler](https://web.arbeitsagentur.de/berufenet/beruf/7856)","Ob am Beginn der beruflichen Karriere oder auf der Suche nach neuen beruflichen Herausforderungen – bei uns findest Du eine Stelle, die zu Deinen individuellen Qualifikationen passt. Genieße die Vorteile abwechslungsreicher Aufgaben zu flexiblen Arbeitszeiten in Zusammenarbeit eines starken Teams.
Unser expandierendes 40-köpfiges Consulting- und Entwicklungsteam betreut derzeit über 400 Kunden in Deutschland und weltweit. Im Bereich ECM und DMS bieten wir bewährte und innovative Lösungen zur Digitalisierung von Unternehmensprozessen. Aktuell und auch in Zukunft besteht eine hohe Kundennachfrage, die vielversprechende berufliche Perspektiven bietet.
Mittlere Reife / Realschulabschluss",2026-06-11T09:13:38.502467+00:00
AD-99f736dc-6e2e-41d8-87a5-1d7ad5204609,ausbildung_de_ae,Stuttgarter Lebensversicherung a.G.,Stuttgart,Rotebühlstr. 120 70197 Stuttgart Baden-Württemberg,Ausbildung | Fachinformatiker/in für Anwendungsentwicklung (m/w/d),ae,,,"1.355 €, 1.432 €, 1.520 €",67,company,,https://jobportal.stuttgarter.de/stuttgarter/viewAusschreibungen.html,portal,,,Stuttgarter Lebensversicherung a.G. | Ausbildung | Fachinformatiker/in für Anwendungsentwicklung (m/w/d) | Stuttgart,tidak,belum,sedang,"Ausbildung Fachinformatiker/in für Anwendungsentwicklung (m/w/d)

Das solltest Du mitbringen:
- Begeisterung für Computertechnik und an der IT allgemein
- Grundwissen über Hard- und Software
- Selbständiges Arbeiten aber natürlich erst recht Spaß an Teamarbeit
- Lösungswille und Durchhaltevermögen bei komplexen Aufgaben
- Praktikum im IT-Umfeld ist von Vorteil
- ein abgebrochenes Studium ist kein Hindernis, sondern meist der ideale Einstieg!
Voraussetzungen:
- Mittlere Reife/Fachhochschulreife/Abitur
- deutsches Sprachniveau: C1
Ausbildungsbeginn: 1. September 2026
Ausbildungsdauer: 3 Jahre
Bereit für den nächsten Schritt?
Hast Du Fragen? Kein Problem! Sabine Leonhardt steht Dir gerne unter der Telefonnummer 0711 / 665 - 2028 zur Verfügung.
Du bist bereit, deinen Weg mit uns zu gehen?
Dann freuen wir uns auf Deine Online-Bewerbung!","Das solltest Du mitbringen:
- Begeisterung für Computertechnik und an der IT allgemein
- Grundwissen über Hard- und Software
- Selbständiges Arbeiten aber natürlich erst recht Spaß an Teamarbeit
- Lösungswille und Durchhaltevermögen bei komplexen Aufgaben
- Praktikum im IT-Umfeld ist von Vorteil
- ein abgebrochenes Studium ist kein Hindernis, sondern meist der ideale Einstieg!
Voraussetzungen:
- Mittlere Reife/Fachhochschulreife/Abitur
- deutsches Sprachniveau: C1
Ausbildungsbeginn: 1. September 2026
Ausbildungsdauer: 3 Jahre
Bereit für den nächsten Schritt?
Hast Du Fragen? Kein Problem! Sabine Leonhardt steht Dir gerne unter der Telefonnummer 0711 / 665 - 2028 zur Verfügung.
Du bist bereit, deinen Weg mit uns zu gehen?
Dann freuen wir uns auf Deine Online-Bewerbung!",2026-06-11T11:21:30.312600+00:00
