id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1204650794-S,fachinformatiker_ae_2026,twocream.creativemedia gmbh,Wuppertal,"Besenbruchstr. 15, 42285 Wuppertal",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,8,,93,ba_portal,bewerbung@twocream.com,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204650794-S,email,"•	Bei allem steht dir jederzeit ein Ansprechpartner an deiner Seite, hilft dir weiter und vermittelt dir „on the Job“ das notwendige Rüstzeug.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204650794-S,twocream.creativemedia gmbh | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Wuppertal,tidak,belum,tinggi,"Fachinformatiker (m/w/d)
Fachrichtung Anwendungsentwicklung zum 01.08.2026

Du besitzt das Wichtigste für eine erfolgreiche Ausbildung: Talent. Neugierde. Ehrgeiz. IT ist dein Hobby und du wolltest immer schon was mit Computern machen? Vielleicht hast du sogar schon ein wenig programmiert? Dann herzlich willkommen bei twocream.

twocream ist eine kleine aber feine Digitalagentur im Herzen Wuppertals. Wir erstellen Webseiten für große, internationale Kunden, Shops für erfolgreichen E-Commerce und Lösungen für bestes Datenmanagement. Da wir stetig wachsen, brauchen wir engagierten Nachwuchs, der uns bei diesem Wachstum begleitet.
Von Beginn an arbeitest du in einem jungen Team an echten Projekten. Manchmal wird dir die Arbeit alles abfordern, was der Kopf hergibt. Aber im Gegenzug erhältst du eine hervorragende Ausbildung mit besten Perspektiven in einer der wachstumsstärksten Branchen.

Das erwartet dich:
•	Du lernst unser Team und deinen Arbeitsplatz kennen.
•	Du wirst vom ersten Tag schrittweise an das Thema Anwendungsentwicklung herangeführt.
•	Du lernst die Welt der Content-, E-Commerce und Datenmanagement-Systeme kennen.
•	Du wirst Profi im Umgang mit Java, Javascript, HTML und CSS und steigst ein in die Frontend- und Backendentwicklung.
•	Die erlernst die Erstellung von Datenbankschemata ebenso wie die Sensibilisierung deiner Arbeit im Bereich Code-Performance, Code-Sicherheit und effektives Testen.
•	Bei internen Projekten programmierst du eigenverantwortlich erste Lösungen und baust dir Know-how auf.
•	Mit zunehmender Ausbildungsreife übernimmst du eigenverantwortlich Aufgaben bei unseren Kundenprojekten.
•	Neben dem praktischen Teil bei uns im Unternehmen beinhaltet deine Ausbildung auch einen schulischen Teil. Hier bekommst du die Grundlagen und theoretischen Hintergründe für deine praktische Arbeit vermittelt.
•	Bei allem steht dir jederzeit ein Ansprechpartner an deiner Seite, hilft dir weiter und vermittelt dir „on the Job“ das notwendige Rüstzeug.

Das solltest du idealerweise mitbringen:
•	Du hast eine hohe IT-Affinität und fühlst dich bei Themen rund ums Programmieren zuhause.
•	Du lebst das digitale Zeitalter und möchtest wissen, wie es funktioniert.
•	Neben Talent und Neugierde besitzt du genauso viel Freude am Lernen.
•	Wir erwarten keine Profis, denn schließlich machst du bei uns eine Ausbildung. Wenn du dennoch in dem Bereich bereits etwas gemacht haben solltest (dann bist du noch kein alter Hase, kennst aber bereits die Reize und die Tücken der digitalen Welt) ist das kein Muss aber ein Plus.
•	Du solltest unbedingt Spaß daran haben, mit anderen Menschen zusammen zu arbeiten.
•	Weitere Informationen unter: www.twocream.com/azubi-fachinformatiker

Der feine Unterschied
Einer von vielen Vorteilen einer kleineren Agentur: Bei uns bist du Mensch – und keine Nummer. Wir pflegen einen freundschaftlich-kollegialen, aber auch ehrlichen Umgang miteinander. Wir unterscheiden nicht zwischen Jung und Alt. Respekt und Verantwortung sind die Basis unserer Zusammenarbeit, denn wir wissen, dass wir Herausforderungen erfolgreich nur im Team meistern.

•	Fachwissen und Weiterbildung satt
•	Faire Vergütung
•	Arbeiten in modernem Ambiente
•	Dogs welcome

Nobody ist Perfect
Wenn du glaubst, nicht alle Punkte zu erfüllen, aber trotzdem Lust auf twocream bekommen hast, trau dich ruhig. Wenn die Basis und die Einstellung stimmen, dann geht bei uns immer etwas.

Damit wir uns ein Bild von dir machen können, schicke uns bitte deine Bewerbung, wer du bist und was du bisher gemacht hast, hier direkt per E-Mail. Wir freuen uns auf deine Bewerbung.
Jetzt und hier bei twocream bewerben

twocream creativemedia gmbh
z. Hd. Michael Grothe
bewerbung@twocream.com
Besenbruchstraße 15
42285 Wuppertal
www.twocream.com
www.twocream.com/Karriere/Ausbildungsstellen/Ausbildung Fachinformatiker (m-w-d)","•	Wir erwarten keine Profis, denn schließlich machst du bei uns eine Ausbildung. Wenn du dennoch in dem Bereich bereits etwas gemacht haben solltest (dann bist du noch kein alter Hase, kennst aber bereits die Reize und die Tücken der digitalen Welt) ist das kein Muss aber ein Plus.
•	Du solltest unbedingt Spaß daran haben, mit anderen Menschen zusammen zu arbeiten.
•	Weitere Informationen unter: www.twocream.com/azubi-fachinformatiker",2026-06-11T08:12:56.224170+00:00
NRW-2663-4994,ausbildung_nrw_ae,UfP Systemhaus GmbH,Wuppertal,Heinz-Fangman-Str. 4 42287 Wuppertal,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2025),ae,,,,73,company,gf@ufpgmbh.de,https://www.ufpgmbh.de/stellenangebote,email,"Durch unsere Ausbildung bist Du perfekt vorbereitet für die Arbeit eines/r Fachinformatiker:in für Anwendungsentwicklung. Wir möchten aus den eigenen Reihen wachsen und legen einen hohen Wert darauf, dass Du auch nach der Ausbildung Deinen Platz bei uns findest. Während Deiner Ausbildung hast Du die Möglichkeit, Dich und Deine Fähigkeiten im Austausch mit unserem erfahrenen Team und im direkten Kontakt mit unseren Kunden zu entwickeln und zu erproben.
Mehr Informationen
Kontakt
0202-9460750
gf@ufpgmbh.de
https://www.ufpgmbh.de
Heinz-Fangman-Str. 4
42287 Wuppertal
S
Stephan Hanau
Geschäftsführer
0202-9460750
gf@ufpgmbh.de
Social Media
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,UfP Systemhaus GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2025) | Wuppertal,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung (2025)

Fachinformatiker/in - Anwendungsentwicklung in Wuppertal (2025)

So kannst du dich bewerben
Wenn wir Dein Interesse geweckt haben und Du den inneren Entwickler / die innere Entwicklerin in Dir channeln möchtest, dann bewirb Dich unter 0202 / 94 60 75 0 oder per E-Mail an Bewerbung. Wir freuen uns auf Dich!",,2026-06-12T09:59:32.555479+00:00
MAD-2440501258,meine_ausbildung_ae,Alten- und Altenpflegeheime der Stadt Wuppertal,Wuppertal,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,,40,company,,https://suche.ausbildung.nrw/unternehmen/stadt-wuppertal/365?utm_source=meine-ausbildung-in-deutschland,portal,,,Alten- und Altenpflegeheime der Stadt Wuppertal | Fachinformatiker/in - Anwendungsentwicklung | Wuppertal,ya,belum,rendah,Fachinformatiker/in - Anwendungsentwicklung,,2026-06-11T11:44:32.899572+00:00
MAD-2440497103,meine_ausbildung_ae,Barmenia Versicherung - Barmenia.Gothaer AG,Wuppertal,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,,40,company,,https://suche.ausbildung.nrw/unternehmen/barmenia-krankenversicherung-ag/315?utm_source=meine-ausbildung-in-deutschland,portal,,,Barmenia Versicherung - Barmenia.Gothaer AG | Fachinformatiker/in - Anwendungsentwicklung | Wuppertal,ya,belum,rendah,Fachinformatiker/in - Anwendungsentwicklung,,2026-06-11T11:44:38.572236+00:00
MAD-2440498655,meine_ausbildung_ae,Böhme & Weihs Systemtechnik GmbH & Co. KG,Wuppertal,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,,40,company,,https://suche.ausbildung.nrw/unternehmen/boehme-weihs-gmbh/260?utm_source=meine-ausbildung-in-deutschland,portal,,,Böhme & Weihs Systemtechnik GmbH & Co. KG | Fachinformatiker/in - Anwendungsentwicklung | Wuppertal,ya,belum,rendah,Fachinformatiker/in - Anwendungsentwicklung,,2026-06-11T11:44:46.064378+00:00
MAD-2453613132,meine_ausbildung_dpa,Alten- und Altenpflegeheime der Stadt Wuppertal,Wuppertal,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,,40,company,,https://suche.ausbildung.nrw/unternehmen/stadt-wuppertal/365?utm_source=meine-ausbildung-in-deutschland,portal,,,Alten- und Altenpflegeheime der Stadt Wuppertal | Fachinformatiker/in - Daten- und Prozessanalyse | Wuppertal,ya,belum,rendah,Fachinformatiker/in - Daten- und Prozessanalyse,,2026-06-11T11:39:36.320569+00:00
NRW-315-4075,ausbildung_nrw_ae,Barmenia Krankenversicherung AG,Wuppertal,Barmenia-Allee 1 42119 Wuppertal,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2027),dual,,,,80,company,ausbildung@barmenia.de,https://karriere.barmenia.blog/innendienst/ausbildung/fachinformatiker-in-der-anwendungsentwicklung/,email,"Kontakt
0202-4383752
ausbildung@barmenia.de
https://www.barmenia.de
Barmenia-Allee 1
42119 Wuppertal
M
Martin Dudek
Referent für Berufsausbildung
0202-4383348
martin.dudek@barmenia.de
Social Media
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,Barmenia Krankenversicherung AG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2027) | Wuppertal,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung (2027)

Fachinformatiker/in - Anwendungsentwicklung in Wuppertal (2027)
Mehr Informationen
Koch/Köchin in Wuppertal (2027)
Mehr Informationen
Fachinformatiker/in - Anwendungsentwicklung in Wuppertal (2027)
Mehr Informationen
Fachinformatiker/in - Systemintegration in Wuppertal (2027)
Mehr Informationen
Kaufmann/frau - Versicherungen und Finanzanlagen in Wuppertal (2026)
Mehr Informationen
Kaufmann/frau - Versicherungen und Finanzanlagen in Wuppertal (2026, 2027)
Mehr Informationen
Angebote
Duales Studium
Duale Ausbildung (Vollzeit)
Praktikum

Schon gewusst?
Schon gewusst? Aus der Barmenia und der Gothaer wird die BarmeniaGothaer – Aus zwei starken Partnern wächst ein neues Unternehmen.

So kannst du dich bewerben
Bewirb dich einfach und direkt über unsere Online-Bewerbung unter: https://karriere.barmenia.blog/innendienst/ausbildung/
Wir freuen uns von dir zu hören!",,2026-06-12T09:53:38.588278+00:00
NRW-260-343,ausbildung_nrw_ae,Böhme & Weihs GmbH,Wuppertal,Linderhauser Str. 153 42279 Wuppertal,"Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2025, 2026)",dual,,,,80,company,info@boehme-weihs.de,https://job.proalpha.com/de/Ausbildung-zum-Fachinformatiker-Anwendungsentwicklung-mwd-de-j1090.html,email,"Kontakt
+49 202 / 38434 - 0
info@boehme-weihs.de
https://www.boehme-weihs.de
Linderhauser Str. 153
42279 Wuppertal
S
Schulze-Bentrop
Head of R&D Apllication and Operations
+49 202 / 38434 - 0
info@boehme-weihs.de
K
Karsten Wegelin
Ausbildungsleiter
+49 202 / 38434 - 0
info@boehme-weihs.de
Social Media
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,"Böhme & Weihs GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung (2025, 2026) | Wuppertal",tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung (2025, 2026)

Fachinformatiker/in - Anwendungsentwicklung in Wuppertal (2025, 2026)
Mehr Informationen
Angebote
Duales Studium
Berufsfelderkundungstag
Duale Ausbildung (Vollzeit)
Praktikum

Schon gewusst?
https://www.boehme-weihs.de/de/q-blog

So kannst du dich bewerben
Gemeinsam wachsen!
Werden Sie ein Teil von Böhme & Weihs, einem Unternehmen der proALPHA Gruppe.
Sie wollen sich selbst weiterentwickeln und eine sichere Zukunft mit viel Gestaltungsfreiraum? Dann werden Sie bei uns Teil eines großen Ganzen: Ob businessorientiert oder technischer Schwerpunkt, unsere Jobs sind so vielfältig wie die Menschen, die bei uns arbeiten.
Aktuelle Stellenangebote bei Böhme & Weihs
Hier finden Sie den Job, der zu Ihnen passt.
Wir freuen uns auf Ihre Bewerbung
Hier geht's zum Jobportal
Mehr Informationen",,2026-06-12T09:54:09.231879+00:00
NRW-365-3000,ausbildung_nrw_ae,Stadt Wuppertal,Wuppertal,Johannes-Rau-Platz 1 42275 Wuppertal,Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,dual,,,,80,company,ausbildung@stadt.wuppertal.de,https://www.wuppertal.de/microsite/wuppertalent/ausbildungsberufe/fachinformatiker-in-fachrichtung-anwendungsentwicklung.php,email,"Kontakt
02025634004
ausbildung@stadt.wuppertal.de
https://www.wuppertalent.de
Johannes-Rau-Platz 1
42275 Wuppertal
A
Ausbildungsteam
Azubihotline
02025634004
ausbildung@stadt.wuppertal.de
Social Media
Profil bei Karrierehomepage
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,Stadt Wuppertal | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Wuppertal,tidak,belum,tinggi,"Fachinformatiker/in - Anwendungsentwicklung

Fachinformatiker/in - Anwendungsentwicklung in Wuppertal
Mehr Informationen
Fachinformatiker/in - Daten- und Prozessanalyse in Wuppertal
Mehr Informationen
Fachinformatiker/in - Systemintegration in Wuppertal
Mehr Informationen
Fachkraft – Lagerlogistik in Wuppertal
Mehr Informationen
Forstwirt/in in Wuppertal
Mehr Informationen
Geomatiker/in in Wuppertal
Mehr Informationen
IT-System-Elektroniker/in in Wuppertal
Mehr Informationen
Kaufmann/frau – Dialogmarketing in Wuppertal
Mehr Informationen
Kaufmann/frau - IT-System-Management in Wuppertal
Mehr Informationen
Koch/Köchin in Wuppertal
Mehr Informationen
Straßenwärter/in in Wuppertal
Mehr Informationen
Tiermedizinische/r Fachangestellte/r in Wuppertal
Mehr Informationen
Tierpfleger/in - Zootierpflege in Wuppertal
Mehr Informationen
Vermessungstechniker/in in Wuppertal
Mehr Informationen
Duales Studium - Bachelor of Laws im Ordnungsdienst (LL. B.) in Wuppertal
Mehr Informationen
Erzieher/in (staatl. anerkannte Ausbildung) in Wuppertal
Mehr Informationen
Kinderpfleger/in (staatl. anerkannte, praxisintegrierte Ausbildung) in Wuppertal
Mehr Informationen
Medizinische/r Fachangestellte/r in Wuppertal
Mehr Informationen
Kraftfahrzeugmechatroniker/in (KFZ) - Nutzfahrzeugtechnik in Wuppertal
Mehr Informationen
Duales Studium - Vermessungstechnik (Ausbildung + B. Eng.) in Wuppertal
Mehr Informationen
Duales Studium - Geoinformatik und Vermessung (Ausbildung + B.Eng.) in Wuppertal
Mehr Informationen
Duales Studium - Bachelor of Laws (LL. B.) in Wuppertal
Mehr Informationen
Verwaltungswirt/in in Wuppertal
Mehr Informationen
Duales Studium - Verwaltungsinformatik (Praxisintegriert + B. A.) in Wuppertal
Mehr Informationen
Verwaltungswirt/in - Ordnungsdienst in Wuppertal
Mehr Informationen
Duales Studium - Kindheitspädagogik (praxisintegriert + B.A.) in Wuppertal
Mehr Informationen
Angebote
Duales Studium
Duale Ausbildung (Vollzeit)
Praktikum

Schon gewusst?

So kannst du dich bewerben
Wir freuen uns über jede Bewerbung unabhängig von ethnischer, kultureller oder sozialer Herkunft, geschlechtlicher Identität, sexueller Orientierung, Weltanschauung, Religion, Alter oder Behinderung der Interessierten sowie deren Familienaufgaben. Schwerbehinderte Bewerberinnen und Bewerber werden bei gleicher Eignung besonders berücksichtigt.",,2026-06-12T09:59:04.271069+00:00
NRW-365-3001,ausbildung_nrw_dpa,Stadt Wuppertal,Wuppertal,Johannes-Rau-Platz 1 42275 Wuppertal,Ausbildung | Fachinformatiker/in - Daten- und Prozessanalyse,dual,,,,80,company,ausbildung@stadt.wuppertal.de,https://www.wuppertal.de/microsite/wuppertalent/ausbildungsberufe/fachinformatiker-in-fachrichtung-daten-und-prozessanalyse.php,email,"Kontakt
02025634004
ausbildung@stadt.wuppertal.de
https://www.wuppertalent.de
Johannes-Rau-Platz 1
42275 Wuppertal
A
Ausbildungsteam
Azubihotline
02025634004
ausbildung@stadt.wuppertal.de
Social Media
Profil bei Karrierehomepage
Standort
+
–
⤢
info@ausbildung.nrw
Kontakt
Datenschutz
Impressum
Ausbildung.NRW ist ein Kooperationsprojekt der Industrie- und Handelskammern in Nordrhein-Westfalen.
umgesetzt von der www.spieker.agency",,Stadt Wuppertal | Ausbildung | Fachinformatiker/in - Daten- und Prozessanalyse | Wuppertal,tidak,belum,tinggi,"Fachinformatiker/in - Daten- und Prozessanalyse

Fachinformatiker/in - Daten- und Prozessanalyse in Wuppertal
Mehr Informationen
Fachinformatiker/in - Systemintegration in Wuppertal
Mehr Informationen
Fachkraft – Lagerlogistik in Wuppertal
Mehr Informationen
Forstwirt/in in Wuppertal
Mehr Informationen
Geomatiker/in in Wuppertal
Mehr Informationen
IT-System-Elektroniker/in in Wuppertal
Mehr Informationen
Kaufmann/frau – Dialogmarketing in Wuppertal
Mehr Informationen
Kaufmann/frau - IT-System-Management in Wuppertal
Mehr Informationen
Koch/Köchin in Wuppertal
Mehr Informationen
Straßenwärter/in in Wuppertal
Mehr Informationen
Tiermedizinische/r Fachangestellte/r in Wuppertal
Mehr Informationen
Tierpfleger/in - Zootierpflege in Wuppertal
Mehr Informationen
Vermessungstechniker/in in Wuppertal
Mehr Informationen
Duales Studium - Bachelor of Laws im Ordnungsdienst (LL. B.) in Wuppertal
Mehr Informationen
Erzieher/in (staatl. anerkannte Ausbildung) in Wuppertal
Mehr Informationen
Kinderpfleger/in (staatl. anerkannte, praxisintegrierte Ausbildung) in Wuppertal
Mehr Informationen
Medizinische/r Fachangestellte/r in Wuppertal
Mehr Informationen
Kraftfahrzeugmechatroniker/in (KFZ) - Nutzfahrzeugtechnik in Wuppertal
Mehr Informationen
Duales Studium - Vermessungstechnik (Ausbildung + B. Eng.) in Wuppertal
Mehr Informationen
Duales Studium - Geoinformatik und Vermessung (Ausbildung + B.Eng.) in Wuppertal
Mehr Informationen
Duales Studium - Bachelor of Laws (LL. B.) in Wuppertal
Mehr Informationen
Verwaltungswirt/in in Wuppertal
Mehr Informationen
Duales Studium - Verwaltungsinformatik (Praxisintegriert + B. A.) in Wuppertal
Mehr Informationen
Verwaltungswirt/in - Ordnungsdienst in Wuppertal
Mehr Informationen
Duales Studium - Kindheitspädagogik (praxisintegriert + B.A.) in Wuppertal
Mehr Informationen
Angebote
Duales Studium
Duale Ausbildung (Vollzeit)
Praktikum

Schon gewusst?

So kannst du dich bewerben
Wir freuen uns über jede Bewerbung unabhängig von ethnischer, kultureller oder sozialer Herkunft, geschlechtlicher Identität, sexueller Orientierung, Weltanschauung, Religion, Alter oder Behinderung der Interessierten sowie deren Familienaufgaben. Schwerbehinderte Bewerberinnen und Bewerber werden bei gleicher Eignung besonders berücksichtigt.",,2026-06-12T10:01:12.655190+00:00
