referenznummer,category_id,nama_perusahaan,titik_data_di_peta,posisi_kota,alamat_detail,detail_deskripsi,gaji,persyaratan,jenis_ausbildung,beruf_typ,deskripsi_perusahaan,apa_yang_ditawarkan,link_website_perusahaan,link_website_perusahaan_resmi,website_type,alamat_email_bewerbung,link_bewerbung,link_bewerbung_externe,link_bewerbung_efektif,bewerbung_sumber,kontak_penanggung_jawab,dokumen_yang_harus_dipenuhi,ba_job_url,sumber_data,ausbildung_de_url,is_duplicate_of_arbeitsagentur,duplicate_of_refnr,kelengkapan_score,scraped_at
MAD-2453755509,meine_ausbildung_ae,Georg-August-Universität Göttingen,,Göttingen,,Fachinformatiker(in) Anwendungsentwicklung (m/w/d),,,Fachinformatiker(in) Anwendungsentwicklung (m/w/d),ae,,,https://www.gwdg.de,https://www.gwdg.de,company,,https://gwdg.de/about-us/career/ausbildung/?utm_source=meine-ausbildung-in-deutschland,https://gwdg.de/about-us/career/ausbildung/?utm_source=meine-ausbildung-in-deutschland,https://gwdg.de/about-us/career/ausbildung/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:30.961026+00:00
MAD-2453671103,meine_ausbildung_ae,varmeco GmbH & Co. KG,,Kaufbeuren,,Zentrale Kaufbeuren — Ausbildung 2027 – Fachinformatiker (m/w/d) Anwendungsentwicklung,,,Zentrale Kaufbeuren — Ausbildung 2027 – Fachinformatiker (m/w/d) Anwendungsentwicklung,ae,,,https://www.varmeco.de,https://www.varmeco.de,company,,https://varmeco.de/stellenangebote/ausbildung-2027-fachinformatiker-in-der-fachrichtung-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,https://varmeco.de/stellenangebote/ausbildung-2027-fachinformatiker-in-der-fachrichtung-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,https://varmeco.de/stellenangebote/ausbildung-2027-fachinformatiker-in-der-fachrichtung-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:32.632927+00:00
MAD-2453525222,meine_ausbildung_ae,Hensoldt Sensors GmbH,,Fürstenfeldbruck,,"Ausbildung: Fachinformatiker*in Anwendungsentwicklung (w/m/d), Fürstenfeldbruck, Start 2027",,,"Ausbildung: Fachinformatiker*in Anwendungsentwicklung (w/m/d), Fürstenfeldbruck, Start 2027",ae,,,https://www.hensoldt.net,https://www.hensoldt.net,company,,https://jobs.hensoldt.net/job/F%C3%BCrstenfeldbruck-Ausbildung-Fachinformatikerin-Anwendungsentwicklung-%28wmd%29%2C-F%C3%BCrstenfeldbruck%2C-Start-2027-82256/1354876555/?utm_source=meine-ausbildung-in-deutschland,https://jobs.hensoldt.net/job/F%C3%BCrstenfeldbruck-Ausbildung-Fachinformatikerin-Anwendungsentwicklung-%28wmd%29%2C-F%C3%BCrstenfeldbruck%2C-Start-2027-82256/1354876555/?utm_source=meine-ausbildung-in-deutschland,https://jobs.hensoldt.net/job/F%C3%BCrstenfeldbruck-Ausbildung-Fachinformatikerin-Anwendungsentwicklung-%28wmd%29%2C-F%C3%BCrstenfeldbruck%2C-Start-2027-82256/1354876555/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:34.456579+00:00
MAD-2453631522,meine_ausbildung_ae,Eckart GmbH Deutschland,,Hartenstein 01 09 26,,Ausbildung zum Fachinformatiker Anwendungsentwicklung (m/w/d),,,Ausbildung zum Fachinformatiker Anwendungsentwicklung (m/w/d),ae,,,https://www.eckart.net,https://www.eckart.net,company,,https://www.eckart.net/de/ausbildung-it-spezialists-anwendungsentwicklung-hartenstein?utm_source=meine-ausbildung-in-deutschland,https://www.eckart.net/de/ausbildung-it-spezialists-anwendungsentwicklung-hartenstein?utm_source=meine-ausbildung-in-deutschland,https://www.eckart.net/de/ausbildung-it-spezialists-anwendungsentwicklung-hartenstein?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:35.028154+00:00
MAD-2453021416,meine_ausbildung_ae,Computerra Hard- und Software GmbH,,"Wiesbaden, Neu-Isenburg, Taunusstein",,Ausbildung: Fachinformatiker Anwendungsentwicklung (m/w/d),,,Ausbildung: Fachinformatiker Anwendungsentwicklung (m/w/d),ae,,,https://www.computerra.de,https://www.computerra.de,company,,https://computerra.de/karriere/ausbildung-fachinformatiker-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,https://computerra.de/karriere/ausbildung-fachinformatiker-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,https://computerra.de/karriere/ausbildung-fachinformatiker-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:35.867413+00:00
MAD-2453176959,meine_ausbildung_ae,GEBHARDT Fördertechnik GmbH,,Sinsheim,,IHK - Fachinformatiker (m/w/d) Anwendungsentwicklung 2027,,,IHK - Fachinformatiker (m/w/d) Anwendungsentwicklung 2027,ae,,,https://www.gebhardt-group.com,https://www.gebhardt-group.com,company,,https://jobs.gebhardt-group.com/job/Sinsheim-IHK-Fachinformatiker-%28mwd%29-Anwendungsentwicklung-2027-BW-74889/1402151133/?utm_source=meine-ausbildung-in-deutschland,https://jobs.gebhardt-group.com/job/Sinsheim-IHK-Fachinformatiker-%28mwd%29-Anwendungsentwicklung-2027-BW-74889/1402151133/?utm_source=meine-ausbildung-in-deutschland,https://jobs.gebhardt-group.com/job/Sinsheim-IHK-Fachinformatiker-%28mwd%29-Anwendungsentwicklung-2027-BW-74889/1402151133/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:38.254511+00:00
MAD-2453018599,meine_ausbildung_ae,Purelox Solutions GmbH,,Kobern-Gondorf,,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d),,,Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,https://www.pure-lox.com,https://www.pure-lox.com,company,,https://purelox.jobs.personio.de/job/2626049?utm_source=meine-ausbildung-in-deutschland,https://purelox.jobs.personio.de/job/2626049?utm_source=meine-ausbildung-in-deutschland,https://purelox.jobs.personio.de/job/2626049?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:39.124878+00:00
MAD-2453021702,meine_ausbildung_ae,NORTH-TEC Maschinenbau GmbH,,Bredstedt,,Ausbildung zum Fachinformatiker Fachrichtung: Anwendungsentwicklung (m/w/d),,,Ausbildung zum Fachinformatiker Fachrichtung: Anwendungsentwicklung (m/w/d),ae,,,https://www.north-tec-biogas.de,https://www.north-tec-biogas.de,company,,https://north-tec-biogas.de/da/job/fachinformatikerin-fachrichtung-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,https://north-tec-biogas.de/da/job/fachinformatikerin-fachrichtung-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,https://north-tec-biogas.de/da/job/fachinformatikerin-fachrichtung-anwendungsentwicklung/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:40.019936+00:00
MAD-2453071203,meine_ausbildung_ae,Schottel GmbH,,Spay,,Ausbildung zum Fachinformatiker (m/w/d) Anwendungsentwicklung - 2027,,,Ausbildung zum Fachinformatiker (m/w/d) Anwendungsentwicklung - 2027,ae,,,https://www.schottel.de,https://www.schottel.de,company,,https://jobs.schottel.de/Ausbildung-zum-Fachinformatiker-mwd-Anwendungsentwicklung--de-j417.html?utm_source=meine-ausbildung-in-deutschland,https://jobs.schottel.de/Ausbildung-zum-Fachinformatiker-mwd-Anwendungsentwicklung--de-j417.html?utm_source=meine-ausbildung-in-deutschland,https://jobs.schottel.de/Ausbildung-zum-Fachinformatiker-mwd-Anwendungsentwicklung--de-j417.html?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:40.933224+00:00
MAD-2452859869,meine_ausbildung_ae,NORD/LB Kapitalanlagegesellschaft AG,,Hannover,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.nordlb.de,https://www.nordlb.de,company,,https://ihk-boerse.de/unternehmen/nordlb/6212?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/nordlb/6212?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/nordlb/6212?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:35:41.455950+00:00
