referenznummer,category_id,nama_perusahaan,titik_data_di_peta,posisi_kota,alamat_detail,detail_deskripsi,gaji,persyaratan,jenis_ausbildung,beruf_typ,deskripsi_perusahaan,apa_yang_ditawarkan,link_website_perusahaan,link_website_perusahaan_resmi,website_type,alamat_email_bewerbung,link_bewerbung,link_bewerbung_externe,link_bewerbung_efektif,bewerbung_sumber,kontak_penanggung_jawab,dokumen_yang_harus_dipenuhi,ba_job_url,sumber_data,ausbildung_de_url,is_duplicate_of_arbeitsagentur,duplicate_of_refnr,kelengkapan_score,scraped_at
MAD-2453748408,meine_ausbildung_dpa,Stadtverwaltung Sinsheim,,Sinsheim,,Fachinformatiker - Fachrichtung Daten- und Prozessanalyse (m/w/d),,,Fachinformatiker - Fachrichtung Daten- und Prozessanalyse (m/w/d),dpa,,,https://www.sinsheim.de,https://www.sinsheim.de,company,,https://www.sinsheim.de/rathaus-service/stellenangebote/ausbildung-studium-und-freiwilligendienste?utm_source=meine-ausbildung-in-deutschland#c9526,https://www.sinsheim.de/rathaus-service/stellenangebote/ausbildung-studium-und-freiwilligendienste?utm_source=meine-ausbildung-in-deutschland#c9526,https://www.sinsheim.de/rathaus-service/stellenangebote/ausbildung-studium-und-freiwilligendienste?utm_source=meine-ausbildung-in-deutschland#c9526,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:33.646241+00:00
MAD-2453605812,meine_ausbildung_dpa,Beumer Maschinenfabrik GmbH & Co. KG,,Beckum,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.beumer.com,https://www.beumer.com,company,,https://suche.ausbildung.nrw/unternehmen/beumer-maschinenfabrik-gmbh-co-kg/2816?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/beumer-maschinenfabrik-gmbh-co-kg/2816?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/beumer-maschinenfabrik-gmbh-co-kg/2816?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:34.238575+00:00
MAD-2453415622,meine_ausbildung_dpa,swb AG,,Bremen,,Ausbildung: Fachinformatiker – Fachrichtung Daten- und Prozessanalyse (m/w/d),,,Ausbildung: Fachinformatiker – Fachrichtung Daten- und Prozessanalyse (m/w/d),dpa,,,https://www.swb.de,https://www.swb.de,company,,https://www.swb.de/ueber-swb/karriere/schueler/ausbildung/fachinformatiker?utm_source=meine-ausbildung-in-deutschland,https://www.swb.de/ueber-swb/karriere/schueler/ausbildung/fachinformatiker?utm_source=meine-ausbildung-in-deutschland,https://www.swb.de/ueber-swb/karriere/schueler/ausbildung/fachinformatiker?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:35.066041+00:00
MAD-2453605818,meine_ausbildung_dpa,Bruckmann Steuerungstechnik GmbH,,Uedem,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.bsg.de,https://www.bsg.de,company,,https://suche.ausbildung.nrw/unternehmen/bsg-bruckmann-steuerungstechnik-gmbh/521?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bsg-bruckmann-steuerungstechnik-gmbh/521?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bsg-bruckmann-steuerungstechnik-gmbh/521?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:35.450094+00:00
MAD-2453605797,meine_ausbildung_dpa,AGOLUTION GmbH,,Münster,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.agolution.com,https://www.agolution.com,company,,https://suche.ausbildung.nrw/unternehmen/agolution-gmbh/735?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/agolution-gmbh/735?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/agolution-gmbh/735?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:35.869658+00:00
MAD-2453613132,meine_ausbildung_dpa,Alten- und Altenpflegeheime der Stadt Wuppertal,,Wuppertal,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.altenheime-wuppertal.de,https://www.altenheime-wuppertal.de,company,,https://suche.ausbildung.nrw/unternehmen/stadt-wuppertal/365?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/stadt-wuppertal/365?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/stadt-wuppertal/365?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:36.320569+00:00
MAD-2453608476,meine_ausbildung_dpa,Schukat electronic Vertriebs GmbH,,Monheim,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.schukat.com,https://www.schukat.com,company,,https://suche.ausbildung.nrw/unternehmen/schukat-electronic-vertriebs-gmbh/184?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/schukat-electronic-vertriebs-gmbh/184?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/schukat-electronic-vertriebs-gmbh/184?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:37.112824+00:00
MAD-2453608063,meine_ausbildung_dpa,NEW Niederrhein Energie und Wasser GmbH,,41236 Mönchengladbach,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.newkarriere.de,https://www.newkarriere.de,company,,https://suche.ausbildung.nrw/unternehmen/new-ag/67?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/new-ag/67?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/new-ag/67?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:37.538464+00:00
MAD-2453608293,meine_ausbildung_dpa,Robert Bosch GmbH,,Nürnberg,,Fachinformatiker (w/m/div.) Fachrichtung: Daten- und Prozessanalyse,,,Fachinformatiker (w/m/div.) Fachrichtung: Daten- und Prozessanalyse,dpa,,,https://www.bosch.de,https://www.bosch.de,company,,https://www.bosch.de/media/career/ausbildungsstandorte/nuernberg_1/pdf_2/fachinformatiker_daten-und_prozessanalyse.pdf?utm_source=meine-ausbildung-in-deutschland,https://www.bosch.de/media/career/ausbildungsstandorte/nuernberg_1/pdf_2/fachinformatiker_daten-und_prozessanalyse.pdf?utm_source=meine-ausbildung-in-deutschland,https://www.bosch.de/media/career/ausbildungsstandorte/nuernberg_1/pdf_2/fachinformatiker_daten-und_prozessanalyse.pdf?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:39.416147+00:00
MAD-2453608821,meine_ausbildung_dpa,expositio,,Bochum,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.expositio.de,https://www.expositio.de,company,,https://suche.ausbildung.nrw/unternehmen/expositio-/1864?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/expositio-/1864?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/expositio-/1864?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:39.857738+00:00
